actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
26,PT10M11.00S,2025-04-12T01:15:09.1Z,1,REGULAR,2pt,Jump Shot,[],203944,19.136005256241788,69.36274509803921,1610612750,0,2,2025-04-12T01:15:14Z,260000,False,-97.0,127.0,1,left,MISS J. Randle 16' pullup Shot,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,16.0,Missed,,,,,,,,,,,,,,,,,,
27,PT10M08.00S,2025-04-12T01:15:12.1Z,1,REGULAR,rebound,defensive,[],1641736,,,1610612751,0,2,2025-04-12T01:15:14Z,270000,False,,,0,,R. Beekman REBOUND (Off:0 Def:1),[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,Mid-Range,8-16 Left,,,,,26.0,,,,,,1.0,1.0,0.0,,,,,,,
28,PT10M03.00S,2025-04-12T01:15:16.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630592,81.15965834428384,7.107843137254902,1610612751,0,5,2025-04-12T01:16:54Z,280000,False,-214.0,125.0,1,right,J. Wilson 24' 3PT running (3 PTS) (R. Beekman 1 AST),"[1630592, 1641736]",1610612751.0,BKN,running,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,24.81,Made,,,,,,,,,,,,3.0,R. Beekman,1641736.0,1.0,,,
30,PT09M39.00S,2025-04-12T01:15:41.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.882391590013142,51.225490196078425,1610612750,0,5,2025-04-12T01:17:32Z,300000,False,-6.0,247.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.73,Missed,,,,,,,,,,,,,,,,,,
31,PT09M36.00S,2025-04-12T01:15:44.0Z,1,REGULAR,rebound,defensive,[],1630592,,,1610612751,0,5,2025-04-12T01:15:45Z,310000,False,,,0,,J. Wilson REBOUND (Off:0 Def:1),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Center,,,,,30.0,,,,,,1.0,1.0,0.0,,,,,,,
32,PT09M29.00S,2025-04-12T01:15:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,92.19776609724047,50.0,1610612751,0,7,2025-04-12T01:15:57Z,320000,False,0.0,21.0,1,right,T. Watford driving finger roll Layup (4 PTS),[1630570],1610612751.0,BKN,driving finger roll,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,,,,,4.0,,,,,,
33,PT09M05.00S,2025-04-12T01:16:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,9.149145860709593,43.872549019607845,1610612750,2,7,2025-04-12T01:16:20Z,330000,False,31.0,34.0,1,left,M. Conley turnaround bank Jump Shot (2 PTS),[201144],1610612750.0,MIN,turnaround bank,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,4.54,Made,,,,,,,,,,,,2.0,,,,,,
34,PT08M58.00S,2025-04-12T01:16:23.2Z,1,REGULAR,foul,personal,[],201144,,,1610612751,2,7,2025-04-12T01:16:31Z,340000,False,,,0,,M. Conley personal FOUL (1 PF),"[201144, 1630592]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Left Center,,,,,,1628159.0,1.0,0.0,Wilson,1630592.0,,,,,,,,,,
36,PT08M43.00S,2025-04-12T01:16:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,92.59198423127464,53.67647058823529,1610612751,2,9,2025-04-12T01:16:59Z,360000,False,18.0,17.0,1,right,T. Watford driving finger roll Layup (6 PTS),[1630570],1610612751.0,BKN,driving finger roll,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,2.51,Made,,,,,,,,,,,,6.0,,,,,,
37,PT08M24.00S,2025-04-12T01:17:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,9.411957950065702,46.81372549019608,1610612750,2,9,2025-04-12T01:18:55Z,370000,False,16.0,36.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
38,PT08M22.00S,2025-04-12T01:17:13.6Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,2,9,2025-04-12T01:17:16Z,380000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,37.0,,,,,,1.0,1.0,0.0,,,,,,,
39,PT08M19.00S,2025-04-12T01:17:16.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630592,75.1149802890933,15.441176470588236,1610612751,2,9,2025-04-12T01:19:13Z,390000,False,-173.0,181.0,1,right,MISS J. Wilson 25' running 3PT,[1630592],1610612751.0,BKN,running,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,,
40,PT08M15.00S,2025-04-12T01:17:20.7Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,2,9,2025-04-12T01:17:34Z,400000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,39.0,,,,,,1.0,1.0,0.0,,,,,,,
41,PT08M12.00S,2025-04-12T01:17:22.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,6.1268068331143235,54.166666666666664,1610612750,4,9,2025-04-12T01:20:50Z,410000,False,-21.0,5.0,1,left,A. Edwards running Layup (2 PTS) (M. Conley 1 AST),"[1630162, 201144]",1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,,,,,,,,2.0,M. Conley,201144.0,1.0,,,
43,PT07M57.00S,2025-04-12T01:17:37.6Z,1,REGULAR,turnover,lost ball,[],1630570,,,1610612751,4,9,2025-04-12T01:17:43Z,430000,False,,,0,,T. Watford lost ball TURNOVER (1 TO),"[1630570, 1630162]",1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Edwards,1630162.0
44,PT07M57.00S,2025-04-12T01:17:37.6Z,1,REGULAR,steal,,[],1630162,,,1610612750,4,9,2025-04-12T01:17:39Z,440000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
45,PT07M54.00S,2025-04-12T01:17:40.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,6.521024967148489,50.245098039215684,1610612750,6,9,2025-04-12T01:17:49Z,450000,False,-1.0,9.0,1,left,A. Edwards running DUNK (4 PTS),[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.89,Made,,,,,,,,,,,,4.0,,,,,,
46,PT07M38.00S,2025-04-12T01:17:56.8Z,1,REGULAR,3pt,Jump Shot,[],1630592,81.15965834428384,7.598039215686274,1610612751,6,9,2025-04-12T01:18:02Z,460000,False,-212.0,125.0,1,right,MISS J. Wilson 24' 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,24.59,Missed,,,,,,,,,,,,,,,,,,
47,PT07M36.00S,2025-04-12T01:17:59.7Z,1,REGULAR,rebound,offensive,[],1630553,,,1610612751,6,9,2025-04-12T01:17:59Z,470000,False,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,46.0,,,,,,2.0,1.0,1.0,,,,,,,
48,PT07M24.00S,2025-04-12T01:18:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630570,92.85479632063075,44.6078431372549,1610612751,6,9,2025-04-12T01:18:15Z,480000,False,-27.0,15.0,1,right,MISS T. Watford driving Layup,[1630570],1610612751.0,BKN,driving,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
49,PT07M22.00S,2025-04-12T01:18:12.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,6,9,2025-04-12T01:18:15Z,490000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,48.0,,,,,,1.0,1.0,0.0,,,,,,,
50,PT07M16.00S,2025-04-12T01:18:19.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,6.652431011826544,49.26470588235294,1610612750,8,9,2025-04-12T01:18:28Z,500000,False,4.0,10.0,1,left,R. Gobert DUNK (2 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,,,,,,2.0,,,,,,
51,PT06M59.00S,2025-04-12T01:18:35.7Z,1,REGULAR,turnover,lost ball,[],1631166,,,1610612751,8,9,2025-04-12T01:18:39Z,510000,False,,,0,,D. Timme lost ball TURNOVER (1 TO),"[1631166, 203944]",1610612751.0,BKN,,,,Timme,D. Timme,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Randle,203944.0
52,PT06M59.00S,2025-04-12T01:18:35.7Z,1,REGULAR,steal,,[],203944,,,1610612750,8,9,2025-04-12T01:18:37Z,520000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
53,PT06M54.00S,2025-04-12T01:18:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203944,6.521024967148489,54.41176470588235,1610612750,10,9,2025-04-12T01:18:48Z,530000,False,-22.0,9.0,1,left,J. Randle running Layup (2 PTS),[203944],1610612750.0,MIN,running,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.38,Made,,,,,,,,,,,,2.0,,,,,,
54,PT06M53.00S,2025-04-12T01:18:45.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,10,9,2025-04-12T01:18:45Z,540000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M53.00S,2025-04-12T01:20:14.8Z,1,REGULAR,substitution,out,[],201144,,,1610612751,10,9,2025-04-12T01:21:48Z,550000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2025-04-12T01:20:14.8Z,1,REGULAR,substitution,in,[],1628978,,,1610612751,10,9,2025-04-12T01:21:48Z,560000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M40.00S,2025-04-12T01:22:10.7Z,1,REGULAR,3pt,Jump Shot,[],1631166,71.82982917214193,77.69607843137256,1610612751,10,9,2025-04-12T01:22:16Z,570000,False,138.0,212.0,1,right,MISS D. Timme 25' 3PT,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,Above the Break 3,24+ Right Center,25.35,Missed,,,,,,,,,,,,,,,,,,
58,PT06M37.00S,2025-04-12T01:22:13.7Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,10,9,2025-04-12T01:22:16Z,580000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,57.0,,,,,,1.0,1.0,0.0,,,,,,,
59,PT06M29.00S,2025-04-12T01:22:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,6.652431011826544,54.41176470588235,1610612750,12,9,2025-04-12T01:22:26Z,590000,False,-22.0,10.0,1,left,J. Randle Layup (4 PTS) (J. McDaniels 1 AST),"[203944, 1630183]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.43,Made,,,,,,,,,,,,4.0,J. McDaniels,1630183.0,1.0,,,
61,PT06M09.00S,2025-04-12T01:22:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631166,80.76544021024968,46.07843137254902,1610612751,12,11,2025-04-12T01:22:48Z,610000,False,-20.0,128.0,1,right,D. Timme 12' floating Jump Shot (2 PTS) (K. Johnson 1 AST),"[1631166, 1630553]",1610612751.0,BKN,floating,,,Timme,D. Timme,,,,,In The Paint (Non-RA),8-16 Center,12.98,Made,,,,,,,,,,,,2.0,K. Johnson,1630553.0,1.0,,,
63,PT05M52.00S,2025-04-12T01:22:59.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,5.732588699080158,50.73529411764706,1610612750,14,11,2025-04-12T01:23:07Z,630000,False,-4.0,1.0,1,left,R. Gobert alley-oop DUNK (4 PTS) (D. DiVincenzo 1 AST),"[203497, 1628978]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.4,Made,,,,,,,,,,,,4.0,D. DiVincenzo,1628978.0,1.0,,,
65,PT05M35.00S,2025-04-12T01:23:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630592,92.59198423127464,54.65686274509803,1610612751,14,11,2025-04-12T01:25:05Z,650000,False,23.0,17.0,1,right,MISS J. Wilson driving reverse Layup,[1630592],1610612751.0,BKN,driving reverse,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,,,,,,,,,,
67,PT05M32.00S,2025-04-12T01:23:19.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,14,11,2025-04-12T01:23:20Z,670000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,65.0,,,,,,1.0,1.0,0.0,,,,,,,
68,PT05M28.00S,2025-04-12T01:23:23.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,31.750985545335087,59.068627450980394,1610612750,14,11,2025-04-12T02:22:33Z,680000,False,-45.0,246.0,1,left,MISS A. Edwards 25' running 3PT,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.01,Missed,,,,,,,,,,,,,,,,,,
69,PT05M24.00S,2025-04-12T01:23:27.0Z,1,REGULAR,rebound,defensive,[],1631166,,,1610612751,14,11,2025-04-12T01:23:29Z,690000,False,,,0,,D. Timme REBOUND (Off:0 Def:1),[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,Above the Break 3,24+ Center,,,,,68.0,,,,,,1.0,1.0,0.0,,,,,,,
70,PT05M11.00S,2025-04-12T01:23:40.4Z,1,REGULAR,3pt,Jump Shot,[],1631166,78.26872536136662,88.48039215686273,1610612751,14,11,2025-04-12T01:24:55Z,700000,False,192.0,152.0,1,right,MISS D. Timme 24' 3PT,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,Above the Break 3,24+ Right Center,24.51,Missed,,,,,,,,,,,,,,,,,,
71,PT05M09.00S,2025-04-12T01:23:42.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,14,11,2025-04-12T01:24:55Z,710000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,70.0,,,,,,2.0,2.0,0.0,,,,,,,
72,PT04M54.00S,2025-04-12T01:23:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,8.09789750328515,46.568627450980394,1610612750,14,11,2025-04-12T01:24:08Z,720000,False,17.0,24.0,1,left,MISS J. McDaniels pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.92,Missed,,,,,,,,,,,,,,,,,,
73,PT04M54.00S,2025-04-12T01:23:56.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,14,11,2025-04-12T01:24:08Z,730000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,72.0,,,,,,,,,,,,,,,
74,PT04M54.00S,2025-04-12T01:24:03.4Z,1,REGULAR,foul,personal,[],1630592,,,1610612750,14,11,2025-04-12T01:24:21Z,740000,False,,,0,,J. Wilson loose ball personal FOUL (1 PF),"[1630592, 203497]",1610612751.0,BKN,loose ball,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,,1628159.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,
76,PT04M54.00S,2025-04-12T01:24:09.9Z,1,REGULAR,substitution,out,[],203944,,,1610612750,14,11,2025-04-12T01:24:24Z,760000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M54.00S,2025-04-12T01:24:09.9Z,1,REGULAR,substitution,out,[],1630592,,,1610612750,14,11,2025-04-12T01:24:24Z,770000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M54.00S,2025-04-12T01:24:09.9Z,1,REGULAR,substitution,out,[],1630553,,,1610612750,14,11,2025-04-12T01:24:24Z,780000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M54.00S,2025-04-12T01:24:09.9Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,14,11,2025-04-12T01:24:24Z,790000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M54.00S,2025-04-12T01:24:09.9Z,1,REGULAR,substitution,in,[],1641727,,,1610612750,14,11,2025-04-12T01:24:24Z,800000,False,,,0,,SUB in: D. Whitehead,[1641727],1610612751.0,BKN,,,,Whitehead,D. Whitehead,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M54.00S,2025-04-12T01:24:09.9Z,1,REGULAR,substitution,in,[],1630623,,,1610612750,14,11,2025-04-12T01:24:24Z,810000,False,,,0,,SUB in: T. Etienne,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M42.00S,2025-04-12T01:24:36.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630183,5.650459921156373,2.7190563725490198,1610612750,14,11,2025-04-12T01:24:45Z,820000,False,236.0,1.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.64,Missed,,,,,,,,,,,,,,,,,,
83,PT04M39.00S,2025-04-12T01:24:39.7Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,14,11,2025-04-12T01:56:45Z,830000,False,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,,,,,82.0,,,,,,1.0,0.0,1.0,,,,,,,
