actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
622,PT02M09.00S,2025-03-05T03:18:17.7Z,4,REGULAR,freethrow,2 of 2,[],1630288,,,1610612755,122,103,2025-03-05T03:18:17Z,6120000,False,,,0,,J. Dowtin Jr. Free Throw 2 of 2 (4 PTS),[1630288],1610612755.0,PHI,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,,Made,,,,,4.0,,,,,,,,,,,,,,
623,PT01M52.00S,2025-03-05T03:18:39.5Z,4,REGULAR,foul,personal,[],1630288,,,1610612750,122,103,2025-03-05T03:18:45Z,6130000,False,,,0,,J. Dowtin Jr. personal FOUL (1 PF),"[1630288, 1642399]",1610612755.0,PHI,,In The Paint (Non-RA),8-16 Right,1629178.0,1.0,0.0,Dowtin Jr.,J. Dowtin Jr.,Edwards,1642399.0,,,,,,,,,,,,,,,,,,,,,
625,PT01M40.00S,2025-03-05T03:19:07.8Z,4,REGULAR,2pt,Jump Shot,[],1642265,74.72076215505913,44.36274509803921,1610612750,122,103,2025-03-05T03:19:18Z,6150000,False,-28.0,185.0,1,right,MISS R. Dillingham 18' turnaround Shot,[1642265],1610612750.0,MIN,turnaround,Mid-Range,16-24 Center,,,,Dillingham,R. Dillingham,,,18.72,Missed,,,,,,,,,,,,,,,,,,,
626,PT01M36.00S,2025-03-05T03:19:11.8Z,4,REGULAR,rebound,defensive,[],1630288,,,1610612755,122,103,2025-03-05T03:19:13Z,6160000,False,,,0,,J. Dowtin Jr. REBOUND (Off:2 Def:1),[1630288],1610612755.0,PHI,,Mid-Range,16-24 Center,,,,Dowtin Jr.,J. Dowtin Jr.,,,,,625.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
627,PT01M30.00S,2025-03-05T03:19:20.5Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630568,,,1610612755,122,103,2025-03-05T03:19:30Z,6170000,False,,,0,,L. Garza shooting personal FOUL (1 PF) (Dowtin Jr. 2 FT),"[1630568, 1630288]",1610612750.0,MIN,shooting,Mid-Range,8-16 Left,1628159.0,1.0,0.0,Garza,L. Garza,Dowtin Jr.,1630288.0,,,,,,,,,,,,,,,,,,,,,
629,PT01M30.00S,2025-03-05T03:19:46.3Z,4,REGULAR,freethrow,1 of 2,[],1630288,,,1610612755,122,103,2025-03-05T03:19:46Z,6190000,False,,,0,,MISS J. Dowtin Jr. Free Throw 1 of 2,[1630288],1610612755.0,PHI,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,,Missed,,,,,,,,,,,,,,,,,,,
630,PT01M30.00S,2025-03-05T03:19:46.3Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,122,103,2025-03-05T03:19:46Z,6200000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,629.0,,,,,,,,,,,,,,,,,,
631,PT01M30.00S,2025-03-05T03:20:03.9Z,4,REGULAR,freethrow,2 of 2,[],1630288,,,1610612755,122,104,2025-03-05T03:20:03Z,6210000,False,,,0,,J. Dowtin Jr. Free Throw 2 of 2 (5 PTS),[1630288],1610612755.0,PHI,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,,Made,,,,,5.0,,,,,,,,,,,,,,
632,PT01M15.00S,2025-03-05T03:20:21.0Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631159,90.75229960578186,50.73529411764706,1610612750,124,104,2025-03-05T03:20:26Z,6220000,False,4.0,34.0,1,right,L. Miller driving finger roll Layup (2 PTS),[1631159],1610612750.0,MIN,driving finger roll,Restricted Area,0-8 Center,,,,Miller,L. Miller,,,3.46,Made,,,,,2.0,,,,,,,,,,,,,,
633,PT01M01.00S,2025-03-05T03:20:37.2Z,4,REGULAR,3pt,Jump Shot,[],1642024,19.267411300919843,91.42156862745098,1610612755,124,107,2025-03-05T03:20:42Z,6230000,False,-207.0,129.0,1,left,A. Reese 24' 3PT  (3 PTS) (R. Council IV 1 AST),"[1642024, 1641741]",1610612755.0,PHI,,Above the Break 3,24+ Left Center,,,,Reese,A. Reese,,,24.38,Made,,,,,3.0,R. Council IV,1641741.0,1.0,,,,,,,,,,,
635,PT00M47.90S,2025-03-05T03:20:54.3Z,4,REGULAR,turnover,bad pass,[],1630568,,,1610612750,124,107,2025-03-05T03:20:58Z,6250000,False,,,0,,L. Garza bad pass TURNOVER (1 TO),"[1630568, 1641737]",1610612750.0,MIN,,In The Paint (Non-RA),8-16 Center,,,,Garza,L. Garza,,,,,,,,,,,,,1.0,Bona,1641737.0,,,,,,,,
636,PT00M47.90S,2025-03-05T03:20:54.3Z,4,REGULAR,steal,,[],1641737,,,1610612755,124,107,2025-03-05T03:20:55Z,6260000,False,,,0,,A. Bona STEAL (1 STL),[1641737],1610612755.0,PHI,,In The Paint (Non-RA),8-16 Center,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,
638,PT00M43.90S,2025-03-05T03:20:58.4Z,4,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630215,12.040078843626807,64.2156862745098,1610612755,124,109,2025-03-05T03:21:14Z,6280000,False,-71.0,61.0,1,left,J. Butler 9' floating Jump Shot (11 PTS) (A. Bona 1 AST),"[1630215, 1641737]",1610612755.0,PHI,floating,In The Paint (Non-RA),8-16 Left,,,,Butler,J. Butler,,,9.35,Made,,,,,11.0,A. Bona,1641737.0,1.0,,,,,,,,,,,
640,PT00M35.30S,2025-03-05T03:21:09.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1642265,92.59198423127464,50.98039215686274,1610612750,126,109,2025-03-05T03:21:59Z,6300000,False,5.0,17.0,1,right,R. Dillingham driving finger roll Layup (4 PTS),[1642265],1610612750.0,MIN,driving finger roll,Restricted Area,0-8 Center,,,,Dillingham,R. Dillingham,,,1.78,Made,,,,,4.0,,,,,,,,,,,,,,
641,PT00M23.60S,2025-03-05T03:21:23.9Z,4,REGULAR,3pt,Jump Shot,[],1641741,20.05584756898817,91.17647058823529,1610612755,126,112,2025-03-05T03:21:30Z,6310000,False,-206.0,136.0,1,left,R. Council IV 24' 3PT  (3 PTS) (J. Dowtin Jr. 2 AST),"[1641741, 1630288]",1610612755.0,PHI,,Above the Break 3,24+ Left Center,,,,Council IV,R. Council IV,,,24.68,Made,,,,,3.0,J. Dowtin Jr.,1630288.0,2.0,,,,,,,,,,,
643,PT00M00.00S,2025-03-05T03:21:52.7Z,4,REGULAR,period,end,[],0,,,1610612750,126,112,2025-03-05T03:21:52Z,6330000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,PT00M00.00S,2025-03-05T03:21:54.5Z,4,REGULAR,game,end,[],0,,,0,126,112,2025-03-05T03:21:54Z,6340000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
