actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
17,PT11M08.00S,2025-03-15T00:12:31.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,1,0,2025-03-15T00:12:37Z,170000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M59.00S,2025-03-15T00:12:40.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,28.86005256241787,25.0,1610612750,1,0,2025-03-15T00:12:45Z,180000,False,125.0,219.0,1,left,MISS A. Edwards 25' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,25.2,Missed,,,,,,,,,,,,,
19,PT10M55.00S,2025-03-15T00:12:44.0Z,1,REGULAR,rebound,defensive,[],202709,,,1610612753,1,0,2025-03-15T00:12:45Z,190000,False,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612753.0,ORL,,,,Joseph,C. Joseph,,,,,Above the Break 3,24+ Right Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M44.00S,2025-03-15T00:12:54.1Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,1,0,2025-03-15T00:12:59Z,200000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1630183]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,McDaniels,1630183.0,,,,,
21,PT10M44.00S,2025-03-15T00:12:54.1Z,1,REGULAR,steal,,[],1630183,,,1610612750,1,0,2025-03-15T00:12:57Z,210000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M32.00S,2025-03-15T00:13:05.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630183,8.623521681997373,24.264705882352942,1610612750,1,0,2025-03-15T00:15:11Z,220000,False,129.0,29.0,1,left,MISS J. McDaniels 13' turnaround fadeaway Shot,[1630183],1610612750.0,MIN,turnaround fadeaway,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,,,,,,13.18,Missed,,,,,,,,,,,,,
23,PT10M31.00S,2025-03-15T00:13:06.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,1,0,2025-03-15T00:15:11Z,230000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,22.0,,,,,,,,,,,,
25,PT10M15.00S,2025-03-15T00:13:33.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,90.3580814717477,61.51960784313726,1610612753,1,0,2025-03-15T00:14:30Z,250000,False,58.0,38.0,1,right,MISS F. Wagner 6' driving Hook,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.91,Missed,,,,,,,,,,,,,
26,PT10M13.00S,2025-03-15T00:13:35.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,1,0,2025-03-15T00:14:22Z,260000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,
27,PT10M09.00S,2025-03-15T00:13:39.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203944,13.354139290407357,49.26470588235294,1610612750,3,0,2025-03-15T00:15:35Z,270000,False,4.0,73.0,1,left,J. Randle 7' driving floating Jump Shot (2 PTS),[203944],1610612750.0,MIN,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.31,Made,,,,,2.0,,,,,,,,
28,PT10M09.00S,2025-03-15T00:13:42.9Z,1,REGULAR,foul,personal,['1freethrow'],1628976,,,1610612750,3,0,2025-03-15T00:13:53Z,280000,False,,,0,,W. Carter Jr. shooting personal FOUL (2 PF) (Randle 1 FT),"[1628976, 203944]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,1204.0,2.0,0.0,Randle,203944.0,,,,,,,,,,,,,,,
30,PT10M09.00S,2025-03-15T00:13:54.2Z,1,REGULAR,substitution,out,[],1628976,,,1610612750,3,0,2025-03-15T00:14:00Z,300000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M09.00S,2025-03-15T00:13:54.2Z,1,REGULAR,substitution,in,[],1629048,,,1610612750,3,0,2025-03-15T00:14:00Z,310000,False,,,0,,SUB in: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT10M09.00S,2025-03-15T00:14:16.2Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203944,,,1610612750,4,0,2025-03-15T00:14:16Z,320000,False,,,0,,J. Randle Free Throw 1 of 1 (3 PTS),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
33,PT09M56.00S,2025-03-15T00:14:31.7Z,1,REGULAR,2pt,Jump Shot,[],1631094,75.90341655716163,37.254901960784316,1610612753,4,0,2025-03-15T00:14:42Z,330000,False,-64.0,174.0,1,right,MISS P. Banchero 18' Jump Shot,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,,,,,,18.53,Missed,,,,,,,,,,,,,
34,PT09M53.00S,2025-03-15T00:14:34.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,4,0,2025-03-15T00:14:42Z,340000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT09M45.00S,2025-03-15T00:14:42.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,14.011169513797633,45.09803921568628,1610612750,6,0,2025-03-15T00:16:16Z,350000,False,25.0,79.0,1,left,J. Randle 8' turnaround fadeaway Jump Shot (5 PTS),[203944],1610612750.0,MIN,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.29,Made,,,,,5.0,,,,,,,,
36,PT09M32.00S,2025-03-15T00:14:57.4Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612753,6,0,2025-03-15T00:15:06Z,360000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Wagner 2 FT),"[203497, 1630532]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,1204.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,,,,,,
39,PT09M32.00S,2025-03-15T00:15:31.8Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,6,1,2025-03-15T00:15:31Z,380000,False,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,
40,PT09M32.00S,2025-03-15T00:15:47.3Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,6,2,2025-03-15T00:15:47Z,390000,False,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,
41,PT09M19.00S,2025-03-15T00:16:01.4Z,1,REGULAR,3pt,Jump Shot,[],201144,31.750985545335087,62.254901960784316,1610612750,9,2,2025-03-15T00:16:06Z,400000,False,-61.0,246.0,1,left,M. Conley 25' 3PT  (3 PTS) (J. Randle 1 AST),"[201144, 203944]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,,,,25.35,Made,,,,,3.0,,,,J. Randle,203944.0,1.0,,
43,PT08M54.00S,2025-03-15T00:16:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202709,83.26215505913272,53.18627450980392,1610612753,9,4,2025-03-15T00:17:06Z,420000,False,16.0,105.0,1,right,C. Joseph 10' driving floating Jump Shot (2 PTS),[202709],1610612753.0,ORL,driving floating,,,Joseph,C. Joseph,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.6,Made,,,,,2.0,,,,,,,,
44,PT08M43.00S,2025-03-15T00:16:36.8Z,1,REGULAR,3pt,Jump Shot,[],203944,8.492115637319317,5.147058823529411,1610612750,9,4,2025-03-15T00:16:41Z,430000,False,224.0,27.0,1,left,MISS J. Randle 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,,,,22.6,Missed,,,,,,,,,,,,,
45,PT08M40.00S,2025-03-15T00:16:39.8Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,9,4,2025-03-15T00:16:41Z,440000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Right Corner 3,24+ Right,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,
46,PT08M29.00S,2025-03-15T00:16:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641783,89.70105124835742,52.20588235294118,1610612753,9,6,2025-03-15T00:16:59Z,450000,False,11.0,44.0,1,right,T. da Silva driving finger roll Layup (2 PTS) (G. Bitadze 1 AST),"[1641783, 1629048]",1610612753.0,ORL,driving finger roll,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.56,Made,,,,,2.0,,,,G. Bitadze,1629048.0,1.0,,
48,PT08M05.00S,2025-03-15T00:17:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,12.434296977660972,4.411764705882353,1610612750,9,6,2025-03-15T00:17:18Z,470000,False,228.0,64.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,,,23.68,Missed,,,,,,,,,,,,,
49,PT08M03.00S,2025-03-15T00:17:16.2Z,1,REGULAR,rebound,defensive,[],1641783,,,1610612753,9,6,2025-03-15T00:17:18Z,480000,False,,,0,,T. da Silva REBOUND (Off:0 Def:1),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,
50,PT07M52.00S,2025-03-15T00:17:30.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,85.62746386333771,56.127450980392155,1610612753,9,8,2025-03-15T00:17:38Z,490000,False,31.0,83.0,1,right,P. Banchero 8' fadeaway Jump Shot (2 PTS),[1631094],1610612753.0,ORL,fadeaway,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.81,Made,,,,,2.0,,,,,,,,
52,PT07M52.00S,2025-03-15T00:17:35.8Z,1,REGULAR,foul,personal,['1freethrow'],1630162,,,1610612753,9,8,2025-03-15T00:17:48Z,510000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Banchero 1 FT),"[1630162, 1631094]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,2530.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,,,,,,,
54,PT07M52.00S,2025-03-15T00:17:58.5Z,1,REGULAR,freethrow,1 of 1,[],1631094,,,1610612753,9,9,2025-03-15T00:17:58Z,530000,False,,,0,,P. Banchero Free Throw 1 of 1 (3 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
55,PT07M28.00S,2025-03-15T00:18:27.0Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,9,9,2025-03-15T00:18:32Z,540000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1630532]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Wagner,1630532.0,,,,,
56,PT07M28.00S,2025-03-15T00:18:27.0Z,1,REGULAR,steal,,[],1630532,,,1610612753,9,9,2025-03-15T00:18:29Z,550000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
60,PT07M23.00S,2025-03-15T00:18:39.1Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,9,9,2025-03-15T00:21:58Z,560000,False,,,0,,F. Wagner lost ball out-of-bounds TURNOVER (2 TO),[1630532],1610612753.0,ORL,lost ball,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,2530.0,,,,,,,,,,,,2.0,,,,,,,
58,PT07M23.00S,2025-03-15T00:18:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,9,9,2025-03-15T00:21:58Z,570000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M08.00S,2025-03-15T00:22:09.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203944,8.229303547963205,59.80392156862745,1610612750,9,9,2025-03-15T00:23:13Z,590000,False,-49.0,25.0,1,left,MISS J. Randle Hook - blocked,"[203944, 1629048]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.5,Missed,,,,,,,,,,,,Bitadze,1629048.0
62,PT07M08.00S,2025-03-15T00:22:09.9Z,1,REGULAR,block,,[],1629048,,,1610612750,9,9,2025-03-15T00:22:13Z,600000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M06.00S,2025-03-15T00:22:11.9Z,1,REGULAR,rebound,defensive,[],202709,,,1610612753,9,9,2025-03-15T00:22:40Z,610000,False,,,0,,C. Joseph REBOUND (Off:0 Def:2),[202709],1610612753.0,ORL,,,,Joseph,C. Joseph,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,
64,PT06M57.00S,2025-03-15T00:22:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641783,91.67214191852825,54.41176470588235,1610612753,9,9,2025-03-15T00:23:34Z,620000,False,22.0,26.0,1,right,MISS T. da Silva driving reverse Layup,[1641783],1610612753.0,ORL,driving reverse,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,,,,,,3.4,Missed,,,,,,,,,,,,,
66,PT06M56.00S,2025-03-15T00:22:17.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,9,9,2025-03-15T00:22:31Z,640000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,64.0,,,,,,,,,,,,
68,PT06M56.00S,2025-03-15T00:22:44.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,9,9,2025-03-15T00:22:47Z,660000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M56.00S,2025-03-15T00:22:44.6Z,1,REGULAR,substitution,in,[],203914,,,1610612753,9,9,2025-03-15T00:22:47Z,670000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M47.00S,2025-03-15T00:23:02.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202709,87.72996057818659,51.9607843137255,1610612753,9,9,2025-03-15T00:24:08Z,680000,False,10.0,63.0,1,right,MISS C. Joseph 6' pullup Shot,[202709],1610612753.0,ORL,pullup,,,Joseph,C. Joseph,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.36,Missed,,,,,,,,,,,,,
71,PT06M44.00S,2025-03-15T00:23:05.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,9,9,2025-03-15T00:23:10Z,690000,False,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,
72,PT06M37.00S,2025-03-15T00:23:14.5Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612750,9,9,2025-03-15T00:23:21Z,700000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Edwards 2 FT),"[1629048, 1630162]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,2530.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,,,,
74,PT06M37.00S,2025-03-15T00:23:36.8Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,10,9,2025-03-15T00:23:36Z,720000,False,,,0,,A. Edwards Free Throw 1 of 2 (2 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,
75,PT06M37.00S,2025-03-15T00:23:52.0Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,11,9,2025-03-15T00:23:52Z,730000,False,,,0,,A. Edwards Free Throw 2 of 2 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
76,PT06M22.00S,2025-03-15T00:24:11.2Z,1,REGULAR,3pt,Jump Shot,[],1631094,66.96780551905388,42.8921568627451,1610612753,11,12,2025-03-15T00:24:16Z,740000,False,-36.0,258.0,1,right,P. Banchero 26' 3PT step back (6 PTS),[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,,26.04,Made,,,,,6.0,,,,,,,,
77,PT06M03.00S,2025-03-15T00:24:30.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,5.338370565045992,52.69607843137255,1610612750,13,12,2025-03-15T00:24:35Z,750000,False,-13.0,-2.0,1,left,R. Gobert alley-oop DUNK (2 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,1.37,Made,,,,,2.0,,,,A. Edwards,1630162.0,1.0,,
79,PT05M52.00S,2025-03-15T00:24:40.5Z,1,REGULAR,2pt,Jump Shot,[],1631094,87.33574244415243,89.95098039215686,1610612753,13,12,2025-03-15T00:25:12Z,770000,False,200.0,67.0,1,right,MISS P. Banchero 21' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right,,,,,,21.06,Missed,,,,,,,,,,,,,
80,PT05M49.00S,2025-03-15T00:24:43.5Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,13,12,2025-03-15T00:24:45Z,780000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,
81,PT05M38.00S,2025-03-15T00:24:56.5Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612750,13,12,2025-03-15T00:25:03Z,790000,False,,,0,,G. Bitadze shooting personal FOUL (2 PF) (Edwards 2 FT),"[1629048, 1630162]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,2530.0,2.0,0.0,Edwards,1630162.0,,,,,,,,,,,,,,,
83,PT05M38.00S,2025-03-15T00:25:33.3Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,14,12,2025-03-15T00:25:33Z,810000,False,,,0,,A. Edwards Free Throw 1 of 2 (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,,,,,4.0,,,,,,,,
84,PT05M38.00S,2025-03-15T00:25:34.5Z,1,REGULAR,substitution,out,[],201144,,,1610612750,14,12,2025-03-15T00:25:39Z,820000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M38.00S,2025-03-15T00:25:34.5Z,1,REGULAR,substitution,out,[],203944,,,1610612750,14,12,2025-03-15T00:25:39Z,830000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M38.00S,2025-03-15T00:25:34.5Z,1,REGULAR,substitution,out,[],202709,,,1610612750,14,12,2025-03-15T00:25:39Z,840000,False,,,0,,SUB out: C. Joseph,[202709],1610612753.0,ORL,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M38.00S,2025-03-15T00:25:34.5Z,1,REGULAR,substitution,in,[],1628978,,,1610612750,14,12,2025-03-15T00:25:39Z,850000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M38.00S,2025-03-15T00:25:34.5Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,14,12,2025-03-15T00:25:39Z,860000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M38.00S,2025-03-15T00:25:34.5Z,1,REGULAR,substitution,in,[],1641710,,,1610612750,14,12,2025-03-15T00:25:39Z,870000,False,,,0,,SUB in: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
