actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
405,PT07M27.00S,2025-10-30T00:09:21.6Z,3,REGULAR,turnover,8-second-violation,['team'],0,,,1610612745,70,86,2025-10-30T00:09:41Z,4040000,False,,,0,,HOU 8-second-violation Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
406,PT07M20.00S,2025-10-30T00:09:47.5Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,80.3712220762155,43.13725490196079,1610612761,72,86,2025-10-30T00:09:52Z,4050000,False,-34.0,132.0,1,right,B. Ingram 13' pullup Jump Shot (20 PTS) (I. Quickley 4 AST),"[1627742, 1630193]",1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,13.64,Made,,,,,,,,,,20.0,I. Quickley,1630193.0,4.0,,,,,
408,PT07M04.00S,2025-10-30T00:10:02.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,5.469776609724048,53.67647058823529,1610612745,72,86,2025-10-30T00:10:07Z,4070000,False,-18.0,-1.0,1,left,MISS A. Thompson driving finger roll Layup,[1641708],1610612745.0,HOU,driving finger roll,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
409,PT07M02.00S,2025-10-30T00:10:04.5Z,3,REGULAR,rebound,defensive,[],1642266,,,1610612761,72,86,2025-10-30T00:10:07Z,4080000,False,,,0,,J. Walter REBOUND (Off:0 Def:1),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,408.0,1.0,1.0,0.0,,,,,,,,,,,,,,
410,PT07M00.00S,2025-10-30T00:10:08.6Z,3,REGULAR,foul,personal,['2freethrow'],1629006,,,1610612761,72,86,2025-10-30T00:10:25Z,4090000,False,,,0,,J. Okogie shooting personal FOUL (2 PF) (Walter 2 FT),"[1629006, 1642266]",1610612745.0,HOU,shooting,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,,,,,202007.0,2.0,0.0,Walter,1642266.0,,,,,,,,,
412,PT07M00.00S,2025-10-30T00:10:34.0Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1642266,,,1610612761,73,86,2025-10-30T00:10:34Z,4110000,False,,,0,,J. Walter Free Throw 1 of 2 (1 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
413,PT07M00.00S,2025-10-30T00:10:48.3Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1642266,,,1610612761,74,86,2025-10-30T00:10:48Z,4120000,False,,,0,,J. Walter Free Throw 2 of 2 (2 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
414,PT06M56.00S,2025-10-30T00:10:56.9Z,3,REGULAR,foul,personal,[],1630193,,,1610612745,74,86,2025-10-30T00:11:05Z,4130000,False,,,0,,I. Quickley personal FOUL (2 PF),"[1630193, 1629006]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Center,,,,,,,1630887.0,2.0,0.0,Okogie,1629006.0,,,,,,,,,
416,PT06M44.00S,2025-10-30T00:11:26.3Z,3,REGULAR,turnover,bad pass,[],1641708,,,1610612745,74,86,2025-10-30T01:05:02Z,4150000,False,,,0,,A. Thompson bad pass TURNOVER (3 TO),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,1630887.0,,,,,,,,,3.0,,,,
417,PT06M40.00S,2025-10-30T00:11:32.8Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1627742,75.24638633377135,10.53921568627451,1610612761,77,86,2025-10-30T00:11:40Z,4160000,False,-197.0,180.0,1,right,B. Ingram 26' 3PT  (23 PTS) (I. Quickley 5 AST),"[1627742, 1630193]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,26.72,Made,,,,,,,,,,23.0,I. Quickley,1630193.0,5.0,,,,,
