actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT10M42.00S,2026-03-13T23:43:50.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630193,94.03745072273325,55.14705882352941,1610612761,6,0,2026-03-13T23:43:55Z,170000,False,26.0,4.0,1,right,MISS I. Quickley running Layup,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2026-03-13T23:43:52.4Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612756,6,0,2026-03-13T23:43:55Z,180000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M37.00S,2026-03-13T23:43:56.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630224,5.863994743758213,55.14705882352941,1610612756,6,0,2026-03-13T23:44:04Z,190000,False,-26.0,3.0,1,left,MISS J. Green running Layup - blocked,"[1630224, 1629628]",1610612756.0,PHX,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,,Barrett,1629628.0,,,,,,
20,PT10M37.00S,2026-03-13T23:43:56.7Z,1,REGULAR,block,,[],1629628,,,1610612756,6,0,2026-03-13T23:43:59Z,200000,False,,,0,,R. Barrett BLOCK (1 BLK),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2026-03-13T23:43:56.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,6,0,2026-03-13T23:44:04Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,19.0,,,,,,,,,,,
24,PT10M24.00S,2026-03-13T23:44:43.2Z,1,REGULAR,foul,personal,[],1627751,,,1610612756,6,0,2026-03-13T23:44:52Z,240000,False,,,0,,J. Poeltl personal FOUL (1 PF),"[1627751, 1630224]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,204059.0,,,,,,,,,,,1.0,0.0,Green,1630224.0,,
26,PT10M11.00S,2026-03-13T23:45:10.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,32.802233902759525,21.07843137254902,1610612756,6,3,2026-03-13T23:45:17Z,260000,False,145.0,256.0,1,left,J. Green 29' 3PT pullup (3 PTS),[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,29.38,Made,3.0,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2026-03-13T23:45:39.1Z,1,REGULAR,foul,offensive,[],1627751,,,1610612761,6,3,2026-03-13T23:45:55Z,270000,False,,,0,,J. Poeltl off-the-ball offensive FOUL (2 PF),"[1627751, 1631221]",1610612761.0,TOR,off-the-ball,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,1627963.0,,,,,,,,,,,2.0,0.0,Gillespie,1631221.0,,
29,PT09M52.00S,2026-03-13T23:45:39.1Z,1,REGULAR,turnover,offensive foul,[],1627751,,,1610612761,6,3,2026-03-13T23:45:39Z,290000,False,,,0,,J. Poeltl offensive foul TURNOVER (1 TO),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,1627963.0,1.0,,,,,,,,,,,,,,,
30,PT09M43.00S,2026-03-13T23:45:59.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,24.392247043363994,65.93137254901961,1610612756,6,3,2026-03-13T23:46:05Z,300000,False,-80.0,177.0,1,left,MISS D. Booker 19' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,19.39,Missed,,,,,,,,,,,,,,,,,,
31,PT09M40.00S,2026-03-13T23:46:02.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,6,3,2026-03-13T23:46:05Z,310000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Left Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M33.00S,2026-03-13T23:46:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.85479632063075,52.69607843137255,1610612761,8,3,2026-03-13T23:46:14Z,320000,False,13.0,15.0,1,right,J. Poeltl cutting Layup (4 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.0,Made,4.0,,,R. Barrett,1629628.0,1.0,,,,,,,,,,,,
34,PT09M20.00S,2026-03-13T23:46:25.5Z,1,REGULAR,foul,personal,[],1630567,,,1610612756,8,3,2026-03-13T23:46:32Z,340000,False,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 1626164]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,1627963.0,,,,,,,,,,,1.0,0.0,Booker,1626164.0,,
36,PT09M20.00S,2026-03-13T23:46:37.7Z,1,REGULAR,substitution,out,[],1630567,,,1610612756,8,3,2026-03-13T23:46:44Z,360000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M20.00S,2026-03-13T23:46:37.7Z,1,REGULAR,substitution,in,[],1642266,,,1610612756,8,3,2026-03-13T23:46:44Z,370000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M17.00S,2026-03-13T23:46:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,6.521024967148489,53.431372549019606,1610612756,8,3,2026-03-13T23:54:41Z,380000,False,-17.0,9.0,1,left,MISS D. Booker cutting Layup,[1626164],1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
39,PT09M14.00S,2026-03-13T23:46:58.7Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,8,3,2026-03-14T00:06:19Z,390000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,
43,PT09M03.00S,2026-03-13T23:47:10.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.21747700394218,69.36274509803921,1610612761,10,3,2026-03-13T23:47:18Z,430000,False,97.0,162.0,1,right,B. Ingram 18' step back Jump Shot (4 PTS),[1627742],1610612761.0,TOR,step back,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,18.85,Made,4.0,,,,,,,,,,,,,,,,,
44,PT08M47.00S,2026-03-13T23:47:26.3Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612756,10,3,2026-03-13T23:47:31Z,440000,False,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 1642266]",1610612756.0,PHX,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,1.0,,,,,,,,,,,,,,Walter,1642266.0
45,PT08M47.00S,2026-03-13T23:47:26.3Z,1,REGULAR,steal,,[],1642266,,,1610612761,10,3,2026-03-13T23:47:28Z,450000,False,,,0,,J. Walter STEAL (1 STL),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
46,PT08M43.00S,2026-03-13T23:47:30.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627742,75.50919842312747,12.745098039215685,1610612761,10,3,2026-03-13T23:47:38Z,460000,False,-186.0,178.0,1,right,MISS B. Ingram 25' running 3PT,[1627742],1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
47,PT08M39.00S,2026-03-13T23:47:34.5Z,1,REGULAR,rebound,offensive,[],1642266,,,1610612761,10,3,2026-03-13T23:47:38Z,470000,False,,,0,,J. Walter REBOUND (Off:1 Def:0),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,46.0,1.0,0.0,1.0,,,,,,,,
216,PT08M36.00S,2026-03-13T23:47:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642266,91.59001314060447,58.47886029411765,1610612761,10,3,2026-03-14T00:45:56Z,485000,False,42.0,27.0,1,right,MISS J. Walter putback Layup - blocked,"[1642266, 1631221]",1610612761.0,TOR,putback,,,Walter,J. Walter,,,,,In The Paint (Non-RA),0-8 Center,5.01,Missed,,,,,,,,,,,Gillespie,1631221.0,,,,,,
217,PT08M36.00S,2026-03-13T23:47:39.5Z,1,REGULAR,block,,[],1631221,,,1610612761,10,3,2026-03-14T00:19:22Z,492500,False,,,0,,C. Gillespie BLOCK (1 BLK),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
218,PT08M36.00S,2026-03-13T23:47:39.5Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,10,3,2026-03-14T00:20:03Z,496250,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,216.0,1.0,1.0,0.0,,,,,,,,
50,PT08M24.00S,2026-03-13T23:47:48.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,5.995400788436268,2.696078431372549,1610612756,10,6,2026-03-14T00:18:42Z,500000,False,237.0,4.0,1,left,J. Green 3PT  (6 PTS) (R. O'Neale 1 AST),"[1630224, 1626220]",1610612756.0,PHX,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.65,Made,6.0,,,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,
52,PT08M12.00S,2026-03-13T23:48:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630193,70.77858081471747,73.2843137254902,1610612761,10,6,2026-03-13T23:48:06Z,520000,False,116.0,222.0,1,right,MISS I. Quickley 25' pullup 3PT,[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,25.08,Missed,,,,,,,,,,,,,,,,,,
53,PT08M09.00S,2026-03-13T23:48:03.9Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,10,6,2026-03-13T23:48:06Z,530000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Right Center,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,
54,PT07M56.00S,2026-03-13T23:48:17.0Z,1,REGULAR,3pt,Jump Shot,[],1631221,6.652431011826544,3.9215686274509802,1610612756,10,6,2026-03-13T23:48:21Z,540000,False,230.0,10.0,1,left,MISS C. Gillespie 3PT,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Right Corner 3,24+ Right,23.06,Missed,,,,,,,,,,,,,,,,,,
55,PT07M54.00S,2026-03-13T23:48:19.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,10,6,2026-03-13T23:48:21Z,550000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,
56,PT07M47.00S,2026-03-13T23:48:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,87.59855453350855,40.68627450980392,1610612761,10,6,2026-03-14T00:46:53Z,560000,False,-47.0,64.0,1,right,MISS R. Barrett 7' driving floating Shot,[1629628],1610612761.0,TOR,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,,,,,,,,,,
57,PT07M44.00S,2026-03-13T23:48:29.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,10,6,2026-03-13T23:48:32Z,570000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,
58,PT07M35.00S,2026-03-13T23:48:38.1Z,1,REGULAR,3pt,Jump Shot,[],1630224,5.863994743758213,2.450980392156863,1610612756,10,9,2026-03-13T23:48:43Z,580000,False,238.0,3.0,1,left,J. Green 3PT  (9 PTS) (R. O'Neale 2 AST),"[1630224, 1626220]",1610612756.0,PHX,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.77,Made,9.0,,,R. O'Neale,1626220.0,2.0,,,,,,,,,,,,
60,PT07M34.00S,2026-03-13T23:48:42.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,10,9,2026-03-13T23:48:42Z,600000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M34.00S,2026-03-13T23:48:43.5Z,1,REGULAR,substitution,out,[],1631221,,,1610612761,10,9,2026-03-13T23:51:10Z,610000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M34.00S,2026-03-13T23:48:43.5Z,1,REGULAR,substitution,in,[],1628960,,,1610612761,10,9,2026-03-13T23:51:10Z,620000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M14.00S,2026-03-13T23:51:55.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,92.32917214191852,24.019607843137255,1610612761,10,9,2026-03-13T23:52:02Z,630000,False,-130.0,20.0,1,right,MISS B. Ingram 13' fadeaway Shot,[1627742],1610612761.0,TOR,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,13.14,Missed,,,,,,,,,,,,,,,,,,
64,PT07M11.00S,2026-03-13T23:51:58.2Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,10,9,2026-03-13T23:52:02Z,640000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,
65,PT07M03.00S,2026-03-13T23:52:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,15.325229960578188,48.529411764705884,1610612756,10,11,2026-03-13T23:52:12Z,650000,False,7.0,92.0,1,left,D. Booker 9' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,9.19,Made,2.0,,,,,,,,,,,,,,,,,
66,PT06M40.00S,2026-03-13T23:52:29.2Z,1,REGULAR,2pt,Jump Shot,[],1627751,92.85479632063075,23.52941176470588,1610612761,10,11,2026-03-14T00:47:18Z,660000,False,-132.0,15.0,1,right,MISS J. Poeltl 13' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,13.32,Missed,,,,,,,,,,,,,,,,,,
67,PT06M37.00S,2026-03-13T23:52:32.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612756,10,11,2026-03-13T23:52:34Z,670000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,
68,PT06M19.00S,2026-03-13T23:52:49.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,9.017739816031538,4.901960784313726,1610612756,10,11,2026-03-13T23:52:54Z,680000,False,225.0,32.0,1,left,MISS R. O'Neale 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Right Corner 3,24+ Right,22.78,Missed,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2026-03-13T23:52:52.7Z,1,REGULAR,rebound,defensive,[],1642266,,,1610612761,10,11,2026-03-13T23:52:54Z,690000,False,,,0,,J. Walter REBOUND (Off:1 Def:1),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Right Corner 3,24+ Right,,,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,
70,PT06M12.00S,2026-03-13T23:52:59.1Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612761,10,11,2026-03-13T23:55:36Z,700000,False,,,0,,G. Allen flagrant-type-1 personal FOUL (1 PF) (Barrett 2 FT),"[1628960, 1629628]",1610612756.0,PHX,flagrant-type-1,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,204059.0,,,,,,,,,,,1.0,0.0,Barrett,1629628.0,,
73,PT06M12.00S,2026-03-13T23:54:53.1Z,1,REGULAR,substitution,out,[],1642266,,,1610612761,10,11,2026-03-13T23:55:23Z,730000,False,,,0,,SUB out: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2026-03-13T23:54:53.1Z,1,REGULAR,substitution,out,[],1642345,,,1610612761,10,11,2026-03-13T23:55:23Z,740000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M12.00S,2026-03-13T23:54:53.1Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,10,11,2026-03-13T23:55:23Z,750000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M12.00S,2026-03-13T23:54:53.1Z,1,REGULAR,substitution,in,[],1642863,,,1610612761,10,11,2026-03-13T23:55:23Z,760000,False,,,0,,SUB in: K. Maluach,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M12.00S,2026-03-13T23:55:37.8Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612761,11,11,2026-03-13T23:55:37Z,770000,False,,,0,,R. Barrett flagrant Free Throw 1 of 2 (3 PTS),[1629628],1610612761.0,TOR,flagrant,,,Barrett,R. Barrett,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
78,PT06M12.00S,2026-03-13T23:55:38.3Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612761,12,11,2026-03-13T23:55:38Z,780000,False,,,0,,R. Barrett flagrant Free Throw 2 of 2 (4 PTS),[1629628],1610612761.0,TOR,flagrant,,,Barrett,R. Barrett,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
89,PT06M12.00S,2026-03-13T23:55:39.3Z,1,REGULAR,substitution,out,[],1629628,,,1610612756,12,11,2026-03-13T23:56:40Z,785000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT06M12.00S,2026-03-13T23:55:39.3Z,1,REGULAR,substitution,in,[],1642266,,,1610612756,12,11,2026-03-13T23:56:40Z,787500,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M06.00S,2026-03-13T23:55:40.8Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612761,12,11,2026-03-13T23:55:47Z,790000,False,,,0,,J. Poeltl bad pass TURNOVER (2 TO),"[1627751, 1628960]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,2.0,,,,,,,,,,,,,,Allen,1628960.0
80,PT06M06.00S,2026-03-13T23:55:40.8Z,1,REGULAR,steal,,[],1628960,,,1610612756,12,11,2026-03-13T23:57:58Z,800000,False,,,0,,G. Allen STEAL (1 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
81,PT06M01.00S,2026-03-13T23:55:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,6.915243101182654,50.73529411764706,1610612756,12,13,2026-03-13T23:55:57Z,810000,False,-4.0,13.0,1,left,G. Allen running reverse Layup (2 PTS) (R. O'Neale 3 AST),"[1628960, 1626220]",1610612756.0,PHX,running reverse,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.3,Made,2.0,,,R. O'Neale,1626220.0,3.0,,,,,,,,,,,,
83,PT05M44.00S,2026-03-13T23:56:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,85.10183968462549,38.48039215686275,1610612761,14,13,2026-03-13T23:56:16Z,830000,False,-58.0,88.0,1,right,S. Barnes 10' pullup Jump Shot (2 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Left,10.48,Made,2.0,,,,,,,,,,,,,,,,,
85,PT05M24.00S,2026-03-13T23:56:27.3Z,1,REGULAR,substitution,out,[],1630193,,,1610612756,14,13,2026-03-13T23:56:35Z,850000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
