actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
85,PT10M39.00S,2026-03-04T00:43:57.0Z,1,REGULAR,steal,,[],1630193,,,1610612761,3,4,2026-03-04T00:56:22Z,170000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2026-03-04T00:44:05.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627742,73.27529566360053,82.59803921568627,1610612761,6,4,2026-03-04T00:56:22Z,180000,False,163.0,199.0,1,right,B. Ingram 25' 3PT running (3 PTS) (I. Quickley 1 AST),"[1627742, 1630193]",1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,25.7,Made,3.0,I. Quickley,1630193.0,1.0,,,,,,,,,
21,PT10M11.00S,2026-03-04T00:44:28.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,29.25427069645204,15.441176470588236,1610612752,6,4,2026-03-04T00:47:38Z,200000,False,173.0,222.0,1,left,MISS K. Towns 28' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,28.17,Missed,,,,,,,,,,,,,
22,PT10M08.00S,2026-03-04T00:44:31.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,6,4,2026-03-04T00:47:38Z,210000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,
23,PT10M00.00S,2026-03-04T00:44:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.72339027595268,51.71568627450981,1610612761,8,4,2026-03-04T00:44:43Z,220000,False,9.0,16.0,1,right,J. Poeltl cutting finger roll Layup (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,1.81,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,
25,PT10M00.00S,2026-03-04T00:44:41.6Z,1,REGULAR,foul,personal,['1freethrow'],1628384,,,1610612761,8,4,2026-03-04T00:44:55Z,240000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Poeltl 1 FT),"[1628384, 1627751]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1628951.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,,,,,,,
28,PT10M00.00S,2026-03-04T00:46:03.5Z,1,REGULAR,freethrow,1 of 1,[],1627751,,,1610612761,9,4,2026-03-04T00:46:03Z,270000,False,,,0,,J. Poeltl Free Throw 1 of 1 (3 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
29,PT09M43.00S,2026-03-04T00:46:21.9Z,1,REGULAR,3pt,Jump Shot,[],1628384,30.17411300919842,75.0,1610612752,9,7,2026-03-04T00:46:26Z,280000,False,-125.0,231.0,1,left,O. Anunoby 26' 3PT  (5 PTS) (K. Towns 1 AST),"[1628384, 1626157]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,26.27,Made,5.0,K. Towns,1626157.0,1.0,,,,,,,,,
31,PT09M23.00S,2026-03-04T00:46:41.4Z,1,REGULAR,3pt,Jump Shot,[],1627742,92.19776609724047,98.0392156862745,1610612761,12,7,2026-03-04T00:46:45Z,300000,False,240.0,21.0,1,right,B. Ingram 24' 3PT  (6 PTS) (R. Barrett 2 AST),"[1627742, 1629628]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,,,24.11,Made,6.0,R. Barrett,1629628.0,2.0,,,,,,,,,
33,PT09M08.00S,2026-03-04T00:46:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,5.075558475689881,48.529411764705884,1610612752,12,7,2026-03-04T00:47:00Z,320000,False,7.0,-5.0,1,left,MISS J. Brunson driving finger roll Layup,[1628973],1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,0.88,Missed,,,,,,,,,,,,,
34,PT09M06.00S,2026-03-04T00:46:58.4Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,12,7,2026-03-04T00:47:00Z,330000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,
35,PT09M01.00S,2026-03-04T00:47:03.4Z,1,REGULAR,3pt,Jump Shot,[],1629628,94.69448094612353,98.0392156862745,1610612761,12,7,2026-03-04T00:49:04Z,340000,False,240.0,-3.0,1,right,MISS R. Barrett 24' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,,,24.02,Missed,,,,,,,,,,,,,
36,PT08M57.00S,2026-03-04T00:47:07.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,12,7,2026-03-04T00:47:10Z,350000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,
37,PT08M48.00S,2026-03-04T00:47:16.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,6.258212877792378,50.49019607843137,1610612752,12,9,2026-03-04T00:47:23Z,360000,False,-2.0,6.0,1,left,O. Anunoby cutting DUNK (7 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,cutting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,0.68,Made,7.0,M. Bridges,1628969.0,1.0,,,,,,,,,
39,PT08M27.00S,2026-03-04T00:47:36.7Z,1,REGULAR,3pt,Jump Shot,[],1627742,69.99014454664915,24.754901960784316,1610612761,12,9,2026-03-04T00:47:41Z,380000,False,-126.0,230.0,1,right,MISS B. Ingram 26' step back 3PT,[1627742],1610612761.0,TOR,step back,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,26.2,Missed,,,,,,,,,,,,,
40,PT08M25.00S,2026-03-04T00:47:38.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,12,9,2026-03-04T00:47:41Z,390000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,
41,PT08M11.00S,2026-03-04T00:47:55.8Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612752,12,9,2026-03-04T00:48:02Z,400000,False,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612752.0,NYK,bad pass,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,2004.0,,,,,,,,,,,,,,,,,1.0,,
42,PT07M53.00S,2026-03-04T00:48:21.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630567,77.87450722733246,8.088235294117647,1610612761,15,9,2026-03-04T00:48:25Z,410000,False,-210.0,155.0,1,right,S. Barnes 26' 3PT  (3 PTS) (I. Quickley 2 AST),"[1630567, 1630193]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,26.1,Made,3.0,I. Quickley,1630193.0,2.0,,,,,,,,,
44,PT07M36.00S,2026-03-04T00:48:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.1268068331143235,50.245098039215684,1610612752,15,11,2026-03-04T00:48:41Z,430000,False,-1.0,5.0,1,left,K. Towns alley-oop Layup (4 PTS) (J. Brunson 2 AST),"[1626157, 1628973]",1610612752.0,NYK,alley-oop,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,0.52,Made,4.0,J. Brunson,1628973.0,2.0,,,,,,,,,
46,PT07M21.00S,2026-03-04T00:48:53.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,92.85479632063075,39.21568627450981,1610612761,15,11,2026-03-04T00:48:57Z,450000,False,-54.0,15.0,1,right,MISS J. Poeltl Hook,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.59,Missed,,,,,,,,,,,,,
47,PT07M17.00S,2026-03-04T00:48:57.0Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,15,11,2026-03-04T00:48:57Z,460000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,46.0,1.0,0.0,1.0,,,
48,PT07M17.00S,2026-03-04T00:48:56.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,94.40999984741211,50.0,1610612761,17,11,2026-03-04T00:48:56Z,470000,False,0.0,0.0,1,right,S. Barnes tip Layup (5 PTS),[1630567],1610612761.0,TOR,tip,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,5.0,,,,,,,,,,,,
49,PT07M05.00S,2026-03-04T00:49:09.5Z,1,REGULAR,2pt,Jump Shot,[],1628969,11.908672798948752,19.607843137254903,1610612752,17,13,2026-03-04T00:49:13Z,480000,False,152.0,59.0,1,left,M. Bridges 16' pullup Jump Shot (2 PTS) (K. Towns 2 AST),"[1628969, 1626157]",1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right,,,,,,16.32,Made,2.0,K. Towns,1626157.0,2.0,,,,,,,,,
51,PT06M47.00S,2026-03-04T00:49:26.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,80.76544021024968,77.20588235294117,1610612761,19,13,2026-03-04T00:49:30Z,500000,False,136.0,128.0,1,right,B. Ingram 18' pullup Jump Shot (8 PTS) (I. Quickley 3 AST),"[1627742, 1630193]",1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,,,,,,18.7,Made,8.0,I. Quickley,1630193.0,3.0,,,,,,,,,
53,PT06M29.00S,2026-03-04T00:49:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,7.046649145860711,49.50980392156863,1610612752,19,13,2026-03-04T00:52:43Z,520000,False,2.0,14.0,1,left,MISS M. Bridges cutting finger roll Layup - blocked,"[1628969, 1630567]",1610612752.0,NYK,cutting finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,1.39,Missed,,,,,Barnes,1630567.0,,,,,,,
54,PT06M29.00S,2026-03-04T00:49:45.9Z,1,REGULAR,block,,[],1630567,,,1610612752,19,13,2026-03-04T00:49:48Z,530000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT06M25.00S,2026-03-04T00:49:49.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,19,13,2026-03-04T00:49:50Z,540000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,
56,PT06M21.00S,2026-03-04T00:49:53.9Z,1,REGULAR,3pt,Jump Shot,[],1630193,91.5407358738502,97.54901960784314,1610612761,19,13,2026-03-04T00:53:02Z,550000,False,238.0,27.0,1,right,MISS I. Quickley 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,,,,,,23.92,Missed,,,,,,,,,,,,,
57,PT06M17.00S,2026-03-04T00:49:57.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,19,13,2026-03-04T00:50:00Z,560000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,56.0,3.0,3.0,0.0,,,
58,PT06M12.00S,2026-03-04T00:50:01.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,30.699737187910642,22.794117647058822,1610612752,19,13,2026-03-04T00:50:07Z,570000,False,136.0,236.0,1,left,MISS J. Brunson 27' running pullup 3PT,[1628973],1610612752.0,NYK,running pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,27.25,Missed,,,,,,,,,,,,,
59,PT06M11.00S,2026-03-04T00:50:02.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,19,13,2026-03-04T00:50:07Z,580000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,58.0,2.0,2.0,0.0,,,
60,PT06M11.00S,2026-03-04T00:50:08.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,19,13,2026-03-04T00:50:08Z,590000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M11.00S,2026-03-04T00:50:08.9Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,19,13,2026-03-04T00:53:07Z,600000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M11.00S,2026-03-04T00:50:08.9Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,19,13,2026-03-04T00:53:07Z,610000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M01.00S,2026-03-04T00:53:34.8Z,1,REGULAR,foul,offensive,[],1630193,,,1610612761,19,13,2026-03-04T00:58:44Z,620000,False,,,0,,I. Quickley charge offensive FOUL (1 PF),"[1630193, 1628973]",1610612761.0,TOR,charge,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,2004.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
65,PT06M01.00S,2026-03-04T00:53:34.8Z,1,REGULAR,turnover,offensive foul,[],1630193,,,1610612761,19,13,2026-03-04T00:53:34Z,640000,False,,,0,,I. Quickley offensive foul TURNOVER (1 TO),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,2004.0,,,,,,,,,,,,,,,,,1.0,,
66,PT05M46.00S,2026-03-04T00:53:57.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,15.719448094612352,40.931372549019606,1610612752,19,15,2026-03-04T00:54:01Z,650000,False,45.0,95.0,1,left,J. Brunson 10' pullup Jump Shot (2 PTS) (K. Towns 3 AST),"[1628973, 1626157]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.55,Made,2.0,K. Towns,1626157.0,3.0,,,,,,,,,
67,PT05M32.00S,2026-03-04T00:54:10.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,80.3712220762155,72.54901960784314,1610612761,21,15,2026-03-04T00:54:14Z,660000,False,113.0,132.0,1,right,B. Ingram 17' pullup Jump Shot (10 PTS),[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,,,,,,17.36,Made,10.0,,,,,,,,,,,,
68,PT05M17.00S,2026-03-04T00:54:28.5Z,1,REGULAR,foul,personal,[],1642347,,,1610612752,21,15,2026-03-04T00:54:35Z,670000,False,,,0,,J. Shead personal FOUL (1 PF),"[1642347, 1628973]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Right Center,2004.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
70,PT05M17.00S,2026-03-04T00:54:33.8Z,1,REGULAR,substitution,out,[],1628384,,,1610612752,21,15,2026-03-04T00:55:04Z,690000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M17.00S,2026-03-04T00:54:33.8Z,1,REGULAR,substitution,out,[],1628969,,,1610612752,21,15,2026-03-04T00:55:04Z,700000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2026-03-04T00:54:33.8Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,21,15,2026-03-04T00:55:04Z,710000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M17.00S,2026-03-04T00:54:33.8Z,1,REGULAR,substitution,in,[],1642885,,,1610612752,21,15,2026-03-04T00:55:04Z,720000,False,,,0,,SUB in: M. Diawara,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M17.00S,2026-03-04T00:54:33.8Z,1,REGULAR,substitution,in,[],1629011,,,1610612752,21,15,2026-03-04T00:55:04Z,730000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M17.00S,2026-03-04T00:54:33.8Z,1,REGULAR,substitution,in,[],1629013,,,1610612752,21,15,2026-03-04T00:55:04Z,740000,False,,,0,,SUB in: L. Shamet,[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M07.00S,2026-03-04T00:55:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,9.017739816031538,61.274509803921575,1610612752,21,15,2026-03-04T00:55:17Z,750000,False,-56.0,32.0,1,left,MISS J. Brunson 6' fadeaway Shot,[1628973],1610612752.0,NYK,fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.5,Missed,,,,,,,,,,,,,
77,PT05M04.00S,2026-03-04T00:55:11.7Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,21,15,2026-03-04T00:55:17Z,760000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,
78,PT04M54.00S,2026-03-04T00:55:24.2Z,1,REGULAR,foul,personal,[],1629013,,,1610612761,21,15,2026-03-04T00:55:33Z,770000,False,,,0,,L. Shamet personal FOUL (1 PF),"[1629013, 1627742]",1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,Mid-Range,8-16 Right,2004.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,
80,PT04M54.00S,2026-03-04T00:55:31.9Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,21,15,2026-03-04T00:55:35Z,790000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M54.00S,2026-03-04T00:55:31.9Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,21,15,2026-03-04T00:55:35Z,800000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M43.00S,2026-03-04T00:55:59.9Z,1,REGULAR,foul,personal,['2freethrow'],1642885,,,1610612761,21,15,2026-03-04T00:56:09Z,810000,False,,,0,,M. Diawara shooting personal FOUL (1 PF) (Ingram 2 FT),"[1642885, 1627742]",1610612752.0,NYK,shooting,,,Diawara,M. Diawara,,,,,Mid-Range,16-24 Center,2004.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,
86,PT04M43.00S,2026-03-04T00:56:22.9Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612761,22,15,2026-03-04T00:56:22Z,830000,False,,,0,,B. Ingram Free Throw 1 of 2 (11 PTS),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,Made,11.0,,,,,,,,,,,,
88,PT04M43.00S,2026-03-04T00:56:42.1Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612761,23,15,2026-03-04T00:56:42Z,840000,False,,,0,,B. Ingram Free Throw 2 of 2 (12 PTS),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,Made,12.0,,,,,,,,,,,,
89,PT04M29.00S,2026-03-04T00:57:01.8Z,1,REGULAR,turnover,out-of-bounds,[],1629013,,,1610612752,23,15,2026-03-04T00:57:08Z,850000,False,,,0,,L. Shamet bad pass out-of-bounds TURNOVER (1 TO),[1629013],1610612752.0,NYK,bad pass,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Right Center,1628951.0,,,,,,,,,,,,,,,,,1.0,,
90,PT04M29.00S,2026-03-04T00:57:07.5Z,1,REGULAR,substitution,out,[],1630193,,,1610612761,23,15,2026-03-04T00:57:14Z,860000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M29.00S,2026-03-04T00:57:07.5Z,1,REGULAR,substitution,out,[],1629628,,,1610612761,23,15,2026-03-04T00:57:14Z,870000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
