actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
20,PT09M27.00S,2026-02-06T00:44:59.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,8,7,2026-02-06T00:44:59Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,19.0,,,,,,,,,,,,,
22,PT09M16.00S,2026-02-06T00:45:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,17.821944809461236,39.705882352941174,1610612761,10,7,2026-02-06T00:45:22Z,220000,False,51.0,115.0,1,left,B. Ingram 12' step back Jump Shot (4 PTS),[1627742],1610612761.0,TOR,step back,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.6,Made,4.0,,,,,,,,,,,,,,,,,
23,PT08M59.00S,2026-02-06T00:45:35.2Z,1,REGULAR,turnover,lost ball,[],1629014,,,1610612741,10,7,2026-02-06T00:45:39Z,230000,False,,,0,,A. Simons lost ball TURNOVER (1 TO),"[1629014, 1630193]",1610612741.0,CHI,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Quickley,1630193.0,,,,,,,,,,
24,PT08M59.00S,2026-02-06T00:45:35.2Z,1,REGULAR,steal,,[],1630193,,,1610612761,10,7,2026-02-06T00:45:37Z,240000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
25,PT08M54.00S,2026-02-06T00:45:40.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630193,7.703679369250986,41.42156862745098,1610612761,10,7,2026-02-06T00:45:47Z,250000,False,43.0,20.0,1,left,MISS I. Quickley running Layup - blocked,"[1630193, 1629014]",1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,4.73,Missed,,,,,,,,,Simons,1629014.0,,,,,,,,
26,PT08M54.00S,2026-02-06T00:45:40.4Z,1,REGULAR,block,,[],1629014,,,1610612761,10,7,2026-02-06T00:45:43Z,260000,False,,,0,,A. Simons BLOCK (1 BLK),[1629014],1610612741.0,CHI,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT08M54.00S,2026-02-06T00:45:40.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,10,7,2026-02-06T00:45:47Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,25.0,,,,,,,,,,,,,
29,PT08M49.00S,2026-02-06T00:45:59.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630193,14.273981603153747,43.872549019607845,1610612761,12,7,2026-02-06T00:47:01Z,290000,False,31.0,82.0,1,left,I. Quickley 8' driving floating Jump Shot (4 PTS),[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,8.72,Made,4.0,,,,,,,,,,,,,,,,,
30,PT08M49.00S,2026-02-06T00:46:04.1Z,1,REGULAR,foul,personal,['1freethrow'],1631093,,,1610612761,12,7,2026-02-06T00:46:09Z,300000,False,,,0,,J. Ivey shooting personal FOUL (1 PF) (Quickley 1 FT),"[1631093, 1630193]",1610612741.0,CHI,shooting,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202901.0,1.0,0.0,Quickley,1630193.0,,,
32,PT08M49.00S,2026-02-06T00:46:32.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1630193,,,1610612761,13,7,2026-02-06T00:46:32Z,320000,False,,,0,,I. Quickley Free Throw 1 of 1 (5 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
33,PT08M34.00S,2026-02-06T00:46:47.9Z,1,REGULAR,3pt,Jump Shot,[],1629014,63.9454664914586,55.392156862745104,1610612741,13,7,2026-02-06T00:46:53Z,330000,False,27.0,286.0,1,right,MISS A. Simons 28' pullup 3PT,[1629014],1610612741.0,CHI,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,28.77,Missed,,,,,,,,,,,,,,,,,,
34,PT08M32.00S,2026-02-06T00:46:49.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,13,7,2026-02-06T00:46:53Z,340000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,,,,,33.0,,,,,,,,,,,1.0,1.0,0.0
35,PT08M29.00S,2026-02-06T00:46:56.3Z,1,REGULAR,foul,personal,[],1629014,,,1610612761,13,7,2026-02-06T00:47:02Z,350000,False,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 1642867]",1610612741.0,CHI,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1148.0,1.0,0.0,Murray-Boyles,1642867.0,,,
37,PT08M17.00S,2026-02-06T00:47:27.8Z,1,REGULAR,3pt,Jump Shot,[],1630193,29.38567674113009,20.833333333333336,1610612761,13,7,2026-02-06T00:47:33Z,370000,False,146.0,224.0,1,left,MISS I. Quickley 26' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,26.7,Missed,,,,,,,,,,,,,,,,,,
38,PT08M13.00S,2026-02-06T00:47:31.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,13,7,2026-02-06T00:47:33Z,380000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,,,,,,,37.0,,,,,,,,,,,1.0,1.0,0.0
39,PT08M11.00S,2026-02-06T00:47:35.6Z,1,REGULAR,turnover,out-of-bounds,[],1631093,,,1610612741,13,7,2026-02-06T00:47:43Z,390000,False,,,0,,J. Ivey lost ball out-of-bounds TURNOVER (1 TO),[1631093],1610612741.0,CHI,lost ball,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,202901.0,,,,,,,
40,PT08M05.00S,2026-02-06T00:47:46.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,6.521024967148489,74.75490196078431,1610612761,15,7,2026-02-06T00:47:52Z,400000,False,-124.0,9.0,1,left,B. Ingram 12' step back Jump Shot (6 PTS),[1627742],1610612761.0,TOR,step back,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,12.41,Made,6.0,,,,,,,,,,,,,,,,,
41,PT07M57.00S,2026-02-06T00:47:56.7Z,1,REGULAR,foul,personal,['2freethrow'],1630193,,,1610612741,15,7,2026-02-06T00:48:05Z,410000,False,,,0,,I. Quickley shooting personal FOUL (1 PF) (Buzelis 2 FT),"[1630193, 1641824]",1610612761.0,TOR,shooting,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1148.0,1.0,0.0,Buzelis,1641824.0,,,
43,PT07M57.00S,2026-02-06T00:48:26.6Z,1,REGULAR,freethrow,1 of 2,[],1641824,,,1610612741,15,8,2026-02-06T00:48:26Z,430000,False,,,0,,M. Buzelis Free Throw 1 of 2 (1 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
45,PT07M57.00S,2026-02-06T00:48:27.7Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,15,8,2026-02-06T00:48:31Z,450000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M57.00S,2026-02-06T00:48:27.7Z,1,REGULAR,substitution,out,[],1631093,,,1610612741,15,8,2026-02-06T00:48:41Z,460000,False,,,0,,SUB out: J. Ivey,[1631093],1610612741.0,CHI,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M57.00S,2026-02-06T00:48:51.9Z,1,REGULAR,freethrow,2 of 2,[],1641824,,,1610612741,15,9,2026-02-06T00:48:51Z,470000,False,,,0,,M. Buzelis Free Throw 2 of 2 (2 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2026-02-06T00:49:14.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642266,5.206964520367937,50.0,1610612761,17,9,2026-02-06T00:49:38Z,480000,False,0.0,-4.0,1,left,J. Walter driving DUNK (2 PTS) (C. Murray-Boyles 2 AST),"[1642266, 1642867]",1610612761.0,TOR,driving,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,0.36,Made,2.0,C. Murray-Boyles,1642867.0,2.0,,,,,,,,,,,,,,
50,PT07M12.00S,2026-02-06T00:49:37.5Z,1,REGULAR,3pt,Jump Shot,[],1630172,62.89421813403416,32.1078431372549,1610612741,17,9,2026-02-06T00:49:44Z,500000,False,-89.0,296.0,1,right,MISS P. Williams 30' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,30.95,Missed,,,,,,,,,,,,,,,,,,
51,PT07M12.00S,2026-02-06T00:49:37.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,17,9,2026-02-06T00:49:44Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,50.0,,,,,,,,,,,,,
52,PT07M12.00S,2026-02-06T00:49:43.3Z,1,REGULAR,foul,personal,[],1630193,,,1610612741,17,9,2026-02-06T00:50:36Z,520000,False,,,0,,I. Quickley loose ball personal FOUL (2 PF),"[1630193, 1630188]",1610612761.0,TOR,loose ball,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202901.0,2.0,0.0,Smith,1630188.0,,,
54,PT07M02.00S,2026-02-06T00:50:10.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641824,94.43166885676742,46.07843137254902,1610612741,17,11,2026-02-06T00:50:18Z,540000,False,-20.0,0.0,1,right,M. Buzelis driving Layup (4 PTS) (J. Smith 1 AST),"[1641824, 1630188]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,1.96,Made,4.0,J. Smith,1630188.0,1.0,,,,,,,,,,,,,,
56,PT06M48.00S,2026-02-06T00:50:24.3Z,1,REGULAR,2pt,Jump Shot,[],1630193,17.95335085413929,70.58823529411765,1610612761,17,11,2026-02-06T00:50:33Z,560000,False,-103.0,116.0,1,left,MISS I. Quickley 15' driving floating Shot,[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Left,15.53,Missed,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2026-02-06T00:50:26.3Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,17,11,2026-02-06T00:50:33Z,570000,False,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Mid-Range,8-16 Left,,,,,,,56.0,,,,,,,,,,,2.0,2.0,0.0
58,PT06M37.00S,2026-02-06T00:50:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,90.48948751642575,48.28431372549019,1610612741,17,11,2026-02-06T00:50:40Z,580000,False,-9.0,37.0,1,right,MISS J. Smith driving finger roll Layup,[1630188],1610612741.0,CHI,driving finger roll,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,,,,,,,,,,,,,
59,PT06M35.00S,2026-02-06T00:50:37.3Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612741,17,11,2026-02-06T00:50:37Z,590000,False,,,0,,J. Smith REBOUND (Off:1 Def:2),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,58.0,,,,,,,,,,,3.0,2.0,1.0
60,PT06M33.00S,2026-02-06T00:50:39.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630171,86.28449408672799,97.30392156862744,1610612741,17,11,2026-02-06T00:50:45Z,600000,False,237.0,76.0,1,right,MISS I. Okoro 24' step back 3PT,[1630171],1610612741.0,CHI,step back,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,24.85,Missed,,,,,,,,,,,,,,,,,,
61,PT06M31.00S,2026-02-06T00:50:41.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,17,11,2026-02-06T00:50:45Z,610000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,,,,60.0,,,,,,,,,,,2.0,2.0,0.0
62,PT06M25.00S,2026-02-06T00:50:47.6Z,1,REGULAR,3pt,Jump Shot,[],1630193,24.78646517739816,16.666666666666664,1610612761,17,11,2026-02-06T00:50:52Z,620000,False,167.0,180.0,1,left,MISS I. Quickley 24' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,24.57,Missed,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2026-02-06T00:50:50.6Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,17,11,2026-02-06T00:50:52Z,630000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,,,,62.0,,,,,,,,,,,1.0,1.0,0.0
64,PT06M09.00S,2026-02-06T00:51:03.1Z,1,REGULAR,3pt,Jump Shot,[],1630188,93.24901445466492,2.696078431372549,1610612741,17,11,2026-02-06T00:51:07Z,640000,False,-237.0,11.0,1,right,MISS J. Smith 3PT,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,23.68,Missed,,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2026-02-06T00:51:05.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,17,11,2026-02-06T00:51:07Z,650000,False,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,,,,,,,64.0,,,,,,,,,,,3.0,3.0,0.0
66,PT06M03.00S,2026-02-06T00:51:14.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,17,11,2026-02-06T00:51:14Z,660000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M03.00S,2026-02-06T00:51:14.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,17,11,2026-02-06T00:54:28Z,670000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M03.00S,2026-02-06T00:51:14.6Z,1,REGULAR,substitution,out,[],1630193,,,1610612761,17,11,2026-02-06T00:54:28Z,680000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M03.00S,2026-02-06T00:51:14.6Z,1,REGULAR,substitution,out,[],1630188,,,1610612761,17,11,2026-02-06T00:54:28Z,690000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M03.00S,2026-02-06T00:51:14.6Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,17,11,2026-02-06T00:54:28Z,700000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M03.00S,2026-02-06T00:51:14.6Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,17,11,2026-02-06T00:54:28Z,710000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M03.00S,2026-02-06T00:51:14.6Z,1,REGULAR,substitution,in,[],1627824,,,1610612761,17,11,2026-02-06T00:54:28Z,720000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M55.00S,2026-02-06T00:54:57.1Z,1,REGULAR,3pt,Jump Shot,[],1627742,33.459264126149804,41.66666666666667,1610612761,20,11,2026-02-06T00:55:02Z,730000,False,42.0,262.0,1,left,B. Ingram 26' 3PT pullup (9 PTS),[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,26.53,Made,9.0,,,,,,,,,,,,,,,,,
74,PT05M33.00S,2026-02-06T00:55:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,86.02168199737189,58.08823529411765,1610612741,20,11,2026-02-06T00:55:24Z,740000,False,40.0,79.0,1,right,MISS P. Williams 8' driving floating Shot,[1630172],1610612741.0,CHI,driving floating,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,8.86,Missed,,,,,,,,,,,,,,,,,,
75,PT05M31.00S,2026-02-06T00:55:20.6Z,1,REGULAR,rebound,offensive,[],1627824,,,1610612741,20,11,2026-02-06T00:55:20Z,750000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:0),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,74.0,,,,,,,,,,,1.0,0.0,1.0
76,PT05M29.00S,2026-02-06T00:55:24.9Z,1,REGULAR,foul,personal,[],1642266,,,1610612741,20,11,2026-02-06T00:55:41Z,760000,False,,,0,,J. Walter personal FOUL (1 PF),"[1642266, 1641824]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1148.0,1.0,0.0,Buzelis,1641824.0,,,
78,PT05M29.00S,2026-02-06T00:55:39.7Z,1,REGULAR,substitution,out,[],1629014,,,1610612741,20,11,2026-02-06T00:55:43Z,780000,False,,,0,,SUB out: A. Simons,[1629014],1610612741.0,CHI,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M29.00S,2026-02-06T00:55:39.7Z,1,REGULAR,substitution,in,[],1631093,,,1610612741,20,11,2026-02-06T00:55:43Z,790000,False,,,0,,SUB in: J. Ivey,[1631093],1610612741.0,CHI,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M22.00S,2026-02-06T00:56:01.8Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,20,11,2026-02-06T00:56:07Z,800000,False,,,0,,M. Buzelis lost ball TURNOVER (1 TO),"[1641824, 1642347]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,Shead,1642347.0,,,,,,,,,,
81,PT05M22.00S,2026-02-06T00:56:01.8Z,1,REGULAR,steal,,[],1642347,,,1610612761,20,11,2026-02-06T00:56:04Z,810000,False,,,0,,J. Shead STEAL (1 STL),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
82,PT05M16.00S,2026-02-06T00:56:07.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627742,34.11629434954008,57.84313725490197,1610612761,23,11,2026-02-06T00:56:13Z,820000,False,-39.0,268.0,1,left,B. Ingram 27' 3PT running (12 PTS) (J. Shead 1 AST),"[1627742, 1642347]",1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,27.1,Made,12.0,J. Shead,1642347.0,1.0,,,,,,,,,,,,,,
84,PT05M03.00S,2026-02-06T00:56:19.9Z,1,REGULAR,3pt,Jump Shot,[],1630172,66.17936925098554,44.6078431372549,1610612741,23,11,2026-02-06T00:56:24Z,840000,False,-27.0,265.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,26.68,Missed,,,,,,,,,,,,,,,,,,
85,PT05M01.00S,2026-02-06T00:56:22.3Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,23,11,2026-02-06T00:56:22Z,850000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,,,,,,,84.0,,,,,,,,,,,1.0,0.0,1.0
86,PT04M58.00S,2026-02-06T00:56:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641824,89.70105124835742,52.94117647058824,1610612741,23,13,2026-02-06T00:56:30Z,860000,False,15.0,44.0,1,right,M. Buzelis driving finger roll Layup (6 PTS) (I. Okoro 1 AST),"[1641824, 1630171]",1610612741.0,CHI,driving finger roll,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,4.67,Made,6.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,,
