actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M58.00S,2026-03-28T00:43:36.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,2,2,2026-03-28T00:43:48Z,150000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M50.00S,2026-03-28T00:43:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.82588699080158,54.41176470588235,1610612761,4,2,2026-03-28T00:46:20Z,160000,False,22.0,-4.0,1,right,J. Poeltl cutting Layup (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,2.24,Made,2.0,,,,,,,R. Barrett,1629628.0,1.0,,,,,
18,PT10M40.00S,2026-03-28T00:43:53.9Z,1,REGULAR,2pt,Jump Shot,[],1630180,9.280551905387648,71.32352941176471,1610612740,4,2,2026-03-28T00:44:01Z,180000,False,-107.0,35.0,1,left,MISS S. Bey 11' turnaround fadeaway Shot,[1630180],1610612740.0,NOP,turnaround fadeaway,,,Bey,S. Bey,,,,,Mid-Range,8-16 Left,,,,11.21,Missed,,,,,,,,,,,,,,,
19,PT10M40.00S,2026-03-28T00:43:53.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,4,2,2026-03-28T00:44:01Z,190000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT10M28.00S,2026-03-28T00:44:05.2Z,1,REGULAR,2pt,Jump Shot,[],1630567,82.60512483574244,72.54901960784314,1610612761,6,2,2026-03-28T00:44:10Z,200000,False,113.0,111.0,1,right,S. Barnes 15' pullup Jump Shot (2 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,,,,15.82,Made,2.0,,,,,,,,,,,,,,
21,PT10M00.00S,2026-03-28T00:44:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,31.882391590013142,76.9607843137255,1610612740,6,5,2026-03-28T00:44:38Z,210000,False,-135.0,247.0,1,left,S. Bey 28' 3PT  (3 PTS) (Y. Missi 1 AST),"[1630180, 1642274]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,28.16,Made,3.0,,,,,,,Y. Missi,1642274.0,1.0,,,,,
23,PT09M42.00S,2026-03-28T00:44:54.1Z,1,REGULAR,foul,personal,['2freethrow'],1642847,,,1610612761,6,5,2026-03-28T00:45:19Z,230000,False,,,0,,J. Fears shooting personal FOUL (1 PF) (Walter 2 FT),"[1642847, 1642266]",1610612740.0,NOP,shooting,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1629183.0,1.0,0.0,Walter,1642266.0
25,PT09M42.00S,2026-03-28T00:45:20.0Z,1,REGULAR,freethrow,1 of 2,[],1642266,,,1610612761,7,5,2026-03-28T00:45:36Z,250000,False,,,0,,J. Walter Free Throw 1 of 2 (1 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
26,PT09M42.00S,2026-03-28T00:45:20.0Z,1,REGULAR,freethrow,2 of 2,[],1642266,,,1610612761,7,5,2026-03-28T00:45:36Z,260000,False,,,0,,MISS J. Walter Free Throw 2 of 2,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
27,PT09M40.00S,2026-03-28T00:45:22.0Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,7,5,2026-03-28T00:45:36Z,270000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT09M17.00S,2026-03-28T00:45:58.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642847,18.610381077529567,38.72549019607843,1610612740,7,7,2026-03-28T00:46:03Z,280000,False,56.0,122.0,1,left,J. Fears 13' pullup Jump Shot (2 PTS) (S. Bey 1 AST),"[1642847, 1630180]",1610612740.0,NOP,pullup,,,Fears,J. Fears,,,,,In The Paint (Non-RA),8-16 Center,,,,13.48,Made,2.0,,,,,,,S. Bey,1630180.0,1.0,,,,,
30,PT08M59.00S,2026-03-28T00:46:16.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,94.1688567674113,49.50980392156863,1610612761,9,7,2026-03-28T00:46:21Z,300000,False,-2.0,2.0,1,right,S. Barnes driving DUNK (4 PTS) (J. Walter 1 AST),"[1630567, 1642266]",1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,0.34,Made,4.0,,,,,,,J. Walter,1642266.0,1.0,,,,,
32,PT08M46.00S,2026-03-28T00:46:29.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,6.915243101182654,59.80392156862745,1610612740,9,7,2026-03-28T01:00:18Z,320000,False,-49.0,13.0,1,left,MISS H. Jones pullup bank Shot - blocked,"[1630529, 1630567]",1610612740.0,NOP,pullup bank,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,5.06,Missed,,Barnes,1630567.0,,,,,,,,,,,,
33,PT08M46.00S,2026-03-28T00:46:29.6Z,1,REGULAR,block,,[],1630567,,,1610612740,9,7,2026-03-28T00:46:32Z,330000,False,,,0,,S. Barnes BLOCK (2 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT08M44.00S,2026-03-28T00:46:31.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,9,7,2026-03-28T00:46:34Z,340000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,
35,PT08M33.00S,2026-03-28T00:46:42.5Z,1,REGULAR,3pt,Jump Shot,[],1642266,94.43166885676742,98.2843137254902,1610612761,12,7,2026-03-28T00:46:47Z,350000,False,241.0,0.0,1,right,J. Walter 24' 3PT  (4 PTS) (R. Barrett 2 AST),"[1642266, 1629628]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Right Corner 3,24+ Right,,,,24.14,Made,4.0,,,,,,,R. Barrett,1629628.0,2.0,,,,,
37,PT08M18.00S,2026-03-28T00:46:58.7Z,1,REGULAR,3pt,Jump Shot,[],1630180,29.25427069645204,83.82352941176471,1610612740,12,7,2026-03-28T00:47:02Z,370000,False,-169.0,222.0,1,left,MISS S. Bey 27' 3PT,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,27.95,Missed,,,,,,,,,,,,,,,
38,PT08M14.00S,2026-03-28T00:47:02.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,12,7,2026-03-28T00:47:02Z,380000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,
39,PT08M06.00S,2026-03-28T00:47:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,90.48948751642575,41.17647058823529,1610612761,12,7,2026-03-28T00:47:13Z,390000,False,-44.0,37.0,1,right,MISS R. Barrett turnaround Shot - blocked,"[1629628, 1630180]",1610612761.0,TOR,turnaround,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,5.75,Missed,,Bey,1630180.0,,,,,,,,,,,,
40,PT08M06.00S,2026-03-28T00:47:09.5Z,1,REGULAR,block,,[],1630180,,,1610612761,12,7,2026-03-28T00:47:11Z,400000,False,,,0,,S. Bey BLOCK (1 BLK),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M03.00S,2026-03-28T00:47:12.5Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612761,12,7,2026-03-28T00:47:13Z,410000,False,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,
42,PT07M59.00S,2026-03-28T00:47:15.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642266,69.85873850197109,71.56862745098039,1610612761,12,7,2026-03-28T00:47:21Z,420000,False,108.0,231.0,1,right,MISS J. Walter 25' 3PT,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Right Center,,,,25.47,Missed,,,,,,,,,,,,,,,
43,PT07M56.00S,2026-03-28T00:47:18.8Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612761,12,7,2026-03-28T00:47:21Z,430000,False,,,0,,R. Barrett REBOUND (Off:2 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,,,,42.0,3.0,1.0,2.0,,,,,,,,
44,PT07M54.00S,2026-03-28T00:47:21.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629628,94.43166885676742,52.69607843137255,1610612761,14,7,2026-03-28T00:47:32Z,440000,False,13.0,0.0,1,right,R. Barrett driving DUNK (2 PTS),[1629628],1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,1.35,Made,2.0,,,,,,,,,,,,,,
45,PT07M54.00S,2026-03-28T00:47:28.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,14,7,2026-03-28T00:47:28Z,450000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M36.00S,2026-03-28T00:50:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,6.521024967148489,55.392156862745104,1610612740,14,7,2026-03-28T00:50:55Z,460000,False,-27.0,9.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,2.84,Missed,,,,,,,,,,,,,,,
47,PT07M31.00S,2026-03-28T00:50:55.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,14,7,2026-03-28T00:51:34Z,470000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,
50,PT07M16.00S,2026-03-28T00:51:09.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,94.30026281208936,31.127450980392158,1610612761,14,7,2026-03-28T00:51:14Z,500000,False,-94.0,1.0,1,right,MISS B. Ingram 9' fadeaway Shot,[1627742],1610612761.0,TOR,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,,,,9.44,Missed,,,,,,,,,,,,,,,
51,PT07M14.00S,2026-03-28T00:51:11.1Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,14,7,2026-03-28T00:51:14Z,510000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,
52,PT07M06.00S,2026-03-28T00:51:23.3Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612740,14,7,2026-03-28T00:51:39Z,520000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Missi 2 FT),"[1627751, 1642274]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Missi,1642274.0
54,PT07M06.00S,2026-03-28T00:51:46.4Z,1,REGULAR,freethrow,1 of 2,[],1642274,,,1610612740,14,8,2026-03-28T00:52:04Z,540000,False,,,0,,Y. Missi Free Throw 1 of 2 (1 PTS),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
55,PT07M06.00S,2026-03-28T00:51:47.2Z,1,REGULAR,substitution,out,[],1630180,,,1610612740,14,8,2026-03-28T00:51:53Z,550000,False,,,0,,SUB out: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M06.00S,2026-03-28T00:51:47.2Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,14,8,2026-03-28T00:51:53Z,560000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M06.00S,2026-03-28T00:51:46.4Z,1,REGULAR,freethrow,2 of 2,[],1642274,,,1610612740,14,8,2026-03-28T00:52:04Z,570000,False,,,0,,MISS Y. Missi Free Throw 2 of 2,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
58,PT07M04.00S,2026-03-28T00:51:48.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,14,8,2026-03-28T00:52:04Z,580000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,
59,PT06M58.00S,2026-03-28T00:52:09.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629628,94.1688567674113,50.98039215686274,1610612761,16,8,2026-03-28T00:52:14Z,590000,False,5.0,2.0,1,right,R. Barrett cutting DUNK (4 PTS) (S. Barnes 1 AST),"[1629628, 1630567]",1610612761.0,TOR,cutting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,0.54,Made,4.0,,,,,,,S. Barnes,1630567.0,1.0,,,,,
61,PT06M30.00S,2026-03-28T00:52:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,12.565703022339028,42.64705882352941,1610612740,16,10,2026-03-28T00:53:30Z,610000,False,37.0,66.0,1,left,H. Jones 7' pullup bank Jump Shot (2 PTS),[1630529],1610612740.0,NOP,pullup bank,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,7.52,Made,2.0,,,,,,,,,,,,,,
62,PT06M19.00S,2026-03-28T00:52:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.30026281208936,48.529411764705884,1610612761,18,10,2026-03-28T00:52:54Z,620000,False,-7.0,1.0,1,right,J. Poeltl cutting Layup (4 PTS) (R. Barrett 3 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,0.75,Made,4.0,,,,,,,R. Barrett,1629628.0,3.0,,,,,
64,PT06M09.00S,2026-03-28T00:53:02.3Z,1,REGULAR,foul,offensive,[],1642274,,,1610612740,18,10,2026-03-28T00:53:11Z,640000,False,,,0,,Y. Missi off-the-ball offensive FOUL (1 PF),"[1642274, 1630567]",1610612740.0,NOP,off-the-ball,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1629183.0,1.0,0.0,Barnes,1630567.0
66,PT06M09.00S,2026-03-28T00:53:02.3Z,1,REGULAR,turnover,offensive foul,[],1642274,,,1610612740,18,10,2026-03-28T00:53:02Z,660000,False,,,0,,Y. Missi offensive foul TURNOVER (1 TO),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,,,1629183.0,,,,
67,PT06M09.00S,2026-03-28T00:53:09.2Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,18,10,2026-03-28T00:53:19Z,670000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M09.00S,2026-03-28T00:53:09.2Z,1,REGULAR,substitution,out,[],1642266,,,1610612761,18,10,2026-03-28T00:53:19Z,680000,False,,,0,,SUB out: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M09.00S,2026-03-28T00:53:09.2Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,18,10,2026-03-28T00:53:19Z,690000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M09.00S,2026-03-28T00:53:09.2Z,1,REGULAR,substitution,in,[],1642867,,,1610612761,18,10,2026-03-28T00:53:19Z,700000,False,,,0,,SUB in: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M49.00S,2026-03-28T00:53:42.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,76.03482260183968,11.029411764705882,1610612761,18,10,2026-03-28T00:53:46Z,710000,False,-195.0,173.0,1,right,MISS R. Barrett 26' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,26.05,Missed,,,,,,,,,,,,,,,
72,PT05M46.00S,2026-03-28T00:53:45.0Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,18,10,2026-03-28T00:53:46Z,720000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:3),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,
73,PT05M42.00S,2026-03-28T00:53:49.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630529,9.017739816031538,97.30392156862744,1610612740,18,10,2026-03-28T00:53:54Z,730000,False,-237.0,32.0,1,left,MISS H. Jones running 3PT,[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,,,,23.87,Missed,,,,,,,,,,,,,,,
74,PT05M39.00S,2026-03-28T00:53:52.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,18,10,2026-03-28T00:53:54Z,740000,False,,,0,,R. Barrett REBOUND (Off:2 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Left Corner 3,24+ Left,,,,,,,,,73.0,4.0,2.0,2.0,,,,,,,,
75,PT05M35.00S,2026-03-28T00:53:56.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642867,93.77463863337714,51.9607843137255,1610612761,20,10,2026-03-28T00:54:02Z,750000,False,10.0,6.0,1,right,C. Murray-Boyles running alley-oop DUNK (2 PTS) (J. Shead 1 AST),"[1642867, 1642347]",1610612761.0,TOR,running alley-oop,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,,,,1.15,Made,2.0,,,,,,,J. Shead,1642347.0,1.0,,,,,
77,PT05M35.00S,2026-03-28T00:54:03.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,20,10,2026-03-28T00:54:03Z,770000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M35.00S,2026-03-28T00:54:20.2Z,1,REGULAR,substitution,out,[],1642274,,,1610612740,20,10,2026-03-28T00:56:40Z,780000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M35.00S,2026-03-28T00:54:20.2Z,1,REGULAR,substitution,in,[],201599,,,1610612740,20,10,2026-03-28T00:56:40Z,790000,False,,,0,,SUB in: D. Jordan,[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M18.00S,2026-03-28T00:57:10.6Z,1,REGULAR,3pt,Jump Shot,[],1641722,33.459264126149804,43.38235294117647,1610612740,20,10,2026-03-28T00:57:17Z,800000,False,33.0,262.0,1,left,MISS J. Hawkins 26' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Center,,,,26.41,Missed,,,,,,,,,,,,,,,
82,PT05M16.00S,2026-03-28T00:57:12.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,20,10,2026-03-28T00:57:17Z,810000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,81.0,,,,,,,,,,,
84,PT05M06.00S,2026-03-28T00:57:29.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,70.77858081471747,60.78431372549019,1610612761,22,10,2026-03-28T00:57:38Z,830000,False,54.0,222.0,1,right,B. Ingram 22' pullup Jump Shot (4 PTS) (J. Poeltl 1 AST),"[1627742, 1627751]",1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,22.86,Made,4.0,,,,,,,J. Poeltl,1627751.0,1.0,,,,,
86,PT04M45.00S,2026-03-28T00:57:49.2Z,1,REGULAR,3pt,Jump Shot,[],1642847,31.750985545335087,80.88235294117648,1610612740,22,10,2026-03-28T00:57:54Z,850000,False,-154.0,246.0,1,left,MISS J. Fears 29' 3PT,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,,,,29.04,Missed,,,,,,,,,,,,,,,
