actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotResult,pointsTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
35,PT09M13.00S,2025-11-23T23:20:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,93.77463863337714,50.0,1610612761,12,0,2025-11-23T23:21:32Z,350000,False,0.0,6.0,1,right,S. Mamukelashvili cutting Layup (5 PTS) (I. Quickley 1 AST),"[1630572, 1630193]",1610612761.0,TOR,cutting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,,,,,Made,5.0,,,0.6,I. Quickley,1630193.0,1.0,,,,,,
37,PT09M01.00S,2025-11-23T23:21:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641730,6.1268068331143235,45.83333333333333,1610612751,12,2,2025-11-23T23:21:17Z,370000,False,21.0,5.0,1,left,N. Clowney driving finger roll Layup (2 PTS) (E. Dëmin 1 AST),"[1641730, 1642856]",1610612751.0,BKN,driving finger roll,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,,,2.14,E. Dëmin,1642856.0,1.0,,,,,,
39,PT09M01.00S,2025-11-23T23:21:14.5Z,1,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612751,12,2,2025-11-23T23:21:37Z,390000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Clowney 1 FT),"[1630567, 1641730]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,2714.0,1.0,0.0,Clowney,1641730.0,,,,,,,,,,,,,,,
41,PT09M01.00S,2025-11-23T23:21:26.9Z,1,REGULAR,substitution,out,[],1629611,,,1610612751,12,2,2025-11-23T23:22:15Z,410000,False,,,0,,SUB out: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M01.00S,2025-11-23T23:21:26.9Z,1,REGULAR,substitution,out,[],1629008,,,1610612751,12,2,2025-11-23T23:22:15Z,420000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M01.00S,2025-11-23T23:21:26.9Z,1,REGULAR,substitution,in,[],1630533,,,1610612751,12,2,2025-11-23T23:22:15Z,430000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M01.00S,2025-11-23T23:21:26.9Z,1,REGULAR,substitution,in,[],1631213,,,1610612751,12,2,2025-11-23T23:22:15Z,440000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M01.00S,2025-11-23T23:21:48.9Z,1,REGULAR,freethrow,1 of 1,[],1641730,,,1610612751,12,3,2025-11-23T23:21:48Z,450000,False,,,0,,N. Clowney Free Throw 1 of 1 (3 PTS),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
46,PT08M40.00S,2025-11-23T23:22:12.1Z,1,REGULAR,3pt,Jump Shot,[],1630572,83.919185282523,4.166666666666666,1610612761,12,3,2025-11-23T23:22:16Z,460000,False,-229.0,99.0,1,right,MISS S. Mamukelashvili 24' 3PT,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,,,24.95,,,,,,,,,
47,PT08M37.00S,2025-11-23T23:22:15.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,12,3,2025-11-23T23:22:16Z,470000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,
