actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M41.00S,2026-01-29T00:43:57.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,27.677398160315374,78.18627450980392,1610612752,5,0,2026-01-29T00:44:02Z,180000,False,-141.0,208.0,1,left,MISS J. Brunson 25' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,25.1,Missed,,,,,,,,,,,,,,,,,,
19,PT10M37.00S,2026-01-29T00:44:01.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,5,0,2026-01-29T00:44:02Z,190000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M25.00S,2026-01-29T00:44:38.0Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,5,0,2026-01-29T00:44:44Z,210000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1628384]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,Anunoby,1628384.0,,
22,PT10M25.00S,2026-01-29T00:44:38.0Z,1,REGULAR,steal,,[],1628384,,,1610612752,5,0,2026-01-29T00:44:40Z,220000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2026-01-29T00:44:50.4Z,1,REGULAR,turnover,lost ball,[],1626157,,,1610612752,5,0,2026-01-29T00:44:54Z,230000,False,,,0,,K. Towns lost ball TURNOVER (1 TO),"[1626157, 1627742]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,,,,,,Ingram,1627742.0,,
24,PT10M13.00S,2026-01-29T00:44:50.4Z,1,REGULAR,steal,,[],1627742,,,1610612761,5,0,2026-01-29T00:50:50Z,240000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
25,PT10M09.00S,2026-01-29T00:44:54.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,92.72339027595268,50.73529411764706,1610612761,7,0,2026-01-29T00:44:59Z,250000,False,4.0,16.0,1,right,S. Barnes running Layup (2 PTS) (R. Barrett 2 AST),"[1630567, 1629628]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,2.0,R. Barrett,1629628.0,2.0,,,,,,,,,,
27,PT10M09.00S,2026-01-29T00:44:59.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,7,0,2026-01-29T00:44:59Z,270000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M53.00S,2026-01-29T00:48:20.3Z,1,REGULAR,turnover,backcourt,[],1626157,,,1610612752,7,0,2026-01-29T00:48:28Z,280000,False,,,0,,K. Towns backcourt TURNOVER (2 TO),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2.0,200833.0,,,,,,,,
35,PT09M40.00S,2026-01-29T00:48:36.6Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,7,0,2026-01-29T00:52:33Z,290000,False,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (2 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2.0,1830.0,,,,,,,,
30,PT09M40.00S,2026-01-29T00:48:52.9Z,1,REGULAR,foul,personal,[],1630193,,,1610612752,7,0,2026-01-29T00:52:46Z,300000,False,,,0,,I. Quickley loose ball personal FOUL (1 PF),"[1630193, 1628973]",1610612761.0,TOR,loose ball,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1629177.0,1.0,0.0,Brunson,1628973.0,,,,
32,PT09M40.00S,2026-01-29T00:49:13.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,7,0,2026-01-29T00:52:46Z,320000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M17.00S,2026-01-29T00:52:45.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,15.456636005256241,28.921568627450984,1610612752,7,0,2026-01-29T00:53:34Z,340000,False,105.0,93.0,1,left,MISS J. Brunson 14' turnaround bank Shot,[1628973],1610612752.0,NYK,turnaround bank,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,14.04,Missed,,,,,,,,,,,,,,,,,,
38,PT09M16.00S,2026-01-29T00:52:46.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,7,0,2026-01-29T00:53:38Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,8-16 Right,,,37.0,,,,,,,,,,,,,,,,,
40,PT09M15.00S,2026-01-29T00:52:59.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,7,0,2026-01-29T00:53:08Z,370000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1629177.0,,,,,,,,
41,PT09M07.00S,2026-01-29T00:53:07.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630193,84.83902759526939,59.068627450980394,1610612761,7,0,2026-01-29T00:53:14Z,380000,False,45.0,90.0,1,right,MISS I. Quickley 10' driving floating Shot,[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,10.08,Missed,,,,,,,,,,,,,,,,,,
42,PT09M05.00S,2026-01-29T00:53:09.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,7,0,2026-01-29T00:53:14Z,390000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT08M53.00S,2026-01-29T00:53:22.8Z,1,REGULAR,3pt,Jump Shot,[],1628404,6.783837056504599,2.450980392156863,1610612752,7,3,2026-01-29T00:54:37Z,400000,False,238.0,11.0,1,left,J. Hart 3PT  (3 PTS) (M. Bridges 1 AST),"[1628404, 1628969]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,23.8,Made,,,,,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,,
44,PT08M39.00S,2026-01-29T00:53:35.8Z,1,REGULAR,3pt,Jump Shot,[],1630567,69.59592641261499,25.49019607843137,1610612761,10,3,2026-01-29T00:53:41Z,410000,False,-123.0,233.0,1,right,S. Barnes 26' 3PT  (5 PTS) (I. Quickley 1 AST),"[1630567, 1630193]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,26.35,Made,,,,,5.0,I. Quickley,1630193.0,1.0,,,,,,,,,,
46,PT08M19.00S,2026-01-29T00:53:55.8Z,1,REGULAR,3pt,Jump Shot,[],1628973,6.521024967148489,4.166666666666666,1610612752,10,3,2026-01-29T00:54:00Z,430000,False,229.0,9.0,1,left,MISS J. Brunson 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,22.94,Missed,,,,,,,,,,,,,,,,,,
47,PT08M16.00S,2026-01-29T00:53:58.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,10,3,2026-01-29T00:54:00Z,440000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
50,PT08M00.00S,2026-01-29T00:54:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.1688567674113,51.225490196078425,1610612761,12,3,2026-01-29T00:54:36Z,460000,False,6.0,2.0,1,right,R. Barrett cutting Layup (2 PTS) (C. Murray-Boyles 1 AST),"[1629628, 1642867]",1610612761.0,TOR,cutting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,2.0,C. Murray-Boyles,1642867.0,1.0,,,,,,,,,,
52,PT07M50.00S,2026-01-29T00:54:45.9Z,1,REGULAR,foul,personal,[],1642867,,,1610612752,12,3,2026-01-29T00:54:53Z,480000,False,,,0,,C. Murray-Boyles personal FOUL (1 PF),"[1642867, 1626157]",1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1830.0,1.0,0.0,Towns,1626157.0,,,,
54,PT07M37.00S,2026-01-29T00:55:17.1Z,1,REGULAR,3pt,Jump Shot,[],1628404,9.149145860709593,97.54901960784314,1610612752,12,3,2026-01-29T00:55:22Z,500000,False,-238.0,34.0,1,left,MISS J. Hart 24' 3PT,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,24.0,Missed,,,,,,,,,,,,,,,,,,
55,PT07M33.00S,2026-01-29T00:55:21.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,12,3,2026-01-29T00:55:22Z,510000,False,,,0,,R. Barrett REBOUND (Off:0 Def:3),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Left Corner 3,24+ Left,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT07M29.00S,2026-01-29T00:55:24.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,93.64323258869908,97.05882352941177,1610612761,12,3,2026-01-29T00:55:30Z,520000,False,235.0,7.0,1,right,MISS B. Ingram running 3PT,[1627742],1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,23.54,Missed,,,,,,,,,,,,,,,,,,
57,PT07M25.00S,2026-01-29T00:55:28.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,12,3,2026-01-29T00:55:30Z,530000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT07M22.00S,2026-01-29T00:55:31.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628973,6.389618922470433,51.71568627450981,1610612752,12,5,2026-01-29T00:55:36Z,540000,False,-9.0,8.0,1,left,J. Brunson running Layup (2 PTS) (J. Hart 1 AST),"[1628973, 1628404]",1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,
118,PT07M03.00S,2026-01-29T00:55:45.5Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612761,12,5,2026-01-29T01:03:39Z,565000,False,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 1628404]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,,,,,,Hart,1628404.0,,
119,PT07M03.00S,2026-01-29T00:55:45.5Z,1,REGULAR,steal,,[],1628404,,,1610612752,12,5,2026-01-29T01:03:19Z,572500,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M55.00S,2026-01-29T00:55:59.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628384,12.434296977660972,48.03921568627451,1610612752,12,5,2026-01-29T01:03:19Z,580000,False,10.0,64.0,1,left,MISS O. Anunoby 6' driving Hook,[1628384],1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,6.51,Missed,,,,,,,,,,,,,,,,,,
63,PT06M52.00S,2026-01-29T00:56:02.4Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,12,5,2026-01-29T00:56:04Z,590000,False,,,0,,R. Barrett REBOUND (Off:0 Def:4),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,62.0,4.0,4.0,0.0,,,,,,,,,,,,,,
64,PT06M50.00S,2026-01-29T00:56:05.9Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612761,12,5,2026-01-29T00:56:13Z,600000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Barrett 2 FT),"[1628384, 1629628]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1830.0,1.0,0.0,Barrett,1629628.0,,,,
66,PT06M50.00S,2026-01-29T00:56:32.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612761,13,5,2026-01-29T00:56:32Z,620000,False,,,0,,R. Barrett Free Throw 1 of 2 (3 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
67,PT06M50.00S,2026-01-29T00:56:32.9Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,13,5,2026-01-29T00:56:41Z,630000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M50.00S,2026-01-29T00:56:32.9Z,1,REGULAR,substitution,out,[],1628973,,,1610612761,13,5,2026-01-29T00:56:41Z,640000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M50.00S,2026-01-29T00:56:32.9Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,13,5,2026-01-29T00:56:41Z,650000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M50.00S,2026-01-29T00:56:32.9Z,1,REGULAR,substitution,in,[],1642278,,,1610612761,13,5,2026-01-29T00:56:41Z,660000,False,,,0,,SUB in: T. Kolek,[1642278],1610612752.0,NYK,,,,Kolek,T. Kolek,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M50.00S,2026-01-29T00:56:48.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612761,14,5,2026-01-29T00:56:48Z,670000,False,,,0,,R. Barrett Free Throw 2 of 2 (4 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
72,PT06M34.00S,2026-01-29T00:57:05.9Z,1,REGULAR,3pt,Jump Shot,[],1628384,16.507884362680684,96.32352941176471,1610612752,14,8,2026-01-29T00:57:10Z,680000,False,-232.0,103.0,1,left,O. Anunoby 25' 3PT  (3 PTS) (T. Kolek 1 AST),"[1628384, 1642278]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,25.33,Made,,,,,3.0,T. Kolek,1642278.0,1.0,,,,,,,,,,
74,PT06M22.00S,2026-01-29T00:57:18.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,87.20433639947439,19.607843137254903,1610612761,14,8,2026-01-29T01:00:12Z,700000,False,-152.0,68.0,1,right,MISS B. Ingram 16' step back Shot,[1627742],1610612761.0,TOR,step back,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left,16.64,Missed,,,,,,,,,,,,,,,,,,
75,PT06M20.00S,2026-01-29T00:57:20.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,14,8,2026-01-29T00:57:23Z,710000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,,
76,PT06M15.00S,2026-01-29T00:57:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,8.623521681997373,49.50980392156863,1610612752,14,10,2026-01-29T01:01:12Z,720000,False,2.0,29.0,1,left,O. Anunoby driving Layup (5 PTS) (T. Kolek 2 AST),"[1628384, 1642278]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,2.87,Made,,,,,5.0,T. Kolek,1642278.0,2.0,,,,,,,,,,
78,PT06M15.00S,2026-01-29T00:57:32.9Z,1,REGULAR,foul,personal,['1freethrow'],1629628,,,1610612752,14,10,2026-01-29T00:58:05Z,740000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Anunoby 1 FT),"[1629628, 1628384]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1830.0,1.0,0.0,Anunoby,1628384.0,,,,
80,PT06M15.00S,2026-01-29T00:57:48.1Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,14,10,2026-01-29T00:58:07Z,760000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M15.00S,2026-01-29T00:57:48.1Z,1,REGULAR,substitution,out,[],1628969,,,1610612752,14,10,2026-01-29T00:58:07Z,770000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M15.00S,2026-01-29T00:57:48.1Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,14,10,2026-01-29T00:58:07Z,780000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M15.00S,2026-01-29T00:57:48.1Z,1,REGULAR,substitution,in,[],1642266,,,1610612752,14,10,2026-01-29T00:58:07Z,790000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M15.00S,2026-01-29T00:57:48.1Z,1,REGULAR,substitution,in,[],1630574,,,1610612752,14,10,2026-01-29T00:58:07Z,800000,False,,,0,,SUB in: A. Hukporti,[1630574],1610612752.0,NYK,,,,Hukporti,A. Hukporti,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M15.00S,2026-01-29T00:57:48.1Z,1,REGULAR,substitution,in,[],1629013,,,1610612752,14,10,2026-01-29T00:58:07Z,810000,False,,,0,,SUB in: L. Shamet,[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M15.00S,2026-01-29T00:58:06.2Z,1,REGULAR,freethrow,1 of 1,[],1628384,,,1610612752,14,10,2026-01-29T01:01:53Z,820000,False,,,0,,MISS O. Anunoby Free Throw 1 of 1,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
87,PT06M10.00S,2026-01-29T00:58:11.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,14,10,2026-01-29T01:01:53Z,830000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,
88,PT05M57.00S,2026-01-29T00:58:21.8Z,1,REGULAR,foul,personal,['2freethrow'],1630574,,,1610612761,14,10,2026-01-29T00:58:31Z,840000,False,,,0,,A. Hukporti shooting personal FOUL (1 PF) (Ingram 2 FT),"[1630574, 1627742]",1610612752.0,NYK,shooting,,,Hukporti,A. Hukporti,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1629177.0,1.0,0.0,Ingram,1627742.0,,,,
90,PT05M57.00S,2026-01-29T00:58:51.0Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612761,15,10,2026-01-29T00:58:51Z,860000,False,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
91,PT05M57.00S,2026-01-29T00:58:51.7Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,15,10,2026-01-29T00:58:54Z,870000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M57.00S,2026-01-29T00:58:51.7Z,1,REGULAR,substitution,in,[],1642885,,,1610612761,15,10,2026-01-29T00:58:54Z,880000,False,,,0,,SUB in: M. Diawara,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M57.00S,2026-01-29T00:59:15.5Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612761,16,10,2026-01-29T00:59:15Z,890000,False,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
94,PT05M45.00S,2026-01-29T00:59:28.7Z,1,REGULAR,3pt,Jump Shot,[],1642885,23.209592641261498,12.254901960784313,1610612752,16,10,2026-01-29T00:59:35Z,900000,False,189.0,166.0,1,left,MISS M. Diawara 25' 3PT,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Above the Break 3,24+ Right Center,25.11,Missed,,,,,,,,,,,,,,,,,,
