actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT10M45.00S,2025-11-27T00:44:26.5Z,1,REGULAR,3pt,Jump Shot,[],1642867,73.40670170827858,15.686274509803921,1610612761,2,2,2025-11-27T00:44:31Z,160000,False,-172.0,197.0,1,right,MISS C. Murray-Boyles 26' 3PT,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Above the Break 3,24+ Left Center,26.16,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2025-11-27T00:44:29.5Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,2,2,2025-11-27T00:44:31Z,170000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Left Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M37.00S,2025-11-27T00:44:37.7Z,1,REGULAR,foul,personal,[],1642867,,,1610612754,2,2,2025-11-27T00:44:46Z,180000,False,,,0,,C. Murray-Boyles personal FOUL (1 PF),"[1642867, 1627783]",1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Mid-Range,16-24 Center,,,,,,,,2004.0,1.0,0.0,Siakam,1627783.0,,,,,,,,
20,PT10M28.00S,2025-11-27T00:45:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,13.748357424441524,39.950980392156865,1610612754,2,4,2025-11-27T00:45:07Z,200000,False,50.0,77.0,1,left,P. Siakam 9' driving floating Jump Shot (2 PTS),[1627783],1610612754.0,IND,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,9.17,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M12.00S,2025-11-27T00:45:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,84.44480946123521,48.28431372549019,1610612761,4,4,2025-11-27T00:45:21Z,210000,False,-9.0,94.0,1,right,I. Quickley 9' driving floating Jump Shot (2 PTS),[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,9.41,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2025-11-27T00:45:40.4Z,1,REGULAR,turnover,lost ball,[],1630543,,,1610612754,4,4,2025-11-27T00:45:45Z,220000,False,,,0,,I. Jackson lost ball TURNOVER (1 TO),"[1630543, 1630193]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Quickley,1630193.0,,,,,
23,PT09M49.00S,2025-11-27T00:45:40.4Z,1,REGULAR,steal,,[],1630193,,,1610612761,4,4,2025-11-27T00:45:43Z,230000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M46.00S,2025-11-27T00:45:44.7Z,1,REGULAR,turnover,bad pass,[],1630193,,,1610612761,4,4,2025-11-27T00:45:49Z,240000,False,,,0,,I. Quickley bad pass TURNOVER (1 TO),"[1630193, 1627783]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,
25,PT09M46.00S,2025-11-27T00:45:44.7Z,1,REGULAR,steal,,[],1627783,,,1610612754,4,4,2025-11-27T00:45:47Z,250000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
26,PT09M31.00S,2025-11-27T00:45:59.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641716,8.623521681997373,1.715686274509804,1610612754,4,7,2025-11-27T00:46:04Z,260000,False,241.0,29.0,1,left,J. Walker 24' 3PT  (3 PTS) (B. Mathurin 1 AST),"[1641716, 1631097]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,24.31,Made,3.0,,,,,,,,,,,,,B. Mathurin,1631097.0,1.0,,
28,PT09M19.00S,2025-11-27T00:46:14.6Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612761,4,7,2025-11-27T00:46:27Z,280000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Barnes 2 FT),"[1627783, 1630567]",1610612754.0,IND,shooting,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2004.0,1.0,0.0,Barnes,1630567.0,,,,,,,,
30,PT09M19.00S,2025-11-27T00:46:41.6Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,5,7,2025-11-27T00:46:41Z,300000,False,,,0,,S. Barnes Free Throw 1 of 2 (3 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
31,PT09M19.00S,2025-11-27T00:46:56.3Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,6,7,2025-11-27T00:46:56Z,310000,False,,,0,,S. Barnes Free Throw 2 of 2 (4 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
32,PT09M06.00S,2025-11-27T00:47:11.4Z,1,REGULAR,3pt,Jump Shot,[],1629614,32.933639947437584,53.92156862745098,1610612754,6,7,2025-11-27T00:47:17Z,320000,False,-20.0,257.0,1,left,MISS A. Nembhard 25' pullup 3PT,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,25.78,Missed,,,,,,,,,,,,,,,,,,
33,PT09M03.00S,2025-11-27T00:47:14.4Z,1,REGULAR,rebound,offensive,[],1641716,,,1610612754,6,7,2025-11-27T00:47:17Z,330000,False,,,0,,J. Walker REBOUND (Off:1 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Center,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,,
34,PT09M01.00S,2025-11-27T00:47:16.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631097,25.04927726675427,16.911764705882355,1610612754,6,7,2025-11-27T00:47:20Z,340000,False,165.0,183.0,1,left,MISS B. Mathurin 24' 3PT,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,24.67,Missed,,,,,,,,,,,,,,,,,,
35,PT08M59.00S,2025-11-27T00:47:18.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,6,7,2025-11-27T00:47:20Z,350000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M46.00S,2025-11-27T00:47:32.2Z,1,REGULAR,2pt,Jump Shot,[],1630567,90.75229960578186,20.34313725490196,1610612761,6,7,2025-11-27T00:47:39Z,360000,False,-148.0,34.0,1,right,MISS S. Barnes 15' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,15.22,Missed,,,,,,,,,,,,,,,,,,
37,PT08M44.00S,2025-11-27T00:47:34.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,6,7,2025-11-27T00:47:39Z,370000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Mid-Range,8-16 Left,,,,36.0,,,,,,,,,,,,,,,,
38,PT08M44.00S,2025-11-27T00:47:38.9Z,1,REGULAR,foul,personal,[],1642867,,,1610612754,6,7,2025-11-27T00:47:57Z,380000,False,,,0,,C. Murray-Boyles loose ball personal FOUL (2 PF),"[1642867, 1630543]",1610612761.0,TOR,loose ball,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,2.0,0.0,Jackson,1630543.0,,,,,,,,
40,PT08M44.00S,2025-11-27T00:47:50.8Z,1,REGULAR,substitution,out,[],1642867,,,1610612754,6,7,2025-11-27T00:47:55Z,400000,False,,,0,,SUB out: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M44.00S,2025-11-27T00:47:50.8Z,1,REGULAR,substitution,in,[],1642266,,,1610612754,6,7,2025-11-27T00:47:55Z,410000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M31.00S,2025-11-27T00:48:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,6.652431011826544,51.225490196078425,1610612754,6,9,2025-11-27T00:48:14Z,420000,False,-6.0,10.0,1,left,B. Mathurin cutting Layup (2 PTS) (I. Jackson 1 AST),"[1631097, 1630543]",1610612754.0,IND,cutting,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,,,,,,,,,,,,,I. Jackson,1630543.0,1.0,,
44,PT08M17.00S,2025-11-27T00:48:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.80354796320631,45.09803921568628,1610612761,6,9,2025-11-27T00:48:29Z,440000,False,-25.0,25.0,1,right,MISS B. Ingram Layup - blocked,"[1627742, 1630543]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,3.46,Missed,,,,,,,,,,,,,,,,,Jackson,1630543.0
45,PT08M17.00S,2025-11-27T00:48:24.7Z,1,REGULAR,block,,[],1630543,,,1610612761,6,9,2025-11-27T00:48:27Z,450000,False,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M17.00S,2025-11-27T00:48:24.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,6,9,2025-11-27T00:48:29Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,44.0,,,,,,,,,,,,,,,,
48,PT08M15.00S,2025-11-27T00:48:42.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627742,92.85479632063075,52.450980392156865,1610612761,8,9,2025-11-27T00:48:46Z,480000,False,12.0,15.0,1,right,B. Ingram cutting DUNK (2 PTS) (I. Quickley 1 AST),"[1627742, 1630193]",1610612761.0,TOR,cutting,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.92,Made,2.0,,,,,,,,,,,,,I. Quickley,1630193.0,1.0,,
50,PT07M48.00S,2025-11-27T00:49:07.7Z,1,REGULAR,3pt,Jump Shot,[],1641716,5.075558475689881,95.34313725490196,1610612754,8,12,2025-11-27T00:49:11Z,500000,False,-227.0,-5.0,1,left,J. Walker 3PT  (6 PTS) (A. Nembhard 1 AST),"[1641716, 1629614]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Left Corner 3,24+ Left,22.68,Made,6.0,,,,,,,,,,,,,A. Nembhard,1629614.0,1.0,,
52,PT07M33.00S,2025-11-27T00:49:23.7Z,1,REGULAR,turnover,lost ball,[],1627751,,,1610612761,8,12,2025-11-27T00:49:28Z,520000,False,,,0,,J. Poeltl lost ball TURNOVER (1 TO),"[1627751, 1629614]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Nembhard,1629614.0,,,,,
53,PT07M33.00S,2025-11-27T00:49:23.7Z,1,REGULAR,steal,,[],1629614,,,1610612754,8,12,2025-11-27T00:49:25Z,530000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
54,PT07M27.00S,2025-11-27T00:49:29.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1641716,28.203022339027594,19.852941176470587,1610612754,8,12,2025-11-27T00:51:54Z,540000,False,151.0,213.0,1,left,MISS J. Walker 26' running 3PT,[1641716],1610612754.0,IND,running,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
55,PT07M26.00S,2025-11-27T00:49:30.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,8,12,2025-11-27T00:49:41Z,550000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,54.0,,,,,,,,,,,,,,,,
57,PT07M26.00S,2025-11-27T00:49:40.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,8,12,2025-11-27T00:49:40Z,570000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M04.00S,2025-11-27T00:53:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,87.99277266754271,38.48039215686275,1610612761,10,12,2025-11-27T00:53:06Z,580000,False,-58.0,60.0,1,right,S. Barnes 8' Jump Shot (6 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Left,8.35,Made,6.0,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2025-11-27T00:53:20.5Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,10,12,2025-11-27T00:53:24Z,590000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 1642266]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,Walter,1642266.0,,,,,
60,PT06M46.00S,2025-11-27T00:53:20.5Z,1,REGULAR,steal,,[],1642266,,,1610612761,10,12,2025-11-27T00:53:22Z,600000,False,,,0,,J. Walter STEAL (1 STL),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2025-11-27T00:53:24.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630193,70.64717477003943,78.18627450980392,1610612761,10,12,2025-11-27T00:53:47Z,610000,False,141.0,223.0,1,right,MISS I. Quickley 26' running 3PT - blocked,"[1630193, 1630543]",1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,Jackson,1630543.0
62,PT06M42.00S,2025-11-27T00:53:24.8Z,1,REGULAR,block,,[],1630543,,,1610612761,10,12,2025-11-27T00:53:28Z,620000,False,,,0,,I. Jackson BLOCK (2 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
63,PT06M37.00S,2025-11-27T00:53:29.8Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,10,12,2025-11-27T00:53:30Z,630000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,61.0,1.0,0.0,1.0,,,,,,,,,,,,,
64,PT06M35.00S,2025-11-27T00:53:31.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642266,73.01248357424441,20.098039215686274,1610612761,10,12,2025-11-27T00:53:36Z,640000,False,-150.0,201.0,1,right,MISS J. Walter 25' 3PT,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
65,PT06M34.00S,2025-11-27T00:53:32.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,10,12,2025-11-27T00:53:36Z,650000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Left Center,,,,64.0,,,,,,,,,,,,,,,,
66,PT06M34.00S,2025-11-27T00:53:37.2Z,1,REGULAR,foul,personal,[],1629614,,,1610612761,10,12,2025-11-27T00:53:42Z,660000,False,,,0,,A. Nembhard loose ball personal FOUL (1 PF),"[1629614, 1627751]",1610612754.0,IND,loose ball,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1629178.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,
68,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,10,12,2025-11-27T00:53:52Z,680000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,in,[],1630526,,,1610612761,10,12,2025-11-27T00:53:52Z,690000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,10,12,2025-11-27T00:54:22Z,700000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,10,12,2025-11-27T00:54:22Z,710000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,out,[],1630543,,,1610612761,10,12,2025-11-27T00:54:22Z,720000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,in,[],1641711,,,1610612761,10,12,2025-11-27T00:54:22Z,730000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,10,12,2025-11-27T00:54:22Z,740000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M34.00S,2025-11-27T00:53:45.3Z,1,REGULAR,substitution,in,[],1630643,,,1610612761,10,12,2025-11-27T00:54:22Z,750000,False,,,0,,SUB in: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M27.00S,2025-11-27T00:54:41.7Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1627742,82.60512483574244,15.441176470588236,1610612761,10,12,2025-11-27T00:54:47Z,760000,False,-173.0,111.0,1,right,MISS B. Ingram 20' Jump Shot,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left,20.54,Missed,,,,,,,,,,,,,,,,,,
77,PT06M25.00S,2025-11-27T00:54:43.7Z,1,REGULAR,rebound,offensive,[],1641711,,,1610612761,10,12,2025-11-27T00:54:47Z,770000,False,,,0,,G. Dick REBOUND (Off:1 Def:0),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,16-24 Left,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,
78,PT06M23.00S,2025-11-27T00:54:45.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630193,68.15045992115637,63.725490196078425,1610612761,13,12,2025-11-27T00:54:50Z,780000,False,69.0,247.0,1,right,I. Quickley 25' 3PT  (5 PTS) (G. Dick 1 AST),"[1630193, 1641711]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,25.63,Made,5.0,,,,,,,,,,,,,G. Dick,1641711.0,1.0,,
80,PT06M04.00S,2025-11-27T00:55:04.5Z,1,REGULAR,2pt,Jump Shot,[],1631097,24.917871222076215,65.44117647058823,1610612754,13,12,2025-11-27T00:55:12Z,800000,False,-77.0,182.0,1,left,MISS B. Mathurin 19' pullup Shot,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Left Center,19.74,Missed,,,,,,,,,,,,,,,,,,
81,PT06M00.00S,2025-11-27T00:55:08.5Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,13,12,2025-11-27T00:55:12Z,810000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Left Center,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,
82,PT05M49.00S,2025-11-27T00:55:19.2Z,1,REGULAR,3pt,Jump Shot,[],1630193,94.03745072273325,98.2843137254902,1610612761,13,12,2025-11-27T00:55:26Z,820000,False,241.0,4.0,1,right,MISS I. Quickley 24' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,24.14,Missed,,,,,,,,,,,,,,,,,,
83,PT05M47.00S,2025-11-27T00:55:21.2Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,13,12,2025-11-27T00:55:26Z,830000,False,,,0,,J. Walker REBOUND (Off:1 Def:2),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,,,,82.0,3.0,2.0,1.0,,,,,,,,,,,,,
84,PT05M42.00S,2025-11-27T00:55:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631097,5.863994743758213,53.431372549019606,1610612754,13,12,2025-11-27T00:55:31Z,840000,False,-17.0,3.0,1,left,MISS B. Mathurin running reverse Layup,[1631097],1610612754.0,IND,running reverse,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,,,,,,
