actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
15,PT11M03.00S,2025-12-07T20:44:40.3Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612738,0,0,2025-12-07T20:44:49Z,150000,False,,,0,,D. White bad pass out-of-bounds TURNOVER (1 TO),[1628401],1610612738.0,BOS,bad pass,,,White,D. White,,,,,Mid-Range,8-16 Right,101284.0,1.0,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2025-12-07T20:44:58.8Z,1,REGULAR,foul,personal,[],1630202,,,1610612761,0,0,2025-12-07T20:45:04Z,160000,False,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1627742]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Right Center,101284.0,,,,,,,,,,1.0,0.0,Ingram,1627742.0,,,,,,
18,PT10M49.00S,2025-12-07T20:45:19.3Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612761,0,0,2025-12-07T20:45:23Z,180000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1641775]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,1.0,,,,,,,,,,,,,Walsh,1641775.0,,,,
19,PT10M49.00S,2025-12-07T20:45:19.3Z,1,REGULAR,steal,,[],1641775,,,1610612738,0,0,2025-12-07T20:45:21Z,190000,False,,,0,,J. Walsh STEAL (1 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2025-12-07T20:45:23.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630202,30.436925098554536,85.5392156862745,1610612738,0,0,2025-12-07T20:47:12Z,200000,False,-178.0,234.0,1,left,MISS P. Pritchard 29' running 3PT,[1630202],1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,29.35,Missed,,,,,,,,,,,,,,,,
21,PT10M41.00S,2025-12-07T20:45:27.5Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,0,0,2025-12-07T20:45:31Z,210000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,
22,PT10M35.00S,2025-12-07T20:45:34.3Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612761,0,0,2025-12-07T20:45:39Z,220000,False,,,0,,B. Ingram bad pass out-of-bounds TURNOVER (2 TO),[1627742],1610612761.0,TOR,bad pass,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,101284.0,2.0,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2025-12-07T20:45:53.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628401,18.74178712220762,79.16666666666666,1610612738,0,2,2025-12-07T20:45:58Z,230000,False,-146.0,124.0,1,left,D. White 19' pullup Jump Shot (2 PTS) (N. Queta 1 AST),"[1628401, 1629674]",1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,16-24 Left Center,,,19.12,Made,,,,,,,,,,,,,2.0,N. Queta,1629674.0,1.0
25,PT09M59.00S,2025-12-07T20:46:13.2Z,1,REGULAR,3pt,Jump Shot,[],1630567,83.919185282523,1.9607843137254901,1610612761,0,2,2025-12-07T20:46:17Z,250000,False,-240.0,99.0,1,right,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,25.97,Missed,,,,,,,,,,,,,,,,
26,PT09M57.00S,2025-12-07T20:46:15.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2025-12-07T20:46:17Z,260000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
27,PT09M49.00S,2025-12-07T20:46:24.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,25.57490144546649,84.31372549019608,1610612738,0,5,2025-12-07T20:46:29Z,270000,False,-172.0,188.0,1,left,D. White 25' 3PT  (5 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,25.45,Made,,,,,,,,,,,,,5.0,J. Brown,1627759.0,1.0
29,PT09M32.00S,2025-12-07T20:46:40.8Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612761,0,5,2025-12-07T20:46:45Z,290000,False,,,0,,B. Ingram lost ball TURNOVER (3 TO),"[1627742, 1641775]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left,,3.0,,,,,,,,,,,,,Walsh,1641775.0,,,,
30,PT09M32.00S,2025-12-07T20:46:40.8Z,1,REGULAR,steal,,[],1641775,,,1610612738,0,5,2025-12-07T20:46:42Z,300000,False,,,0,,J. Walsh STEAL (2 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2025-12-07T20:46:48.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,6.521024967148489,3.431372549019608,1610612738,0,5,2025-12-07T20:46:54Z,310000,False,233.0,9.0,1,left,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,,,23.3,Missed,,,,,,,,,,,,,,,,
32,PT09M23.00S,2025-12-07T20:46:49.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,5,2025-12-07T20:46:54Z,320000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Right Corner 3,24+ Right,,,,,31.0,,,,,,,,,,,,,,,
34,PT09M09.00S,2025-12-07T20:47:08.8Z,1,REGULAR,3pt,Jump Shot,[],1627742,72.35545335085413,23.03921568627451,1610612761,3,5,2025-12-07T20:47:13Z,340000,False,-135.0,207.0,1,right,B. Ingram 24' 3PT pullup (3 PTS) (I. Quickley 1 AST),"[1627742, 1630193]",1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,24.74,Made,,,,,,,,,,,,,3.0,I. Quickley,1630193.0,1.0
36,PT08M51.00S,2025-12-07T20:47:26.6Z,1,REGULAR,3pt,Jump Shot,[],1641775,6.389618922470433,97.54901960784314,1610612738,3,8,2025-12-07T20:47:30Z,360000,False,-238.0,8.0,1,left,J. Walsh 3PT  (3 PTS) (J. Brown 2 AST),"[1641775, 1627759]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Left Corner 3,24+ Left,,,23.78,Made,,,,,,,,,,,,,3.0,J. Brown,1627759.0,2.0
38,PT08M39.00S,2025-12-07T20:47:39.5Z,1,REGULAR,turnover,lost ball,[],1630193,,,1610612761,3,8,2025-12-07T20:47:42Z,380000,False,,,0,,I. Quickley lost ball TURNOVER (1 TO),"[1630193, 1641775]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,,,,,,Walsh,1641775.0,,,,
39,PT08M39.00S,2025-12-07T20:47:39.5Z,1,REGULAR,steal,,[],1641775,,,1610612738,3,8,2025-12-07T20:47:41Z,390000,False,,,0,,J. Walsh STEAL (3 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
40,PT08M35.00S,2025-12-07T20:47:45.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641775,6.389618922470433,52.69607843137255,1610612738,3,8,2025-12-07T20:48:10Z,400000,False,-13.0,8.0,1,left,MISS J. Walsh running finger roll Layup,[1641775],1610612738.0,BOS,running finger roll,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,1.55,Missed,,,,,,,,,,,,,,,,
41,PT08M33.00S,2025-12-07T20:47:47.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,3,8,2025-12-07T20:48:10Z,410000,False,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,40.0,2.0,1.0,1.0,,,,,,,,,,,,
42,PT08M33.00S,2025-12-07T20:47:49.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,5.590000152587891,50.0,1610612738,3,10,2025-12-07T20:48:15Z,420000,False,0.0,0.0,1,left,J. Brown tip Layup (2 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,0.0,Made,,,,,,,,,,,,,2.0,,,
43,PT08M32.00S,2025-12-07T20:47:52.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,3,10,2025-12-07T20:47:52Z,430000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2025-12-07T20:50:55.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,88.51839684625493,37.00980392156863,1610612761,5,10,2025-12-07T20:51:29Z,440000,False,-65.0,55.0,1,right,J. Poeltl 8' floating Jump Shot (2 PTS) (I. Quickley 2 AST),"[1627751, 1630193]",1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Left,,,8.54,Made,,,,,,,,,,,,,2.0,I. Quickley,1630193.0,2.0
46,PT08M08.00S,2025-12-07T20:51:06.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,30.56833114323259,73.0392156862745,1610612738,5,13,2025-12-07T20:51:10Z,460000,False,-115.0,235.0,1,left,D. White 26' 3PT pullup (8 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,26.15,Made,,,,,,,,,,,,,8.0,,,
47,PT07M58.00S,2025-12-07T20:51:16.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,72.7496714848883,81.37254901960785,1610612761,5,13,2025-12-07T20:51:20Z,470000,False,157.0,204.0,1,right,MISS I. Quickley 25' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,25.71,Missed,,,,,,,,,,,,,,,,
48,PT07M56.00S,2025-12-07T20:51:18.3Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,5,13,2025-12-07T20:51:20Z,480000,False,,,0,,J. Walsh REBOUND (Off:0 Def:2),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,
49,PT07M51.00S,2025-12-07T20:51:24.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,26.10052562417871,18.627450980392158,1610612738,5,13,2025-12-07T20:52:16Z,490000,False,157.0,193.0,1,left,MISS D. White 24' running pullup 3PT,[1628401],1610612738.0,BOS,running pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,24.86,Missed,,,,,,,,,,,,,,,,
50,PT07M47.00S,2025-12-07T20:51:28.3Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,5,13,2025-12-07T20:51:28Z,500000,False,,,0,,J. Brown REBOUND (Off:2 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,49.0,3.0,1.0,2.0,,,,,,,,,,,,
51,PT07M44.00S,2025-12-07T20:51:31.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629674,6.389618922470433,49.754901960784316,1610612738,5,13,2025-12-07T20:51:35Z,510000,False,1.0,8.0,1,left,MISS N. Queta alley-oop DUNK,[1629674],1610612738.0,BOS,alley-oop,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,0.77,Missed,,,,,,,,,,,,,,,,
52,PT07M42.00S,2025-12-07T20:51:32.8Z,1,REGULAR,rebound,offensive,[],1641775,,,1610612738,5,13,2025-12-07T20:51:32Z,520000,False,,,0,,J. Walsh REBOUND (Off:1 Def:2),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,,,51.0,3.0,2.0,1.0,,,,,,,,,,,,
53,PT07M40.00S,2025-12-07T20:51:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641775,6.258212877792378,48.28431372549019,1610612738,5,15,2025-12-07T20:51:39Z,530000,False,9.0,6.0,1,left,J. Walsh putback Layup (5 PTS),[1641775],1610612738.0,BOS,putback,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,1.07,Made,,,,,,,,,,,,,5.0,,,
54,PT07M31.00S,2025-12-07T20:51:45.3Z,1,REGULAR,foul,personal,[],1641775,,,1610612761,5,15,2025-12-07T20:52:06Z,540000,False,,,0,,J. Walsh personal FOUL (1 PF),"[1641775, 1630567]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Left Center,101284.0,,,,,,,,,,1.0,0.0,Barnes,1630567.0,,,,,,
56,PT07M31.00S,2025-12-07T20:51:53.6Z,1,REGULAR,substitution,out,[],1642266,,,1610612761,5,15,2025-12-07T20:51:59Z,560000,False,,,0,,SUB out: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M31.00S,2025-12-07T20:51:53.6Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,5,15,2025-12-07T20:51:59Z,570000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2025-12-07T20:52:16.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,88.38699080157687,79.16666666666666,1610612761,7,15,2025-12-07T20:52:53Z,580000,False,146.0,57.0,1,right,B. Ingram 15' pullup Jump Shot (5 PTS),[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,15.64,Made,,,,,,,,,,,,,5.0,,,
59,PT07M10.00S,2025-12-07T20:52:29.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,33.327858081471746,76.9607843137255,1610612738,7,15,2025-12-07T20:52:35Z,590000,False,-135.0,261.0,1,left,MISS D. White 29' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,29.36,Missed,,,,,,,,,,,,,,,,
60,PT07M07.00S,2025-12-07T20:52:32.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,7,15,2025-12-07T20:52:35Z,600000,False,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,
61,PT07M04.00S,2025-12-07T20:52:36.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,75.1149802890933,12.009803921568627,1610612761,7,15,2025-12-07T20:52:41Z,610000,False,-190.0,181.0,1,right,MISS B. Ingram 26' running 3PT,[1627742],1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,26.27,Missed,,,,,,,,,,,,,,,,
62,PT07M01.00S,2025-12-07T20:52:39.1Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,7,15,2025-12-07T20:52:41Z,620000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,
63,PT06M42.00S,2025-12-07T20:53:00.8Z,1,REGULAR,turnover,out-of-bounds,[],1629674,,,1610612738,7,15,2025-12-07T20:53:07Z,630000,False,,,0,,N. Queta bad pass out-of-bounds TURNOVER (1 TO),[1629674],1610612738.0,BOS,bad pass,,,Queta,N. Queta,,,,,Mid-Range,8-16 Right,101284.0,1.0,,,,,,,,,,,,,,,,,,
64,PT06M42.00S,2025-12-07T20:53:06.0Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,7,15,2025-12-07T20:53:09Z,640000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M42.00S,2025-12-07T20:53:06.0Z,1,REGULAR,substitution,in,[],1630534,,,1610612761,7,15,2025-12-07T20:53:09Z,650000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M25.00S,2025-12-07T20:53:32.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,84.05059132720105,74.26470588235294,1610612761,9,15,2025-12-07T20:53:36Z,660000,False,121.0,97.0,1,right,B. Ingram 15' turnaround fadeaway Jump Shot (7 PTS),[1627742],1610612761.0,TOR,turnaround fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,15.56,Made,,,,,,,,,,,,,7.0,,,
67,PT06M08.00S,2025-12-07T20:53:48.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,6.1268068331143235,96.56862745098039,1610612738,9,18,2025-12-07T20:54:06Z,670000,False,-233.0,5.0,1,left,J. Brown 3PT pullup (5 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,23.29,Made,,,,,,,,,,,,,5.0,D. White,1628401.0,1.0
70,PT05M55.00S,2025-12-07T20:54:02.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,90.3580814717477,60.29411764705882,1610612761,9,18,2025-12-07T20:54:07Z,700000,False,51.0,38.0,1,right,MISS J. Poeltl 6' Hook,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,6.41,Missed,,,,,,,,,,,,,,,,
71,PT05M51.00S,2025-12-07T20:54:06.6Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,9,18,2025-12-07T20:59:30Z,710000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,70.0,1.0,0.0,1.0,,,,,,,,,,,,
110,PT05M50.00S,2025-12-07T20:54:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,93.11760840998686,50.73529411764706,1610612761,9,18,2025-12-07T20:59:30Z,715000,False,4.0,12.0,1,right,MISS J. Poeltl tip Layup,[1627751],1610612761.0,TOR,tip,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,1.27,Missed,,,,,,,,,,,,,,,,
111,PT05M50.00S,2025-12-07T20:54:07.9Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,9,18,2025-12-07T20:59:22Z,717500,False,,,0,,J. Walsh REBOUND (Off:1 Def:3),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,,,110.0,4.0,3.0,1.0,,,,,,,,,,,,
72,PT05M46.00S,2025-12-07T20:54:13.3Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612738,9,18,2025-12-07T20:54:21Z,720000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Queta 2 FT),"[1627751, 1629674]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,202053.0,,,,,,,,,,1.0,0.0,Queta,1629674.0,,,,,,
74,PT05M46.00S,2025-12-07T20:54:46.7Z,1,REGULAR,freethrow,1 of 2,[],1629674,,,1610612738,9,18,2025-12-07T20:55:33Z,740000,False,,,0,,MISS N. Queta Free Throw 1 of 2,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
75,PT05M46.00S,2025-12-07T20:54:46.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,9,18,2025-12-07T20:55:33Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,
76,PT05M46.00S,2025-12-07T20:54:50.0Z,1,REGULAR,substitution,out,[],1630193,,,1610612738,9,18,2025-12-07T20:55:16Z,760000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M46.00S,2025-12-07T20:54:50.0Z,1,REGULAR,substitution,out,[],1630202,,,1610612738,9,18,2025-12-07T20:55:16Z,770000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M46.00S,2025-12-07T20:54:50.0Z,1,REGULAR,substitution,out,[],1641775,,,1610612738,9,18,2025-12-07T20:55:16Z,780000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M46.00S,2025-12-07T20:54:50.0Z,1,REGULAR,substitution,in,[],1641711,,,1610612738,9,18,2025-12-07T20:55:16Z,790000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M46.00S,2025-12-07T20:54:50.0Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,9,18,2025-12-07T20:55:16Z,800000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
