actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M52.00S,2026-01-17T00:43:24.5Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,0,2026-01-17T00:43:29Z,150000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M41.00S,2026-01-17T00:43:34.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,91.80354796320631,41.42156862745098,1610612746,0,0,2026-01-17T00:43:38Z,160000,False,-43.0,25.0,1,right,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.94,Missed,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2026-01-17T00:43:37.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,0,0,2026-01-17T00:43:37Z,170000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M36.00S,2026-01-17T00:43:41.3Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612761,0,0,2026-01-17T00:46:00Z,180000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1642920]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1.0,Sanders,1642920.0,,,,,,,,,
19,PT10M36.00S,2026-01-17T00:43:41.3Z,1,REGULAR,steal,,[],1642920,,,1610612746,0,0,2026-01-17T00:43:43Z,190000,False,,,0,,K. Sanders STEAL (1 STL),[1642920],1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2026-01-17T00:43:56.5Z,1,REGULAR,turnover,traveling,[],201935,,,1610612746,0,0,2026-01-17T00:44:02Z,200000,False,,,0,,J. Harden traveling TURNOVER (1 TO),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,1146.0,,,,,,,,
21,PT10M05.00S,2026-01-17T00:44:28.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642347,5.075558475689881,96.32352941176471,1610612761,3,0,2026-01-17T00:44:32Z,210000,False,-232.0,-5.0,1,left,J. Shead 3PT  (3 PTS) (O. Agbaji 1 AST),"[1642347, 1630534]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,Left Corner 3,24+ Left,23.16,Made,,,,,,,,,,,3.0,O. Agbaji,1630534.0,1.0,,,,
23,PT09M45.00S,2026-01-17T00:44:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,93.64323258869908,51.71568627450981,1610612746,3,2,2026-01-17T00:46:50Z,230000,False,9.0,7.0,1,right,I. Zubac driving reverse Layup (2 PTS),[1627826],1610612746.0,LAC,driving reverse,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,,,,,,2.0,,,,,,,
24,PT09M39.00S,2026-01-17T00:44:55.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612761,3,2,2026-01-17T00:45:05Z,240000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Murray-Boyles 2 FT),"[1627826, 1642867]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,2002.0,,,,,1.0,0.0,Murray-Boyles,1642867.0
26,PT09M39.00S,2026-01-17T00:45:21.6Z,1,REGULAR,freethrow,1 of 2,[],1642867,,,1610612761,4,2,2026-01-17T00:45:21Z,260000,False,,,0,,C. Murray-Boyles Free Throw 1 of 2 (1 PTS),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
27,PT09M39.00S,2026-01-17T00:45:21.6Z,1,REGULAR,freethrow,2 of 2,[],1642867,,,1610612761,4,2,2026-01-17T00:45:42Z,270000,False,,,0,,MISS C. Murray-Boyles Free Throw 2 of 2,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT09M37.00S,2026-01-17T00:45:23.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,4,2,2026-01-17T00:45:42Z,280000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M24.00S,2026-01-17T00:45:54.2Z,1,REGULAR,3pt,Jump Shot,[],201935,73.14388961892247,83.57843137254902,1610612746,4,2,2026-01-17T00:45:58Z,290000,False,168.0,200.0,1,right,MISS J. Harden 26' 3PT,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
30,PT09M22.00S,2026-01-17T00:45:56.2Z,1,REGULAR,rebound,defensive,[],1642347,,,1610612761,4,2,2026-01-17T00:45:58Z,300000,False,,,0,,J. Shead REBOUND (Off:0 Def:2),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Right Center,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M17.00S,2026-01-17T00:46:00.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630534,4.155716162943495,96.32352941176471,1610612761,7,2,2026-01-17T00:46:05Z,310000,False,-232.0,-13.0,1,left,O. Agbaji 3PT running (3 PTS) (J. Shead 1 AST),"[1630534, 1642347]",1610612761.0,TOR,running,,,Agbaji,O. Agbaji,,,,,Left Corner 3,24+ Left,23.2,Made,,,,,,,,,,,3.0,J. Shead,1642347.0,1.0,,,,
33,PT09M02.00S,2026-01-17T00:46:17.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,92.19776609724047,55.88235294117647,1610612746,7,4,2026-01-17T00:46:21Z,330000,False,29.0,21.0,1,right,K. Dunn driving floating bank Jump Shot (2 PTS),[1627739],1610612746.0,LAC,driving floating bank,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,3.6,Made,,,,,,,,,,,2.0,,,,,,,
35,PT08M44.00S,2026-01-17T00:46:49.0Z,1,REGULAR,2pt,Jump Shot,[],1642347,9.149145860709593,69.6078431372549,1610612761,9,4,2026-01-17T00:46:53Z,350000,False,-98.0,34.0,1,left,J. Shead 10' driving floating Jump Shot (5 PTS) (C. Murray-Boyles 1 AST),"[1642347, 1642867]",1610612761.0,TOR,driving floating,,,Shead,J. Shead,,,,,Mid-Range,8-16 Left,10.36,Made,,,,,,,,,,,5.0,C. Murray-Boyles,1642867.0,1.0,,,,
36,PT08M28.00S,2026-01-17T00:47:05.4Z,1,REGULAR,3pt,Jump Shot,[],201935,70.25295663600527,78.18627450980392,1610612746,9,4,2026-01-17T00:49:30Z,360000,False,141.0,227.0,1,right,MISS J. Harden 26' step back 3PT - blocked,"[201935, 1627742]",1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.73,Missed,,,,,Ingram,1627742.0,,,,,,,,,,,,
37,PT08M28.00S,2026-01-17T00:47:05.4Z,1,REGULAR,block,,[],1627742,,,1610612746,9,4,2026-01-17T00:47:08Z,370000,False,,,0,,B. Ingram BLOCK (1 BLK),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
38,PT08M27.00S,2026-01-17T00:47:06.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,9,4,2026-01-17T00:47:23Z,380000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M23.00S,2026-01-17T00:47:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,6.258212877792378,50.245098039215684,1610612761,11,4,2026-01-17T00:47:18Z,390000,False,-1.0,6.0,1,left,B. Ingram running finger roll Layup (2 PTS) (S. Barnes 1 AST),"[1627742, 1630567]",1610612761.0,TOR,running finger roll,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,0.64,Made,,,,,,,,,,,2.0,S. Barnes,1630567.0,1.0,,,,
41,PT08M23.00S,2026-01-17T00:47:14.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,11,4,2026-01-17T00:47:14Z,410000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M06.00S,2026-01-17T00:50:23.4Z,1,REGULAR,3pt,Jump Shot,[],201935,69.99014454664915,29.166666666666668,1610612746,11,4,2026-01-17T00:50:27Z,420000,False,-104.0,230.0,1,right,MISS J. Harden 25' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
44,PT08M03.00S,2026-01-17T00:50:26.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,11,4,2026-01-17T00:50:27Z,430000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT07M53.00S,2026-01-17T00:50:38.4Z,1,REGULAR,turnover,out-of-bounds,[],1642347,,,1610612761,11,4,2026-01-17T00:50:43Z,440000,False,,,0,,J. Shead bad pass out-of-bounds TURNOVER (1 TO),[1642347],1610612761.0,TOR,bad pass,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,1626301.0,,,,,,,,
46,PT07M39.00S,2026-01-17T00:50:57.7Z,1,REGULAR,turnover,backcourt,[],1627739,,,1610612746,11,4,2026-01-17T00:51:03Z,450000,False,,,0,,K. Dunn backcourt TURNOVER (1 TO),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,1626301.0,,,,,,,,
47,PT07M27.00S,2026-01-17T00:51:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642347,4.5499342969776615,50.0,1610612761,13,4,2026-01-17T00:51:41Z,460000,False,0.0,-10.0,1,left,J. Shead cutting Layup (7 PTS) (C. Murray-Boyles 2 AST),"[1642347, 1642867]",1610612761.0,TOR,cutting,,,Shead,J. Shead,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,,,,,,,7.0,C. Murray-Boyles,1642867.0,2.0,,,,
49,PT07M08.00S,2026-01-17T00:51:47.1Z,1,REGULAR,turnover,out-of-bounds,[],1642920,,,1610612746,13,4,2026-01-17T00:51:54Z,480000,False,,,0,,K. Sanders lost ball out-of-bounds TURNOVER (1 TO),[1642920],1610612746.0,LAC,lost ball,,,Sanders,K. Sanders,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,2002.0,,,,,,,,
50,PT07M08.00S,2026-01-17T00:51:51.1Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,13,4,2026-01-17T00:52:07Z,490000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M08.00S,2026-01-17T00:51:51.1Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,13,4,2026-01-17T00:52:07Z,500000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M55.00S,2026-01-17T00:52:19.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,22.683968462549277,30.392156862745097,1610612761,13,4,2026-01-17T00:52:24Z,510000,False,98.0,161.0,1,left,MISS B. Ingram 18' pullup Shot,[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,18.82,Missed,,,,,,,,,,,,,,,,,,
53,PT06M53.00S,2026-01-17T00:52:21.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,13,4,2026-01-17T00:52:24Z,520000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Right Center,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT06M38.00S,2026-01-17T00:52:36.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,87.59855453350855,50.0,1610612746,13,4,2026-01-17T00:52:41Z,530000,False,0.0,64.0,1,right,MISS J. Harden 6' turnaround Shot,[201935],1610612746.0,LAC,turnaround,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,6.41,Missed,,,,,,,,,,,,,,,,,,
55,PT06M35.00S,2026-01-17T00:52:39.9Z,1,REGULAR,rebound,defensive,[],1642347,,,1610612761,13,4,2026-01-17T00:52:41Z,540000,False,,,0,,J. Shead REBOUND (Off:0 Def:3),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT06M33.00S,2026-01-17T00:52:42.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630534,6.389618922470433,48.77450980392157,1610612761,15,4,2026-01-17T00:52:47Z,550000,False,6.0,8.0,1,left,O. Agbaji running Layup (5 PTS) (J. Shead 2 AST),"[1630534, 1642347]",1610612761.0,TOR,running,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,,,,,,,5.0,J. Shead,1642347.0,2.0,,,,
58,PT06M16.00S,2026-01-17T00:52:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201587,91.93495400788436,61.274509803921575,1610612746,15,4,2026-01-17T00:53:04Z,570000,False,56.0,23.0,1,right,MISS N. Batum 6' turnaround fadeaway Shot,[201587],1610612746.0,LAC,turnaround fadeaway,,,Batum,N. Batum,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
59,PT06M14.00S,2026-01-17T00:53:01.0Z,1,REGULAR,rebound,defensive,[],1642347,,,1610612761,15,4,2026-01-17T00:53:04Z,580000,False,,,0,,J. Shead REBOUND (Off:0 Def:4),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,,,58.0,4.0,4.0,0.0,,,,,,,,,,,,,,
61,PT06M10.00S,2026-01-17T00:53:05.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,27.677398160315374,79.16666666666666,1610612761,18,4,2026-01-17T00:53:11Z,600000,False,-146.0,208.0,1,left,B. Ingram 25' 3PT running (5 PTS) (J. Shead 3 AST),"[1627742, 1642347]",1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,25.38,Made,,,,,,,,,,,5.0,J. Shead,1642347.0,3.0,,,,
64,PT05M53.00S,2026-01-17T00:53:27.8Z,1,REGULAR,substitution,out,[],1642347,,,1610612746,18,4,2026-01-17T00:53:34Z,630000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M53.00S,2026-01-17T00:53:27.8Z,1,REGULAR,substitution,out,[],201587,,,1610612746,18,4,2026-01-17T00:53:34Z,640000,False,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M53.00S,2026-01-17T00:53:27.8Z,1,REGULAR,substitution,in,[],1630567,,,1610612746,18,4,2026-01-17T00:53:34Z,650000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M53.00S,2026-01-17T00:53:27.8Z,1,REGULAR,substitution,in,[],1641757,,,1610612746,18,4,2026-01-17T00:53:34Z,660000,False,,,0,,SUB in: J. Miller,[1641757],1610612746.0,LAC,,,,Miller,J. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M39.00S,2026-01-17T00:54:00.4Z,1,REGULAR,3pt,Jump Shot,[],1627739,92.46057818659659,98.0392156862745,1610612746,18,7,2026-01-17T00:54:04Z,670000,False,240.0,18.0,1,right,K. Dunn 24' 3PT  (5 PTS) (J. Harden 1 AST),"[1627739, 201935]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,24.09,Made,,,,,,,,,,,5.0,J. Harden,201935.0,1.0,,,,
70,PT05M26.00S,2026-01-17T00:54:12.9Z,1,REGULAR,3pt,Jump Shot,[],1642867,30.042706964520367,69.85294117647058,1610612761,18,7,2026-01-17T00:54:16Z,690000,False,-99.0,230.0,1,left,MISS C. Murray-Boyles 25' 3PT,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,,
71,PT05M24.00S,2026-01-17T00:54:14.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,18,7,2026-01-17T00:54:16Z,700000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT05M05.00S,2026-01-17T00:54:34.8Z,1,REGULAR,3pt,Jump Shot,[],1641757,90.3580814717477,97.30392156862744,1610612746,18,7,2026-01-17T00:54:40Z,710000,False,237.0,38.0,1,right,MISS J. Miller 3PT,[1641757],1610612746.0,LAC,,,,Miller,J. Miller,,,,,Right Corner 3,24+ Right,23.95,Missed,,,,,,,,,,,,,,,,,,
73,PT05M02.00S,2026-01-17T00:54:37.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,18,7,2026-01-17T00:54:40Z,720000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Right Corner 3,24+ Right,,,72.0,,,,,,,,,,,,,,,,,
75,PT05M02.00S,2026-01-17T00:54:41.7Z,1,REGULAR,substitution,out,[],1630534,,,1610612761,18,7,2026-01-17T00:54:47Z,740000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M02.00S,2026-01-17T00:54:41.7Z,1,REGULAR,substitution,out,[],1627826,,,1610612761,18,7,2026-01-17T00:54:47Z,750000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M02.00S,2026-01-17T00:54:41.7Z,1,REGULAR,substitution,in,[],1641711,,,1610612761,18,7,2026-01-17T00:54:47Z,760000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M02.00S,2026-01-17T00:54:41.7Z,1,REGULAR,substitution,in,[],201572,,,1610612761,18,7,2026-01-17T00:54:47Z,770000,False,,,0,,SUB in: B. Lopez,[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M50.00S,2026-01-17T00:55:07.1Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612761,18,7,2026-01-17T00:55:14Z,780000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Murray-Boyles 2 FT),"[201572, 1642867]",1610612746.0,LAC,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1626301.0,,,,,1.0,0.0,Murray-Boyles,1642867.0
81,PT04M50.00S,2026-01-17T00:55:34.0Z,1,REGULAR,freethrow,1 of 2,[],1642867,,,1610612761,19,7,2026-01-17T00:55:34Z,800000,False,,,0,,C. Murray-Boyles Free Throw 1 of 2 (2 PTS),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
82,PT04M50.00S,2026-01-17T00:55:54.1Z,1,REGULAR,freethrow,2 of 2,[],1642867,,,1610612761,20,7,2026-01-17T00:55:54Z,810000,False,,,0,,C. Murray-Boyles Free Throw 2 of 2 (3 PTS),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
83,PT04M32.00S,2026-01-17T00:56:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,92.85479632063075,42.8921568627451,1610612746,20,9,2026-01-17T00:56:18Z,820000,False,-36.0,15.0,1,right,J. Harden driving Layup (2 PTS),[201935],1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.84,Made,,,,,,,,,,,2.0,,,,,,,
84,PT04M19.00S,2026-01-17T00:56:27.6Z,1,REGULAR,2pt,Jump Shot,[],1630567,15.850854139290407,68.87254901960785,1610612761,20,9,2026-01-17T00:56:31Z,830000,False,-94.0,96.0,1,left,MISS S. Barnes 13' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,13.5,Missed,,,,,,,,,,,,,,,,,,
85,PT04M17.00S,2026-01-17T00:56:29.6Z,1,REGULAR,rebound,defensive,[],1642920,,,1610612746,20,9,2026-01-17T00:56:31Z,840000,False,,,0,,K. Sanders REBOUND (Off:0 Def:2),[1642920],1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Mid-Range,8-16 Left,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,,
