actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M35.00S,2026-03-14T02:41:57.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,5,4,2026-03-14T02:41:58Z,170000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M24.00S,2026-03-14T02:42:07.4Z,1,REGULAR,3pt,Jump Shot,[],1641824,66.3107752956636,47.794117647058826,1610612741,5,4,2026-03-14T02:42:12Z,180000,False,-11.0,264.0,1,right,MISS M. Buzelis 26' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Center,26.44,Missed,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2026-03-14T02:42:10.4Z,1,REGULAR,rebound,defensive,[],201572,,,1610612746,5,4,2026-03-14T02:45:00Z,190000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M16.00S,2026-03-14T02:42:16.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202695,30.17411300919842,30.637254901960787,1610612746,5,4,2026-03-14T02:46:25Z,200000,False,97.0,231.0,1,left,MISS K. Leonard 25' running pullup 3PT,[202695],1610612746.0,LAC,running pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,25.06,Missed,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2026-03-14T02:42:19.0Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612741,5,4,2026-03-14T02:48:52Z,210000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT09M57.00S,2026-03-14T02:42:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,93.11760840998686,55.63725490196079,1610612741,5,4,2026-03-14T02:42:40Z,220000,False,28.0,12.0,1,right,MISS M. Buzelis driving Layup - blocked,"[1641824, 201572]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,3.07,Missed,,Lopez,201572.0,,,,,,,,,,,,,,,
23,PT09M57.00S,2026-03-14T02:42:36.0Z,1,REGULAR,block,,[],201572,,,1610612741,5,4,2026-03-14T02:42:38Z,230000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2026-03-14T02:42:39.0Z,1,REGULAR,rebound,defensive,[],201572,,,1610612746,5,4,2026-03-14T02:42:40Z,240000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,
25,PT09M45.00S,2026-03-14T02:42:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,11.645860709592641,56.372549019607845,1610612746,7,4,2026-03-14T02:49:41Z,250000,False,-32.0,57.0,1,left,K. Dunn 6' driving floating Jump Shot (2 PTS),[1627739],1610612746.0,LAC,driving floating,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,6.53,Made,2.0,,,,,,,,,,,,,,,,,
26,PT09M31.00S,2026-03-14T02:43:01.2Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,7,4,2026-03-14T02:43:06Z,260000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1627739]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Dunn,1627739.0,,,,,
27,PT09M31.00S,2026-03-14T02:43:01.2Z,1,REGULAR,steal,,[],1627739,,,1610612746,7,4,2026-03-14T02:43:03Z,270000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M28.00S,2026-03-14T02:43:04.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627739,7.440867279894875,44.11764705882353,1610612746,9,4,2026-03-14T02:43:11Z,280000,False,29.0,17.0,1,left,K. Dunn running Layup (4 PTS),[1627739],1610612746.0,LAC,running,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,3.42,Made,4.0,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2026-03-14T02:43:10.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,9,4,2026-03-14T02:43:10Z,290000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M03.00S,2026-03-14T02:46:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,86.41590013140605,38.23529411764706,1610612741,9,4,2026-03-14T02:46:27Z,300000,False,-59.0,75.0,1,right,MISS J. Giddey 9' driving floating Shot - blocked,"[1630581, 1627884]",1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Left,9.55,Missed,,Jones Jr.,1627884.0,,,,,,,,,,,,,,,
31,PT09M03.00S,2026-03-14T02:46:23.8Z,1,REGULAR,block,,[],1627884,,,1610612741,9,4,2026-03-14T02:46:26Z,310000,False,,,0,,D. Jones Jr. BLOCK (1 BLK),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
32,PT09M00.00S,2026-03-14T02:46:26.8Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,9,4,2026-03-14T02:46:27Z,320000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),8-16 Left,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT08M57.00S,2026-03-14T02:46:30.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201572,27.94021024967148,84.06862745098039,1610612746,9,4,2026-03-14T02:51:31Z,330000,False,-170.0,210.0,1,left,MISS B. Lopez 27' running 3PT,[201572],1610612746.0,LAC,running,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,27.05,Missed,,,,,,,,,,,,,,,,,,
34,PT08M53.00S,2026-03-14T02:46:34.3Z,1,REGULAR,rebound,offensive,[],1627739,,,1610612746,9,4,2026-03-14T02:46:34Z,340000,False,,,0,,K. Dunn REBOUND (Off:1 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,
35,PT08M50.00S,2026-03-14T02:46:39.8Z,1,REGULAR,foul,personal,[],1630581,,,1610612746,9,4,2026-03-14T02:46:45Z,350000,False,,,0,,J. Giddey personal FOUL (1 PF),"[1630581, 202695]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Leonard,202695.0
37,PT08M40.00S,2026-03-14T02:47:12.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642920,31.750985545335087,50.245098039215684,1610612746,12,4,2026-03-14T02:47:32Z,370000,False,-1.0,246.0,1,left,K. Sanders 24' 3PT  (3 PTS) (K. Dunn 1 AST),"[1642920, 1627739]",1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Above the Break 3,24+ Center,24.6,Made,3.0,,,,,,,K. Dunn,1627739.0,1.0,,,,,,,,
39,PT08M27.00S,2026-03-14T02:47:26.0Z,1,REGULAR,3pt,Jump Shot,[],1630581,67.7562417871222,16.666666666666664,1610612741,12,7,2026-03-14T02:47:39Z,390000,False,-167.0,251.0,1,right,J. Giddey 30' 3PT  (3 PTS) (T. Jones 1 AST),"[1630581, 1630200]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,30.1,Made,3.0,,,,,,,T. Jones,1630200.0,1.0,,,,,,,,
41,PT08M12.00S,2026-03-14T02:47:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,13.091327201051248,48.529411764705884,1610612746,12,7,2026-03-14T02:47:46Z,410000,False,7.0,71.0,1,left,MISS K. Leonard 7' driving floating Shot,[202695],1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,7.1,Missed,,,,,,,,,,,,,,,,,,
42,PT08M09.00S,2026-03-14T02:47:44.8Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612741,12,7,2026-03-14T02:47:46Z,420000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,
43,PT07M55.00S,2026-03-14T02:47:59.9Z,1,REGULAR,foul,personal,['2freethrow'],202695,,,1610612741,12,7,2026-03-14T02:48:20Z,430000,False,,,0,,K. Leonard shooting personal FOUL (1 PF) (Buzelis 2 FT),"[202695, 1641824]",1610612746.0,LAC,shooting,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Buzelis,1641824.0
45,PT07M55.00S,2026-03-14T02:48:32.8Z,1,REGULAR,freethrow,1 of 2,[],1641824,,,1610612741,12,8,2026-03-14T02:48:32Z,450000,False,,,0,,M. Buzelis Free Throw 1 of 2 (1 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
46,PT07M55.00S,2026-03-14T02:48:47.7Z,1,REGULAR,freethrow,2 of 2,[],1641824,,,1610612741,12,9,2026-03-14T02:48:47Z,460000,False,,,0,,M. Buzelis Free Throw 2 of 2 (2 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
47,PT07M47.00S,2026-03-14T02:49:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202695,7.046649145860711,55.14705882352941,1610612746,14,9,2026-03-14T02:49:06Z,470000,False,-26.0,14.0,1,left,K. Leonard driving Layup (5 PTS) (K. Dunn 2 AST),"[202695, 1627739]",1610612746.0,LAC,driving,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,2.91,Made,5.0,,,,,,,K. Dunn,1627739.0,2.0,,,,,,,,
49,PT07M47.00S,2026-03-14T02:49:09.0Z,1,REGULAR,foul,personal,['1freethrow'],1630208,,,1610612746,14,9,2026-03-14T02:49:14Z,490000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Leonard 1 FT),"[1630208, 202695]",1610612741.0,CHI,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Leonard,202695.0
56,PT07M47.00S,2026-03-14T02:49:22.4Z,1,REGULAR,substitution,out,[],1630200,,,1610612746,14,9,2026-03-14T02:50:15Z,505000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M47.00S,2026-03-14T02:49:22.4Z,1,REGULAR,substitution,in,[],1642265,,,1610612746,14,9,2026-03-14T02:50:15Z,507500,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M47.00S,2026-03-14T02:49:35.9Z,1,REGULAR,freethrow,1 of 1,[],202695,,,1610612746,15,9,2026-03-14T02:49:35Z,510000,False,,,0,,K. Leonard Free Throw 1 of 1 (6 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
52,PT07M24.00S,2026-03-14T02:49:57.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630208,87.46714848883047,51.470588235294116,1610612741,15,11,2026-03-14T02:54:09Z,520000,False,7.0,65.0,1,right,N. Richards 6' driving Hook (2 PTS) (L. Miller 1 AST),"[1630208, 1631159]",1610612741.0,CHI,driving,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,6.57,Made,2.0,,,,,,,L. Miller,1631159.0,1.0,,,,,,,,
54,PT07M15.00S,2026-03-14T02:50:09.0Z,1,REGULAR,foul,personal,['2freethrow'],1631159,,,1610612746,15,11,2026-03-14T02:50:38Z,540000,False,,,0,,L. Miller shooting personal FOUL (1 PF) (Leonard 2 FT),"[1631159, 202695]",1610612741.0,CHI,shooting,,,Miller,L. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Leonard,202695.0
58,PT07M15.00S,2026-03-14T02:50:39.3Z,1,REGULAR,freethrow,1 of 2,[],202695,,,1610612746,16,11,2026-03-14T02:50:39Z,560000,False,,,0,,K. Leonard Free Throw 1 of 2 (7 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
59,PT07M15.00S,2026-03-14T02:50:55.8Z,1,REGULAR,freethrow,2 of 2,[],202695,,,1610612746,17,11,2026-03-14T02:50:55Z,570000,False,,,0,,K. Leonard Free Throw 2 of 2 (8 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2026-03-14T02:51:19.7Z,1,REGULAR,3pt,Jump Shot,[],1630208,90.09526938239159,95.34313725490196,1610612741,17,14,2026-03-14T02:51:24Z,580000,False,227.0,41.0,1,right,N. Richards 3PT  (5 PTS) (J. Giddey 2 AST),"[1630208, 1630581]",1610612741.0,CHI,,,,Richards,N. Richards,,,,,Right Corner 3,24+ Right,23.03,Made,5.0,,,,,,,J. Giddey,1630581.0,2.0,,,,,,,,
62,PT06M41.00S,2026-03-14T02:51:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202695,6.783837056504599,49.754901960784316,1610612746,19,14,2026-03-14T02:51:34Z,600000,False,1.0,11.0,1,left,K. Leonard driving reverse Layup (10 PTS),[202695],1610612746.0,LAC,driving reverse,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,1.14,Made,10.0,,,,,,,,,,,,,,,,,
63,PT06M21.00S,2026-03-14T02:51:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,91.01511169513797,52.20588235294118,1610612741,19,14,2026-03-14T02:56:24Z,610000,False,11.0,32.0,1,right,MISS N. Richards cutting Layup - blocked,"[1630208, 201572]",1610612741.0,CHI,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,3.38,Missed,,Lopez,201572.0,,,,,,,,,,,,,,,
64,PT06M21.00S,2026-03-14T02:51:51.7Z,1,REGULAR,block,,[],201572,,,1610612741,19,14,2026-03-14T02:51:54Z,620000,False,,,0,,B. Lopez BLOCK (2 BLK),[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M19.00S,2026-03-14T02:51:53.7Z,1,REGULAR,rebound,defensive,[],1642920,,,1610612746,19,14,2026-03-14T02:57:12Z,630000,False,,,0,,K. Sanders REBOUND (Off:0 Def:1),[1642920],1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Restricted Area,0-8 Center,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,
66,PT06M12.00S,2026-03-14T02:52:00.6Z,1,REGULAR,3pt,Jump Shot,[],1642920,29.38567674113009,24.509803921568626,1610612746,22,14,2026-03-14T02:52:07Z,640000,False,127.0,224.0,1,left,K. Sanders 25' 3PT  (6 PTS) (K. Leonard 1 AST),"[1642920, 202695]",1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Above the Break 3,24+ Right Center,25.75,Made,6.0,,,,,,,K. Leonard,202695.0,1.0,,,,,,,,
68,PT05M48.00S,2026-03-14T02:52:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,90.09526938239159,37.00980392156863,1610612741,22,14,2026-03-14T02:52:31Z,660000,False,-65.0,41.0,1,right,MISS M. Buzelis 7' driving Layup,[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,7.66,Missed,,,,,,,,,,,,,,,,,,
70,PT05M44.00S,2026-03-14T02:52:27.8Z,1,REGULAR,rebound,offensive,[],1631159,,,1610612741,22,14,2026-03-14T02:52:45Z,680000,False,,,0,,L. Miller REBOUND (Off:1 Def:0),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,68.0,1.0,0.0,1.0,,,,,,,,,,,
71,PT05M44.00S,2026-03-14T02:52:34.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612741,22,14,2026-03-14T02:52:40Z,690000,False,,,0,,CHI shot clock Team TURNOVER,[],1610612741.0,CHI,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,202037.0,,,,
72,PT05M44.00S,2026-03-14T02:52:37.2Z,1,REGULAR,substitution,out,[],1631159,,,1610612746,22,14,2026-03-14T02:53:07Z,700000,False,,,0,,SUB out: L. Miller,[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M44.00S,2026-03-14T02:52:37.2Z,1,REGULAR,substitution,in,[],1630172,,,1610612746,22,14,2026-03-14T02:53:07Z,710000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M28.00S,2026-03-14T02:53:08.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202695,18.2161629434954,53.18627450980392,1610612746,22,14,2026-03-14T03:02:03Z,720000,False,-16.0,119.0,1,left,MISS K. Leonard 11' turnaround fadeaway Shot,[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,11.98,Missed,,,,,,,,,,,,,,,,,,
75,PT05M26.00S,2026-03-14T02:53:10.8Z,1,REGULAR,rebound,defensive,[],1642265,,,1610612741,22,14,2026-03-14T03:02:03Z,730000,False,,,0,,R. Dillingham REBOUND (Off:0 Def:1),[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,
76,PT05M22.00S,2026-03-14T02:53:14.6Z,1,REGULAR,foul,personal,['2freethrow'],1642920,,,1610612741,22,14,2026-03-14T02:53:21Z,740000,False,,,0,,K. Sanders shooting personal FOUL (1 PF) (Buzelis 2 FT),"[1642920, 1641824]",1610612746.0,LAC,shooting,,,Sanders,K. Sanders,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Buzelis,1641824.0
78,PT05M22.00S,2026-03-14T02:53:45.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641824,,,1610612741,22,15,2026-03-14T02:53:45Z,760000,False,,,0,,M. Buzelis Free Throw 1 of 2 (3 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
79,PT05M22.00S,2026-03-14T02:53:46.6Z,1,REGULAR,substitution,out,[],1627739,,,1610612741,22,15,2026-03-14T02:53:49Z,770000,False,,,0,,SUB out: K. Dunn,[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M22.00S,2026-03-14T02:53:46.6Z,1,REGULAR,substitution,in,[],1631097,,,1610612741,22,15,2026-03-14T02:53:49Z,780000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612746.0,LAC,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M22.00S,2026-03-14T02:53:50.8Z,1,REGULAR,substitution,out,[],1630208,,,1610612741,22,15,2026-03-14T02:53:57Z,790000,False,,,0,,SUB out: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M22.00S,2026-03-14T02:53:50.8Z,1,REGULAR,substitution,in,[],1627824,,,1610612741,22,15,2026-03-14T02:53:57Z,800000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M22.00S,2026-03-14T02:54:09.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641824,,,1610612741,22,16,2026-03-14T02:54:09Z,810000,False,,,0,,M. Buzelis Free Throw 2 of 2 (4 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
84,PT05M00.00S,2026-03-14T02:54:38.1Z,1,REGULAR,3pt,Jump Shot,[],1642920,7.703679369250986,95.83333333333334,1610612746,22,16,2026-03-14T02:54:44Z,820000,False,-229.0,20.0,1,left,MISS K. Sanders 3PT,[1642920],1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Left Corner 3,24+ Left,23.01,Missed,,,,,,,,,,,,,,,,,,
85,PT04M56.00S,2026-03-14T02:54:42.1Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,22,16,2026-03-14T03:08:04Z,830000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,
