actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
51,PT07M00.00S,2026-01-15T03:49:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,6.915243101182654,57.59803921568627,1610612764,12,9,2026-01-15T03:49:33Z,510000,False,-38.0,13.0,1,left,MISS K. Middleton driving Layup,[203114],1610612764.0,WAS,driving,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,,,,,,,,,,,,,,
52,PT06M59.00S,2026-01-15T03:49:29.5Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,12,9,2026-01-15T03:54:33Z,520000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT06M55.00S,2026-01-15T03:49:33.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202695,70.64717477003943,77.20588235294117,1610612746,15,9,2026-01-15T03:49:41Z,530000,False,136.0,223.0,1,right,K. Leonard 26' 3PT running (5 PTS) (K. Dunn 1 AST),"[202695, 1627739]",1610612746.0,LAC,running,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,26.15,Made,,,,,,,,,,5.0,K. Dunn,1627739.0,1.0,,,,,
55,PT06M55.00S,2026-01-15T03:49:39.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,15,9,2026-01-15T03:49:39Z,550000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M35.00S,2026-01-15T03:52:52.2Z,1,REGULAR,turnover,bad pass,[],1642259,,,1610612764,15,9,2026-01-15T03:56:00Z,560000,False,,,0,,A. Sarr bad pass TURNOVER (2 TO),"[1642259, 1627739]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,2.0,Dunn,1627739.0
57,PT06M35.00S,2026-01-15T03:52:52.2Z,1,REGULAR,steal,,[],1627739,,,1610612746,15,9,2026-01-15T03:52:54Z,570000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
58,PT06M29.00S,2026-01-15T03:52:57.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,73.27529566360053,86.02941176470588,1610612746,18,9,2026-01-15T03:53:06Z,580000,False,180.0,199.0,1,right,J. Harden 26' 3PT  (8 PTS) (K. Leonard 1 AST),"[201935, 202695]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.82,Made,,,,,,,,,,8.0,K. Leonard,202695.0,1.0,,,,,
60,PT06M09.00S,2026-01-15T03:53:18.9Z,1,REGULAR,3pt,Jump Shot,[],203114,31.750985545335087,72.79411764705883,1610612764,18,9,2026-01-15T03:53:22Z,600000,False,-114.0,246.0,1,left,MISS K. Middleton 27' 3PT,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,27.11,Missed,,,,,,,,,,,,,,,,,,
61,PT06M07.00S,2026-01-15T03:53:20.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,18,9,2026-01-15T03:53:22Z,610000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,
63,PT05M56.00S,2026-01-15T03:53:37.8Z,1,REGULAR,substitution,out,[],203114,,,1610612746,18,9,2026-01-15T03:53:44Z,630000,False,,,0,,SUB out: K. Middleton,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
