actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
25,PT09M20.00S,2023-12-24T01:44:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,94.1688567674113,45.83333333333333,1610612744,10,6,2023-12-24T01:44:10Z,240000,False,-21.0,2.0,1,right,K. Thompson cutting Layup (5 PTS) (B. Podziemski 3 AST),"[202691, 1641764]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,2.09,Made,5.0,B. Podziemski,1641764.0,3.0,,,,,,,,,,,,,,
27,PT09M09.00S,2023-12-24T01:44:11.1Z,1,REGULAR,3pt,Jump Shot,[],203924,27.020367936925098,11.76470588235294,1610612757,10,6,2023-12-24T01:44:19Z,260000,False,191.0,201.0,1,left,MISS J. Grant 27' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,27.78,Missed,,,,,,,,,,,,,,,,,,
28,PT09M03.00S,2023-12-24T01:44:17.1Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,10,6,2023-12-24T01:44:19Z,270000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT08M49.00S,2023-12-24T01:44:31.7Z,1,REGULAR,3pt,Jump Shot,[],1630228,68.15045992115637,19.362745098039216,1610612744,10,6,2023-12-24T01:44:39Z,280000,False,-153.0,247.0,1,right,MISS J. Kuminga 29' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,29.06,Missed,,,,,,,,,,,,,,,,,,
30,PT08M45.00S,2023-12-24T01:44:35.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,10,6,2023-12-24T01:44:39Z,290000,False,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Left Center,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
31,PT08M43.00S,2023-12-24T01:44:37.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641764,70.77858081471747,76.7156862745098,1610612744,10,6,2023-12-24T01:44:44Z,300000,False,134.0,222.0,1,right,MISS B. Podziemski 25' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,25.93,Missed,,,,,,,,,,,,,,,,,,
32,PT08M39.00S,2023-12-24T01:44:40.7Z,1,REGULAR,rebound,offensive,[],202691,,,1610612744,10,6,2023-12-24T01:44:40Z,310000,False,,,0,,K. Thompson REBOUND (Off:1 Def:0),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,
34,PT08M35.00S,2023-12-24T01:44:59.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201939,87.12220762155059,52.68841911764706,1610612744,10,6,2023-12-24T01:46:07Z,330000,False,13.0,69.0,1,right,MISS S. Curry 6' driving finger roll Layup,[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,6.99,Missed,,,,,,,,,,,,,,,,,,
35,PT08M32.00S,2023-12-24T01:45:02.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,10,6,2023-12-24T01:45:10Z,340000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M27.00S,2023-12-24T01:45:06.8Z,1,REGULAR,3pt,Jump Shot,[],1627763,18.084756898817346,94.11764705882352,1610612757,10,9,2023-12-24T01:45:20Z,350000,False,-221.0,117.0,1,left,M. Brogdon 24' 3PT  (5 PTS) (J. Grant 1 AST),"[1627763, 203924]",1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,24.99,Made,5.0,J. Grant,203924.0,1.0,,,,,,,,,,,,,,
52,PT08M08.00S,2023-12-24T01:45:50.6Z,1,REGULAR,foul,technical,['1freethrow'],1629028,,,1610612744,10,9,2023-12-24T01:50:32Z,380000,False,,,0,,D. Ayton defensive-3-second technical FOUL (1 Tech),[1629028],1610612757.0,POR,defensive-3-second,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202037.0,0.0,1.0,,,,,,,
55,PT08M08.00S,2023-12-24T01:46:12.5Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,11,9,2023-12-24T01:51:00Z,390000,False,,,0,,S. Curry technical Free Throw 1 of 1 (4 PTS),[201939],1610612744.0,GSW,technical,,,Curry,S. Curry,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
41,PT07M52.00S,2023-12-24T01:46:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641764,92.06636005256242,54.166666666666664,1610612744,13,9,2023-12-24T01:51:42Z,400000,False,21.0,22.0,1,right,B. Podziemski driving floating Jump Shot (2 PTS),[1641764],1610612744.0,GSW,driving floating,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,3.03,Made,2.0,,,,,,,,,,,,,,,,,
42,PT07M33.00S,2023-12-24T01:46:40.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,23.078186596583443,87.5,1610612757,13,12,2023-12-24T01:53:00Z,410000,False,-188.0,164.0,1,left,A. Simons 24' 3PT step back (3 PTS) (M. Brogdon 2 AST),"[1629014, 1627763]",1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,24.94,Made,3.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,,,,,
109,PT07M19.00S,2023-12-24T01:46:54.8Z,1,REGULAR,turnover,lost ball,[],201939,,,1610612744,13,12,2023-12-24T01:57:39Z,437500,False,,,0,,S. Curry lost ball TURNOVER (1 TO),"[201939, 1641739]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Camara,1641739.0,,,,
110,PT07M19.00S,2023-12-24T01:46:54.8Z,1,REGULAR,steal,,[],1641739,,,1610612757,13,12,2023-12-24T01:57:39Z,448750,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M16.00S,2023-12-24T01:47:08.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641739,5.601182654402102,47.794117647058826,1610612757,13,14,2023-12-24T01:58:05Z,460000,False,11.0,0.0,1,left,T. Camara running Layup (2 PTS) (M. Brogdon 3 AST),"[1641739, 1627763]",1610612757.0,POR,running,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,1.1,Made,2.0,M. Brogdon,1627763.0,3.0,,,,,,,,,,,,,,
49,PT07M06.00S,2023-12-24T01:47:22.6Z,1,REGULAR,timeout,full,['team'],0,,,1610612744,13,14,2023-12-24T01:47:22Z,480000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT07M06.00S,2023-12-24T01:48:55.2Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,13,14,2023-12-24T01:59:08Z,485000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT07M06.00S,2023-12-24T01:48:55.2Z,1,REGULAR,substitution,in,[],101108,,,1610612744,13,14,2023-12-24T01:59:08Z,487500,False,,,0,,SUB in: C. Paul,[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M54.00S,2023-12-24T01:50:27.8Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,13,14,2023-12-24T01:50:46Z,490000,False,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 1629028]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,Ayton,1629028.0,,,,
53,PT06M54.00S,2023-12-24T01:50:27.8Z,1,REGULAR,steal,,[],1629028,,,1610612757,13,14,2023-12-24T01:50:46Z,500000,False,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
54,PT06M52.00S,2023-12-24T01:50:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203924,3.7614980289093296,43.627450980392155,1610612757,13,14,2023-12-24T01:59:32Z,510000,False,32.0,-17.0,1,left,MISS J. Grant running Layup,[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,3.62,Missed,,,,,,,,,,,,,,,,,,
69,PT06M52.00S,2023-12-24T01:50:51.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,13,14,2023-12-24T01:52:14Z,515000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,54.0,,,,,,,,,,,,,
137,PT06M52.00S,2023-12-24T01:50:58.5Z,1,REGULAR,substitution,out,[],203924,,,1610612757,13,14,2023-12-24T02:03:07Z,518750,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT06M52.00S,2023-12-24T01:50:58.5Z,1,REGULAR,substitution,in,[],1630703,,,1610612757,13,14,2023-12-24T02:03:07Z,519375,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M50.00S,2023-12-24T01:51:01.0Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629014,7.358738501971089,17.624080882352942,1610612757,13,14,2023-12-24T02:04:12Z,520000,False,162.0,17.0,1,left,MISS A. Simons 16' Jump Shot,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right,16.28,Missed,,,,,,,,,,,,,,,,,,
57,PT06M48.00S,2023-12-24T01:51:03.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,13,14,2023-12-24T02:04:40Z,530000,False,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Right,,,,,,,56.0,3.0,2.0,1.0,,,,,,,,,,
165,PT06M38.00S,2023-12-24T01:51:16.3Z,1,REGULAR,turnover,8-second-violation,['team'],0,,,1610612744,13,14,2023-12-24T02:05:48Z,545000,False,,,0,,GSW 8-second-violation Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202037.0,,,,,,,,,
60,PT06M38.00S,2023-12-24T01:51:31.7Z,1,REGULAR,substitution,out,[],1626172,,,1610612757,13,14,2023-12-24T02:05:48Z,560000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M38.00S,2023-12-24T01:51:31.7Z,1,REGULAR,substitution,in,[],1631218,,,1610612757,13,14,2023-12-24T02:05:48Z,600000,False,,,0,,SUB in: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2023-12-24T01:51:54.2Z,1,REGULAR,turnover,bad pass,[],1630703,,,1610612757,13,14,2023-12-24T02:08:30Z,620000,False,,,0,,S. Henderson bad pass TURNOVER (1 TO),"[1630703, 1631218]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Jackson-Davis,1631218.0,,,,
67,PT06M28.00S,2023-12-24T01:51:54.2Z,1,REGULAR,steal,,[],1631218,,,1610612744,13,14,2023-12-24T02:08:30Z,630000,False,,,0,,T. Jackson-Davis STEAL (1 STL),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
68,PT06M12.00S,2023-12-24T01:52:05.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201939,82.60512483574244,28.676470588235293,1610612744,15,14,2023-12-24T02:08:59Z,640000,False,-107.0,111.0,1,right,S. Curry 15' driving floating Jump Shot (6 PTS) (T. Jackson-Davis 1 AST),"[201939, 1631218]",1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,15.39,Made,6.0,T. Jackson-Davis,1631218.0,1.0,,,,,,,,,,,,,,
71,PT06M02.00S,2023-12-24T01:52:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1631218,,,1610612757,15,14,2023-12-24T01:53:01Z,660000,False,,,0,,T. Jackson-Davis shooting personal FOUL (1 PF) (Ayton 2 FT),"[1631218, 1629028]",1610612744.0,GSW,shooting,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202037.0,1.0,0.0,,,,Ayton,1629028.0,,
74,PT06M02.00S,2023-12-24T01:53:05.4Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612757,15,14,2023-12-24T02:11:25Z,680000,False,,,0,,MISS D. Ayton Free Throw 1 of 2,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M02.00S,2023-12-24T01:53:05.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,15,14,2023-12-24T02:11:25Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,
76,PT06M02.00S,2023-12-24T01:53:05.4Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612757,15,14,2023-12-24T02:11:25Z,700000,False,,,0,,MISS D. Ayton Free Throw 2 of 2,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT06M00.00S,2023-12-24T01:53:07.4Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,15,14,2023-12-24T02:11:25Z,710000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,
78,PT05M49.00S,2023-12-24T01:53:11.4Z,1,REGULAR,3pt,Jump Shot,[],201939,68.77463863337714,67.64705882352942,1610612744,15,14,2023-12-24T02:11:02Z,720000,False,88.0,241.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
79,PT05M47.00S,2023-12-24T01:53:13.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,15,14,2023-12-24T02:10:50Z,730000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,
81,PT05M33.00S,2023-12-24T01:53:31.6Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612757,15,14,2023-12-24T01:53:42Z,750000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Henderson 2 FT),"[202691, 1630703]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201639.0,1.0,0.0,,,,Henderson,1630703.0,,
83,PT05M33.00S,2023-12-24T01:53:43.3Z,1,REGULAR,freethrow,1 of 2,[],1630703,,,1610612757,15,15,2023-12-24T01:53:43Z,770000,False,,,0,,S. Henderson Free Throw 1 of 2 (1 PTS),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
84,PT05M33.00S,2023-12-24T01:53:53.0Z,1,REGULAR,freethrow,2 of 2,[],1630703,,,1610612757,15,16,2023-12-24T01:53:53Z,780000,False,,,0,,S. Henderson Free Throw 2 of 2 (2 PTS),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
85,PT05M18.00S,2023-12-24T01:54:13.8Z,1,REGULAR,foul,personal,[],1629028,,,1610612744,15,16,2023-12-24T01:54:39Z,790000,False,,,0,,D. Ayton personal FOUL (1 PF),"[1629028, 201939]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202037.0,1.0,1.0,,,,Curry,201939.0,,
87,PT05M18.00S,2023-12-24T01:54:28.7Z,1,REGULAR,substitution,out,[],202691,,,1610612744,15,16,2023-12-24T01:54:32Z,810000,False,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M18.00S,2023-12-24T01:54:28.7Z,1,REGULAR,substitution,in,[],1630541,,,1610612744,15,16,2023-12-24T01:54:32Z,820000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M18.00S,2023-12-24T01:54:44.2Z,1,REGULAR,turnover,out-of-bounds,[],1631218,,,1610612744,15,16,2023-12-24T01:55:00Z,830000,False,,,0,,T. Jackson-Davis bad pass out-of-bounds TURNOVER (1 TO),[1631218],1610612744.0,GSW,bad pass,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,202037.0,,,1.0,,,,,,
92,PT05M05.00S,2023-12-24T01:55:24.9Z,1,REGULAR,substitution,out,[],1630228,,,1610612757,15,16,2023-12-24T01:55:29Z,860000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M05.00S,2023-12-24T01:55:24.9Z,1,REGULAR,substitution,in,[],203967,,,1610612757,15,16,2023-12-24T01:55:29Z,870000,False,,,0,,SUB in: D. Saric,[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M00.00S,2023-12-24T01:55:40.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629014,31.750985545335087,59.068627450980394,1610612757,15,19,2023-12-24T02:13:44Z,880000,False,-45.0,246.0,1,left,A. Simons 25' 3PT  (6 PTS) (S. Henderson 1 AST),"[1629014, 1630703]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,25.01,Made,6.0,S. Henderson,1630703.0,1.0,,,,,,,,,,,,,,
96,PT04M42.00S,2023-12-24T01:55:59.4Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612744,15,19,2023-12-24T01:56:08Z,900000,False,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1627763]",1610612744.0,GSW,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1.0,Brogdon,1627763.0,,,,
97,PT04M42.00S,2023-12-24T01:55:59.4Z,1,REGULAR,steal,,[],1627763,,,1610612757,15,19,2023-12-24T01:56:03Z,910000,False,,,0,,M. Brogdon STEAL (1 STL),[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
