actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
28,PT09M58.00S,2023-11-02T02:14:15.1Z,1,REGULAR,steal,,[],203110,,,1610612744,10,3,2023-11-02T02:14:17Z,280000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2023-11-02T02:14:22.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201939,91.67214191852825,58.08823529411765,1610612744,12,3,2023-11-02T02:16:01Z,290000,False,40.0,26.0,1,right,S. Curry running finger roll Layup (2 PTS),[201939],1610612744.0,GSW,running finger roll,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,4.79,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M43.00S,2023-11-02T02:14:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,7.178055190538765,40.931372549019606,1610612758,12,3,2023-11-02T02:24:31Z,300000,False,45.0,15.0,1,left,MISS K. Huerter driving Layup,[1628989],1610612758.0,SAC,driving,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,4.77,Missed,,,,,,,,,,,,,,,,,,
31,PT09M43.00S,2023-11-02T02:14:31.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,12,3,2023-11-02T02:14:37Z,310000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,30.0,,,1.0,1.0,0.0,,
32,PT09M31.00S,2023-11-02T02:14:42.7Z,1,REGULAR,3pt,Jump Shot,[],203110,95.6143232588699,96.81372549019608,1610612744,12,3,2023-11-02T02:14:49Z,320000,False,234.0,-11.0,1,right,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,,
33,PT09M29.00S,2023-11-02T02:14:44.7Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,12,3,2023-11-02T02:18:37Z,330000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,32.0,,,1.0,1.0,0.0,,
34,PT09M22.00S,2023-11-02T02:14:51.6Z,1,REGULAR,3pt,Jump Shot,[],1630558,33.722076215505915,44.36274509803921,1610612758,12,6,2023-11-02T02:15:07Z,340000,False,28.0,264.0,1,left,D. Mitchell 26' 3PT  (6 PTS) (D. Sabonis 2 AST),"[1630558, 1627734]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,26.6,Made,6.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,,,,,
36,PT09M01.00S,2023-11-02T02:15:12.4Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612744,12,6,2023-11-02T02:18:12Z,360000,False,,,0,,A. Wiggins lost ball TURNOVER (1 TO),"[203952, 1630558]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,1.0,,Mitchell,1630558.0,,,,,
37,PT09M01.00S,2023-11-02T02:15:12.4Z,1,REGULAR,steal,,[],1630558,,,1610612758,12,6,2023-11-02T02:15:14Z,370000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
38,PT08M51.00S,2023-11-02T02:15:22.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,32.40801576872536,47.794117647058826,1610612758,12,6,2023-11-02T02:18:33Z,380000,False,11.0,252.0,1,left,MISS K. Huerter 25' step back 3PT,[1628989],1610612758.0,SAC,step back,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,25.23,Missed,,,,,,,,,,,,,,,,,,
39,PT08M48.00S,2023-11-02T02:15:25.5Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,12,6,2023-11-02T02:15:34Z,390000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,38.0,,,1.0,1.0,0.0,,
40,PT08M37.00S,2023-11-02T02:15:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,92.72339027595268,43.872549019607845,1610612744,14,6,2023-11-02T02:15:44Z,400000,False,-31.0,16.0,1,right,K. Thompson reverse Layup (2 PTS),[202691],1610612744.0,GSW,reverse,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,3.45,Made,2.0,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2023-11-02T02:15:50.4Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612758,14,6,2023-11-02T02:15:57Z,420000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1626172, 1627734]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,201246.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,
44,PT08M26.00S,2023-11-02T02:16:15.9Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,14,7,2023-11-02T02:16:15Z,440000,False,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
45,PT08M26.00S,2023-11-02T02:16:34.9Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,14,8,2023-11-02T02:16:34Z,450000,False,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
46,PT08M07.00S,2023-11-02T02:16:55.1Z,1,REGULAR,3pt,Jump Shot,[],201939,67.88764783180025,70.34313725490196,1610612744,14,8,2023-11-02T02:17:00Z,460000,False,102.0,249.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,26.93,Missed,,,,,,,,,,,,,,,,,,
47,PT08M04.00S,2023-11-02T02:16:58.1Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,14,8,2023-11-02T02:17:00Z,470000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,46.0,,,1.0,1.0,0.0,,
48,PT07M50.00S,2023-11-02T02:17:13.6Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612758,14,8,2023-11-02T02:17:18Z,480000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203952, 1627734]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,1148.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,
50,PT07M50.00S,2023-11-02T02:17:41.6Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,14,8,2023-11-02T02:17:41Z,500000,False,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT07M50.00S,2023-11-02T02:17:41.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,14,8,2023-11-02T02:17:41Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,
52,PT07M50.00S,2023-11-02T02:18:01.2Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,14,9,2023-11-02T02:18:01Z,520000,False,,,0,,D. Sabonis Free Throw 2 of 2 (3 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2023-11-02T02:18:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,84.31340341655716,48.28431372549019,1610612744,14,9,2023-11-02T02:18:19Z,530000,False,-9.0,95.0,1,right,MISS K. Thompson 9' fadeaway Shot,[202691],1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,9.54,Missed,,,,,,,,,,,,,,,,,,
54,PT07M35.00S,2023-11-02T02:18:17.9Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,14,9,2023-11-02T02:18:19Z,540000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,53.0,,,1.0,1.0,0.0,,
55,PT07M31.00S,2023-11-02T02:18:21.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,32.276609724047304,64.4607843137255,1610612758,14,9,2023-11-02T02:18:30Z,550000,False,-72.0,251.0,1,left,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
56,PT07M29.00S,2023-11-02T02:18:23.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,14,9,2023-11-02T02:18:30Z,560000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,55.0,,,,,,,
58,PT07M18.00S,2023-11-02T02:18:49.3Z,1,REGULAR,3pt,Jump Shot,[],203952,73.53810775295663,11.76470588235294,1610612744,14,9,2023-11-02T02:18:56Z,580000,False,-191.0,196.0,1,right,MISS A. Wiggins 27' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,27.4,Missed,,,,,,,,,,,,,,,,,,
59,PT07M15.00S,2023-11-02T02:18:52.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,14,9,2023-11-02T02:18:56Z,590000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,58.0,,,1.0,1.0,0.0,,
60,PT07M05.00S,2023-11-02T02:19:05.8Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612758,14,9,2023-11-02T02:19:37Z,600000,False,,,0,,K. Looney shooting personal FOUL (2 PF) (Sabonis 2 FT),"[1626172, 1627734]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,Above the Break 3,24+ Left Center,,,,,,,1628954.0,2.0,0.0,Sabonis,1627734.0,,,,,,,,,
62,PT07M05.00S,2023-11-02T02:19:38.9Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,14,10,2023-11-02T02:20:00Z,620000,False,,,0,,D. Sabonis Free Throw 1 of 2 (4 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
63,PT07M05.00S,2023-11-02T02:19:38.9Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,14,10,2023-11-02T02:20:00Z,630000,False,,,0,,MISS D. Sabonis Free Throw 2 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2023-11-02T02:19:40.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,14,10,2023-11-02T02:20:00Z,640000,False,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,63.0,,,2.0,2.0,0.0,,
65,PT06M50.00S,2023-11-02T02:20:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,88.91261498028909,50.0,1610612744,16,10,2023-11-02T02:20:17Z,650000,False,0.0,52.0,1,right,A. Wiggins driving finger roll Layup (6 PTS) (K. Looney 3 AST),"[203952, 1626172]",1610612744.0,GSW,driving finger roll,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,6.0,K. Looney,1626172.0,3.0,,,,,,,,,,,,,,
67,PT06M35.00S,2023-11-02T02:20:27.0Z,1,REGULAR,2pt,Jump Shot,[],1631099,22.026938239159,40.931372549019606,1610612758,16,10,2023-11-02T02:20:31Z,670000,False,45.0,155.0,1,left,MISS K. Murray 16' fadeaway Shot,[1631099],1610612758.0,SAC,fadeaway,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,16.11,Missed,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2023-11-02T02:20:28.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,16,10,2023-11-02T02:20:31Z,680000,False,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,67.0,,,3.0,3.0,0.0,,
69,PT06M22.00S,2023-11-02T02:20:41.6Z,1,REGULAR,2pt,Jump Shot,[],202691,80.6340341655716,20.833333333333336,1610612744,18,10,2023-11-02T02:23:43Z,690000,False,-146.0,130.0,1,right,K. Thompson 19' pullup Jump Shot (4 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,19.5,Made,4.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
71,PT06M02.00S,2023-11-02T02:21:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,6.258212877792378,55.88235294117647,1610612758,18,12,2023-11-02T02:24:03Z,710000,False,-29.0,6.0,1,left,K. Huerter cutting finger roll Layup (2 PTS) (D. Sabonis 3 AST),"[1628989, 1627734]",1610612758.0,SAC,cutting finger roll,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,3.01,Made,2.0,D. Sabonis,1627734.0,3.0,,,,,,,,,,,,,,
73,PT05M55.00S,2023-11-02T02:21:16.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,18,12,2023-11-02T02:21:16Z,730000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2023-11-02T02:23:56.9Z,1,REGULAR,substitution,out,[],203110,,,1610612744,18,12,2023-11-02T02:24:14Z,740000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2023-11-02T02:23:56.9Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,18,12,2023-11-02T02:24:14Z,750000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2023-11-02T02:23:56.9Z,1,REGULAR,substitution,in,[],203967,,,1610612744,18,12,2023-11-02T02:24:14Z,760000,False,,,0,,SUB in: D. Saric,[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2023-11-02T02:23:56.9Z,1,REGULAR,substitution,in,[],101108,,,1610612744,18,12,2023-11-02T02:24:14Z,770000,False,,,0,,SUB in: C. Paul,[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M49.00S,2023-11-02T02:24:28.8Z,1,REGULAR,3pt,Jump Shot,[],202691,64.73390275952694,41.911764705882355,1610612744,21,12,2023-11-02T02:24:35Z,780000,False,-40.0,279.0,1,right,K. Thompson 28' 3PT  (7 PTS) (C. Paul 1 AST),"[202691, 101108]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,28.19,Made,7.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
80,PT05M23.00S,2023-11-02T02:24:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,8.360709592641262,52.69607843137255,1610612758,21,14,2023-11-02T02:24:59Z,800000,False,-13.0,26.0,1,left,D. Sabonis Layup (6 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.94,Made,6.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,,
82,PT05M04.00S,2023-11-02T02:25:13.0Z,1,REGULAR,3pt,Jump Shot,[],202691,95.22010512483574,3.1862745098039214,1610612744,21,14,2023-11-02T02:25:17Z,820000,False,-234.0,-8.0,1,right,MISS K. Thompson 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2023-11-02T02:25:16.0Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,21,14,2023-11-02T02:25:17Z,830000,False,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,82.0,,,2.0,2.0,0.0,,
84,PT04M57.00S,2023-11-02T02:25:20.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,33.9561432325887,41.674325980392155,1610612758,21,17,2023-11-02T02:25:54Z,840000,False,42.0,267.0,1,left,K. Huerter 26' 3PT pullup (5 PTS),[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,26.99,Made,5.0,,,,,,,,,,,,,,,,,
85,PT04M30.00S,2023-11-02T02:25:46.9Z,1,REGULAR,2pt,Jump Shot,[],203952,91.27792378449409,20.34313725490196,1610612744,21,17,2023-11-02T02:25:53Z,850000,False,-148.0,29.0,1,right,MISS A. Wiggins 15' turnaround fadeaway Shot,[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,15.12,Missed,,,,,,,,,,,,,,,,,,
86,PT04M27.00S,2023-11-02T02:25:49.9Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,21,17,2023-11-02T02:25:53Z,860000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,85.0,,,2.0,2.0,0.0,,
87,PT04M23.00S,2023-11-02T02:25:55.7Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,21,17,2023-11-02T02:26:03Z,870000,False,,,0,,D. Sabonis bad pass out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,bad pass,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,1148.0,,,,,1.0,,,,,,,,
88,PT04M23.00S,2023-11-02T02:25:58.2Z,1,REGULAR,substitution,out,[],202691,,,1610612744,21,17,2023-11-02T02:26:18Z,880000,False,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2023-11-02T02:25:58.2Z,1,REGULAR,substitution,out,[],203952,,,1610612744,21,17,2023-11-02T02:26:18Z,890000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M23.00S,2023-11-02T02:25:58.2Z,1,REGULAR,substitution,out,[],1628989,,,1610612744,21,17,2023-11-02T02:26:18Z,900000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
