actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
31,PT10M17.00S,2024-03-07T03:17:08.7Z,1,REGULAR,3pt,Jump Shot,[],203507,33.590670170827856,42.40196078431372,1610612749,4,8,2024-03-07T03:20:41Z,310000,False,38.0,263.0,1,left,G. Antetokounmpo 26' 3PT pullup (8 PTS),[203507],1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Center,26.6,Made,8.0,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
32,PT09M56.00S,2024-03-07T03:17:30.2Z,1,REGULAR,3pt,Jump Shot,[],203952,70.38436268068331,72.30392156862744,1610612744,7,8,2024-03-07T03:17:34Z,320000,False,112.0,226.0,1,right,A. Wiggins 25' 3PT  (3 PTS) (B. Podziemski 2 AST),"[203952, 1641764]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,25.19,Made,3.0,Wiggins,A. Wiggins,B. Podziemski,1641764.0,2.0,,,,,,,,,,,,,,,
34,PT09M31.00S,2024-03-07T03:17:54.3Z,1,REGULAR,3pt,Jump Shot,[],203109,26.888961892247043,8.57843137254902,1610612749,7,8,2024-03-07T03:17:59Z,340000,False,207.0,200.0,1,left,MISS J. Crowder 28' 3PT,[203109],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,28.81,Missed,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,
35,PT09M29.00S,2024-03-07T03:17:56.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,7,8,2024-03-07T03:17:59Z,350000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Green,D. Green,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,
36,PT09M16.00S,2024-03-07T03:18:09.9Z,1,REGULAR,3pt,Jump Shot,[],1641764,66.3107752956636,26.47058823529412,1610612744,10,8,2024-03-07T03:18:23Z,360000,False,-118.0,264.0,1,right,B. Podziemski 28' 3PT bank (3 PTS) (J. Kuminga 1 AST),"[1641764, 1630228]",1610612744.0,GSW,bank,,,,,,Above the Break 3,24+ Left Center,28.92,Made,3.0,Podziemski,B. Podziemski,J. Kuminga,1630228.0,1.0,,,,,,,,,,,,,,,
38,PT09M02.00S,2024-03-07T03:18:23.6Z,1,REGULAR,turnover,bad pass,[],1627736,,,1610612749,10,8,2024-03-07T03:18:27Z,380000,False,,,0,,M. Beasley bad pass TURNOVER (1 TO),"[1627736, 203952]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,1.0,Wiggins,203952.0,
39,PT09M02.00S,2024-03-07T03:18:23.6Z,1,REGULAR,steal,,[],203952,,,1610612744,10,8,2024-03-07T03:18:25Z,390000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
40,PT08M57.00S,2024-03-07T03:18:28.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630228,91.80354796320631,44.11764705882353,1610612744,12,8,2024-03-07T03:22:49Z,400000,False,-29.0,25.0,1,right,J. Kuminga running alley-oop Layup (6 PTS) (B. Podziemski 3 AST),"[1630228, 1641764]",1610612744.0,GSW,running alley-oop,,,,,,Restricted Area,0-8 Center,3.83,Made,6.0,Kuminga,J. Kuminga,B. Podziemski,1641764.0,3.0,,,,,,,,,,,,,,,
42,PT08M33.00S,2024-03-07T03:18:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,10.200394218134035,59.31372549019608,1610612749,12,10,2024-03-07T03:23:13Z,420000,False,-47.0,43.0,1,left,J. Crowder 6' driving floating Jump Shot (2 PTS) (D. Lillard 2 AST),"[203109, 203081]",1610612749.0,MIL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.37,Made,2.0,Crowder,J. Crowder,D. Lillard,203081.0,2.0,,,,,,,,,,,,,,,
44,PT08M26.00S,2024-03-07T03:18:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,90.3580814717477,57.59803921568627,1610612744,14,10,2024-03-07T03:23:54Z,440000,False,38.0,38.0,1,right,D. Green driving Layup (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.38,Made,2.0,Green,D. Green,S. Curry,201939.0,1.0,,,,,,,,,,,,,,,
45,PT08M20.00S,2024-03-07T03:19:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,7.703679369250986,3.6764705882352944,1610612749,14,10,2024-03-07T03:19:12Z,450000,False,232.0,20.0,1,left,MISS M. Beasley 3PT,[1627736],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,23.25,Missed,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,
46,PT08M15.00S,2024-03-07T03:19:11.2Z,1,REGULAR,rebound,offensive,[],1627736,,,1610612749,14,10,2024-03-07T03:19:11Z,460000,False,,,0,,M. Beasley REBOUND (Off:1 Def:0),[1627736],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,,,,Beasley,M. Beasley,,,,45.0,1.0,0.0,1.0,,,,,,,,,,,
47,PT08M15.00S,2024-03-07T03:19:11.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627736,5.590000152587891,50.0,1610612749,14,12,2024-03-07T03:19:11Z,470000,False,0.0,0.0,1,left,M. Beasley putback Layup (2 PTS),[1627736],1610612749.0,MIL,putback,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,
48,PT08M00.00S,2024-03-07T03:19:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,91.27792378449409,42.8921568627451,1610612744,16,12,2024-03-07T03:19:35Z,480000,False,-36.0,29.0,1,right,B. Podziemski driving finger roll Layup (5 PTS),[1641764],1610612744.0,GSW,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,5.0,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2024-03-07T03:19:42.5Z,1,REGULAR,2pt,Jump Shot,[],203109,9.411957950065702,16.42156862745098,1610612749,16,12,2024-03-07T03:19:46Z,490000,False,168.0,36.0,1,left,MISS J. Crowder 17' pullup Shot,[203109],1610612749.0,MIL,pullup,,,,,,Mid-Range,16-24 Right,17.17,Missed,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,
50,PT07M41.00S,2024-03-07T03:19:44.5Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,16,12,2024-03-07T03:19:46Z,500000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,,,,Mid-Range,16-24 Right,,,,Curry,S. Curry,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,
51,PT07M35.00S,2024-03-07T03:19:51.4Z,1,REGULAR,2pt,Jump Shot,[],1630228,83.65637319316689,19.852941176470587,1610612744,16,12,2024-03-07T03:24:40Z,510000,False,-151.0,101.0,1,right,MISS J. Kuminga 18' pullup Shot,[1630228],1610612744.0,GSW,pullup,,,,,,Mid-Range,16-24 Left,18.15,Missed,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
52,PT07M32.00S,2024-03-07T03:19:54.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612749,16,12,2024-03-07T03:19:55Z,520000,False,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612749.0,MIL,,,,,,,Mid-Range,16-24 Left,,,,Crowder,J. Crowder,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,
53,PT07M25.00S,2024-03-07T03:20:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,7.5722733245729295,39.46078431372549,1610612749,16,14,2024-03-07T03:20:05Z,530000,False,53.0,19.0,1,left,D. Lillard driving Layup (2 PTS),[203081],1610612749.0,MIL,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.59,Made,2.0,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,
54,PT07M02.00S,2024-03-07T03:20:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,92.32917214191852,42.8921568627451,1610612744,18,14,2024-03-07T03:20:33Z,540000,False,-36.0,20.0,1,right,S. Curry reverse Layup (2 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,reverse,,,,,,Restricted Area,0-8 Center,4.06,Made,2.0,Curry,S. Curry,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
56,PT06M43.00S,2024-03-07T03:20:42.3Z,1,REGULAR,3pt,Jump Shot,[],203507,4.155716162943495,94.6078431372549,1610612749,18,14,2024-03-07T03:20:46Z,560000,False,-223.0,-13.0,1,left,MISS G. Antetokounmpo 3PT,[203507],1610612749.0,MIL,,,,,,,Left Corner 3,24+ Left,22.34,Missed,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
57,PT06M40.00S,2024-03-07T03:20:45.3Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,18,14,2024-03-07T03:20:46Z,570000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,,,,Podziemski,B. Podziemski,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,
58,PT06M38.00S,2024-03-07T03:20:48.1Z,1,REGULAR,turnover,bad pass,[],1641764,,,1610612744,18,14,2024-03-07T03:20:51Z,580000,False,,,0,,B. Podziemski bad pass TURNOVER (1 TO),"[1641764, 1627736]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,1.0,Beasley,1627736.0,
59,PT06M38.00S,2024-03-07T03:20:48.1Z,1,REGULAR,steal,,[],1627736,,,1610612749,18,14,2024-03-07T03:20:49Z,590000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,
61,PT06M33.00S,2024-03-07T03:21:01.2Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612749,18,14,2024-03-07T03:21:10Z,610000,False,,,0,,D. Green shooting personal FOUL (2 PF) (Antetokounmpo 2 FT),"[203110, 203507]",1610612744.0,GSW,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Green,D. Green,,,,,,,,,,204058.0,2.0,0.0,Antetokounmpo,203507.0,,,,
63,PT06M33.00S,2024-03-07T03:21:11.9Z,1,REGULAR,foul,technical,['1freethrow'],203110,,,1610612749,18,14,2024-03-07T03:21:17Z,630000,False,,,0,,D. Green technical FOUL (1 Tech),[203110],1610612744.0,GSW,,,,,,,,,,,,Green,D. Green,,,,,,,,,,204058.0,2.0,1.0,,,,,,
64,PT06M33.00S,2024-03-07T03:21:22.2Z,1,REGULAR,substitution,out,[],1630228,,,1610612749,18,14,2024-03-07T03:24:38Z,640000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
65,PT06M33.00S,2024-03-07T03:21:22.2Z,1,REGULAR,substitution,out,[],203952,,,1610612749,18,14,2024-03-07T03:24:38Z,650000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
66,PT06M33.00S,2024-03-07T03:21:22.2Z,1,REGULAR,substitution,out,[],203110,,,1610612749,18,14,2024-03-07T03:24:38Z,660000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
67,PT06M33.00S,2024-03-07T03:21:22.2Z,1,REGULAR,substitution,in,[],202691,,,1610612749,18,14,2024-03-07T03:24:38Z,670000,False,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,,,,,,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
68,PT06M33.00S,2024-03-07T03:21:22.2Z,1,REGULAR,substitution,in,[],1626172,,,1610612749,18,14,2024-03-07T03:24:38Z,680000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,,,,,,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,
69,PT06M33.00S,2024-03-07T03:21:22.2Z,1,REGULAR,substitution,in,[],1627780,,,1610612749,18,14,2024-03-07T03:24:38Z,690000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,,,,,,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,
73,PT06M33.00S,2024-03-07T03:23:08.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,18,14,2024-03-07T03:25:44Z,695000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M33.00S,2024-03-07T03:24:53.9Z,1,REGULAR,freethrow,1 of 1,[],203081,,,1610612749,18,15,2024-03-07T03:24:53Z,700000,False,,,0,,D. Lillard technical Free Throw 1 of 1 (3 PTS),[203081],1610612749.0,MIL,technical,,,,,,,,,Made,3.0,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,
71,PT06M33.00S,2024-03-07T03:25:24.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,18,15,2024-03-07T03:25:24Z,710000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,,,,,,,Missed,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
72,PT06M33.00S,2024-03-07T03:25:24.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,18,15,2024-03-07T03:25:24Z,720000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,
74,PT06M33.00S,2024-03-07T03:25:24.5Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,18,16,2024-03-07T03:26:35Z,730000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (9 PTS),[203507],1610612749.0,MIL,,,,,,,,,,Made,9.0,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
75,PT06M19.00S,2024-03-07T03:26:06.4Z,1,REGULAR,3pt,Jump Shot,[],201939,68.01905387647832,25.245098039215684,1610612744,21,16,2024-03-07T03:26:11Z,740000,False,-124.0,248.0,1,right,S. Curry 27' 3PT step back (5 PTS),[201939],1610612744.0,GSW,step back,,,,,,Above the Break 3,24+ Left Center,27.73,Made,5.0,Curry,S. Curry,,,,,,,,,,,,,,,,,,
76,PT05M58.00S,2024-03-07T03:26:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,15.325229960578188,45.09803921568628,1610612749,21,16,2024-03-07T03:28:04Z,750000,False,25.0,92.0,1,left,MISS D. Lillard 9' driving floating Shot - blocked,"[203081, 1641764]",1610612749.0,MIL,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,9.48,Missed,,Lillard,D. Lillard,,,,,,,,Podziemski,1641764.0,,,,,,,,,
77,PT05M58.00S,2024-03-07T03:26:26.9Z,1,REGULAR,block,,[],1641764,,,1610612749,21,16,2024-03-07T03:26:28Z,760000,False,,,0,,B. Podziemski BLOCK (1 BLK),[1641764],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2024-03-07T03:26:29.9Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,21,16,2024-03-07T03:26:31Z,770000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:2),[1641764],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Podziemski,B. Podziemski,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,
79,PT05M50.00S,2024-03-07T03:26:35.5Z,1,REGULAR,3pt,Jump Shot,[],1641764,68.54467805519053,71.81372549019608,1610612744,21,16,2024-03-07T03:26:40Z,780000,False,109.0,243.0,1,right,MISS B. Podziemski 26' 3PT,[1641764],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,26.66,Missed,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,
80,PT05M47.00S,2024-03-07T03:26:38.5Z,1,REGULAR,rebound,defensive,[],203109,,,1610612749,21,16,2024-03-07T03:26:40Z,790000,False,,,0,,J. Crowder REBOUND (Off:0 Def:3),[203109],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Crowder,J. Crowder,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,
81,PT05M30.00S,2024-03-07T03:26:55.3Z,1,REGULAR,3pt,Jump Shot,[],203081,33.722076215505915,51.225490196078425,1610612749,21,19,2024-03-07T03:29:45Z,800000,False,-6.0,264.0,1,left,D. Lillard 26' 3PT step back (6 PTS) (J. Crowder 1 AST),"[203081, 203109]",1610612749.0,MIL,step back,,,,,,Above the Break 3,24+ Center,26.46,Made,6.0,Lillard,D. Lillard,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
