actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
30,PT09M20.00S,2024-01-11T01:43:56.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,33.722076215505915,46.32352941176471,1610612744,4,12,2024-01-11T01:44:38Z,300000,False,18.0,264.0,1,left,MISS K. Thompson 26' pullup 3PT,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,26.51,Missed,,,,,,,,,,,,,,,
31,PT09M15.00S,2024-01-11T01:44:01.2Z,1,REGULAR,rebound,offensive,[],202691,,,1610612744,4,12,2024-01-11T01:44:06Z,310000,False,,,0,,K. Thompson REBOUND (Off:1 Def:0),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,30.0,1.0,0.0,1.0,,,,,,,,,,,
32,PT09M11.00S,2024-01-11T01:44:04.3Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,4,12,2024-01-11T01:44:11Z,320000,False,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 202685]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,1.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,
33,PT09M11.00S,2024-01-11T01:44:04.3Z,1,REGULAR,steal,,[],202685,,,1610612740,4,12,2024-01-11T01:44:06Z,330000,False,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
34,PT09M05.00S,2024-01-11T01:44:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,93.11760840998686,94.36274509803921,1610612740,4,15,2024-01-11T01:44:19Z,340000,False,222.0,12.0,1,right,H. Jones 3PT  (6 PTS) (C. McCollum 2 AST),"[1630529, 203468]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,,22.21,Made,,,,,,6.0,C. McCollum,203468.0,2.0,,,,,,
36,PT09M04.00S,2024-01-11T01:44:31.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,4,15,2024-01-11T01:44:31Z,360000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M49.00S,2024-01-11T01:47:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,7.966491458607096,47.549019607843135,1610612744,6,15,2024-01-11T01:48:08Z,370000,False,12.0,22.0,1,left,J. Kuminga turnaround fadeaway Jump Shot (2 PTS),[1630228],1610612744.0,GSW,turnaround fadeaway,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,,,2.56,Made,,,,,,2.0,,,,,,,,,
42,PT08M36.00S,2024-01-11T01:48:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.9862023653088,46.32352941176471,1610612740,6,17,2024-01-11T01:48:17Z,380000,False,-18.0,13.0,1,right,Z. Williamson Layup (2 PTS) (J. Valanciunas 1 AST),"[1629627, 202685]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,2.28,Made,,,,,,2.0,J. Valanciunas,202685.0,1.0,,,,,,
44,PT08M22.00S,2024-01-11T01:48:23.8Z,1,REGULAR,3pt,Jump Shot,[],202691,28.597240473061763,81.12745098039215,1610612744,9,17,2024-01-11T01:48:29Z,400000,False,-156.0,216.0,1,left,K. Thompson 26' 3PT  (5 PTS) (B. Podziemski 2 AST),"[202691, 1641764]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,26.65,Made,,,,,,5.0,B. Podziemski,1641764.0,2.0,,,,,,
46,PT08M08.00S,2024-01-11T01:48:38.8Z,1,REGULAR,3pt,Jump Shot,[],202685,69.33311432325887,28.921568627450984,1610612740,9,17,2024-01-11T01:48:44Z,420000,False,-105.0,236.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,25.83,Missed,,,,,,,,,,,,,,,
47,PT08M04.00S,2024-01-11T01:48:42.8Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,9,17,2024-01-11T01:48:44Z,430000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,
48,PT07M53.00S,2024-01-11T01:48:52.6Z,1,REGULAR,turnover,lost ball,[],202691,,,1610612744,9,17,2024-01-11T01:48:57Z,440000,False,,,0,,K. Thompson lost ball TURNOVER (2 TO),"[202691, 202685]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,2.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,
49,PT07M53.00S,2024-01-11T01:48:52.6Z,1,REGULAR,steal,,[],202685,,,1610612740,9,17,2024-01-11T01:48:54Z,450000,False,,,0,,J. Valanciunas STEAL (2 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
50,PT07M44.00S,2024-01-11T01:49:01.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202685,91.01511169513797,64.4607843137255,1610612740,9,17,2024-01-11T01:49:11Z,460000,False,72.0,32.0,1,right,MISS J. Valanciunas 7' fadeaway Shot,[202685],1610612740.0,NOP,fadeaway,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,7.91,Missed,,,,,,,,,,,,,,,
51,PT07M41.00S,2024-01-11T01:49:04.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,9,17,2024-01-11T01:49:11Z,470000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,
52,PT07M28.00S,2024-01-11T01:49:17.9Z,1,REGULAR,2pt,Jump Shot,[],201939,22.421156373193167,31.61764705882353,1610612744,9,17,2024-01-11T01:49:26Z,480000,False,92.0,158.0,1,left,MISS S. Curry 18' pullup Shot,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right Center,,,,18.3,Missed,,,,,,,,,,,,,,,
53,PT07M26.00S,2024-01-11T01:49:19.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,17,2024-01-11T01:49:26Z,490000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right Center,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,
54,PT07M13.00S,2024-01-11T01:49:33.8Z,1,REGULAR,turnover,lost ball,[],1629627,,,1610612740,9,17,2024-01-11T01:49:39Z,500000,False,,,0,,Z. Williamson lost ball TURNOVER (1 TO),"[1629627, 201939]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,1.0,Curry,201939.0,,,,,,,,,,,,,,,,,
55,PT07M13.00S,2024-01-11T01:49:33.8Z,1,REGULAR,steal,,[],201939,,,1610612744,9,17,2024-01-11T01:49:35Z,510000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M08.00S,2024-01-11T01:49:38.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201939,30.305519053876477,77.69607843137256,1610612744,9,17,2024-01-11T01:54:05Z,520000,False,-138.0,232.0,1,left,MISS S. Curry 27' running 3PT,[201939],1610612744.0,GSW,running,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,27.05,Missed,,,,,,,,,,,,,,,
57,PT07M04.00S,2024-01-11T01:49:42.4Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,9,17,2024-01-11T01:49:48Z,530000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,
58,PT07M02.00S,2024-01-11T01:49:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,83.39356110381078,96.32352941176471,1610612740,9,20,2024-01-11T01:49:59Z,540000,False,232.0,104.0,1,right,H. Jones 25' 3PT  (9 PTS) (C. McCollum 3 AST),"[1630529, 203468]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,25.37,Made,,,,,,9.0,C. McCollum,203468.0,3.0,,,,,,
60,PT06M47.00S,2024-01-11T01:49:58.8Z,1,REGULAR,3pt,Jump Shot,[],202691,34.37910643889619,21.813725490196077,1610612744,9,20,2024-01-11T01:50:06Z,560000,False,141.0,271.0,1,left,MISS K. Thompson 30' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,30.52,Missed,,,,,,,,,,,,,,,
61,PT06M42.00S,2024-01-11T01:50:03.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,9,20,2024-01-11T01:50:06Z,570000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,
62,PT06M34.00S,2024-01-11T01:50:13.6Z,1,REGULAR,foul,personal,[],1630228,,,1610612740,9,20,2024-01-11T01:50:28Z,580000,False,,,0,,J. Kuminga personal FOUL (1 PF),"[1630228, 203468]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,202053.0,,,,,,,1.0,0.0,McCollum,203468.0
64,PT06M34.00S,2024-01-11T01:50:25.7Z,1,REGULAR,substitution,out,[],1641764,,,1610612740,9,20,2024-01-11T01:50:39Z,600000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M34.00S,2024-01-11T01:50:25.7Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,9,20,2024-01-11T01:50:39Z,610000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2024-01-11T01:50:25.7Z,1,REGULAR,substitution,in,[],1630541,,,1610612740,9,20,2024-01-11T01:50:39Z,620000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2024-01-11T01:50:25.7Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,9,20,2024-01-11T01:50:39Z,630000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2024-01-11T01:50:43.5Z,1,REGULAR,foul,personal,[],1630228,,,1610612740,9,20,2024-01-11T01:51:14Z,640000,False,,,0,,J. Kuminga personal FOUL (2 PF),"[1630228, 1627742]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Right,,,,,,,,,,202049.0,,,,,,,2.0,0.0,Ingram,1627742.0
70,PT06M16.00S,2024-01-11T01:51:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,81.68528252299606,45.83333333333333,1610612740,9,22,2024-01-11T01:51:33Z,660000,False,-21.0,120.0,1,right,C. McCollum 12' finger roll Layup (5 PTS) (B. Ingram 1 AST),"[203468, 1627742]",1610612740.0,NOP,finger roll,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,12.15,Made,,,,,,5.0,B. Ingram,1627742.0,1.0,,,,,,
71,PT06M04.00S,2024-01-11T01:51:30.6Z,1,REGULAR,3pt,Jump Shot,[],201939,32.276609724047304,26.225490196078432,1610612744,12,22,2024-01-11T01:55:36Z,670000,False,119.0,251.0,1,left,S. Curry 27' 3PT pullup (5 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,27.76,Made,,,,,,5.0,,,,,,,,,
72,PT05M55.00S,2024-01-11T01:51:39.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,92.59198423127464,3.6764705882352944,1610612740,12,22,2024-01-11T01:51:48Z,680000,False,-232.0,17.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,,,,23.22,Missed,,,,,,,,,,,,,,,
73,PT05M49.00S,2024-01-11T01:51:46.1Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,12,22,2024-01-11T01:51:46Z,690000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,,,,72.0,3.0,2.0,1.0,,,,,,,,,,,
74,PT05M47.00S,2024-01-11T01:51:48.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,76.03482260183968,31.127450980392158,1610612740,12,22,2024-01-11T01:51:55Z,700000,False,-94.0,173.0,1,right,MISS B. Ingram 19' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,,,,19.69,Missed,,,,,,,,,,,,,,,
75,PT05M42.00S,2024-01-11T01:51:53.8Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,12,22,2024-01-11T01:51:55Z,710000,False,,,0,,B. Ingram REBOUND (Off:1 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,,,,,,74.0,2.0,1.0,1.0,,,,,,,,,,,
76,PT05M42.00S,2024-01-11T01:51:54.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630529,69.07030223390277,79.16666666666666,1610612740,12,22,2024-01-11T01:56:52Z,720000,False,146.0,238.0,1,right,MISS H. Jones 27' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,27.93,Missed,,,,,,,,,,,,,,,
77,PT05M41.00S,2024-01-11T01:51:55.0Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,12,22,2024-01-11T01:56:52Z,730000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,
78,PT05M41.00S,2024-01-11T01:51:58.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630530,94.40999984741211,50.0,1610612740,12,24,2024-01-11T01:57:05Z,740000,False,0.0,0.0,1,right,T. Murphy III tip DUNK (2 PTS),[1630530],1610612740.0,NOP,tip,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,2.0,,,,,,,,,
79,PT05M29.00S,2024-01-11T01:52:07.9Z,1,REGULAR,foul,personal,[],202685,,,1610612744,12,24,2024-01-11T01:52:29Z,750000,False,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 201939]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202049.0,,,,,,,1.0,0.0,Curry,201939.0
81,PT05M29.00S,2024-01-11T01:52:15.8Z,1,REGULAR,substitution,out,[],1630228,,,1610612744,12,24,2024-01-11T01:52:36Z,770000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M29.00S,2024-01-11T01:52:15.8Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,12,24,2024-01-11T01:52:36Z,780000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M29.00S,2024-01-11T01:52:15.8Z,1,REGULAR,substitution,out,[],203468,,,1610612744,12,24,2024-01-11T01:52:36Z,790000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M29.00S,2024-01-11T01:52:15.8Z,1,REGULAR,substitution,out,[],202685,,,1610612744,12,24,2024-01-11T01:52:36Z,800000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
