actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M23.00S,2024-03-10T01:42:25.1Z,1,REGULAR,turnover,bad pass,[],1630577,,,1610612759,2,5,2024-03-10T01:42:38Z,180000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630577, 1631218]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,Jackson-Davis,1631218.0,,,,,,
19,PT10M23.00S,2024-03-10T01:42:25.1Z,1,REGULAR,steal,,[],1631218,,,1610612744,2,5,2024-03-10T01:42:28Z,190000,False,,,0,,T. Jackson-Davis STEAL (1 STL),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2024-03-10T01:42:29.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631218,6.915243101182654,56.372549019607845,1610612744,4,5,2024-03-10T01:43:23Z,200000,False,-32.0,13.0,1,left,T. Jackson-Davis running Layup (2 PTS),[1631218],1610612744.0,GSW,running,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,3.43,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2024-03-10T01:42:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,89.43823915900131,48.03921568627451,1610612759,4,7,2024-03-10T01:42:44Z,210000,False,-10.0,47.0,1,right,Z. Collins driving Layup (4 PTS) (T. Jones 2 AST),"[1628380, 1630200]",1610612759.0,SAS,driving,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,4.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,
23,PT10M00.00S,2024-03-10T01:42:47.9Z,1,REGULAR,2pt,Jump Shot,[],1641764,21.895532194480946,48.03921568627451,1610612744,4,7,2024-03-10T01:42:52Z,230000,False,10.0,153.0,1,left,MISS B. Podziemski 15' pullup Shot,[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Center,15.36,Missed,,,,,,,,,,,,,,,,,,
24,PT09M56.00S,2024-03-10T01:42:51.9Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,4,7,2024-03-10T01:42:52Z,240000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Center,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,
25,PT09M43.00S,2024-03-10T01:43:04.0Z,1,REGULAR,3pt,Jump Shot,[],1630200,95.87713534822602,4.6568627450980395,1610612759,4,7,2024-03-10T01:43:08Z,250000,False,-227.0,-14.0,1,right,MISS T. Jones 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,22.71,Missed,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2024-03-10T01:43:07.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,4,7,2024-03-10T01:43:08Z,260000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M25.00S,2024-03-10T01:43:22.8Z,1,REGULAR,3pt,Jump Shot,[],203110,28.86005256241787,20.833333333333336,1610612744,4,7,2024-03-10T01:43:28Z,270000,False,146.0,219.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
28,PT09M21.00S,2024-03-10T01:43:26.8Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,4,7,2024-03-10T01:43:28Z,280000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT09M11.00S,2024-03-10T01:43:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,82.9993429697766,48.77450980392157,1610612759,4,7,2024-03-10T01:45:17Z,290000,False,-6.0,107.0,1,right,MISS M. Branham 10' pullup Shot - blocked,"[1631103, 1641764]",1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,10.75,Missed,,,,,,,,,,,,,Podziemski,1641764.0,,,,
30,PT09M11.00S,2024-03-10T01:43:38.5Z,1,REGULAR,block,,[],1641764,,,1610612759,4,7,2024-03-10T01:43:41Z,300000,False,,,0,,B. Podziemski BLOCK (1 BLK),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M09.00S,2024-03-10T01:43:40.5Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,4,7,2024-03-10T01:45:17Z,310000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
32,PT08M48.00S,2024-03-10T01:43:59.9Z,1,REGULAR,2pt,Jump Shot,[],1630228,3.7614980289093296,73.0392156862745,1610612744,4,7,2024-03-10T01:44:05Z,320000,False,-115.0,-17.0,1,left,MISS J. Kuminga 11' step back Shot,[1630228],1610612744.0,GSW,step back,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Left,11.65,Missed,,,,,,,,,,,,,,,,,,
33,PT08M44.00S,2024-03-10T01:44:03.9Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,4,7,2024-03-10T01:44:05Z,330000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Left,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT08M33.00S,2024-03-10T01:44:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,91.93495400788436,55.88235294117647,1610612759,4,7,2024-03-10T01:46:18Z,340000,False,29.0,23.0,1,right,MISS Z. Collins driving Layup - blocked,"[1628380, 1631218]",1610612759.0,SAS,driving,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,3.75,Missed,,,,,,,,,,,,,Jackson-Davis,1631218.0,,,,
35,PT08M33.00S,2024-03-10T01:44:15.1Z,1,REGULAR,block,,[],1631218,,,1610612759,4,7,2024-03-10T01:44:17Z,350000,False,,,0,,T. Jackson-Davis BLOCK (1 BLK),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M32.00S,2024-03-10T01:44:16.1Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,4,7,2024-03-10T01:46:18Z,360000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,
37,PT08M24.00S,2024-03-10T01:44:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,7.5722733245729295,43.13725490196079,1610612744,6,7,2024-03-10T01:44:29Z,370000,False,34.0,19.0,1,left,J. Kuminga cutting Layup (2 PTS) (D. Green 1 AST),"[1630228, 203110]",1610612744.0,GSW,cutting,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,3.91,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
39,PT08M24.00S,2024-03-10T01:44:27.4Z,1,REGULAR,foul,personal,['1freethrow'],1628380,,,1610612744,6,7,2024-03-10T01:44:36Z,390000,False,,,0,,Z. Collins shooting personal FOUL (1 PF) (Kuminga 1 FT),"[1628380, 1630228]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203593.0,,,,,,1.0,0.0,Kuminga,1630228.0
41,PT08M24.00S,2024-03-10T01:44:51.3Z,1,REGULAR,freethrow,1 of 1,[],1630228,,,1610612744,6,7,2024-03-10T01:44:51Z,410000,False,,,0,,MISS J. Kuminga Free Throw 1 of 1,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
42,PT08M22.00S,2024-03-10T01:44:53.3Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,6,7,2024-03-10T01:44:54Z,420000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
44,PT08M07.00S,2024-03-10T01:45:22.7Z,1,REGULAR,turnover,lost ball,[],1631103,,,1610612759,6,7,2024-03-10T01:45:28Z,440000,False,,,0,,M. Branham lost ball TURNOVER (1 TO),"[1631103, 203110]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Green,203110.0,,,,,,
45,PT08M07.00S,2024-03-10T01:45:22.7Z,1,REGULAR,steal,,[],203110,,,1610612744,6,7,2024-03-10T01:45:24Z,450000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
46,PT08M00.00S,2024-03-10T01:45:29.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203110,30.699737187910642,31.127450980392158,1610612744,9,7,2024-03-10T01:45:33Z,460000,False,94.0,236.0,1,left,D. Green 25' 3PT  (3 PTS) (B. Podziemski 1 AST),"[203110, 1641764]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,25.43,Made,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
48,PT07M40.00S,2024-03-10T01:45:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631110,83.52496714848883,42.8921568627451,1610612759,9,7,2024-03-10T01:45:55Z,480000,False,-36.0,102.0,1,right,MISS J. Sochan 10' turnaround fadeaway Shot,[1631110],1610612759.0,SAS,turnaround fadeaway,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,10.84,Missed,,,,,,,,,,,,,,,,,,
49,PT07M37.00S,2024-03-10T01:45:53.0Z,1,REGULAR,rebound,offensive,[],1630577,,,1610612759,9,7,2024-03-10T01:45:55Z,490000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,,,
50,PT07M34.00S,2024-03-10T01:45:55.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631110,90.22667542706965,49.754901960784316,1610612759,9,9,2024-03-10T01:48:52Z,500000,False,-1.0,39.0,1,right,J. Sochan driving Layup (5 PTS) (J. Champagnie 1 AST),"[1631110, 1630577]",1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,3.94,Made,5.0,J. Champagnie,1630577.0,1.0,,,,,,,,,,,,,,
52,PT07M20.00S,2024-03-10T01:46:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,16.245072273324574,56.86274509803921,1610612744,9,9,2024-03-10T01:49:45Z,520000,False,-34.0,100.0,1,left,MISS C. Paul 10' pullup Shot,[101108],1610612744.0,GSW,pullup,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,10.59,Missed,,,,,,,,,,,,,,,,,,
53,PT07M17.00S,2024-03-10T01:46:12.5Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,9,9,2024-03-10T01:46:14Z,530000,False,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,
54,PT07M10.00S,2024-03-10T01:46:22.0Z,1,REGULAR,foul,personal,[],1630228,,,1610612759,9,9,2024-03-10T01:46:50Z,540000,False,,,0,,J. Kuminga personal FOUL (1 PF),"[1630228, 1630577]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,203593.0,,,,,,1.0,0.0,Champagnie,1630577.0
56,PT07M10.00S,2024-03-10T01:46:33.7Z,1,REGULAR,substitution,out,[],101108,,,1610612759,9,9,2024-03-10T01:46:47Z,560000,False,,,0,,SUB out: C. Paul,[101108],1610612744.0,GSW,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M10.00S,2024-03-10T01:46:33.7Z,1,REGULAR,substitution,out,[],1631218,,,1610612759,9,9,2024-03-10T01:46:47Z,570000,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M10.00S,2024-03-10T01:46:33.7Z,1,REGULAR,substitution,out,[],1630228,,,1610612759,9,9,2024-03-10T01:46:47Z,580000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M10.00S,2024-03-10T01:46:33.7Z,1,REGULAR,substitution,in,[],1630541,,,1610612759,9,9,2024-03-10T01:46:47Z,590000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M10.00S,2024-03-10T01:46:33.7Z,1,REGULAR,substitution,in,[],202691,,,1610612759,9,9,2024-03-10T01:46:47Z,600000,False,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M10.00S,2024-03-10T01:46:33.7Z,1,REGULAR,substitution,in,[],203952,,,1610612759,9,9,2024-03-10T01:46:47Z,610000,False,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M04.00S,2024-03-10T01:47:04.4Z,1,REGULAR,3pt,Jump Shot,[],1631110,78.40013140604468,8.57843137254902,1610612759,9,12,2024-03-10T01:47:08Z,620000,False,-207.0,151.0,1,right,J. Sochan 25' 3PT  (8 PTS) (T. Jones 3 AST),"[1631110, 1630200]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,25.6,Made,8.0,T. Jones,1630200.0,3.0,,,,,,,,,,,,,,
64,PT06M53.00S,2024-03-10T01:47:17.0Z,1,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612744,9,12,2024-03-10T01:50:12Z,640000,False,,,0,,Z. Collins shooting personal FOUL (2 PF) (Podziemski 2 FT),"[1628380, 1641764]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628480.0,,,,,,2.0,0.0,Podziemski,1641764.0
66,PT06M53.00S,2024-03-10T01:47:37.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,9,12,2024-03-10T01:47:37Z,660000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M53.00S,2024-03-10T01:49:47.7Z,1,REGULAR,substitution,out,[],1631103,,,1610612744,9,12,2024-03-10T01:50:11Z,670000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M53.00S,2024-03-10T01:49:47.7Z,1,REGULAR,substitution,out,[],1630200,,,1610612744,9,12,2024-03-10T01:50:11Z,680000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M53.00S,2024-03-10T01:49:47.7Z,1,REGULAR,substitution,in,[],1631104,,,1610612744,9,12,2024-03-10T01:50:11Z,690000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M53.00S,2024-03-10T01:49:47.7Z,1,REGULAR,substitution,in,[],1629640,,,1610612744,9,12,2024-03-10T01:50:11Z,700000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M53.00S,2024-03-10T01:50:38.6Z,1,REGULAR,freethrow,1 of 2,[],1641764,,,1610612744,10,12,2024-03-10T01:50:38Z,710000,False,,,0,,B. Podziemski Free Throw 1 of 2 (1 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
72,PT06M53.00S,2024-03-10T01:50:41.1Z,1,REGULAR,substitution,out,[],1628380,,,1610612744,10,12,2024-03-10T01:50:45Z,720000,False,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M53.00S,2024-03-10T01:50:41.1Z,1,REGULAR,substitution,in,[],1631230,,,1610612744,10,12,2024-03-10T01:50:45Z,730000,False,,,0,,SUB in: D. Barlow,[1631230],1610612759.0,SAS,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2024-03-10T01:50:55.2Z,1,REGULAR,freethrow,2 of 2,[],1641764,,,1610612744,11,12,2024-03-10T01:50:55Z,740000,False,,,0,,B. Podziemski Free Throw 2 of 2 (2 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
75,PT06M28.00S,2024-03-10T01:51:21.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612759,11,12,2024-03-10T01:51:33Z,750000,False,,,0,,SAS shot clock Team TURNOVER,[],1610612759.0,SAS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628480.0,,,,,,,,,
76,PT06M13.00S,2024-03-10T01:51:49.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203110,15.456636005256241,46.81372549019608,1610612744,13,12,2024-03-10T01:51:54Z,760000,False,16.0,93.0,1,left,D. Green 9' step back Jump Shot (5 PTS),[203110],1610612744.0,GSW,step back,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,9.42,Made,5.0,,,,,,,,,,,,,,,,,
77,PT05M56.00S,2024-03-10T01:52:05.6Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612759,13,12,2024-03-10T01:52:13Z,770000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Sochan 2 FT),"[202691, 1631110]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628480.0,,,,,,1.0,0.0,Sochan,1631110.0
79,PT05M56.00S,2024-03-10T01:52:27.3Z,1,REGULAR,freethrow,1 of 2,[],1631110,,,1610612759,13,13,2024-03-10T01:52:27Z,790000,False,,,0,,J. Sochan Free Throw 1 of 2 (9 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
80,PT05M56.00S,2024-03-10T01:52:39.1Z,1,REGULAR,freethrow,2 of 2,[],1631110,,,1610612759,13,14,2024-03-10T01:52:39Z,800000,False,,,0,,J. Sochan Free Throw 2 of 2 (10 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
81,PT05M45.00S,2024-03-10T01:52:53.0Z,1,REGULAR,3pt,Jump Shot,[],202691,32.802233902759525,48.529411764705884,1610612744,16,14,2024-03-10T01:52:57Z,810000,False,7.0,256.0,1,left,K. Thompson 25' 3PT  (3 PTS) (A. Wiggins 1 AST),"[202691, 203952]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,25.59,Made,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
83,PT05M28.00S,2024-03-10T01:53:09.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,66.04796320630749,33.82352941176471,1610612759,16,17,2024-03-10T01:53:14Z,830000,False,-81.0,267.0,1,right,K. Johnson 27' 3PT  (3 PTS) (B. Wesley 1 AST),"[1629640, 1631104]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,27.86,Made,3.0,B. Wesley,1631104.0,1.0,,,,,,,,,,,,,,
85,PT05M12.00S,2024-03-10T01:53:28.2Z,1,REGULAR,foul,personal,['2freethrow'],1631110,,,1610612744,16,17,2024-03-10T01:53:34Z,850000,False,,,0,,J. Sochan shooting personal FOUL (1 PF) (Thompson 2 FT),"[1631110, 202691]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628480.0,,,,,,1.0,0.0,Thompson,202691.0
87,PT05M12.00S,2024-03-10T01:54:04.3Z,1,REGULAR,freethrow,1 of 2,[],202691,,,1610612744,17,17,2024-03-10T01:54:04Z,870000,False,,,0,,K. Thompson Free Throw 1 of 2 (4 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
88,PT05M12.00S,2024-03-10T01:54:04.8Z,1,REGULAR,substitution,out,[],203110,,,1610612744,17,17,2024-03-10T01:54:09Z,880000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
