actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
21,PT10M02.00S,2024-03-23T02:13:18.2Z,1,REGULAR,2pt,Jump Shot,[],1630169,75.90341655716163,39.21568627450981,1610612754,9,4,2024-03-23T02:13:23Z,210000,False,-54.0,174.0,1,right,MISS T. Haliburton 18' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Center,18.22,Missed,,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2024-03-23T02:13:21.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,9,4,2024-03-23T02:13:23Z,220000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M56.00S,2024-03-23T02:13:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",201939,7.835085413929041,57.84313725490197,1610612744,11,4,2024-03-23T02:13:40Z,230000,False,-39.0,21.0,1,left,S. Curry running Layup (2 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,4.45,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
25,PT09M56.00S,2024-03-23T02:13:27.8Z,1,REGULAR,violation,defensive goaltending,[],1626167,,,1610612744,11,4,2024-03-23T02:13:40Z,250000,False,,,0,,M. Turner defensive goaltending VIOLATION,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,1146.0,,,,,,,,,
26,PT09M46.00S,2024-03-23T02:13:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,82.07950065703022,54.65686274509803,1610612754,11,4,2024-03-23T02:13:53Z,260000,False,23.0,116.0,1,right,MISS M. Turner 11' Jump Shot,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,11.83,Missed,,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2024-03-23T02:13:51.0Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,11,4,2024-03-23T02:13:53Z,270000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M33.00S,2024-03-23T02:14:02.2Z,1,REGULAR,3pt,Jump Shot,[],203110,20.581471747700395,91.66666666666666,1610612744,11,4,2024-03-23T02:14:06Z,280000,False,-208.0,141.0,1,left,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2024-03-23T02:14:05.2Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,11,4,2024-03-23T02:14:06Z,290000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M25.00S,2024-03-23T02:14:10.9Z,1,REGULAR,2pt,Jump Shot,[],1630169,88.91261498028909,30.392156862745097,1610612754,11,6,2024-03-23T02:14:22Z,300000,False,-98.0,52.0,1,right,T. Haliburton 11' floating Jump Shot (2 PTS) (P. Siakam 1 AST),"[1630169, 1627783]",1610612754.0,IND,floating,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Left,11.08,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
31,PT09M17.00S,2024-03-23T02:14:17.8Z,1,REGULAR,3pt,Jump Shot,[],1630228,24.52365308804205,8.333333333333332,1610612744,11,6,2024-03-23T02:14:24Z,310000,False,208.0,178.0,1,left,MISS J. Kuminga 27' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,27.4,Missed,,,,,,,,,,,,,,,,,,
32,PT09M17.00S,2024-03-23T02:14:17.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,11,6,2024-03-23T02:14:24Z,320000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M08.00S,2024-03-23T02:14:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,93.38042049934296,57.107843137254896,1610612754,11,8,2024-03-23T02:14:30Z,330000,False,36.0,10.0,1,right,P. Siakam driving Layup (2 PTS),[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.68,Made,2.0,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2024-03-23T02:14:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,6.258212877792378,53.67647058823529,1610612744,13,8,2024-03-23T02:14:47Z,340000,False,-18.0,6.0,1,left,B. Podziemski reverse Layup (5 PTS),[1641764],1610612744.0,GSW,reverse,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,1.94,Made,5.0,,,,,,,,,,,,,,,,,
35,PT08M38.00S,2024-03-23T02:15:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,84.1819973718791,46.568627450980394,1610612754,13,8,2024-03-23T02:17:42Z,350000,False,-17.0,96.0,1,right,MISS A. Nembhard 9' pullup Shot - blocked,"[1629614, 203952]",1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,9.77,Missed,,,,,,,,,,Wiggins,203952.0,,,,,,,
36,PT08M38.00S,2024-03-23T02:15:00.3Z,1,REGULAR,block,,[],203952,,,1610612754,13,8,2024-03-23T02:15:02Z,360000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M36.00S,2024-03-23T02:15:02.3Z,1,REGULAR,rebound,offensive,[],1629614,,,1610612754,13,8,2024-03-23T02:17:42Z,370000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:0),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,
38,PT08M31.00S,2024-03-23T02:15:06.6Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612754,13,8,2024-03-23T02:15:17Z,380000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Turner 2 FT),"[203952, 1626167]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1204.0,,,1.0,0.0,Turner,1626167.0,,,
40,PT08M31.00S,2024-03-23T02:15:34.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626167,,,1610612754,13,8,2024-03-23T02:15:34Z,400000,False,,,0,,MISS M. Turner Free Throw 1 of 2,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
41,PT08M31.00S,2024-03-23T02:15:34.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,13,8,2024-03-23T02:15:34Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
42,PT08M31.00S,2024-03-23T02:16:01.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626167,,,1610612754,13,9,2024-03-23T02:16:01Z,420000,False,,,0,,M. Turner Free Throw 2 of 2 (3 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
43,PT08M13.00S,2024-03-23T02:16:23.2Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,13,9,2024-03-23T02:16:28Z,430000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1204.0,,,,,,,1.0,,
44,PT07M59.00S,2024-03-23T02:16:38.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626167,86.41590013140605,47.549019607843135,1610612754,13,9,2024-03-23T02:16:42Z,440000,False,-12.0,75.0,1,right,MISS M. Turner 7' driving Hook,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,7.62,Missed,,,,,,,,,,,,,,,,,,
45,PT07M57.00S,2024-03-23T02:16:40.2Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,13,9,2024-03-23T02:16:42Z,450000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,
46,PT07M53.00S,2024-03-23T02:16:46.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,6.389618922470433,57.84313725490197,1610612744,13,9,2024-03-23T02:19:51Z,460000,False,-39.0,8.0,1,left,MISS J. Kuminga driving DUNK - blocked,"[1630228, 1626167]",1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,Turner,1626167.0,,,,,,,
47,PT07M53.00S,2024-03-23T02:16:46.2Z,1,REGULAR,block,,[],1626167,,,1610612744,13,9,2024-03-23T02:16:48Z,470000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M50.00S,2024-03-23T02:16:49.2Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,13,9,2024-03-23T02:19:51Z,480000,False,,,0,,J. Kuminga REBOUND (Off:1 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,
49,PT07M46.00S,2024-03-23T02:16:50.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,7.5722733245729295,4.411764705882353,1610612744,16,9,2024-03-23T02:16:53Z,490000,False,228.0,19.0,1,left,S. Curry 3PT  (5 PTS) (J. Kuminga 1 AST),"[201939, 1630228]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,22.87,Made,5.0,J. Kuminga,1630228.0,1.0,,,,,,,,,,,,,,
51,PT07M32.00S,2024-03-23T02:17:04.5Z,1,REGULAR,3pt,Jump Shot,[],1627783,95.6143232588699,95.34313725490196,1610612754,16,9,2024-03-23T02:17:07Z,510000,False,227.0,-11.0,1,right,MISS P. Siakam 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,22.7,Missed,,,,,,,,,,,,,,,,,,
52,PT07M30.00S,2024-03-23T02:17:06.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,16,9,2024-03-23T02:17:07Z,520000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,
53,PT07M28.00S,2024-03-23T02:17:11.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641764,27.283180026281208,14.705882352941178,1610612744,16,9,2024-03-23T02:21:42Z,530000,False,176.0,204.0,1,left,MISS B. Podziemski 26' running pullup 3PT,[1641764],1610612744.0,GSW,running pullup,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,26.98,Missed,,,,,,,,,,,,,,,,,,
54,PT07M25.00S,2024-03-23T02:17:14.4Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,16,9,2024-03-23T02:21:42Z,540000,False,,,0,,J. Kuminga REBOUND (Off:2 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,,,,,,,53.0,3.0,1.0,2.0,,,,,,,,,,
55,PT07M25.00S,2024-03-23T02:17:16.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630228,7.408015768725363,53.92156862745098,1610612744,16,9,2024-03-23T02:22:08Z,550000,False,-20.0,17.0,1,left,MISS J. Kuminga putback Layup,[1630228],1610612744.0,GSW,putback,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,,,,,,,,,,,,
56,PT07M23.00S,2024-03-23T02:17:18.0Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,16,9,2024-03-23T02:22:08Z,560000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,
57,PT07M15.00S,2024-03-23T02:17:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,87.59855453350855,48.77450980392157,1610612754,16,11,2024-03-23T02:17:41Z,570000,False,-6.0,64.0,1,right,P. Siakam 6' driving floating Jump Shot (4 PTS) (A. Nembhard 2 AST),"[1627783, 1629614]",1610612754.0,IND,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.44,Made,4.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,,,,,
59,PT06M49.00S,2024-03-23T02:17:48.6Z,1,REGULAR,3pt,Jump Shot,[],201939,32.670827858081466,66.66666666666666,1610612744,16,11,2024-03-23T02:17:52Z,590000,False,-83.0,255.0,1,left,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.79,Missed,,,,,,,,,,,,,,,,,,
60,PT06M47.00S,2024-03-23T02:17:50.6Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,16,11,2024-03-23T02:18:18Z,600000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:2),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,59.0,3.0,2.0,1.0,,,,,,,,,,
61,PT06M39.00S,2024-03-23T02:17:57.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,93.64323258869908,94.11764705882352,1610612754,16,14,2024-03-23T02:23:26Z,610000,False,221.0,7.0,1,right,A. Nesmith 3PT running (3 PTS) (P. Siakam 2 AST),"[1630174, 1627783]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,22.07,Made,3.0,P. Siakam,1627783.0,2.0,,,,,,,,,,,,,,
63,PT06M29.00S,2024-03-23T02:18:11.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,16,14,2024-03-23T02:18:11Z,630000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M29.00S,2024-03-23T02:20:45.2Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,16,14,2024-03-23T02:21:18Z,640000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M29.00S,2024-03-23T02:20:45.2Z,1,REGULAR,substitution,in,[],202691,,,1610612744,16,14,2024-03-23T02:21:18Z,650000,False,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M21.00S,2024-03-23T02:21:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",201939,7.835085413929041,40.931372549019606,1610612744,18,14,2024-03-23T02:21:47Z,660000,False,45.0,21.0,1,left,S. Curry cutting Layup (7 PTS) (D. Green 2 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,5.0,Made,7.0,D. Green,203110.0,2.0,,,,,,,,,,,,,,
69,PT06M21.00S,2024-03-23T02:21:35.3Z,1,REGULAR,violation,defensive goaltending,[],1629614,,,1610612744,18,14,2024-03-23T02:24:02Z,680000,False,,,0,,A. Nembhard defensive goaltending VIOLATION,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,1146.0,,,,,,,,,
70,PT05M59.00S,2024-03-23T02:22:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,90.48948751642575,56.127450980392155,1610612754,18,14,2024-03-23T02:22:05Z,690000,False,31.0,37.0,1,right,MISS A. Nesmith driving finger roll Layup,[1630174],1610612754.0,IND,driving finger roll,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,,,,,,,,,,,,,,,,,
71,PT05M57.00S,2024-03-23T02:22:02.6Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,18,14,2024-03-23T02:22:33Z,700000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,,
74,PT05M55.00S,2024-03-23T02:22:06.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626167,94.40999984741211,50.0,1610612754,18,16,2024-03-23T02:22:37Z,730000,False,0.0,0.0,1,right,M. Turner tip Layup (5 PTS),[1626167],1610612754.0,IND,tip,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,0.0,Made,5.0,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2024-03-23T02:22:24.4Z,1,REGULAR,3pt,Jump Shot,[],201939,7.440867279894875,2.696078431372549,1610612744,21,16,2024-03-23T02:22:28Z,740000,False,237.0,17.0,1,left,S. Curry 3PT step back (10 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,23.71,Made,10.0,,,,,,,,,,,,,,,,,
76,PT05M20.00S,2024-03-23T02:22:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,88.12417871222075,37.254901960784316,1610612754,21,18,2024-03-23T02:22:45Z,750000,False,-64.0,59.0,1,right,P. Siakam 8' turnaround Jump Shot (6 PTS),[1627783],1610612754.0,IND,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Left,8.69,Made,6.0,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2024-03-23T02:22:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,5.732588699080158,51.9607843137255,1610612744,21,18,2024-03-23T02:22:56Z,760000,False,-10.0,1.0,1,left,MISS D. Green reverse Layup,[203110],1610612744.0,GSW,reverse,,,Green,D. Green,,,,,Restricted Area,0-8 Center,0.99,Missed,,,,,,,,,,,,,,,,,,
78,PT05M05.00S,2024-03-23T02:22:55.0Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,21,18,2024-03-23T02:22:56Z,770000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,
79,PT05M01.00S,2024-03-23T02:22:58.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627783,85.89027595269383,50.73529411764706,1610612754,21,20,2024-03-23T02:23:21Z,780000,False,4.0,80.0,1,right,P. Siakam 8' turnaround fadeaway Jump Shot (8 PTS),[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,8.02,Made,8.0,,,,,,,,,,,,,,,,,
80,PT04M47.00S,2024-03-23T02:23:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,8.09789750328515,55.63725490196079,1610612744,21,20,2024-03-23T02:30:46Z,790000,False,-28.0,24.0,1,left,MISS J. Kuminga alley-oop Layup,[1630228],1610612744.0,GSW,alley-oop,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,3.68,Missed,,,,,,,,,,,,,,,,,,
81,PT04M47.00S,2024-03-23T02:23:12.9Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,21,20,2024-03-23T02:23:28Z,800000,False,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,80.0,1.0,0.0,1.0,,,,,,,,,,
82,PT04M37.00S,2024-03-23T02:23:22.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,33.85348226018397,14.950980392156863,1610612744,24,20,2024-03-23T02:23:35Z,810000,False,175.0,266.0,1,left,S. Curry 31' 3PT  (13 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,31.83,Made,13.0,,,,,,,,,,,,,,,,,
83,PT04M23.00S,2024-03-23T02:23:39.1Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612754,24,20,2024-03-23T02:23:44Z,820000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Nembhard 2 FT),"[202691, 1629614]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202007.0,,,1.0,0.0,Nembhard,1629614.0,,,
