actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
44,PT09M04.00S,2023-11-29T00:45:29.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,93.77463863337714,49.26470588235294,1610612739,8,9,2023-11-29T00:51:58Z,440000,False,-4.0,6.0,1,right,E. Mobley alley-oop DUNK (2 PTS) (D. Garland 3 AST),"[1630596, 1629636]",1610612739.0,CLE,alley-oop,,,,,,Restricted Area,0-8 Center,0.7,Made,Mobley,E. Mobley,,,,,2.0,D. Garland,1629636.0,3.0,,,,,,,,,,
46,PT08M45.00S,2023-11-29T00:45:48.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,7.703679369250986,40.44117647058824,1610612737,8,11,2023-11-29T00:53:44Z,460000,False,48.0,20.0,1,left,C. Capela turnaround bank Hook (4 PTS),[203991],1610612737.0,ATL,turnaround bank,,,,,,In The Paint (Non-RA),0-8 Center,5.18,Made,Capela,C. Capela,,,,,4.0,,,,,,,,,,,,,
47,PT08M35.00S,2023-11-29T00:45:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,94.30026281208936,51.9607843137255,1610612739,10,11,2023-11-29T00:46:03Z,470000,False,10.0,1.0,1,right,D. Mitchell driving Layup (2 PTS),[1628378],1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,0.99,Made,Mitchell,D. Mitchell,,,,,2.0,,,,,,,,,,,,,
48,PT08M23.00S,2023-11-29T00:46:11.8Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,10,11,2023-11-29T00:46:20Z,480000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,,,,Mid-Range,8-16 Right,,,Young,T. Young,,,,,,,,,1.0,,,2534.0,,,,,,
49,PT08M15.00S,2023-11-29T00:46:36.4Z,1,REGULAR,turnover,traveling,[],1630596,,,1610612739,10,11,2023-11-29T00:46:46Z,490000,False,,,0,,E. Mobley traveling TURNOVER (1 TO),[1630596],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,Mobley,E. Mobley,,,,,,,,,1.0,,,1627534.0,,,,,,
50,PT07M59.00S,2023-11-29T00:46:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,12.565703022339028,98.0392156862745,1610612737,10,11,2023-11-29T00:47:06Z,500000,False,-240.0,66.0,1,left,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,,,,Left Corner 3,24+ Left,24.9,Missed,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,
51,PT07M57.00S,2023-11-29T00:47:01.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,10,11,2023-11-29T00:47:06Z,510000,False,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,,,,Left Corner 3,24+ Left,,,Capela,C. Capela,50.0,2.0,0.0,2.0,,,,,,,,,,,,,,
52,PT07M55.00S,2023-11-29T00:47:04.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",203991,10.249671484888296,49.532781862745104,1610612737,10,13,2023-11-29T00:54:55Z,520000,False,2.0,44.0,1,left,C. Capela turnaround Hook (6 PTS),[203991],1610612737.0,ATL,turnaround,,,,,,Restricted Area,0-8 Center,4.39,Made,Capela,C. Capela,,,,,6.0,,,,,,,,,,,,,
53,PT07M55.00S,2023-11-29T00:47:08.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,10,13,2023-11-29T00:47:08Z,530000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M44.00S,2023-11-29T00:50:24.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,93.11760840998686,97.05882352941177,1610612739,10,13,2023-11-29T00:50:54Z,540000,False,235.0,12.0,1,right,MISS D. Mitchell 3PT,[1628378],1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,23.56,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
55,PT07M41.00S,2023-11-29T00:50:27.0Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,10,13,2023-11-29T00:50:32Z,550000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right,,,Mobley,E. Mobley,54.0,1.0,0.0,1.0,,,,,,,,,,,,,,
56,PT07M40.00S,2023-11-29T00:50:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630596,93.51182654402102,50.49019607843137,1610612739,12,13,2023-11-29T00:55:38Z,560000,False,2.0,8.0,1,right,E. Mobley putback Layup (4 PTS),[1630596],1610612739.0,CLE,putback,,,,,,Restricted Area,0-8 Center,0.89,Made,Mobley,E. Mobley,,,,,4.0,,,,,,,,,,,,,
57,PT07M34.00S,2023-11-29T00:50:38.7Z,1,REGULAR,foul,personal,[],1628378,,,1610612737,12,13,2023-11-29T00:50:42Z,570000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1627749]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left Center,,,Mitchell,D. Mitchell,,,,,,,,,,,,2534.0,1.0,0.0,Murray,1627749.0,,
59,PT07M24.00S,2023-11-29T00:51:07.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,13.222733245729303,41.911764705882355,1610612737,12,15,2023-11-29T00:51:13Z,590000,False,40.0,72.0,1,left,C. Capela 8' Hook (8 PTS) (S. Bey 1 AST),"[203991, 1630180]",1610612737.0,ATL,,,,,,,In The Paint (Non-RA),8-16 Center,8.24,Made,Capela,C. Capela,,,,,8.0,S. Bey,1630180.0,1.0,,,,,,,,,,
61,PT07M08.00S,2023-11-29T00:51:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,84.05059132720105,50.98039215686274,1610612739,14,15,2023-11-29T00:51:30Z,610000,False,5.0,97.0,1,right,D. Garland 9' driving floating Jump Shot (4 PTS) (J. Allen 1 AST),"[1629636, 1628386]",1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,9.75,Made,Garland,D. Garland,,,,,4.0,J. Allen,1628386.0,1.0,,,,,,,,,,
63,PT06M47.00S,2023-11-29T00:51:43.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,34.510512483574246,80.88235294117648,1610612737,14,15,2023-11-29T00:51:48Z,630000,False,-154.0,272.0,1,left,MISS T. Young 31' 3PT,[1629027],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,31.27,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,
64,PT06M45.00S,2023-11-29T00:51:45.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,14,15,2023-11-29T00:51:48Z,640000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Mobley,E. Mobley,63.0,2.0,1.0,1.0,,,,,,,,,,,,,,
65,PT06M35.00S,2023-11-29T00:51:56.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,71.04139290407359,21.323529411764707,1610612739,17,15,2023-11-29T00:52:02Z,650000,False,-143.0,220.0,1,right,M. Strus 26' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1629622, 1628378]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,26.24,Made,Strus,M. Strus,,,,,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,
67,PT06M18.00S,2023-11-29T00:52:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,5.469776609724048,60.78431372549019,1610612737,17,15,2023-11-29T00:52:19Z,670000,False,-54.0,-1.0,1,left,MISS S. Bey driving Layup - blocked,"[1630180, 1629622]",1610612737.0,ATL,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,Bey,S. Bey,,,,,,,,,,,,,,,,,Strus,1629622.0
68,PT06M18.00S,2023-11-29T00:52:13.5Z,1,REGULAR,block,,[],1629622,,,1610612737,17,15,2023-11-29T00:52:16Z,680000,False,,,0,,M. Strus BLOCK (1 BLK),[1629622],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,
69,PT06M15.00S,2023-11-29T00:52:16.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,17,15,2023-11-29T00:52:19Z,690000,False,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,Mobley,E. Mobley,67.0,3.0,2.0,1.0,,,,,,,,,,,,,,
70,PT06M09.00S,2023-11-29T00:52:24.0Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,17,15,2023-11-29T00:57:00Z,700000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (3 TO),[1628378],1610612739.0,CLE,bad pass,,,,,,Mid-Range,16-24 Left,,,Mitchell,D. Mitchell,,,,,,,,,3.0,,,2534.0,,,,,,
71,PT06M09.00S,2023-11-29T00:52:33.5Z,1,REGULAR,substitution,out,[],1629636,,,1610612737,17,15,2023-11-29T00:52:42Z,710000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,,,,,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,
72,PT06M09.00S,2023-11-29T00:52:33.5Z,1,REGULAR,substitution,out,[],1630180,,,1610612737,17,15,2023-11-29T00:52:42Z,720000,False,,,0,,SUB out: S. Bey,[1630180],1610612737.0,ATL,,,,,,,,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,
73,PT06M09.00S,2023-11-29T00:52:33.5Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,17,15,2023-11-29T00:52:42Z,730000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,,,,,,,,Young,T. Young,,,,,,,,,,,,,,,,,,
74,PT06M09.00S,2023-11-29T00:52:33.5Z,1,REGULAR,substitution,in,[],1627747,,,1610612737,17,15,2023-11-29T00:52:42Z,740000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,,,,,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
75,PT06M09.00S,2023-11-29T00:52:33.5Z,1,REGULAR,substitution,in,[],203992,,,1610612737,17,15,2023-11-29T00:52:42Z,750000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,
76,PT06M09.00S,2023-11-29T00:52:33.5Z,1,REGULAR,substitution,in,[],1631100,,,1610612737,17,15,2023-11-29T00:52:42Z,760000,False,,,0,,SUB in: A. Griffin,[1631100],1610612737.0,ATL,,,,,,,,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,
77,PT05M53.00S,2023-11-29T00:53:00.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629631,3.1044678055190538,15.931372549019606,1610612737,17,15,2023-11-29T00:53:07Z,770000,False,170.0,-23.0,1,left,MISS D. Hunter 17' Jump Shot,[1629631],1610612737.0,ATL,,,,,,,Mid-Range,16-24 Right,17.19,Missed,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,
78,PT05M50.00S,2023-11-29T00:53:03.1Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,17,15,2023-11-29T00:53:07Z,780000,False,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right,,,LeVert,C. LeVert,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT05M39.00S,2023-11-29T00:53:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,91.93495400788436,40.44117647058824,1610612739,19,15,2023-11-29T00:59:41Z,790000,False,-48.0,23.0,1,right,E. Mobley Layup (6 PTS),[1630596],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,5.32,Made,Mobley,E. Mobley,,,,,6.0,,,,,,,,,,,,,
82,PT05M30.00S,2023-11-29T00:53:26.1Z,1,REGULAR,substitution,out,[],1628386,,,1610612737,19,15,2023-11-29T00:53:32Z,820000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,,,,,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,
83,PT05M30.00S,2023-11-29T00:53:26.1Z,1,REGULAR,substitution,in,[],1627777,,,1610612737,19,15,2023-11-29T00:53:32Z,830000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,,,,,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2023-11-29T00:53:52.1Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,19,15,2023-11-29T00:54:00Z,840000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1628378]",1610612737.0,ATL,,,,,,,Mid-Range,8-16 Right,,,Murray,D. Murray,,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,
85,PT05M19.00S,2023-11-29T00:53:52.1Z,1,REGULAR,steal,,[],1628378,,,1610612739,19,15,2023-11-29T01:02:36Z,850000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Right,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
86,PT05M14.00S,2023-11-29T00:53:57.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629622,71.82982917214193,16.911764705882355,1610612739,19,15,2023-11-29T01:03:02Z,860000,False,-165.0,212.0,1,right,MISS M. Strus 26' running pullup 3PT,[1629622],1610612739.0,CLE,running pullup,,,,,,Above the Break 3,24+ Left Center,26.91,Missed,Strus,M. Strus,,,,,,,,,,,,,,,,,,
