actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
26,PT09M19.00S,2024-03-25T23:13:44.9Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,7,2,2024-03-25T23:13:53Z,260000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,16-24 Center,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,
27,PT09M18.00S,2024-03-25T23:13:51.4Z,1,REGULAR,turnover,out-of-bounds,[],1630208,,,1610612766,7,2,2024-03-25T23:14:37Z,270000,False,,,0,,N. Richards lost ball out-of-bounds TURNOVER (1 TO),[1630208],1610612766.0,CHA,lost ball,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,,,,,,,,,,202058.0,1.0,,,,,,,,,
29,PT08M51.00S,2024-03-25T23:14:19.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,19.004599211563733,39.705882352941174,1610612739,7,2,2024-03-25T23:15:05Z,290000,False,51.0,126.0,1,left,MISS C. LeVert 13' pullup Shot,[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),8-16 Center,13.62,Missed,,,,,,,,,,,,,,,,,,
30,PT08M49.00S,2024-03-25T23:14:21.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,7,2,2024-03-25T23:14:21Z,300000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,
31,PT08M34.00S,2024-03-25T23:14:36.8Z,1,REGULAR,3pt,Jump Shot,[],1641706,79.45137976346912,6.862745098039216,1610612766,7,5,2024-03-25T23:16:07Z,310000,False,-216.0,141.0,1,right,B. Miller 25' 3PT pullup (3 PTS) (N. Richards 1 AST),"[1641706, 1630208]",1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,25.75,Made,,,,,,,3.0,,,N. Richards,1630208.0,1.0,,,,,,
33,PT08M25.00S,2024-03-25T23:14:48.6Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,7,5,2024-03-25T23:14:56Z,330000,False,,,0,,D. Garland lost ball out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,lost ball,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1626300.0,1.0,,,,,,,,,
35,PT08M09.00S,2024-03-25T23:15:09.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641706,83.26215505913272,35.049019607843135,1610612766,7,5,2024-03-25T23:17:13Z,350000,False,-75.0,105.0,1,right,MISS B. Miller 12' driving floating Shot,[1641706],1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Left,12.88,Missed,,,,,,,,,,,,,,,,,,
36,PT08M07.00S,2024-03-25T23:15:11.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,7,5,2024-03-25T23:15:15Z,360000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Left,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,
37,PT08M01.00S,2024-03-25T23:15:18.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630171,7.30946123521682,3.9215686274509802,1610612739,7,5,2024-03-25T23:17:46Z,370000,False,230.0,16.0,1,left,MISS I. Okoro running 3PT,[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,23.1,Missed,,,,,,,,,,,,,,,,,,
38,PT07M58.00S,2024-03-25T23:15:21.1Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612766,7,5,2024-03-25T23:15:23Z,380000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,
39,PT07M50.00S,2024-03-25T23:15:28.7Z,1,REGULAR,3pt,Jump Shot,[],1641706,67.23061760840999,81.37254901960785,1610612766,7,5,2024-03-25T23:15:33Z,390000,False,157.0,256.0,1,right,MISS B. Miller 29' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,29.98,Missed,,,,,,,,,,,,,,,,,,
40,PT07M46.00S,2024-03-25T23:15:32.7Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,7,5,2024-03-25T23:15:33Z,400000,False,,,0,,I. Okoro REBOUND (Off:1 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,39.0,3.0,2.0,1.0,,,,,,,,,,,,
41,PT07M37.00S,2024-03-25T23:15:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.835085413929041,46.32352941176471,1610612739,7,5,2024-03-25T23:15:50Z,410000,False,18.0,21.0,1,left,MISS D. Garland driving finger roll Layup - blocked,"[1629636, 1630208]",1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,2.8,Missed,Richards,1630208.0,,,,,,,,,,,,,,,,
42,PT07M37.00S,2024-03-25T23:15:41.5Z,1,REGULAR,block,,[],1630208,,,1610612739,7,5,2024-03-25T23:15:44Z,420000,False,,,0,,N. Richards BLOCK (2 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT07M34.00S,2024-03-25T23:15:44.5Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612766,7,5,2024-03-25T23:15:50Z,430000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,
44,PT07M32.00S,2024-03-25T23:15:49.2Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612766,7,5,2024-03-25T23:20:08Z,440000,False,,,0,,C. LeVert shooting personal FOUL (1 PF) (Bridges 2 FT),"[1627747, 1628970]",1610612739.0,CLE,shooting,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626300.0,,,,,1.0,0.0,Bridges,1628970.0,,
46,PT07M32.00S,2024-03-25T23:16:11.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628970,,,1610612766,7,5,2024-03-25T23:16:11Z,460000,False,,,0,,MISS M. Bridges Free Throw 1 of 2,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
47,PT07M32.00S,2024-03-25T23:16:11.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,7,5,2024-03-25T23:16:11Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,
48,PT07M32.00S,2024-03-25T23:16:26.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628970,,,1610612766,7,6,2024-03-25T23:16:26Z,480000,False,,,0,,M. Bridges Free Throw 2 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
49,PT07M22.00S,2024-03-25T23:16:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,11.777266754270697,54.166666666666664,1610612739,9,6,2024-03-25T23:18:56Z,490000,False,-21.0,58.0,1,left,E. Mobley 6' driving floating Jump Shot (4 PTS) (I. Okoro 1 AST),"[1630596, 1630171]",1610612739.0,CLE,driving floating,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,6.18,Made,,,,,,,4.0,,,I. Okoro,1630171.0,1.0,,,,,,
51,PT07M10.00S,2024-03-25T23:16:49.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,86.41590013140605,3.1862745098039214,1610612766,9,9,2024-03-25T23:16:56Z,510000,False,-234.0,75.0,1,right,M. Bridges 24' 3PT  (4 PTS) (B. Miller 1 AST),"[1628970, 1641706]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,24.59,Made,,,,,,,4.0,,,B. Miller,1641706.0,1.0,,,,,,
53,PT07M00.00S,2024-03-25T23:16:59.9Z,1,REGULAR,3pt,Jump Shot,[],1630596,32.14520367936925,44.85294117647059,1610612739,9,9,2024-03-25T23:17:08Z,530000,False,26.0,250.0,1,left,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,25.1,Missed,,,,,,,,,,,,,,,,,,
54,PT07M00.00S,2024-03-25T23:17:05.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,9,9,2024-03-25T23:17:05Z,540000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,,,53.0,,,,,,,,,,,,,,,
56,PT07M00.00S,2024-03-25T23:17:08.9Z,1,REGULAR,substitution,out,[],1630596,,,1610612766,9,9,2024-03-25T23:17:12Z,560000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M00.00S,2024-03-25T23:17:08.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612766,9,9,2024-03-25T23:17:12Z,570000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M43.00S,2024-03-25T23:17:36.2Z,1,REGULAR,turnover,out-of-bounds,[],1641706,,,1610612766,9,9,2024-03-25T23:17:47Z,580000,False,,,0,,B. Miller bad pass out-of-bounds TURNOVER (1 TO),[1641706],1610612766.0,CHA,bad pass,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1199.0,1.0,,,,,,,,,
59,PT06M43.00S,2024-03-25T23:17:46.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,9,9,2024-03-25T23:17:46Z,590000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M30.00S,2024-03-25T23:20:58.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,35.03613666228647,59.31372549019608,1610612739,9,9,2024-03-25T23:21:04Z,600000,False,-47.0,277.0,1,left,MISS D. Garland 28' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,28.07,Missed,,,,,,,,,,,,,,,,,,
61,PT06M26.00S,2024-03-25T23:21:02.9Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,9,9,2024-03-25T23:21:04Z,610000,False,,,0,,B. Miller REBOUND (Off:0 Def:2),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,
62,PT06M18.00S,2024-03-25T23:21:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,92.85479632063075,51.71568627450981,1610612766,9,9,2024-03-25T23:21:15Z,620000,False,9.0,15.0,1,right,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.7,Missed,,,,,,,,,,,,,,,,,,
63,PT06M16.00S,2024-03-25T23:21:12.6Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,9,9,2024-03-25T23:21:15Z,630000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,
64,PT06M08.00S,2024-03-25T23:21:20.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,8.09789750328515,51.9607843137255,1610612739,11,9,2024-03-25T23:21:26Z,640000,False,-10.0,24.0,1,left,J. Allen cutting DUNK (4 PTS) (D. Garland 2 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.56,Made,,,,,,,4.0,,,D. Garland,1629636.0,2.0,,,,,,
66,PT05M45.00S,2024-03-25T23:21:44.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630208,84.97043363994744,54.166666666666664,1610612766,11,9,2024-03-25T23:21:49Z,660000,False,21.0,89.0,1,right,MISS N. Richards 9' Hook,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,9.12,Missed,,,,,,,,,,,,,,,,,,
67,PT05M43.00S,2024-03-25T23:21:46.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,11,9,2024-03-25T23:21:49Z,670000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,66.0,3.0,2.0,1.0,,,,,,,,,,,,
68,PT05M40.00S,2024-03-25T23:21:51.3Z,1,REGULAR,turnover,out-of-bounds,[],1630171,,,1610612739,11,9,2024-03-25T23:21:58Z,680000,False,,,0,,I. Okoro lost ball out-of-bounds TURNOVER (1 TO),[1630171],1610612739.0,CLE,lost ball,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Right,,,,,,,,,,202058.0,1.0,,,,,,,,,
70,PT05M40.00S,2024-03-25T23:21:56.4Z,1,REGULAR,substitution,out,[],1630544,,,1610612766,11,9,2024-03-25T23:22:02Z,700000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M40.00S,2024-03-25T23:21:56.4Z,1,REGULAR,substitution,in,[],1630197,,,1610612766,11,9,2024-03-25T23:22:02Z,710000,False,,,0,,SUB in: A. Pokusevski,[1630197],1610612766.0,CHA,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M25.00S,2024-03-25T23:22:23.9Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612766,11,9,2024-03-25T23:22:35Z,720000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Miller 2 FT),"[1630171, 1641706]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,,,,,,,,,,202058.0,,,,,1.0,0.0,Miller,1641706.0,,
74,PT05M25.00S,2024-03-25T23:22:47.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641706,,,1610612766,11,10,2024-03-25T23:22:47Z,740000,False,,,0,,B. Miller Free Throw 1 of 2 (4 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
75,PT05M25.00S,2024-03-25T23:23:04.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641706,,,1610612766,11,11,2024-03-25T23:23:04Z,750000,False,,,0,,B. Miller Free Throw 2 of 2 (5 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
76,PT05M16.00S,2024-03-25T23:23:15.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,7.440867279894875,49.50980392156863,1610612739,13,11,2024-03-25T23:23:21Z,760000,False,2.0,17.0,1,left,I. Okoro cutting Layup (2 PTS) (C. LeVert 1 AST),"[1630171, 1627747]",1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,2.0,,,C. LeVert,1627747.0,1.0,,,,,,
78,PT05M00.00S,2024-03-25T23:23:33.2Z,1,REGULAR,foul,personal,['2freethrow'],1627777,,,1610612766,13,11,2024-03-25T23:23:53Z,780000,False,,,0,,G. Niang shooting personal FOUL (1 PF) (Richards 2 FT),"[1627777, 1630208]",1610612739.0,CLE,shooting,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,202058.0,,,,,1.0,0.0,Richards,1630208.0,,
80,PT05M00.00S,2024-03-25T23:23:56.5Z,1,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,13,12,2024-03-25T23:25:34Z,800000,False,,,0,,N. Richards Free Throw 1 of 2 (3 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
111,PT05M00.00S,2024-03-25T23:24:20.5Z,1,REGULAR,substitution,out,[],1627747,,,1610612766,13,12,2024-03-25T23:29:06Z,815000,False,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT05M00.00S,2024-03-25T23:24:20.5Z,1,REGULAR,substitution,in,[],1630241,,,1610612766,13,12,2024-03-25T23:29:06Z,822500,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M00.00S,2024-03-25T23:23:56.5Z,1,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,13,13,2024-03-25T23:25:34Z,830000,False,,,0,,N. Richards Free Throw 2 of 2 (4 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
84,PT04M38.00S,2024-03-25T23:24:44.6Z,1,REGULAR,3pt,Jump Shot,[],1627777,30.042706964520367,70.09803921568627,1610612739,13,13,2024-03-25T23:27:39Z,845000,False,-100.0,230.0,1,left,MISS G. Niang 25' 3PT,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
85,PT04M37.00S,2024-03-25T23:24:45.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,13,13,2024-03-25T23:27:39Z,852500,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,84.0,,,,,,,,,,,,,,,
87,PT04M37.00S,2024-03-25T23:24:51.7Z,1,REGULAR,substitution,out,[],1630208,,,1610612739,13,13,2024-03-25T23:24:59Z,870000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M37.00S,2024-03-25T23:24:51.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612739,13,13,2024-03-25T23:24:59Z,880000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
