actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M53.00S,2023-03-05T03:11:45.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,8.015768725361369,40.17310049019608,1610612758,0,3,2023-03-05T03:13:42Z,160000,False,49.0,23.0,1,left,MISS H. Barnes driving floating Shot - blocked,"[203084, 203937]",1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,5.41,Missed,,,,,,,,,,,Anderson,203937.0,,,,
17,PT10M53.00S,2023-03-05T03:11:45.9Z,1,REGULAR,block,,[],203937,,,1610612758,0,3,2023-03-05T03:12:09Z,170000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M53.00S,2023-03-05T03:11:45.9Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,3,2023-03-05T03:12:01Z,180000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,
19,PT10M46.00S,2023-03-05T03:11:52.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628368,15.850854139290407,49.26470588235294,1610612758,2,3,2023-03-05T03:12:04Z,190000,False,4.0,96.0,1,left,D. Fox 9' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,9.66,Made,,,,,2.0,,,,,,,,,,,
20,PT10M35.00S,2023-03-05T03:12:10.9Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612750,2,3,2023-03-05T03:12:26Z,200000,False,,,0,,K. Huerter shooting personal FOUL (1 PF) (Gobert 2 FT),"[1628989, 203497]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,2882.0,,,,,,,,,,,,,,,,1.0,0.0,Gobert,203497.0
22,PT10M35.00S,2023-03-05T03:12:31.8Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,2,3,2023-03-05T03:12:31Z,220000,False,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
23,PT10M35.00S,2023-03-05T03:12:31.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,2,3,2023-03-05T03:12:31Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
24,PT10M35.00S,2023-03-05T03:12:52.6Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,2,4,2023-03-05T03:12:52Z,240000,False,,,0,,R. Gobert Free Throw 2 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
25,PT10M28.00S,2023-03-05T03:13:03.8Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612758,2,4,2023-03-05T03:13:21Z,250000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Fox 2 FT),"[1630183, 1628368]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,,,,,,,1.0,0.0,Fox,1628368.0
27,PT10M28.00S,2023-03-05T03:13:26.2Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,3,4,2023-03-05T03:13:26Z,270000,False,,,0,,D. Fox Free Throw 1 of 2 (3 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
28,PT10M28.00S,2023-03-05T03:13:26.2Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,3,4,2023-03-05T03:13:46Z,280000,False,,,0,,MISS D. Fox Free Throw 2 of 2,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
29,PT10M25.00S,2023-03-05T03:13:29.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,4,2023-03-05T03:13:46Z,290000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT10M22.00S,2023-03-05T03:13:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,89.70105124835742,61.274509803921575,1610612750,3,6,2023-03-05T03:15:04Z,300000,False,56.0,44.0,1,right,K. Anderson 7' driving floating Jump Shot (2 PTS),[203937],1610612750.0,MIN,driving floating,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,7.17,Made,,,,,2.0,,,,,,,,,,,
31,PT10M22.00S,2023-03-05T03:14:00.1Z,1,REGULAR,foul,personal,['1freethrow'],1631099,,,1610612750,3,6,2023-03-05T03:14:12Z,310000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Anderson 1 FT),"[1631099, 203937]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,,,,,,,1.0,0.0,Anderson,203937.0
33,PT10M22.00S,2023-03-05T03:14:23.0Z,1,REGULAR,freethrow,1 of 1,[],203937,,,1610612750,3,6,2023-03-05T03:14:25Z,330000,False,,,0,,MISS K. Anderson Free Throw 1 of 1,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
34,PT10M19.00S,2023-03-05T03:14:26.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,3,6,2023-03-05T03:14:25Z,340000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,
35,PT10M05.00S,2023-03-05T03:14:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,6.521024967148489,46.81372549019608,1610612758,5,6,2023-03-05T03:14:42Z,350000,False,16.0,9.0,1,left,K. Huerter cutting Layup (2 PTS) (D. Fox 1 AST),"[1628989, 1628368]",1610612758.0,SAC,cutting,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,1.82,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,
37,PT09M40.00S,2023-03-05T03:15:03.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203497,86.5473061760841,51.225490196078425,1610612750,5,6,2023-03-05T03:15:09Z,370000,False,6.0,74.0,1,right,MISS R. Gobert 7' Hook,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,7.43,Missed,,,,,,,,,,,,,,,,
38,PT09M36.00S,2023-03-05T03:15:07.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,5,6,2023-03-05T03:15:07Z,380000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,37.0,3.0,2.0,1.0,,,,,,,,,,,,
39,PT09M29.00S,2023-03-05T03:15:14.1Z,1,REGULAR,2pt,Jump Shot,[],1628368,23.47240473061761,54.166666666666664,1610612758,5,6,2023-03-05T03:15:23Z,390000,False,-21.0,168.0,1,left,MISS D. Fox 16' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Center,,,16.94,Missed,,,,,,,,,,,,,,,,
40,PT09M27.00S,2023-03-05T03:15:20.9Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,5,6,2023-03-05T03:15:20Z,400000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,,,,,39.0,1.0,0.0,1.0,,,,,,,,,,,,
42,PT09M25.00S,2023-03-05T03:15:35.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627734,21.76412614980289,64.2156862745098,1610612758,5,6,2023-03-05T03:15:41Z,420000,False,-71.0,152.0,1,left,MISS D. Sabonis 16' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left Center,,,16.79,Missed,,,,,,,,,,,,,,,,
43,PT09M22.00S,2023-03-05T03:15:38.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,5,6,2023-03-05T03:15:41Z,430000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Left Center,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,
44,PT09M15.00S,2023-03-05T03:15:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,93.69250985545335,38.94761029411765,1610612750,5,6,2023-03-05T03:17:24Z,440000,False,-55.0,7.0,1,right,MISS K. Anderson driving floating Shot,[203937],1610612750.0,MIN,driving floating,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,5.57,Missed,,,,,,,,,,,,,,,,
45,PT09M12.00S,2023-03-05T03:15:49.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,5,6,2023-03-05T03:15:52Z,450000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,44.0,4.0,3.0,1.0,,,,,,,,,,,,
46,PT09M07.00S,2023-03-05T03:15:54.1Z,1,REGULAR,2pt,Jump Shot,[],1628989,5.863994743758213,25.735294117647058,1610612758,7,6,2023-03-05T03:16:15Z,460000,False,121.0,3.0,1,left,K. Huerter 12' floating Jump Shot (4 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,floating,,,Huerter,K. Huerter,,,,,Mid-Range,8-16 Right,,,12.13,Made,,,,,4.0,D. Sabonis,1627734.0,1.0,,,,,,,,
48,PT08M53.00S,2023-03-05T03:16:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,90.75229960578186,65.68627450980392,1610612750,7,8,2023-03-05T03:18:37Z,480000,False,78.0,34.0,1,right,J. McDaniels 8' driving floating bank Jump Shot (2 PTS) (K. Anderson 2 AST),"[1630183, 203937]",1610612750.0,MIN,driving floating bank,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Right,,,8.56,Made,,,,,2.0,K. Anderson,203937.0,2.0,,,,,,,,
50,PT08M38.00S,2023-03-05T03:16:21.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,31.882391590013142,52.450980392156865,1610612758,10,8,2023-03-05T03:16:26Z,500000,False,-12.0,247.0,1,left,K. Huerter 24' 3PT  (7 PTS) (D. Fox 2 AST),"[1628989, 1628368]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,24.75,Made,,,,,7.0,D. Fox,1628368.0,2.0,,,,,,,,
52,PT08M23.00S,2023-03-05T03:16:43.1Z,1,REGULAR,foul,personal,[],1628989,,,1610612750,10,8,2023-03-05T03:19:36Z,520000,False,,,0,,K. Huerter personal FOUL (2 PF),"[1628989, 201144]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,8-16 Left,2882.0,,,,,,,,,,,,,,,,2.0,0.0,Conley,201144.0
54,PT08M08.00S,2023-03-05T03:17:13.5Z,1,REGULAR,3pt,Jump Shot,[],203937,91.40932982917214,3.6764705882352944,1610612750,10,11,2023-03-05T03:17:19Z,540000,False,-232.0,28.0,1,right,K. Anderson 3PT  (5 PTS) (M. Conley 1 AST),"[203937, 201144]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Left Corner 3,24+ Left,,,23.33,Made,,,,,5.0,M. Conley,201144.0,1.0,,,,,,,,
56,PT07M58.00S,2023-03-05T03:17:30.3Z,1,REGULAR,foul,personal,[],1630183,,,1610612758,10,11,2023-03-05T03:20:20Z,560000,False,,,0,,J. McDaniels personal FOUL (2 PF),"[1630183, 1627734]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Center,202007.0,,,,,,,,,,,,,,,,2.0,0.0,Sabonis,1627734.0
58,PT07M58.00S,2023-03-05T03:17:43.6Z,1,REGULAR,substitution,out,[],1630183,,,1610612758,10,11,2023-03-05T03:17:55Z,580000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M58.00S,2023-03-05T03:17:43.6Z,1,REGULAR,substitution,in,[],1627752,,,1610612758,10,11,2023-03-05T03:17:55Z,590000,False,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M53.00S,2023-03-05T03:18:00.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.042706964520367,30.392156862745097,1610612758,10,11,2023-03-05T03:18:05Z,600000,False,98.0,230.0,1,left,MISS D. Fox 24' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,24.99,Missed,,,,,,,,,,,,,,,,
61,PT07M50.00S,2023-03-05T03:18:03.4Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,10,11,2023-03-05T03:18:05Z,610000,False,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,
62,PT07M45.00S,2023-03-05T03:18:12.4Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612750,10,11,2023-03-05T03:18:24Z,620000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Gobert 2 FT),"[1627734, 203497]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,2882.0,,,,,,,,,,,,,,,,1.0,0.0,Gobert,203497.0
64,PT07M45.00S,2023-03-05T03:18:43.2Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,10,12,2023-03-05T03:18:43Z,640000,False,,,0,,R. Gobert Free Throw 1 of 2 (2 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
65,PT07M45.00S,2023-03-05T03:18:59.9Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,10,13,2023-03-05T03:18:59Z,650000,False,,,0,,R. Gobert Free Throw 2 of 2 (3 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
66,PT07M32.00S,2023-03-05T03:19:20.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'defensivegoaltending']",1627734,11.038107752956634,49.915747549019606,1610612758,12,13,2023-03-05T03:23:16Z,660000,False,0.0,51.0,1,left,D. Sabonis turnaround Hook (2 PTS),[1627734],1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,5.13,Made,,,,,2.0,,,,,,,,,,,
67,PT07M32.00S,2023-03-05T03:19:23.9Z,1,REGULAR,violation,defensive goaltending,[],203497,,,1610612758,12,13,2023-03-05T03:19:30Z,670000,False,,,0,,R. Gobert defensive goaltending VIOLATION,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,202007.0,,,,,,,,,,,,,,,,,,,
68,PT07M16.00S,2023-03-05T03:19:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,82.21090670170827,40.19607843137255,1610612750,12,15,2023-03-05T03:24:09Z,680000,False,-49.0,115.0,1,right,M. Conley 12' driving floating Jump Shot (2 PTS) (T. Prince 1 AST),"[201144, 1627752]",1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,12.47,Made,,,,,2.0,T. Prince,1627752.0,1.0,,,,,,,,
70,PT06M57.00S,2023-03-05T03:20:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.915243101182654,56.86274509803921,1610612758,12,15,2023-03-05T03:24:53Z,700000,False,-34.0,13.0,1,left,MISS D. Sabonis Layup,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,3.65,Missed,,,,,,,,,,,,,,,,
71,PT06M53.00S,2023-03-05T03:20:10.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,12,15,2023-03-05T03:34:03Z,710000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,
72,PT06M52.00S,2023-03-05T03:20:12.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628368,,,1610612750,12,15,2023-03-05T03:20:37Z,720000,False,,,0,,D. Fox shooting personal FOUL (1 PF) (Prince 2 FT),"[1628368, 1627752]",1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,202007.0,,,,,,,,,,,,,,,,1.0,0.0,Prince,1627752.0
74,PT06M52.00S,2023-03-05T03:20:35.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,12,15,2023-03-05T03:20:35Z,740000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M52.00S,2023-03-05T03:23:38.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627752,,,1610612750,12,16,2023-03-05T03:23:38Z,750000,False,,,0,,T. Prince Free Throw 1 of 2 (1 PTS),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
76,PT06M52.00S,2023-03-05T03:23:53.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627752,,,1610612750,12,17,2023-03-05T03:23:53Z,760000,False,,,0,,T. Prince Free Throw 2 of 2 (2 PTS),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
77,PT06M35.00S,2023-03-05T03:24:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.701708278580824,54.93642769607843,1610612758,14,17,2023-03-05T03:27:15Z,770000,False,-25.0,10.0,1,left,D. Sabonis Layup (4 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,2.68,Made,,,,,4.0,,,,,,,,,,,
78,PT06M35.00S,2023-03-05T03:24:21.6Z,1,REGULAR,foul,personal,['1freethrow'],203497,,,1610612758,14,17,2023-03-05T03:26:35Z,780000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Sabonis 1 FT),"[203497, 1627734]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,,,,,,,1.0,0.0,Sabonis,1627734.0
80,PT06M35.00S,2023-03-05T03:24:31.9Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,14,17,2023-03-05T03:24:36Z,800000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M35.00S,2023-03-05T03:24:31.9Z,1,REGULAR,substitution,in,[],1630558,,,1610612758,14,17,2023-03-05T03:24:36Z,810000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M35.00S,2023-03-05T03:24:56.2Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612758,14,17,2023-03-05T03:26:52Z,820000,False,,,0,,MISS D. Sabonis Free Throw 1 of 1,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
83,PT06M33.00S,2023-03-05T03:24:58.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,14,17,2023-03-05T03:26:52Z,830000,False,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,82.0,4.0,4.0,0.0,,,,,,,,,,,,
84,PT06M14.00S,2023-03-05T03:25:15.4Z,1,REGULAR,3pt,Jump Shot,[],201144,67.23061760840999,49.50980392156863,1610612750,14,17,2023-03-05T03:25:20Z,840000,False,-2.0,256.0,1,right,MISS M. Conley 25' 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,25.55,Missed,,,,,,,,,,,,,,,,
85,PT06M11.00S,2023-03-05T03:25:18.4Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,14,17,2023-03-05T03:25:20Z,850000,False,,,0,,R. Gobert REBOUND (Off:1 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,,84.0,5.0,4.0,1.0,,,,,,,,,,,,
86,PT06M06.00S,2023-03-05T03:25:26.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612750,14,17,2023-03-05T03:25:39Z,860000,False,,,0,,D. Sabonis personal FOUL (2 PF) (Conley 2 FT),"[1627734, 201144]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,1627963.0,,,,,,,,,,,,,,,,2.0,0.0,Conley,201144.0
