actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
594,PT04M24.00S,2023-03-22T04:07:46.2Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628369,10.118265440210251,55.572150735294116,1610612738,97,118,2023-03-22T04:14:25Z,5850000,False,-28.0,43.0,1,left,MISS J. Tatum turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,5.09,,,,,,,,,
595,PT04M21.00S,2023-03-22T04:07:49.2Z,4,REGULAR,rebound,defensive,[],1628408,,,1610612758,97,118,2023-03-22T04:07:54Z,5860000,False,,,0,,P. Dozier REBOUND (Off:0 Def:1),[1628408],1610612758.0,SAC,,,,Dozier,P. Dozier,,,,,Restricted Area,0-8 Center,,,,,,,594.0,1.0,1.0,0.0,,,,,,,,,,
596,PT04M19.00S,2023-03-22T04:07:51.3Z,4,REGULAR,turnover,bad pass,[],1628408,,,1610612758,97,118,2023-03-22T04:08:00Z,5870000,False,,,0,,P. Dozier bad pass TURNOVER (1 TO),"[1628408, 1629684]",1610612758.0,SAC,,,,Dozier,P. Dozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Williams,1629684.0,,
597,PT04M19.00S,2023-03-22T04:07:51.3Z,4,REGULAR,steal,,[],1629684,,,1610612738,97,118,2023-03-22T04:07:59Z,5880000,False,,,0,,G. Williams STEAL (2 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
598,PT04M02.00S,2023-03-22T04:08:07.6Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,20.45006570302234,91.66666666666666,1610612738,97,118,2023-03-22T04:08:14Z,5890000,False,-208.0,140.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,25.08,,,,,,,,,
599,PT03M59.00S,2023-03-22T04:08:11.3Z,4,REGULAR,rebound,offensive,[],1628401,,,1610612738,97,118,2023-03-22T04:08:11Z,5900000,False,,,0,,D. White REBOUND (Off:3 Def:4),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,,598.0,7.0,4.0,3.0,,,,,,,,,,
600,PT03M49.00S,2023-03-22T04:08:22.9Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628369,6.389618922470433,52.69607843137255,1610612738,97,120,2023-03-22T04:08:28Z,5910000,False,-13.0,8.0,1,left,J. Tatum cutting DUNK (33 PTS) (D. White 11 AST),"[1628369, 1628401]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,,,,,1.55,33.0,D. White,1628401.0,11.0,,,,,
602,PT03M49.00S,2023-03-22T04:08:28.2Z,4,REGULAR,foul,personal,['1freethrow'],1631165,,,1610612738,97,120,2023-03-22T04:08:36Z,5930000,False,,,0,,K. Ellis shooting personal FOUL (1 PF) (Tatum 1 FT),"[1631165, 1628369]",1610612758.0,SAC,shooting,,,Ellis,K. Ellis,,,,,Restricted Area,0-8 Center,1830.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
604,PT03M49.00S,2023-03-22T04:08:44.9Z,4,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1628369,,,1610612738,97,121,2023-03-22T04:08:44Z,5950000,False,,,0,,J. Tatum Free Throw 1 of 1 (34 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,,,,,,34.0,,,,,,,,
605,PT03M26.00S,2023-03-22T04:09:10.2Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,93.24901445466492,53.67647058823529,1610612758,99,121,2023-03-22T04:09:15Z,5960000,False,18.0,11.0,1,right,K. Murray driving Layup (15 PTS),[1631099],1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,Made,,,,,2.14,15.0,,,,,,,,
