actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
26,PT10M09.00S,2023-04-08T02:13:21.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,8.886333771353483,3.9215686274509802,1610612744,0,5,2023-04-08T02:13:27Z,260000,False,230.0,31.0,1,left,K. Thompson 3PT  (3 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,Right Corner 3,24+ Right,23.25,Made,,,,,,3.0,K. Looney,1626172.0,1.0,,,,,,,,
28,PT10M09.00S,2023-04-08T02:13:29.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,0,5,2023-04-08T02:13:29Z,280000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2023-04-08T02:16:35.0Z,1,REGULAR,3pt,Jump Shot,[],203084,89.96386333771353,96.81372549019608,1610612758,0,5,2023-04-08T02:16:40Z,290000,False,234.0,42.0,1,right,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Right Corner 3,24+ Right,23.78,Missed,,,,,,,,,,,,,,,,,
30,PT09M46.00S,2023-04-08T02:16:39.0Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,0,5,2023-04-08T02:16:40Z,300000,False,,,0,,A. Len REBOUND (Off:2 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Right Corner 3,24+ Right,,,29.0,2.0,0.0,2.0,,,,,,,,,,,,,
31,PT09M45.00S,2023-04-08T02:16:41.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,93.77463863337714,45.09803921568628,1610612758,2,5,2023-04-08T02:18:54Z,310000,False,-25.0,6.0,1,right,H. Barnes cutting Layup (2 PTS) (D. Mitchell 1 AST),"[203084, 1630558]",1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,
33,PT09M45.00S,2023-04-08T02:16:48.8Z,1,REGULAR,foul,personal,['1freethrow'],1628978,,,1610612758,2,5,2023-04-08T02:17:07Z,330000,False,,,0,,D. DiVincenzo shooting personal FOUL (1 PF) (Barnes 1 FT),"[1628978, 203084]",1610612744.0,GSW,shooting,,,DiVincenzo,D. DiVincenzo,,,,,101283.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Barnes,203084.0,,
35,PT09M45.00S,2023-04-08T02:17:16.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203084,,,1610612758,3,5,2023-04-08T02:17:16Z,350000,False,,,0,,H. Barnes Free Throw 1 of 1 (3 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,Made,,,,,,3.0,,,,,,,,,,,
36,PT09M34.00S,2023-04-08T02:17:29.4Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,3,5,2023-04-08T02:17:34Z,360000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1630558]",1610612744.0,GSW,,,,Green,D. Green,,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,,Mitchell,1630558.0,,,,,,
37,PT09M34.00S,2023-04-08T02:17:29.4Z,1,REGULAR,steal,,[],1630558,,,1610612758,3,5,2023-04-08T02:17:31Z,370000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
38,PT09M28.00S,2023-04-08T02:17:34.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630558,93.11760840998686,44.11764705882353,1610612758,3,5,2023-04-08T02:19:33Z,380000,False,-29.0,12.0,1,right,MISS D. Mitchell running Layup,[1630558],1610612758.0,SAC,running,,,Mitchell,D. Mitchell,,,,,,Restricted Area,0-8 Center,3.18,Missed,,,,,,,,,,,,,,,,,
39,PT09M26.00S,2023-04-08T02:17:36.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,5,2023-04-08T02:21:51Z,390000,False,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Restricted Area,0-8 Center,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,
40,PT09M19.00S,2023-04-08T02:17:47.0Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,3,5,2023-04-08T02:17:58Z,400000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (2 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,202053.0,Above the Break 3,24+ Right Center,,,,,,,2.0,,,,,,,,,,,,
41,PT09M04.00S,2023-04-08T02:18:12.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629056,93.24901445466492,57.59803921568627,1610612758,3,5,2023-04-08T02:18:17Z,410000,False,38.0,11.0,1,right,MISS T. Davis driving Layup,[1629056],1610612758.0,SAC,driving,,,Davis,T. Davis,,,,,,Restricted Area,0-8 Center,3.96,Missed,,,,,,,,,,,,,,,,,
42,PT09M02.00S,2023-04-08T02:18:14.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,3,5,2023-04-08T02:18:17Z,420000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,Restricted Area,0-8 Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,
43,PT08M57.00S,2023-04-08T02:18:19.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,26.10052562417871,17.401960784313726,1610612744,3,5,2023-04-08T02:18:28Z,430000,False,163.0,193.0,1,left,MISS K. Thompson 25' running 3PT,[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,,,,,,,,,,,,,
44,PT08M54.00S,2023-04-08T02:18:22.5Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,3,5,2023-04-08T02:18:22Z,440000,False,,,0,,K. Looney REBOUND (Off:2 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Above the Break 3,24+ Right Center,,,43.0,3.0,1.0,2.0,,,,,,,,,,,,,
45,PT08M52.00S,2023-04-08T02:18:24.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,31.09395532194481,67.8921568627451,1610612744,3,8,2023-04-08T02:18:31Z,450000,False,-89.0,240.0,1,left,S. Curry 25' 3PT  (3 PTS) (K. Looney 2 AST),"[201939, 1626172]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Left Center,25.6,Made,,,,,,3.0,K. Looney,1626172.0,2.0,,,,,,,,
47,PT08M40.00S,2023-04-08T02:18:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203458,82.9993429697766,57.84313725490197,1610612758,3,8,2023-04-08T02:18:40Z,470000,False,39.0,107.0,1,right,MISS A. Len 11' floating Shot,[203458],1610612758.0,SAC,floating,,,Len,A. Len,,,,,,In The Paint (Non-RA),8-16 Center,11.42,Missed,,,,,,,,,,,,,,,,,
48,PT08M38.00S,2023-04-08T02:18:39.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,3,8,2023-04-08T02:18:40Z,480000,False,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,In The Paint (Non-RA),8-16 Center,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT08M31.00S,2023-04-08T02:18:45.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,28.465834428383708,16.42156862745098,1610612744,3,11,2023-04-08T02:23:08Z,490000,False,168.0,215.0,1,left,S. Curry 27' 3PT running (6 PTS) (D. DiVincenzo 1 AST),"[201939, 1628978]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Right Center,27.29,Made,,,,,,6.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,
51,PT08M20.00S,2023-04-08T02:18:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,83.919185282523,64.2156862745098,1610612758,3,11,2023-04-08T02:23:19Z,510000,False,71.0,99.0,1,right,MISS D. Mitchell 12' driving floating Shot,[1630558],1610612758.0,SAC,driving floating,,,Mitchell,D. Mitchell,,,,,,In The Paint (Non-RA),8-16 Right,12.16,Missed,,,,,,,,,,,,,,,,,
52,PT08M17.00S,2023-04-08T02:18:59.5Z,1,REGULAR,rebound,offensive,[],1630558,,,1610612758,3,11,2023-04-08T02:19:21Z,520000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,In The Paint (Non-RA),8-16 Right,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,
53,PT08M16.00S,2023-04-08T02:19:00.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203458,93.24901445466492,52.94117647058824,1610612758,5,11,2023-04-08T02:19:09Z,530000,False,15.0,11.0,1,right,A. Len DUNK (2 PTS) (D. Mitchell 2 AST),"[203458, 1630558]",1610612758.0,SAC,,,,Len,A. Len,,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,2.0,D. Mitchell,1630558.0,2.0,,,,,,,,
55,PT07M51.00S,2023-04-08T02:19:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,5.995400788436268,53.431372549019606,1610612744,5,11,2023-04-08T02:19:35Z,550000,False,-17.0,4.0,1,left,MISS K. Looney finger roll Layup,[1626172],1610612744.0,GSW,finger roll,,,Looney,K. Looney,,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,
57,PT07M48.00S,2023-04-08T02:19:28.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,5,11,2023-04-08T02:19:35Z,570000,False,,,0,,K. Looney REBOUND (Off:3 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Restricted Area,0-8 Center,,,55.0,4.0,1.0,3.0,,,,,,,,,,,,,
58,PT07M41.00S,2023-04-08T02:19:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202691,7.966491458607096,44.36274509803921,1610612744,5,11,2023-04-08T02:19:42Z,580000,False,28.0,22.0,1,left,MISS K. Thompson driving Layup,[202691],1610612744.0,GSW,driving,,,Thompson,K. Thompson,,,,,,Restricted Area,0-8 Center,3.6,Missed,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2023-04-08T02:19:38.2Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,5,11,2023-04-08T02:19:42Z,590000,False,,,0,,K. Looney REBOUND (Off:4 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Restricted Area,0-8 Center,,,58.0,5.0,1.0,4.0,,,,,,,,,,,,,
60,PT07M38.00S,2023-04-08T02:19:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,6.521024967148489,52.450980392156865,1610612744,5,13,2023-04-08T02:25:23Z,600000,False,-12.0,9.0,1,left,K. Looney putback Layup (4 PTS),[1626172],1610612744.0,GSW,putback,,,Looney,K. Looney,,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,,4.0,,,,,,,,,,,
61,PT07M24.00S,2023-04-08T02:19:52.7Z,1,REGULAR,turnover,bad pass,[],1630558,,,1610612758,5,13,2023-04-08T02:19:59Z,610000,False,,,0,,D. Mitchell bad pass TURNOVER (2 TO),"[1630558, 201939]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,Above the Break 3,24+ Center,,,,,,,2.0,,,,,Curry,201939.0,,,,,,
62,PT07M24.00S,2023-04-08T02:19:52.7Z,1,REGULAR,steal,,[],201939,,,1610612744,5,13,2023-04-08T02:19:54Z,620000,False,,,0,,S. Curry STEAL (2 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
63,PT07M20.00S,2023-04-08T02:19:56.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201939,30.56833114323259,27.205882352941174,1610612744,5,13,2023-04-08T02:26:16Z,630000,False,114.0,235.0,1,left,MISS S. Curry 26' running 3PT,[201939],1610612744.0,GSW,running,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Right Center,26.1,Missed,,,,,,,,,,,,,,,,,
64,PT07M20.00S,2023-04-08T02:19:56.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,5,13,2023-04-08T02:26:16Z,640000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,Above the Break 3,24+ Right Center,,,63.0,,,,,,,,,,,,,,,,
65,PT07M20.00S,2023-04-08T02:20:05.1Z,1,REGULAR,foul,personal,[],1629056,,,1610612744,5,13,2023-04-08T02:20:19Z,650000,False,,,0,,T. Davis loose ball personal FOUL (1 PF),"[1629056, 1628978]",1610612758.0,SAC,loose ball,,,Davis,T. Davis,,,,,101283.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,DiVincenzo,1628978.0,,
67,PT07M05.00S,2023-04-08T02:20:34.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203110,23.73521681997372,86.02941176470588,1610612744,5,13,2023-04-08T02:20:39Z,670000,False,-180.0,171.0,1,left,MISS D. Green 24' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,Above the Break 3,24+ Left Center,24.81,Missed,,,,,,,,,,,,,,,,,
68,PT07M01.00S,2023-04-08T02:20:38.0Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,5,13,2023-04-08T02:20:39Z,680000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Above the Break 3,24+ Left Center,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT06M58.00S,2023-04-08T02:20:41.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203084,93.38042049934296,53.92156862745098,1610612758,7,13,2023-04-08T02:20:50Z,690000,False,20.0,10.0,1,right,H. Barnes running Layup (5 PTS),[203084],1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,,5.0,,,,,,,,,,,
70,PT06M39.00S,2023-04-08T02:20:59.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,29.6484888304862,24.754901960784316,1610612744,7,16,2023-04-08T02:21:04Z,700000,False,126.0,226.0,1,left,D. DiVincenzo 25' 3PT  (3 PTS) (K. Looney 3 AST),"[1628978, 1626172]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,Above the Break 3,24+ Right Center,25.9,Made,,,,,,3.0,K. Looney,1626172.0,3.0,,,,,,,,
72,PT06M26.00S,2023-04-08T02:21:13.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,88.78120893561103,95.83333333333334,1610612758,7,16,2023-04-08T02:21:17Z,720000,False,229.0,53.0,1,right,MISS K. Murray 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Right Corner 3,24+ Right,23.52,Missed,,,,,,,,,,,,,,,,,
73,PT06M23.00S,2023-04-08T02:21:16.2Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612744,7,16,2023-04-08T02:21:17Z,730000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,Right Corner 3,24+ Right,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,
74,PT06M20.00S,2023-04-08T02:21:18.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202691,5.995400788436268,51.9607843137255,1610612744,7,18,2023-04-08T02:28:05Z,740000,False,-10.0,4.0,1,left,K. Thompson running alley-oop Layup (5 PTS) (S. Curry 2 AST),"[202691, 201939]",1610612744.0,GSW,running alley-oop,,,Thompson,K. Thompson,,,,,,Restricted Area,0-8 Center,1.05,Made,,,,,,5.0,S. Curry,201939.0,2.0,,,,,,,,
76,PT06M12.00S,2023-04-08T02:21:26.5Z,1,REGULAR,3pt,Jump Shot,[],1629056,93.38042049934296,3.6764705882352944,1610612758,7,18,2023-04-08T02:21:38Z,760000,False,-232.0,10.0,1,right,MISS T. Davis 3PT,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,
77,PT06M09.00S,2023-04-08T02:21:29.5Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,7,18,2023-04-08T02:21:38Z,770000,False,,,0,,A. Len REBOUND (Off:3 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Left Corner 3,24+ Left,,,76.0,3.0,0.0,3.0,,,,,,,,,,,,,
78,PT06M07.00S,2023-04-08T02:21:32.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629056,93.64323258869908,48.28431372549019,1610612758,9,18,2023-04-08T02:29:30Z,780000,False,-9.0,7.0,1,right,T. Davis cutting DUNK (2 PTS) (A. Len 1 AST),"[1629056, 203458]",1610612758.0,SAC,cutting,,,Davis,T. Davis,,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,2.0,A. Len,203458.0,1.0,,,,,,,,
80,PT06M05.00S,2023-04-08T02:21:42.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,9,18,2023-04-08T02:21:42Z,800000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2023-04-08T02:23:54.5Z,1,REGULAR,substitution,out,[],1629056,,,1610612744,9,18,2023-04-08T02:24:43Z,810000,False,,,0,,SUB out: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M05.00S,2023-04-08T02:23:54.5Z,1,REGULAR,substitution,out,[],203458,,,1610612744,9,18,2023-04-08T02:24:43Z,820000,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
