actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
21,PT10M01.00S,2022-11-18T03:13:16.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,32.013797634691194,44.6078431372549,1610612758,7,2,2022-11-18T03:13:22Z,210000,False,27.0,248.0,1,left,D. Fox 24' 3PT  (5 PTS) (T. Davis 1 AST),"[1628368, 1629056]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,24.99,Made,,,,,5.0,,,,T. Davis,1629056.0,1.0,,,,,,,
24,PT09M44.00S,2022-11-18T03:13:48.8Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,7,2,2022-11-18T03:13:53Z,240000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 1629056]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1.0,Davis,1629056.0,,,,
25,PT09M44.00S,2022-11-18T03:13:48.8Z,1,REGULAR,steal,,[],1629056,,,1610612758,7,2,2022-11-18T03:13:52Z,250000,False,,,0,,T. Davis STEAL (1 STL),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
26,PT09M37.00S,2022-11-18T03:13:55.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629056,6.652431011826544,43.872549019607845,1610612758,7,2,2022-11-18T03:14:01Z,260000,False,31.0,10.0,1,left,MISS T. Davis driving Layup - blocked,"[1629056, 1628966]",1610612758.0,SAC,driving,,,Davis,T. Davis,,,,,Restricted Area,0-8 Center,3.22,Missed,,,,,,,Bates-Diop,1628966.0,,,,,,,,,,
27,PT09M37.00S,2022-11-18T03:13:55.2Z,1,REGULAR,block,,[],1628966,,,1610612758,7,2,2022-11-18T03:14:43Z,270000,False,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M34.00S,2022-11-18T03:13:58.2Z,1,REGULAR,rebound,offensive,[],1629056,,,1610612758,7,2,2022-11-18T03:13:58Z,280000,False,,,0,,T. Davis REBOUND (Off:1 Def:0),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,Restricted Area,0-8 Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
29,PT09M32.00S,2022-11-18T03:14:00.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628989,29.6484888304862,22.30392156862745,1610612758,7,2,2022-11-18T03:19:06Z,290000,False,138.0,226.0,1,left,MISS K. Huerter 26' pullup 3PT,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,26.52,Missed,,,,,,,,,,,,,,,,,,
30,PT09M28.00S,2022-11-18T03:14:04.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,7,2,2022-11-18T03:14:05Z,300000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M26.00S,2022-11-18T03:14:12.3Z,1,REGULAR,turnover,out-of-bounds,[],1630200,,,1610612759,7,2,2022-11-18T03:14:25Z,310000,False,,,0,,T. Jones bad pass out-of-bounds TURNOVER (1 TO),[1630200],1610612759.0,SAS,bad pass,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,201638.0,,,,,,1.0,,,,,,
33,PT09M04.00S,2022-11-18T03:15:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,5.469776609724048,96.56862745098039,1610612758,10,2,2022-11-18T03:15:09Z,330000,False,-233.0,-1.0,1,left,H. Barnes 3PT  (3 PTS) (K. Huerter 1 AST),"[203084, 1628989]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,23.28,Made,,,,,3.0,,,,K. Huerter,1628989.0,1.0,,,,,,,
35,PT08M52.00S,2022-11-18T03:15:17.4Z,1,REGULAR,2pt,Jump Shot,[],1630170,81.94809461235218,22.058823529411764,1610612759,10,2,2022-11-18T03:20:35Z,350000,False,-140.0,117.0,1,right,MISS D. Vassell 18' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,18.24,Missed,,,,,,,,,,,,,,,,,,
36,PT08M47.00S,2022-11-18T03:15:22.4Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,10,2,2022-11-18T03:15:24Z,360000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Left Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M42.00S,2022-11-18T03:15:28.9Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612758,10,2,2022-11-18T03:15:40Z,370000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1627751, 1627734]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,201638.0,,,,,,,,,1.0,0.0,Sabonis,1627734.0
39,PT08M42.00S,2022-11-18T03:16:00.7Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,11,2,2022-11-18T03:16:00Z,390000,False,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
40,PT08M42.00S,2022-11-18T03:16:21.3Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,12,2,2022-11-18T03:16:21Z,400000,False,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
41,PT08M27.00S,2022-11-18T03:16:38.2Z,1,REGULAR,3pt,Jump Shot,[],1630170,67.36202365308804,42.40196078431372,1610612759,12,2,2022-11-18T03:16:44Z,410000,False,-38.0,254.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
42,PT08M24.00S,2022-11-18T03:16:41.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,12,2,2022-11-18T03:16:44Z,420000,False,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M14.00S,2022-11-18T03:16:51.3Z,1,REGULAR,3pt,Jump Shot,[],1629056,7.835085413929041,3.6764705882352944,1610612758,12,2,2022-11-18T03:16:57Z,430000,False,232.0,21.0,1,left,MISS T. Davis 3PT,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,Right Corner 3,24+ Right,23.26,Missed,,,,,,,,,,,,,,,,,,
44,PT08M10.00S,2022-11-18T03:16:55.3Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,12,2,2022-11-18T03:16:57Z,440000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Right Corner 3,24+ Right,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT08M04.00S,2022-11-18T03:17:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,92.85479632063075,52.450980392156865,1610612759,12,4,2022-11-18T03:21:59Z,450000,False,12.0,15.0,1,right,K. Bates-Diop driving Layup (2 PTS),[1628966],1610612759.0,SAS,driving,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,1.92,Made,,,,,2.0,,,,,,,,,,,,,
46,PT07M55.00S,2022-11-18T03:17:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.732588699080158,52.450980392156865,1610612758,14,4,2022-11-18T03:17:23Z,460000,False,-12.0,1.0,1,left,D. Fox driving Layup (7 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,7.0,,,,,,,,,,,,,
48,PT07M39.00S,2022-11-18T03:17:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631110,90.22667542706965,39.21568627450981,1610612759,14,6,2022-11-18T03:17:31Z,480000,False,-54.0,39.0,1,right,J. Sochan 6' running Layup (2 PTS) (J. Poeltl 1 AST),"[1631110, 1627751]",1610612759.0,SAS,running,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,6.68,Made,,,,,2.0,,,,J. Poeltl,1627751.0,1.0,,,,,,,
50,PT07M27.00S,2022-11-18T03:17:42.3Z,1,REGULAR,foul,personal,['2freethrow'],1628966,,,1610612758,14,6,2022-11-18T03:18:05Z,500000,False,,,0,,K. Bates-Diop shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1628966, 1627734]",1610612759.0,SAS,shooting,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,,,,,200832.0,,,,,,,,,1.0,0.0,Sabonis,1627734.0
52,PT07M27.00S,2022-11-18T03:18:10.9Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,15,6,2022-11-18T03:18:10Z,520000,False,,,0,,D. Sabonis Free Throw 1 of 2 (3 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
53,PT07M27.00S,2022-11-18T03:18:30.8Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,16,6,2022-11-18T03:18:30Z,530000,False,,,0,,D. Sabonis Free Throw 2 of 2 (4 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
54,PT07M13.00S,2022-11-18T03:18:46.2Z,1,REGULAR,2pt,Jump Shot,[],1630200,85.10183968462549,21.813725490196077,1610612759,16,6,2022-11-18T03:18:51Z,540000,False,-141.0,88.0,1,right,MISS T. Jones 16' pullup Shot,[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,Mid-Range,16-24 Left,16.59,Missed,,,,,,,,,,,,,,,,,,
55,PT07M09.00S,2022-11-18T03:18:49.5Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,16,6,2022-11-18T03:18:49Z,550000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Left,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT07M06.00S,2022-11-18T03:18:54.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629056,22.421156373193167,87.74509803921569,1610612758,19,6,2022-11-18T03:26:02Z,560000,False,-189.0,158.0,1,left,T. Davis 24' 3PT running (5 PTS) (K. Huerter 2 AST),"[1629056, 1628989]",1610612758.0,SAC,running,,,Davis,T. Davis,,,,,Above the Break 3,24+ Left Center,24.63,Made,,,,,5.0,,,,K. Huerter,1628989.0,2.0,,,,,,,
58,PT07M06.00S,2022-11-18T03:19:00.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,19,6,2022-11-18T03:19:00Z,580000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M53.00S,2022-11-18T03:22:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631110,88.12417871222075,43.872549019607845,1610612759,19,6,2022-11-18T03:22:20Z,590000,False,-31.0,59.0,1,right,MISS J. Sochan 6' turnaround Shot,[1631110],1610612759.0,SAS,turnaround,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,,,,,,,,,,
60,PT06M51.00S,2022-11-18T03:22:17.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,19,6,2022-11-18T03:22:20Z,600000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,59.0,3.0,3.0,0.0,,,,,,,,,,,,,,
61,PT06M44.00S,2022-11-18T03:22:23.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,32.670827858081466,50.73529411764706,1610612758,22,6,2022-11-18T03:22:29Z,610000,False,-4.0,255.0,1,left,K. Huerter 25' 3PT  (3 PTS) (T. Davis 2 AST),"[1628989, 1629056]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,25.46,Made,,,,,3.0,,,,T. Davis,1629056.0,2.0,,,,,,,
63,PT06M32.00S,2022-11-18T03:22:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,82.9993429697766,40.19607843137255,1610612759,22,6,2022-11-18T03:31:43Z,630000,False,-49.0,107.0,1,right,MISS J. Poeltl 11' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,11.8,Missed,,,,,,,,,,,,,,,,,,
64,PT06M31.00S,2022-11-18T03:22:37.8Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,22,6,2022-11-18T03:31:43Z,640000,False,,,0,,K. Bates-Diop REBOUND (Off:1 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),8-16 Center,,,63.0,2.0,1.0,1.0,,,,,,,,,,,,,,
119,PT06M31.00S,2022-11-18T03:22:41.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628966,93.08475689881735,49.50980392156863,1610612759,22,6,2022-11-18T03:31:07Z,645000,False,-2.0,13.0,1,right,MISS K. Bates-Diop tip Layup,[1628966],1610612759.0,SAS,tip,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
121,PT06M31.00S,2022-11-18T03:22:41.4Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,22,6,2022-11-18T03:31:07Z,647500,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT06M22.00S,2022-11-18T03:22:46.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,29.122864651773984,23.284313725490197,1610612758,22,6,2022-11-18T03:32:18Z,650000,False,134.0,221.0,1,left,MISS H. Barnes 25' running 3PT,[203084],1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
66,PT06M20.00S,2022-11-18T03:22:48.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,22,6,2022-11-18T03:22:51Z,660000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,
67,PT06M08.00S,2022-11-18T03:23:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,80.23981603153744,44.6078431372549,1610612759,22,8,2022-11-18T03:23:05Z,670000,False,-27.0,133.0,1,right,D. Vassell 13' pullup Jump Shot (2 PTS) (J. Poeltl 2 AST),"[1630170, 1627751]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,13.59,Made,,,,,2.0,,,,J. Poeltl,1627751.0,2.0,,,,,,,
69,PT05M44.00S,2022-11-18T03:23:25.4Z,1,REGULAR,turnover,lost ball,[],1629056,,,1610612758,22,8,2022-11-18T03:33:19Z,690000,False,,,0,,T. Davis lost ball TURNOVER (1 TO),"[1629056, 1630200]",1610612758.0,SAC,,,,Davis,T. Davis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,Jones,1630200.0,,,,
70,PT05M44.00S,2022-11-18T03:23:25.4Z,1,REGULAR,steal,,[],1630200,,,1610612759,22,8,2022-11-18T03:23:31Z,700000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
71,PT05M39.00S,2022-11-18T03:23:34.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628966,91.14651773981603,49.26470588235294,1610612759,22,10,2022-11-18T03:24:15Z,710000,False,-4.0,31.0,1,right,K. Bates-Diop running DUNK (4 PTS) (T. Jones 1 AST),"[1628966, 1630200]",1610612759.0,SAS,running,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,3.09,Made,,,,,4.0,,,,T. Jones,1630200.0,1.0,,,,,,,
73,PT05M39.00S,2022-11-18T03:23:40.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,22,10,2022-11-18T03:23:40Z,730000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,out,[],1629056,,,1610612758,22,10,2022-11-18T03:26:22Z,740000,False,,,0,,SUB out: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,22,10,2022-11-18T03:26:22Z,750000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,out,[],1631110,,,1610612758,22,10,2022-11-18T03:26:22Z,760000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,out,[],1630200,,,1610612758,22,10,2022-11-18T03:26:22Z,770000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,in,[],1626168,,,1610612758,22,10,2022-11-18T03:26:22Z,780000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,in,[],1630558,,,1610612758,22,10,2022-11-18T03:26:22Z,790000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,in,[],1626196,,,1610612758,22,10,2022-11-18T03:26:22Z,800000,False,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M39.00S,2022-11-18T03:25:31.1Z,1,REGULAR,substitution,in,[],1629676,,,1610612758,22,10,2022-11-18T03:26:22Z,810000,False,,,0,,SUB in: I. Roby,[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,,
