actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M43.00S,2022-10-29T22:12:15.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627734,7.178055190538765,51.470588235294116,1610612758,5,0,2022-10-29T22:14:30Z,160000,-7.0,15.0,1,left,D. Sabonis putback DUNK (2 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.67,Made,,,2.0,,,,,,,,,,,,,,,
17,PT10M17.00S,2022-10-29T22:12:41.9Z,1,REGULAR,2pt,Jump Shot,[],202710,92.9862023653088,88.48039215686273,1610612748,5,0,2022-10-29T22:15:08Z,170000,192.0,13.0,1,right,MISS J. Butler 19' step back Shot,[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right,19.29,Missed,,,,,,,,,,,,,,,,,,
18,PT10M13.00S,2022-10-29T22:12:45.9Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,5,0,2022-10-29T22:15:08Z,180000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Right,,,17.0,,,,,,1.0,1.0,0.0,,,,,,,,,
19,PT10M08.00S,2022-10-29T22:12:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,10.068988173455978,54.90196078431373,1610612758,5,0,2022-10-29T22:12:57Z,190000,-25.0,42.0,1,left,MISS H. Barnes driving Layup - blocked,"[203084, 200768]",1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,4.87,Missed,,,,,,,,,,Lowry,200768.0,,,,,,,
20,PT10M08.00S,2022-10-29T22:12:50.7Z,1,REGULAR,block,,[],200768,,,1610612758,5,0,2022-10-29T22:12:53Z,200000,,,0,,K. Lowry BLOCK (1 BLK),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2022-10-29T22:12:54.7Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,5,0,2022-10-29T22:12:54Z,210000,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,,,,,,1.0,0.0,1.0,,,,,,,,,
23,PT10M03.00S,2022-10-29T22:13:06.3Z,1,REGULAR,foul,offensive,[],1628368,,,1610612758,5,0,2022-10-29T22:13:14Z,230000,,,0,,D. Fox offensive FOUL (1 PF),"[1628368, 1629639]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,2882.0,,,,,,,,,,1.0,0.0,Herro,1629639.0,,,
25,PT10M03.00S,2022-10-29T22:13:06.3Z,1,REGULAR,turnover,offensive foul,[],1628368,,,1610612758,5,0,2022-10-29T22:13:06Z,250000,,,0,,D. Fox offensive foul TURNOVER (1 TO),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,2882.0,,,,,,,,,,,,,,1.0,,
26,PT09M45.00S,2022-10-29T22:13:34.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,86.02168199737189,50.49019607843137,1610612748,5,2,2022-10-29T22:13:39Z,260000,2.0,79.0,1,right,B. Adebayo 7' Jump Shot (2 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.89,Made,,,2.0,J. Butler,202710.0,1.0,,,,,,,,,,,,
29,PT09M21.00S,2022-10-29T22:14:16.4Z,1,REGULAR,3pt,Jump Shot,[],1631099,31.882391590013142,57.107843137254896,1610612758,5,2,2022-10-29T22:14:21Z,290000,-36.0,247.0,1,left,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,24.97,Missed,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2022-10-29T22:14:20.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,2,2022-10-29T22:14:21Z,300000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,29.0,,,,,,1.0,1.0,0.0,,,,,,,,,
31,PT09M11.00S,2022-10-29T22:14:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,90.88370565045992,61.51960784313726,1610612748,5,4,2022-10-29T22:14:34Z,310000,58.0,33.0,1,right,B. Adebayo 6' running Layup (4 PTS),[1628389],1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.65,Made,,,4.0,,,,,,,,,,,,,,,
32,PT09M01.00S,2022-10-29T22:14:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.601182654402102,55.14705882352941,1610612758,7,4,2022-10-29T22:17:23Z,320000,-26.0,0.0,1,left,D. Fox driving Layup (2 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.57,Made,,,2.0,,,,,,,,,,,,,,,
33,PT08M40.00S,2022-10-29T22:14:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,92.06636005256242,59.31372549019608,1610612748,7,4,2022-10-29T22:15:07Z,330000,47.0,22.0,1,right,MISS C. Martin floating Shot,[1628997],1610612748.0,MIA,floating,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,5.16,Missed,,,,,,,,,,,,,,,,,,
34,PT08M39.00S,2022-10-29T22:14:58.3Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,7,4,2022-10-29T22:15:07Z,340000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,,,,,,1.0,0.0,1.0,,,,,,,,,
35,PT08M38.00S,2022-10-29T22:14:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628997,91.80354796320631,49.754901960784316,1610612748,7,6,2022-10-29T22:15:12Z,350000,-1.0,25.0,1,right,C. Martin putback Layup (2 PTS),[1628997],1610612748.0,MIA,putback,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,2.45,Made,,,2.0,,,,,,,,,,,,,,,
36,PT08M26.00S,2022-10-29T22:15:15.7Z,1,REGULAR,foul,personal,[],1628389,,,1610612758,7,6,2022-10-29T22:15:22Z,360000,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1627734]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,202007.0,,,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,
38,PT08M20.00S,2022-10-29T22:15:42.5Z,1,REGULAR,foul,offensive,[],1627734,,,1610612758,7,6,2022-10-29T22:15:57Z,380000,,,0,,D. Sabonis offensive FOUL (1 PF),"[1627734, 1628997]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,1628482.0,,,,,,,,,,1.0,0.0,Martin,1628997.0,,,
40,PT08M20.00S,2022-10-29T22:15:42.5Z,1,REGULAR,turnover,offensive foul,[],1627734,,,1610612758,7,6,2022-10-29T22:15:42Z,400000,,,0,,D. Sabonis offensive foul TURNOVER (1 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,1628482.0,,,,,,,,,,,,,,1.0,,
41,PT07M58.00S,2022-10-29T22:16:13.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628997,94.43166885676742,9.313725490196079,1610612748,7,6,2022-10-29T22:18:45Z,410000,-203.0,0.0,1,right,MISS C. Martin 20' step back Shot,[1628997],1610612748.0,MIA,step back,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left,20.34,Missed,,,,,,,,,,,,,,,,,,
42,PT07M54.00S,2022-10-29T22:16:16.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,7,6,2022-10-29T22:16:16Z,420000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left,,,41.0,,,,,,2.0,2.0,0.0,,,,,,,,,
43,PT07M50.00S,2022-10-29T22:16:20.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628368,9.280551905387648,51.225490196078425,1610612758,7,6,2022-10-29T22:16:28Z,430000,-6.0,35.0,1,left,MISS D. Fox running Layup,[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,3.52,Missed,,,,,,,,,,,,,,,,,,
44,PT07M46.00S,2022-10-29T22:16:24.8Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,7,6,2022-10-29T22:16:28Z,440000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,43.0,,,,,,2.0,1.0,1.0,,,,,,,,,
45,PT07M44.00S,2022-10-29T22:16:30.1Z,1,REGULAR,foul,offensive,[],200768,,,1610612748,7,6,2022-10-29T22:16:39Z,450000,,,0,,K. Lowry offensive FOUL (1 PF),"[200768, 1628989]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,,2882.0,,,,,,,,,,1.0,0.0,Huerter,1628989.0,,,
47,PT07M44.00S,2022-10-29T22:16:30.1Z,1,REGULAR,turnover,offensive foul,[],200768,,,1610612748,7,6,2022-10-29T22:16:30Z,470000,,,0,,K. Lowry offensive foul TURNOVER (1 TO),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,,2882.0,,,,,,,,,,,,,,1.0,,
48,PT07M30.00S,2022-10-29T22:16:58.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627734,5.863994743758213,50.98039215686274,1610612758,9,6,2022-10-29T22:17:03Z,480000,-5.0,3.0,1,left,D. Sabonis cutting DUNK (4 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.55,Made,,,4.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,
50,PT07M18.00S,2022-10-29T22:17:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,91.80354796320631,41.911764705882355,1610612748,9,6,2022-10-29T22:22:09Z,500000,-40.0,25.0,1,right,MISS T. Herro driving floating bank Shot,[1629639],1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
51,PT07M15.00S,2022-10-29T22:17:12.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,9,6,2022-10-29T22:17:14Z,510000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,50.0,,,,,,2.0,1.0,1.0,,,,,,,,,
52,PT07M08.00S,2022-10-29T22:17:19.2Z,1,REGULAR,3pt,Jump Shot,[],203084,29.38567674113009,76.9607843137255,1610612758,9,6,2022-10-29T22:17:25Z,520000,-135.0,224.0,1,left,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
53,PT07M04.00S,2022-10-29T22:17:23.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,9,6,2022-10-29T22:17:25Z,530000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,52.0,,,,,,1.0,1.0,0.0,,,,,,,,,
54,PT06M58.00S,2022-10-29T22:17:38.8Z,1,REGULAR,2pt,Jump Shot,[],1628389,83.52496714848883,26.225490196078432,1610612748,9,8,2022-10-29T22:17:44Z,540000,-119.0,102.0,1,right,B. Adebayo 15' pullup Jump Shot (6 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,15.69,Made,,,6.0,,,,,,,,,,,,,,,
55,PT06M42.00S,2022-10-29T22:18:33.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,28.203022339027594,76.22549019607843,1610612758,12,8,2022-10-29T22:24:01Z,550000,-131.0,213.0,1,left,K. Huerter 24' 3PT step back (6 PTS) (D. Sabonis 2 AST),"[1628989, 1627734]",1610612758.0,SAC,step back,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,24.98,Made,,,6.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,,,
57,PT06M24.00S,2022-10-29T22:18:54.4Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,12,8,2022-10-29T22:50:17Z,570000,,,0,,B. Adebayo charge offensive FOUL (2 PF),"[1628389, 1627734]",1610612748.0,MIA,charge,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,2882.0,,,,,,,,,,2.0,0.0,Sabonis,1627734.0,,,
68,PT06M24.00S,2022-10-29T22:18:54.4Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,12,8,2022-10-29T22:28:20Z,585000,,,0,,B. Adebayo offensive foul TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,2882.0,,,,,,,,,,,,,,1.0,,
59,PT06M24.00S,2022-10-29T22:19:09.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,12,8,2022-10-29T22:18:54Z,590000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M24.00S,2022-10-29T22:22:29.4Z,1,REGULAR,substitution,out,[],1628389,,,1610612758,12,8,2022-10-29T22:18:54Z,610000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M24.00S,2022-10-29T22:22:29.4Z,1,REGULAR,substitution,in,[],2617,,,1610612758,12,8,2022-10-29T22:18:54Z,620000,,,0,,SUB in: U. Haslem,[2617],1610612748.0,MIA,,,,Haslem,U. Haslem,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M11.00S,2022-10-29T22:23:05.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631099,8.09789750328515,49.754901960784316,1610612758,14,8,2022-10-29T22:30:01Z,630000,1.0,24.0,1,left,K. Murray cutting Layup (2 PTS) (H. Barnes 1 AST),"[1631099, 203084]",1610612758.0,SAC,cutting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,2.36,Made,,,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,
66,PT06M11.00S,2022-10-29T22:23:13.0Z,1,REGULAR,foul,personal,['1freethrow'],1628997,,,1610612758,14,8,2022-10-29T22:23:22Z,650000,,,0,,C. Martin shooting personal FOUL (1 PF) (Murray 1 FT),"[1628997, 1631099]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,202007.0,,,,,,,,,,1.0,0.0,Murray,1631099.0,,,
69,PT06M11.00S,2022-10-29T22:23:32.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1631099,,,1610612758,14,8,2022-10-29T22:23:32Z,670000,,,0,,MISS K. Murray Free Throw 1 of 1,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
70,PT06M10.00S,2022-10-29T22:23:33.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,14,8,2022-10-29T22:23:45Z,680000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,
71,PT06M10.00S,2022-10-29T22:23:38.3Z,1,REGULAR,foul,personal,[],203084,,,1610612748,14,8,2022-10-29T22:23:42Z,690000,,,0,,H. Barnes loose ball personal FOUL (1 PF),"[203084, 1628997]",1610612758.0,SAC,loose ball,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,2882.0,,,,,,,,,,1.0,0.0,Martin,1628997.0,,,
73,PT06M10.00S,2022-10-29T22:23:47.6Z,1,REGULAR,substitution,out,[],1628368,,,1610612748,14,8,2022-10-29T22:24:11Z,710000,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M10.00S,2022-10-29T22:23:47.6Z,1,REGULAR,substitution,out,[],203084,,,1610612748,14,8,2022-10-29T22:24:11Z,720000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M10.00S,2022-10-29T22:23:47.6Z,1,REGULAR,substitution,in,[],1626168,,,1610612748,14,8,2022-10-29T22:24:11Z,730000,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M10.00S,2022-10-29T22:23:47.6Z,1,REGULAR,substitution,in,[],1630558,,,1610612748,14,8,2022-10-29T22:24:11Z,740000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2022-10-29T22:24:19.5Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612748,14,8,2022-10-29T22:24:30Z,750000,,,0,,D. Sabonis shooting personal FOUL (2 PF) (Herro 2 FT),"[1627734, 1629639]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,202007.0,,,,,,,,,,2.0,0.0,Herro,1629639.0,,,
79,PT05M55.00S,2022-10-29T22:24:54.4Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,14,8,2022-10-29T22:24:54Z,770000,,,0,,MISS T. Herro Free Throw 1 of 2,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2022-10-29T22:24:54.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,14,8,2022-10-29T22:24:54Z,780000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,
81,PT05M55.00S,2022-10-29T22:24:55.6Z,1,REGULAR,substitution,out,[],1628997,,,1610612748,14,8,2022-10-29T22:25:05Z,790000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M55.00S,2022-10-29T22:24:55.6Z,1,REGULAR,substitution,in,[],1629622,,,1610612748,14,8,2022-10-29T22:25:05Z,800000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M55.00S,2022-10-29T22:25:14.2Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,14,9,2022-10-29T22:25:14Z,810000,,,0,,T. Herro Free Throw 2 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,1.0,,,,,,,,,,,,,,,
84,PT05M38.00S,2022-10-29T22:25:32.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,27.283180026281208,77.45098039215686,1610612758,17,9,2022-10-29T22:25:39Z,820000,-137.0,204.0,1,left,K. Murray 24' 3PT step back (5 PTS),[1631099],1610612758.0,SAC,step back,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,24.59,Made,,,5.0,,,,,,,,,,,,,,,
85,PT05M18.00S,2022-10-29T22:25:55.5Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612748,17,9,2022-10-29T22:26:09Z,830000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Butler 2 FT),"[1628989, 202710]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,,,2882.0,,,,,,,,,,1.0,0.0,Butler,202710.0,,,
87,PT05M18.00S,2022-10-29T22:26:18.4Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,17,9,2022-10-29T22:26:18Z,850000,,,0,,MISS J. Butler Free Throw 1 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
88,PT05M18.00S,2022-10-29T22:26:18.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,17,9,2022-10-29T22:26:18Z,860000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,
89,PT05M18.00S,2022-10-29T22:26:29.9Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,17,10,2022-10-29T22:26:29Z,870000,,,0,,J. Butler Free Throw 2 of 2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,1.0,,,,,,,,,,,,,,,
90,PT05M01.00S,2022-10-29T22:26:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,5.995400788436268,52.94117647058824,1610612758,19,10,2022-10-29T22:26:54Z,880000,-15.0,4.0,1,left,K. Murray Layup (7 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1.52,Made,,,7.0,,,,,,,,,,,,,,,
91,PT04M54.00S,2022-10-29T22:27:00.3Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612748,19,10,2022-10-29T22:27:11Z,890000,,,0,,K. Murray shooting personal FOUL (1 PF) (Haslem 2 FT),"[1631099, 2617]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,202007.0,,,,,,,,,,1.0,0.0,Haslem,2617.0,,,
