actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
30,PT10M41.00S,2022-02-09T01:45:04.4Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,1,5,2022-02-09T01:45:09Z,290000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,29.0,,,,,1.0,0.0,1.0,,,,,,,
31,PT10M38.00S,2022-02-09T01:45:07.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203939,94.40999984741211,50.0,1610612742,1,5,2022-02-09T01:45:11Z,300000,0.0,0.0,1,right,MISS D. Powell tip Layup,[203939],1610612742.0,DAL,tip,,,Powell,D. Powell,,,,,,,,,,Missed,,,,,,,,,0.0,,,,,,
32,PT10M37.00S,2022-02-09T01:45:08.0Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,1,5,2022-02-09T01:45:11Z,310000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,31.0,,,,,1.0,1.0,0.0,,,,,,,
33,PT10M33.00S,2022-02-09T01:45:11.6Z,1,REGULAR,2pt,Jump Shot,[],203924,23.603810775295663,35.049019607843135,1610612765,1,5,2022-02-09T01:45:20Z,320000,75.0,169.0,1,left,MISS J. Grant 18' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,,,Missed,,,,,,,,,18.52,,,,,,
34,PT10M31.00S,2022-02-09T01:45:13.6Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,1,5,2022-02-09T01:45:20Z,330000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,33.0,,,,,2.0,2.0,0.0,,,,,,,
35,PT10M23.00S,2022-02-09T01:45:23.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,92.59198423127464,50.49019607843137,1610612742,3,5,2022-02-09T01:45:36Z,340000,2.0,17.0,1,right,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,,,,,,Made,,2.0,,,,,,,1.73,L. Doncic,1629029.0,1.0,,,
37,PT09M56.00S,2022-02-09T01:45:48.7Z,1,REGULAR,2pt,Jump Shot,[],202709,18.478975032851512,75.73529411764706,1610612765,3,5,2022-02-09T01:45:53Z,360000,-129.0,121.0,1,left,MISS C. Joseph 17' step back Shot,[202709],1610612765.0,DET,step back,,,Joseph,C. Joseph,,,,,,,,,,Missed,,,,,,,,,17.68,,,,,,
38,PT09M54.00S,2022-02-09T01:45:50.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,3,5,2022-02-09T01:45:53Z,370000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,37.0,,,,,1.0,1.0,0.0,,,,,,,
39,PT09M43.00S,2022-02-09T01:46:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,74.58935611038108,16.911764705882355,1610612742,6,5,2022-02-09T01:46:07Z,380000,-165.0,186.0,1,right,L. Doncic 24' 3PT step back (4 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,Made,,4.0,,,,,,,24.92,,,,,,
40,PT09M23.00S,2022-02-09T01:46:21.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,33.590670170827856,53.92156862745098,1610612765,6,8,2022-02-09T01:46:25Z,390000,-20.0,263.0,1,left,S. Bey 26' 3PT  (3 PTS) (J. Grant 1 AST),"[1630180, 203924]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Made,,3.0,,,,,,,26.4,J. Grant,203924.0,1.0,,,
42,PT08M58.00S,2022-02-09T01:46:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,93.24901445466492,56.372549019607845,1610612742,6,8,2022-02-09T01:46:50Z,410000,32.0,11.0,1,right,MISS L. Doncic driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,,,,,,Missed,,,,,,,,,3.37,,,,,,
43,PT08M58.00S,2022-02-09T01:46:48.9Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,6,8,2022-02-09T01:46:48Z,420000,,,0,,D. Powell REBOUND (Off:2 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,42.0,,,,,2.0,0.0,2.0,,,,,,,
44,PT08M58.00S,2022-02-09T01:46:50.3Z,1,REGULAR,foul,personal,['2freethrow'],203924,,,1610612742,6,8,2022-02-09T01:47:04Z,430000,,,0,,J. Grant shooting personal FOUL (1 PF) (Powell 2 FT),"[203924, 203939]",1610612765.0,DET,shooting,,,Grant,J. Grant,,,,,1627962.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,,,,
46,PT08M58.00S,2022-02-09T01:47:27.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203939,,,1610612742,7,8,2022-02-09T01:47:49Z,450000,,,0,,D. Powell Free Throw 1 of 2 (3 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,Made,,3.0,,,,,,,,,,,,,
47,PT08M58.00S,2022-02-09T01:47:27.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203939,,,1610612742,7,8,2022-02-09T01:47:49Z,460000,,,0,,MISS D. Powell Free Throw 2 of 2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,Missed,,,,,,,,,,,,,,,
48,PT08M56.00S,2022-02-09T01:47:29.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,7,8,2022-02-09T01:47:49Z,470000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,47.0,,,,,1.0,1.0,0.0,,,,,,,
49,PT08M44.00S,2022-02-09T01:48:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,7.095926412614981,45.87928921568628,1610612765,7,8,2022-02-09T01:48:06Z,480000,21.0,14.0,1,left,MISS J. Grant driving Layup,[203924],1610612765.0,DET,driving,,,Grant,J. Grant,,,,,,,,,,Missed,,,,,,,,,2.5,,,,,,
50,PT08M43.00S,2022-02-09T01:48:01.5Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,7,8,2022-02-09T01:48:06Z,490000,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,49.0,,,,,2.0,1.0,1.0,,,,,,,
51,PT08M43.00S,2022-02-09T01:48:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,7.835085413929041,49.01960784313725,1610612765,7,10,2022-02-09T01:48:11Z,500000,5.0,21.0,1,left,I. Stewart putback Layup (2 PTS),[1630191],1610612765.0,DET,putback,,,Stewart,I. Stewart,,,,,,,,,,Made,,2.0,,,,,,,2.17,,,,,,
52,PT08M43.00S,2022-02-09T01:48:05.2Z,1,REGULAR,foul,personal,['1freethrow'],1627827,,,1610612765,7,10,2022-02-09T01:48:10Z,510000,,,0,,D. Finney-Smith shooting personal FOUL (2 PF) (Stewart 1 FT),"[1627827, 1630191]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,1627962.0,2.0,0.0,Stewart,1630191.0,,,,,,,,,,,,,,,,
54,PT08M43.00S,2022-02-09T01:48:33.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630191,,,1610612765,7,10,2022-02-09T01:48:35Z,530000,,,0,,MISS I. Stewart Free Throw 1 of 1,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,Missed,,,,,,,,,,,,,,,
55,PT08M41.00S,2022-02-09T01:48:35.6Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,7,10,2022-02-09T01:48:35Z,540000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:3),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,54.0,,,,,3.0,3.0,0.0,,,,,,,
56,PT08M27.00S,2022-02-09T01:48:48.8Z,1,REGULAR,3pt,Jump Shot,[],1628973,92.9862023653088,5.147058823529411,1610612742,10,10,2022-02-09T01:48:52Z,550000,-224.0,13.0,1,right,J. Brunson 3PT  (3 PTS) (L. Doncic 2 AST),"[1628973, 1629029]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,Made,,3.0,,,,,,,22.47,L. Doncic,1629029.0,2.0,,,
58,PT08M14.00S,2022-02-09T01:49:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628977,6.783837056504599,41.911764705882355,1610612765,10,12,2022-02-09T01:49:04Z,570000,40.0,11.0,1,left,H. Diallo cutting Layup (5 PTS) (S. Bey 2 AST),"[1628977, 1630180]",1610612765.0,DET,cutting,,,Diallo,H. Diallo,,,,,,,,,,Made,,5.0,,,,,,,4.2,S. Bey,1630180.0,2.0,,,
60,PT07M55.00S,2022-02-09T01:49:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.77463863337714,44.11764705882353,1610612742,10,12,2022-02-09T01:49:24Z,590000,-29.0,6.0,1,right,MISS J. Brunson driving Layup,[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,,,,,,Missed,,,,,,,,,3.0,,,,,,
61,PT07M54.00S,2022-02-09T01:49:21.9Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,10,12,2022-02-09T01:49:21Z,600000,,,0,,D. Powell REBOUND (Off:3 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,60.0,,,,,3.0,0.0,3.0,,,,,,,
62,PT07M53.00S,2022-02-09T01:49:23.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627827,67.49342969776609,46.32352941176471,1610612742,10,12,2022-02-09T01:49:27Z,610000,-18.0,253.0,1,right,MISS D. Finney-Smith 25' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,Missed,,,,,,,,,25.38,,,,,,
63,PT07M50.00S,2022-02-09T01:49:26.1Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,10,12,2022-02-09T01:49:27Z,620000,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,62.0,,,,,2.0,2.0,0.0,,,,,,,
64,PT07M37.00S,2022-02-09T01:49:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,5.469776609724048,49.01960784313725,1610612765,10,14,2022-02-09T01:49:43Z,630000,5.0,-1.0,1,left,I. Stewart cutting Layup (4 PTS) (S. Bey 3 AST),"[1630191, 1630180]",1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,,,,,,Made,,4.0,,,,,,,0.5,S. Bey,1630180.0,3.0,,,
66,PT07M36.00S,2022-02-09T01:49:45.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,10,14,2022-02-09T01:49:45Z,650000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M18.00S,2022-02-09T01:52:56.0Z,1,REGULAR,3pt,Jump Shot,[],1628973,94.30026281208936,96.56862745098039,1610612742,13,14,2022-02-09T01:52:59Z,660000,233.0,1.0,1,right,J. Brunson 3PT  (6 PTS) (L. Doncic 3 AST),"[1628973, 1629029]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,Made,,6.0,,,,,,,23.28,L. Doncic,1629029.0,3.0,,,
69,PT07M09.00S,2022-02-09T01:53:05.1Z,1,REGULAR,3pt,Jump Shot,[],1630180,15.719448094612352,94.6078431372549,1610612765,13,14,2022-02-09T01:53:09Z,680000,-223.0,95.0,1,left,MISS S. Bey 24' 3PT - blocked,"[1630180, 1629029]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Missed,,,,,,,,,24.25,,,,Doncic,1629029.0,
70,PT07M09.00S,2022-02-09T01:53:05.1Z,1,REGULAR,block,,[],1629029,,,1610612765,13,14,2022-02-09T01:53:07Z,690000,,,0,,L. Doncic BLOCK (1 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M06.00S,2022-02-09T01:53:08.1Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,13,14,2022-02-09T01:53:09Z,700000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:4),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,69.0,,,,,4.0,4.0,0.0,,,,,,,
72,PT06M53.00S,2022-02-09T01:53:22.3Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,13,14,2022-02-09T01:53:26Z,710000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (2 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,1626301.0,,,,,,,,2.0,,,,,,,,,,,,
73,PT06M53.00S,2022-02-09T01:53:26.7Z,1,REGULAR,substitution,out,[],1627827,,,1610612765,13,14,2022-02-09T01:53:33Z,720000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2022-02-09T01:53:26.7Z,1,REGULAR,substitution,in,[],1628467,,,1610612765,13,14,2022-02-09T01:53:33Z,730000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2022-02-09T01:53:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630191,7.178055190538765,54.166666666666664,1610612765,13,14,2022-02-09T01:53:52Z,740000,-21.0,15.0,1,left,MISS I. Stewart finger roll Layup,[1630191],1610612765.0,DET,finger roll,,,Stewart,I. Stewart,,,,,,,,,,Missed,,,,,,,,,2.56,,,,,,
76,PT06M37.00S,2022-02-09T01:53:49.8Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,13,14,2022-02-09T01:53:52Z,750000,,,0,,D. Powell REBOUND (Off:3 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,75.0,,,,,4.0,1.0,3.0,,,,,,,
77,PT06M28.00S,2022-02-09T01:53:58.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,72.35545335085413,80.14705882352942,1610612742,16,14,2022-02-09T01:54:02Z,760000,151.0,207.0,1,right,L. Doncic 25' 3PT pullup (7 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,,,,,Made,,7.0,,,,,,,25.64,,,,,,
78,PT06M09.00S,2022-02-09T01:54:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202709,6.915243101182654,46.07843137254902,1610612765,16,14,2022-02-09T01:54:22Z,770000,20.0,13.0,1,left,MISS C. Joseph driving Layup,[202709],1610612765.0,DET,driving,,,Joseph,C. Joseph,,,,,,,,,,Missed,,,,,,,,,2.32,,,,,,
79,PT06M08.00S,2022-02-09T01:54:18.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,16,14,2022-02-09T01:54:22Z,780000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,78.0,,,,,2.0,2.0,0.0,,,,,,,
80,PT05M58.00S,2022-02-09T01:54:52.2Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,16,14,2022-02-09T01:54:52Z,790000,,,0,,Jump Ball D. Powell vs. J. Grant: Tip to M. Kleber,"[1628467, 203939, 203924]",1610612742.0,DAL,heldball,M. Kleber,1628467.0,Kleber,M. Kleber,Powell,203939.0,Grant,203924.0,,,,,,,,,,,,,,,,,,,,,
83,PT05M55.00S,2022-02-09T01:54:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.9993429697766,62.00980392156863,1610612742,16,14,2022-02-09T01:55:03Z,820000,60.0,107.0,1,right,MISS L. Doncic 12' driving floating Shot - blocked,"[1629029, 1630180]",1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,,,,,,Missed,,,,,,,,,12.29,,,,Bey,1630180.0,
84,PT05M55.00S,2022-02-09T01:54:58.1Z,1,REGULAR,block,,[],1630180,,,1610612742,16,14,2022-02-09T01:55:00Z,830000,,,0,,S. Bey BLOCK (1 BLK),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M55.00S,2022-02-09T01:54:58.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,16,14,2022-02-09T01:55:03Z,840000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,
86,PT05M55.00S,2022-02-09T01:55:02.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,16,14,2022-02-09T01:55:02Z,850000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M55.00S,2022-02-09T01:55:14.6Z,1,REGULAR,foul,technical,['1freethrow'],1629029,,,1610612742,16,14,2022-02-09T01:55:33Z,860000,,,0,,L. Doncic technical FOUL (1 Tech),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,1627962.0,0.0,1.0,,,,,,,,,,,,,,,,,,
88,PT05M55.00S,2022-02-09T01:55:41.3Z,1,REGULAR,freethrow,1 of 1,[],203924,,,1610612742,16,14,2022-02-09T01:56:07Z,870000,,,0,,MISS J. Grant technical Free Throw 1 of 1,[203924],1610612765.0,DET,technical,,,Grant,J. Grant,,,,,,,,,,Missed,,,,,,,,,,,,,,,
89,PT05M55.00S,2022-02-09T01:55:41.3Z,1,REGULAR,rebound,defensive,"['team', 'deadball']",0,,,1610612742,16,14,2022-02-09T01:56:07Z,880000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,
90,PT05M49.00S,2022-02-09T01:56:03.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203493,74.19513797634691,72.79411764705883,1610612742,16,14,2022-02-09T01:56:09Z,890000,114.0,190.0,1,right,MISS R. Bullock 22' pullup Shot,[203493],1610612742.0,DAL,pullup,,,Bullock,R. Bullock,,,,,,,,,,Missed,,,,,,,,,22.17,,,,,,
91,PT05M47.00S,2022-02-09T01:56:06.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,16,14,2022-02-09T01:56:06Z,900000,,,0,,I. Stewart REBOUND (Off:1 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,90.0,,,,,3.0,2.0,1.0,,,,,,,
