actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
17,PT10M56.00S,2021-11-07T00:43:06.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,4,0,2021-11-07T00:43:11Z,170000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M47.00S,2021-11-07T00:43:16.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.013797634691194,49.50980392156863,1610612742,4,0,2021-11-07T00:43:21Z,180000,2.0,248.0,1,left,MISS L. Doncic 24' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2021-11-07T00:43:19.5Z,1,REGULAR,rebound,offensive,[],204001,,,1610612742,4,0,2021-11-07T00:43:21Z,190000,,,0,,K. Porzingis REBOUND (Off:1 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,
20,PT10M42.00S,2021-11-07T00:43:20.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",204001,6.783837056504599,48.03921568627451,1610612742,4,0,2021-11-07T00:43:35Z,200000,10.0,11.0,1,left,MISS K. Porzingis putback Layup - blocked,"[204001, 1628369]",1610612742.0,DAL,putback,,,Porzingis,K. Porzingis,,,,,1.5,Missed,,,,,,,,,,,,,,Tatum,1628369.0,,,,
21,PT10M42.00S,2021-11-07T00:43:20.2Z,1,REGULAR,block,,[],1628369,,,1610612742,4,0,2021-11-07T00:43:22Z,210000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M42.00S,2021-11-07T00:43:20.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,0,2021-11-07T00:43:35Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
23,PT10M29.00S,2021-11-07T00:43:33.7Z,1,REGULAR,3pt,Jump Shot,[],201143,89.43823915900131,94.6078431372549,1610612738,4,0,2021-11-07T00:43:39Z,230000,223.0,47.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M29.00S,2021-11-07T00:43:33.7Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,4,0,2021-11-07T00:43:39Z,240000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M15.00S,2021-11-07T00:43:50.7Z,1,REGULAR,turnover,out-of-bounds,[],204001,,,1610612742,4,0,2021-11-07T00:43:56Z,250000,,,0,,K. Porzingis bad pass out-of-bounds TURNOVER (1 TO),[204001],1610612742.0,DAL,bad pass,,,Porzingis,K. Porzingis,,,,,,,,1628951.0,,,,,,,,,,,,,,1.0,,,
26,PT10M01.00S,2021-11-07T00:44:07.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,74.85216819973719,54.41176470588235,1610612738,4,0,2021-11-07T00:44:13Z,260000,22.0,184.0,1,right,MISS J. Tatum 18' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,18.52,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2021-11-07T00:44:10.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,4,0,2021-11-07T00:44:13Z,270000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,
28,PT09M38.00S,2021-11-07T00:44:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,5.863994743758213,51.9607843137255,1610612742,6,0,2021-11-07T00:44:40Z,280000,-10.0,3.0,1,left,D. Powell running finger roll Layup (2 PTS) (D. Finney-Smith 1 AST),"[203939, 1627827]",1610612742.0,DAL,running finger roll,,,Powell,D. Powell,,,,,1.01,Made,2.0,,,,,,,,,,D. Finney-Smith,1627827.0,1.0,,,,,,
30,PT09M38.00S,2021-11-07T00:44:34.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,0,2021-11-07T00:44:34Z,300000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M26.00S,2021-11-07T00:47:34.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.32917214191852,50.0,1610612738,6,2,2021-11-07T00:47:39Z,310000,0.0,20.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (D. Schroder 1 AST),"[1629057, 203471]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.96,Made,2.0,,,,,,,,,,D. Schroder,203471.0,1.0,,,,,,
33,PT09M05.00S,2021-11-07T00:47:55.3Z,1,REGULAR,2pt,Jump Shot,[],203501,7.966491458607096,78.92156862745098,1610612742,8,2,2021-11-07T00:48:01Z,330000,-145.0,22.0,1,left,T. Hardaway Jr. 14' pullup Jump Shot (2 PTS) (L. Doncic 2 AST),"[203501, 1629029]",1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,14.63,Made,2.0,,,,,,,,,,L. Doncic,1629029.0,2.0,,,,,,
35,PT08M47.00S,2021-11-07T00:48:12.9Z,1,REGULAR,3pt,Jump Shot,[],203935,67.62483574244416,65.93137254901961,1610612738,8,2,2021-11-07T00:48:18Z,350000,80.0,252.0,1,right,MISS M. Smart 26' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M44.00S,2021-11-07T00:48:15.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,8,2,2021-11-07T00:48:18Z,360000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,35.0,3.0,2.0,1.0,,,,,,,,,
37,PT08M35.00S,2021-11-07T00:48:25.5Z,1,REGULAR,3pt,Jump Shot,[],1627827,29.6484888304862,28.186274509803923,1610612742,11,2,2021-11-07T00:48:30Z,370000,109.0,226.0,1,left,D. Finney-Smith 25' 3PT  (3 PTS) (L. Doncic 3 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,25.11,Made,3.0,,,,,,,,,,L. Doncic,1629029.0,3.0,,,,,,
39,PT08M19.00S,2021-11-07T00:48:41.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.59592641261499,27.450980392156865,1610612738,11,5,2021-11-07T00:48:46Z,390000,-113.0,233.0,1,right,J. Tatum 25' 3PT pullup (3 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.91,Made,3.0,,,,,,,,,,,,,,,,,,
40,PT07M54.00S,2021-11-07T00:49:05.9Z,1,REGULAR,2pt,Jump Shot,[],1629029,13.485545335085414,82.35294117647058,1610612742,13,5,2021-11-07T00:49:11Z,400000,-162.0,74.0,1,left,L. Doncic 17' step back Jump Shot (4 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,17.8,Made,4.0,,,,,,,,,,,,,,,,,,
41,PT07M46.00S,2021-11-07T00:49:14.9Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,13,5,2021-11-07T00:49:18Z,410000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203939]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,1.0,Powell,203939.0,
42,PT07M46.00S,2021-11-07T00:49:14.9Z,1,REGULAR,steal,,[],203939,,,1610612742,13,5,2021-11-07T00:49:16Z,420000,,,0,,D. Powell STEAL (1 STL),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M42.00S,2021-11-07T00:49:22.8Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612742,13,5,2021-11-07T00:49:31Z,430000,,,0,,M. Smart shooting personal FOUL (1 PF) (Porzingis 2 FT),"[203935, 204001]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,1628951.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,
45,PT07M42.00S,2021-11-07T00:49:48.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",204001,,,1610612742,14,5,2021-11-07T00:49:48Z,450000,,,0,,K. Porzingis Free Throw 1 of 2 (3 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
46,PT07M42.00S,2021-11-07T00:50:06.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",204001,,,1610612742,15,5,2021-11-07T00:50:06Z,460000,,,0,,K. Porzingis Free Throw 2 of 2 (4 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
47,PT07M29.00S,2021-11-07T00:50:26.1Z,1,REGULAR,3pt,Jump Shot,[],203935,83.52496714848883,2.696078431372549,1610612738,15,5,2021-11-07T00:50:32Z,470000,-237.0,102.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.77,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M27.00S,2021-11-07T00:50:28.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,15,5,2021-11-07T00:50:32Z,480000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,
49,PT07M18.00S,2021-11-07T00:50:37.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203471,69.59592641261499,68.87254901960785,1610612738,15,5,2021-11-07T00:50:41Z,490000,94.0,233.0,1,right,MISS D. Schroder 25' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M15.00S,2021-11-07T00:50:40.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,15,5,2021-11-07T00:50:41Z,500000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,
51,PT07M07.00S,2021-11-07T00:50:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,11.251642575558476,44.11764705882353,1610612742,17,5,2021-11-07T00:50:52Z,510000,29.0,53.0,1,left,L. Doncic 6' driving floating Jump Shot (6 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,6.09,Made,6.0,,,,,,,,,,,,,,,,,,
52,PT06M55.00S,2021-11-07T00:51:00.7Z,1,REGULAR,2pt,Jump Shot,[],203471,83.78777923784494,16.911764705882355,1610612738,17,5,2021-11-07T00:51:04Z,520000,-165.0,100.0,1,right,MISS D. Schroder 19' pullup Shot,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,19.32,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M50.00S,2021-11-07T00:51:05.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,17,5,2021-11-07T00:51:04Z,530000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,
54,PT06M33.00S,2021-11-07T00:51:22.0Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,17,5,2021-11-07T00:51:35Z,540000,,,0,,L. Doncic lost ball TURNOVER (1 TO),"[1629029, 1628369]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,
55,PT06M33.00S,2021-11-07T00:51:22.0Z,1,REGULAR,steal,,[],1628369,,,1610612738,17,5,2021-11-07T00:51:23Z,550000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M30.00S,2021-11-07T00:51:26.9Z,1,REGULAR,foul,personal,[],1627827,,,1610612738,17,5,2021-11-07T00:51:31Z,560000,,,0,,D. Finney-Smith take personal FOUL (1 PF),"[1627827, 1628369]",1610612742.0,DAL,take,,,Finney-Smith,D. Finney-Smith,,,,,,,,1198.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,
58,PT06M30.00S,2021-11-07T00:51:34.1Z,1,REGULAR,substitution,out,[],204001,,,1610612738,17,5,2021-11-07T00:51:50Z,580000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M30.00S,2021-11-07T00:51:34.1Z,1,REGULAR,substitution,out,[],203501,,,1610612738,17,5,2021-11-07T00:51:50Z,590000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M30.00S,2021-11-07T00:51:34.1Z,1,REGULAR,substitution,out,[],201143,,,1610612738,17,5,2021-11-07T00:51:50Z,600000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M30.00S,2021-11-07T00:51:34.1Z,1,REGULAR,substitution,in,[],1628973,,,1610612738,17,5,2021-11-07T00:51:50Z,610000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M30.00S,2021-11-07T00:51:34.1Z,1,REGULAR,substitution,in,[],203493,,,1610612738,17,5,2021-11-07T00:51:50Z,620000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M30.00S,2021-11-07T00:51:34.1Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,17,5,2021-11-07T00:51:50Z,630000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M20.00S,2021-11-07T00:52:05.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,79.188567674113,13.725490196078432,1610612738,17,5,2021-11-07T00:52:10Z,640000,-181.0,143.0,1,right,MISS J. Tatum 23' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,23.1,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M18.00S,2021-11-07T00:52:07.8Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,17,5,2021-11-07T00:52:10Z,650000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,
66,PT06M09.00S,2021-11-07T00:52:17.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.699737187910642,67.8921568627451,1610612742,17,5,2021-11-07T00:52:25Z,660000,-89.0,236.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M05.00S,2021-11-07T00:52:21.0Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,17,5,2021-11-07T00:52:25Z,670000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,
68,PT05M56.00S,2021-11-07T00:52:29.5Z,1,REGULAR,3pt,Jump Shot,[],1630174,67.09921156373193,31.61764705882353,1610612738,17,5,2021-11-07T00:52:34Z,680000,-92.0,257.0,1,right,MISS A. Nesmith 27' pullup 3PT,[1630174],1610612738.0,BOS,pullup,,,Nesmith,A. Nesmith,,,,,27.27,Missed,,,,,,,,,,,,,,,,,,,
69,PT05M53.00S,2021-11-07T00:52:32.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,17,5,2021-11-07T00:52:34Z,690000,,,0,,R. Williams III REBOUND (Off:2 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,68.0,2.0,0.0,2.0,,,,,,,,,
70,PT05M50.00S,2021-11-07T00:52:36.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203471,91.5407358738502,48.77450980392157,1610612738,17,5,2021-11-07T00:52:41Z,700000,-6.0,27.0,1,right,MISS D. Schroder driving Layup - blocked,"[203471, 203939]",1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,2.77,Missed,,,,,,,,,,,,,,Powell,203939.0,,,,
71,PT05M50.00S,2021-11-07T00:52:36.5Z,1,REGULAR,block,,[],203939,,,1610612738,17,5,2021-11-07T00:52:38Z,710000,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M50.00S,2021-11-07T00:52:36.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,17,5,2021-11-07T00:52:41Z,720000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,
73,PT05M50.00S,2021-11-07T00:52:41.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,17,5,2021-11-07T00:52:41Z,730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M50.00S,2021-11-07T00:52:42.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,17,5,2021-11-07T00:52:53Z,740000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M50.00S,2021-11-07T00:52:42.9Z,1,REGULAR,substitution,out,[],203935,,,1610612738,17,5,2021-11-07T00:52:53Z,750000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M50.00S,2021-11-07T00:52:42.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,17,5,2021-11-07T00:52:53Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M50.00S,2021-11-07T00:52:42.9Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,17,5,2021-11-07T00:52:53Z,770000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M42.00S,2021-11-07T00:53:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626196,91.40932982917214,48.529411764705884,1610612738,17,5,2021-11-07T00:53:16Z,780000,-7.0,28.0,1,right,MISS J. Richardson driving finger roll Layup - blocked,"[1626196, 1627827]",1610612738.0,BOS,driving finger roll,,,Richardson,J. Richardson,,,,,2.93,Missed,,,,,,,,,,,,,,Finney-Smith,1627827.0,,,,
79,PT05M42.00S,2021-11-07T00:53:07.2Z,1,REGULAR,block,,[],1627827,,,1610612738,17,5,2021-11-07T00:53:09Z,790000,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M39.00S,2021-11-07T00:53:10.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,17,5,2021-11-07T00:53:16Z,800000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,
81,PT05M35.00S,2021-11-07T00:53:14.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,9.411957950065702,3.6764705882352944,1610612742,17,5,2021-11-07T00:53:20Z,810000,232.0,36.0,1,left,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,23.44,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M31.00S,2021-11-07T00:53:18.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,17,5,2021-11-07T00:53:20Z,820000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,81.0,3.0,1.0,2.0,,,,,,,,,
83,PT05M21.00S,2021-11-07T00:53:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,86.81011826544021,39.46078431372549,1610612738,17,5,2021-11-07T00:59:52Z,830000,-53.0,71.0,1,right,MISS D. Schroder 8' floating Shot,[203471],1610612738.0,BOS,floating,,,Schroder,D. Schroder,,,,,8.88,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2021-11-07T00:53:30.6Z,1,REGULAR,rebound,offensive,[],203471,,,1610612738,17,5,2021-11-07T00:53:37Z,840000,,,0,,D. Schroder REBOUND (Off:1 Def:0),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,83.0,1.0,0.0,1.0,,,,,,,,,
85,PT05M18.00S,2021-11-07T00:53:32.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203471,94.40999984741211,50.0,1610612738,17,7,2021-11-07T00:53:43Z,850000,0.0,0.0,1,right,D. Schroder tip Layup (2 PTS),[203471],1610612738.0,BOS,tip,,,Schroder,D. Schroder,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
