actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
17,PT09M52.00S,2022-03-24T00:42:18.9Z,1,REGULAR,3pt,Jump Shot,[],1629645,29.6484888304862,23.774509803921568,1610612745,5,4,2022-03-24T00:42:25Z,170000,131.0,226.0,1,left,MISS K. Porter Jr. 26' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
18,PT09M48.00S,2022-03-24T00:42:22.9Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,5,4,2022-03-24T00:42:25Z,180000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT09M31.00S,2022-03-24T00:42:39.5Z,1,REGULAR,2pt,Jump Shot,[],1628973,77.7431011826544,60.5392156862745,1610612742,5,4,2022-03-24T00:45:00Z,190000,53.0,157.0,1,right,MISS J. Brunson 16' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,16.53,Missed,,,,,,,,,,,,,,,,,,,
20,PT09M27.00S,2022-03-24T00:42:43.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,5,4,2022-03-24T00:42:44Z,200000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT09M22.00S,2022-03-24T00:42:48.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629645,10.068988173455978,51.71568627450981,1610612745,5,6,2022-03-24T00:42:53Z,210000,-9.0,42.0,1,left,K. Porter Jr. driving floating Jump Shot (2 PTS),[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,4.3,Made,2.0,,,,,,,,,,,,,,,,,,
22,PT09M03.00S,2022-03-24T00:43:08.9Z,1,REGULAR,foul,personal,['3freethrow'],1626174,,,1610612742,5,6,2022-03-24T00:43:26Z,220000,,,0,,C. Wood shooting personal FOUL (1 PF) (Dinwiddie 3 FT),"[1626174, 203915]",1610612745.0,HOU,shooting,,,Wood,C. Wood,,,,,,,,,,,202027.0,,,,,,,,1.0,0.0,Dinwiddie,203915.0,,,
24,PT09M03.00S,2022-03-24T00:43:35.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612742,5,6,2022-03-24T00:44:13Z,240000,,,0,,TEAM delay-of-game VIOLATION,[],1610612745.0,HOU,,,,,,,,,,,,,,,,202007.0,,,,,,,,,,,,,,
25,PT09M03.00S,2022-03-24T00:43:43.9Z,1,REGULAR,freethrow,1 of 3,[],203915,,,1610612742,6,6,2022-03-24T00:43:43Z,250000,,,0,,S. Dinwiddie Free Throw 1 of 3 (4 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
26,PT09M03.00S,2022-03-24T00:43:57.2Z,1,REGULAR,freethrow,2 of 3,[],203915,,,1610612742,7,6,2022-03-24T00:43:57Z,260000,,,0,,S. Dinwiddie Free Throw 2 of 3 (5 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
27,PT09M03.00S,2022-03-24T00:44:10.6Z,1,REGULAR,freethrow,3 of 3,[],203915,,,1610612742,7,6,2022-03-24T00:44:10Z,270000,,,0,,MISS S. Dinwiddie Free Throw 3 of 3,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M01.00S,2022-03-24T00:44:11.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,7,6,2022-03-24T00:44:11Z,280000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,
29,PT08M55.00S,2022-03-24T00:44:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,7.5722733245729295,53.431372549019606,1610612745,7,8,2022-03-24T00:44:24Z,290000,-17.0,19.0,1,left,J. Tate driving finger roll Layup (4 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,driving finger roll,,,Tate,J. Tate,,,,,2.54,Made,4.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
31,PT08M38.00S,2022-03-24T00:44:34.5Z,1,REGULAR,3pt,Jump Shot,[],1627827,74.72076215505913,17.15686274509804,1610612742,7,8,2022-03-24T00:44:40Z,310000,-164.0,185.0,1,right,MISS D. Finney-Smith 24' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,24.74,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M35.00S,2022-03-24T00:44:37.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,7,8,2022-03-24T00:44:40Z,320000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,
33,PT08M35.00S,2022-03-24T00:44:41.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,7,8,2022-03-24T00:44:41Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M14.00S,2022-03-24T00:45:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,17.69053876478318,37.254901960784316,1610612745,7,8,2022-03-24T00:45:12Z,340000,64.0,114.0,1,left,MISS J. Green 13' floating Shot,[1630224],1610612745.0,HOU,floating,,,Green,J. Green,,,,,13.04,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M09.00S,2022-03-24T00:45:12.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,7,8,2022-03-24T00:45:12Z,350000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,
36,PT08M04.00S,2022-03-24T00:45:16.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,78.53153745072274,9.558823529411764,1610612742,7,8,2022-03-24T00:48:05Z,360000,-202.0,149.0,1,right,MISS R. Bullock 25' running 3PT,[203493],1610612742.0,DAL,running,,,Bullock,R. Bullock,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M02.00S,2022-03-24T00:45:18.4Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,7,8,2022-03-24T00:45:20Z,370000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:3),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,36.0,3.0,3.0,0.0,,,,,,,
38,PT07M57.00S,2022-03-24T00:45:24.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630256,21.23850197109067,87.99019607843137,1610612745,7,11,2022-03-24T00:48:31Z,380000,-190.0,147.0,1,left,J. Tate 24' 3PT running pullup (7 PTS) (K. Porter Jr. 2 AST),"[1630256, 1629645]",1610612745.0,HOU,running pullup,,,Tate,J. Tate,,,,,24.03,Made,7.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,,
40,PT07M33.00S,2022-03-24T00:45:51.9Z,1,REGULAR,foul,personal,[],1629645,,,1610612742,7,11,2022-03-24T00:47:29Z,400000,,,0,,K. Porter Jr. personal FOUL (1 PF),"[1629645, 203939]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,202007.0,,,,,,,,1.0,0.0,Powell,203939.0,,,
42,PT07M20.00S,2022-03-24T00:46:23.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,94.69448094612353,95.83333333333334,1610612742,7,11,2022-03-24T00:49:53Z,420000,229.0,-3.0,1,right,MISS J. Brunson pullup 3PT,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M18.00S,2022-03-24T00:46:25.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,11,2022-03-24T00:46:28Z,430000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,
44,PT07M14.00S,2022-03-24T00:46:30.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630224,7.178055190538765,50.49019607843137,1610612745,7,13,2022-03-24T00:50:20Z,440000,-2.0,15.0,1,left,J. Green running alley-oop DUNK (2 PTS) (K. Porter Jr. 3 AST),"[1630224, 1629645]",1610612745.0,HOU,running alley-oop,,,Green,J. Green,,,,,1.52,Made,2.0,K. Porter Jr.,1629645.0,3.0,,,,,,,,,,,,,,,
46,PT06M59.00S,2022-03-24T00:46:45.3Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,7,13,2022-03-24T00:46:49Z,460000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1630256]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,1.0,Tate,1630256.0,,,,,,,,,,,
47,PT06M59.00S,2022-03-24T00:46:45.3Z,1,REGULAR,steal,,[],1630256,,,1610612745,7,13,2022-03-24T00:46:47Z,470000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M58.00S,2022-03-24T00:46:50.1Z,1,REGULAR,turnover,out-of-bounds,[],1626174,,,1610612745,7,13,2022-03-24T00:46:54Z,480000,,,0,,C. Wood bad pass out-of-bounds TURNOVER (1 TO),[1626174],1610612745.0,HOU,bad pass,,,Wood,C. Wood,,,,,,,,,,,202027.0,1.0,,,,,,,,,,,,,
49,PT06M58.00S,2022-03-24T00:46:55.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,7,13,2022-03-24T00:46:55Z,490000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M37.00S,2022-03-24T00:50:12.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,88.25558475689881,52.20588235294118,1610612742,7,13,2022-03-24T00:53:59Z,500000,11.0,58.0,1,right,MISS J. Brunson turnaround bank Shot,[1628973],1610612742.0,DAL,turnaround bank,,,Brunson,J. Brunson,,,,,5.89,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M35.00S,2022-03-24T00:50:14.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,13,2022-03-24T00:50:16Z,510000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,50.0,3.0,3.0,0.0,,,,,,,
52,PT06M27.00S,2022-03-24T00:50:21.7Z,1,REGULAR,3pt,Jump Shot,[],201569,28.33442838370565,14.460784313725492,1610612745,7,13,2022-03-24T00:50:26Z,520000,178.0,214.0,1,left,MISS E. Gordon 27' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,27.8,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M24.00S,2022-03-24T00:50:24.7Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,7,13,2022-03-24T00:50:26Z,530000,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,52.0,1.0,0.0,1.0,,,,,,,
55,PT06M23.00S,2022-03-24T00:50:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,5.469776609724048,50.49019607843137,1610612745,7,13,2022-03-24T00:50:30Z,550000,-2.0,-1.0,1,left,MISS J. Tate putback Layup,[1630256],1610612745.0,HOU,putback,,,Tate,J. Tate,,,,,0.27,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M21.00S,2022-03-24T00:50:27.9Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,7,13,2022-03-24T00:50:27Z,560000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,
57,PT06M17.00S,2022-03-24T00:50:32.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,73.80091984231275,81.37254901960785,1610612742,7,13,2022-03-24T00:50:36Z,570000,157.0,194.0,1,right,MISS R. Bullock 24' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M14.00S,2022-03-24T00:50:35.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,13,2022-03-24T00:50:36Z,580000,,,0,,C. Wood REBOUND (Off:0 Def:4),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,57.0,4.0,4.0,0.0,,,,,,,
59,PT06M08.00S,2022-03-24T00:50:41.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626174,32.802233902759525,44.36274509803921,1610612745,7,13,2022-03-24T00:50:46Z,590000,28.0,256.0,1,left,MISS C. Wood 25' pullup 3PT,[1626174],1610612745.0,HOU,pullup,,,Wood,C. Wood,,,,,25.73,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M04.00S,2022-03-24T00:50:45.3Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,7,13,2022-03-24T00:50:46Z,600000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,
61,PT05M56.00S,2022-03-24T00:50:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,93.24901445466492,50.245098039215684,1610612742,9,13,2022-03-24T00:50:57Z,610000,1.0,11.0,1,right,D. Powell alley-oop Layup (2 PTS) (S. Dinwiddie 1 AST),"[203939, 203915]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,1.11,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,,
63,PT05M34.00S,2022-03-24T00:51:15.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,7.178055190538765,50.49019607843137,1610612745,9,15,2022-03-24T00:59:00Z,630000,-2.0,15.0,1,left,J. Tate driving Hook (9 PTS) (K. Porter Jr. 4 AST),"[1630256, 1629645]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,1.52,Made,9.0,K. Porter Jr.,1629645.0,4.0,,,,,,,,,,,,,,,
65,PT05M17.00S,2022-03-24T00:51:35.8Z,1,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612742,9,15,2022-03-24T00:51:50Z,650000,,,0,,C. Wood shooting personal FOUL (2 PF) (Dinwiddie 2 FT),"[1626174, 203915]",1610612745.0,HOU,shooting,,,Wood,C. Wood,,,,,,,,,,,1627524.0,,,,,,,,2.0,0.0,Dinwiddie,203915.0,,,
67,PT05M17.00S,2022-03-24T00:52:01.0Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,9,15,2022-03-24T00:52:01Z,670000,,,0,,MISS S. Dinwiddie Free Throw 1 of 2,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M17.00S,2022-03-24T00:52:01.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,9,15,2022-03-24T00:52:01Z,680000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,
69,PT05M17.00S,2022-03-24T00:52:17.4Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,10,15,2022-03-24T00:52:17Z,690000,,,0,,S. Dinwiddie Free Throw 2 of 2 (6 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
70,PT04M58.00S,2022-03-24T00:52:40.3Z,1,REGULAR,3pt,Jump Shot,[],1630256,10.068988173455978,3.9215686274509802,1610612745,10,15,2022-03-24T00:52:43Z,700000,230.0,42.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,,
71,PT04M56.00S,2022-03-24T00:52:42.3Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,10,15,2022-03-24T00:52:43Z,710000,,,0,,R. Bullock REBOUND (Off:0 Def:2),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,
72,PT04M50.00S,2022-03-24T00:52:49.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203939,92.9862023653088,53.67647058823529,1610612742,12,15,2022-03-24T01:02:00Z,720000,18.0,13.0,1,right,D. Powell Layup (4 PTS) (J. Brunson 2 AST),"[203939, 1628973]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,2.28,Made,4.0,J. Brunson,1628973.0,2.0,,,,,,,,,,,,,,,
74,PT04M29.00S,2022-03-24T00:53:09.7Z,1,REGULAR,2pt,Jump Shot,[],201569,12.302890932982917,73.52941176470588,1610612745,12,15,2022-03-24T00:53:13Z,740000,-118.0,63.0,1,left,MISS E. Gordon 13' step back bank Shot,[201569],1610612745.0,HOU,step back bank,,,Gordon,E. Gordon,,,,,13.35,Missed,,,,,,,,,,,,,,,,,,,
75,PT04M27.00S,2022-03-24T00:53:11.7Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,12,15,2022-03-24T00:53:13Z,750000,,,0,,R. Bullock REBOUND (Off:0 Def:3),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,74.0,3.0,3.0,0.0,,,,,,,
76,PT04M19.00S,2022-03-24T00:53:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,91.32720105124835,36.54258578431372,1610612742,12,15,2022-03-24T01:02:47Z,760000,-67.0,29.0,1,right,MISS J. Brunson 7' bank Shot,[1628973],1610612742.0,DAL,bank,,,Brunson,J. Brunson,,,,,7.33,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M18.00S,2022-03-24T00:53:20.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,12,15,2022-03-24T00:53:24Z,770000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,
78,PT04M18.00S,2022-03-24T00:53:24.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,12,15,2022-03-24T00:53:24Z,780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,out,[],203915,,,1610612742,12,15,2022-03-24T00:53:39Z,790000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,out,[],203939,,,1610612742,12,15,2022-03-24T00:53:39Z,800000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,out,[],201569,,,1610612742,12,15,2022-03-24T00:53:39Z,810000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,out,[],1630256,,,1610612742,12,15,2022-03-24T00:53:39Z,820000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,12,15,2022-03-24T00:53:39Z,830000,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,12,15,2022-03-24T00:53:39Z,840000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,in,[],1630578,,,1610612742,12,15,2022-03-24T00:53:39Z,850000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M18.00S,2022-03-24T00:53:25.1Z,1,REGULAR,substitution,in,[],203471,,,1610612742,12,15,2022-03-24T00:53:39Z,860000,,,0,,SUB in: D. Schroder,[203471],1610612745.0,HOU,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M07.00S,2022-03-24T00:53:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628973,94.30026281208936,52.94117647058824,1610612742,14,15,2022-03-24T00:54:02Z,870000,15.0,1.0,1,right,J. Brunson driving Layup (2 PTS),[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,1.47,Made,2.0,,,,,,,,,,,,,,,,,,
