actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
21,PT10M16.00S,2022-01-21T00:34:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,11.777266754270697,44.6078431372549,1610612742,0,5,2022-01-21T00:34:29Z,210000,27.0,58.0,1,left,MISS L. Doncic 6' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,,,,,,,,,6.42,Missed,,,,,,,,,,,
22,PT10M14.00S,2022-01-21T00:34:27.3Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,5,2022-01-21T00:34:29Z,220000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,21.0,2.0,2.0,0.0,,,
23,PT10M11.00S,2022-01-21T00:34:32.5Z,1,REGULAR,foul,personal,[],1627827,,,1610612756,0,5,2022-01-21T00:34:54Z,230000,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 1626164]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,1830.0,1.0,0.0,Booker,1626164.0,,,,,,,,,,,,,
25,PT10M05.00S,2022-01-21T00:34:59.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,70.38436268068331,27.205882352941174,1610612756,0,5,2022-01-21T00:35:06Z,250000,-114.0,226.0,1,right,MISS M. Bridges 25' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,25.3,Missed,,,,,,,,,,,
26,PT10M02.00S,2022-01-21T00:35:03.4Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,0,5,2022-01-21T00:35:03Z,260000,,,0,,J. McGee REBOUND (Off:1 Def:0),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,
27,PT09M53.00S,2022-01-21T00:35:11.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626164,83.919185282523,41.66666666666667,1610612756,0,5,2022-01-21T00:35:16Z,270000,-42.0,99.0,1,right,MISS D. Booker 10' driving floating Shot,[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,,,,,,,,,10.71,Missed,,,,,,,,,,,
28,PT09M50.00S,2022-01-21T00:35:14.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,5,2022-01-21T00:35:16Z,280000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,
29,PT09M27.00S,2022-01-21T00:35:37.1Z,1,REGULAR,2pt,Jump Shot,[],1628973,9.149145860709593,70.34313725490196,1610612742,2,5,2022-01-21T00:35:42Z,290000,-102.0,34.0,1,left,J. Brunson 10' driving floating Jump Shot (2 PTS) (K. Porzingis 1 AST),"[1628973, 204001]",1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,,,,,,,,,10.71,Made,2.0,K. Porzingis,204001.0,1.0,,,,,,,
31,PT09M18.00S,2022-01-21T00:35:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,85.3646517739816,37.745098039215684,1610612756,2,5,2022-01-21T00:35:51Z,310000,-61.0,85.0,1,right,MISS J. Crowder 10' driving floating bank Shot,[203109],1610612756.0,PHX,driving floating bank,,,Crowder,J. Crowder,,,,,,,,,,,,,10.49,Missed,,,,,,,,,,,
32,PT09M15.00S,2022-01-21T00:35:50.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,2,5,2022-01-21T00:35:51Z,320000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,
33,PT09M06.00S,2022-01-21T00:36:02.9Z,1,REGULAR,foul,technical,['1freethrow'],1626164,,,1610612742,2,5,2022-01-21T00:36:24Z,330000,,,0,,D. Booker defensive-3-second technical FOUL (1 Tech),[1626164],1610612756.0,PHX,defensive-3-second,,,Booker,D. Booker,,,,,,,,2530.0,0.0,1.0,,,,,,,,,,,,,,,
34,PT09M06.00S,2022-01-21T00:36:25.2Z,1,REGULAR,freethrow,1 of 1,[],204001,,,1610612742,3,5,2022-01-21T00:36:25Z,340000,,,0,,K. Porzingis technical Free Throw 1 of 1 (1 PTS),[204001],1610612742.0,DAL,technical,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
35,PT08M58.00S,2022-01-21T00:36:41.8Z,1,REGULAR,3pt,Jump Shot,[],1628467,32.802233902759525,51.470588235294116,1610612742,3,5,2022-01-21T00:37:13Z,350000,-7.0,256.0,1,left,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,25.59,Missed,,,,,,,,,,,
36,PT08M55.00S,2022-01-21T00:36:45.5Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,3,5,2022-01-21T00:36:45Z,360000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,
37,PT08M55.00S,2022-01-21T00:36:49.2Z,1,REGULAR,foul,offensive,[],201580,,,1610612756,3,5,2022-01-21T00:36:53Z,370000,,,0,,J. McGee off-the-ball offensive FOUL (1 PF),"[201580, 1628467]",1610612756.0,PHX,off-the-ball,,,McGee,J. McGee,,,,,,,,203593.0,1.0,0.0,Kleber,1628467.0,,,,,,,,,,,,,
39,PT08M55.00S,2022-01-21T00:36:49.2Z,1,REGULAR,turnover,offensive foul,[],201580,,,1610612756,3,5,2022-01-21T00:36:49Z,390000,,,0,,J. McGee offensive foul TURNOVER (1 TO),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,1.0,,,203593.0,,,,,,,,,,,,,,,,,
40,PT08M43.00S,2022-01-21T00:37:14.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628467,11.514454664914586,4.6568627450980395,1610612742,3,5,2022-01-21T00:37:24Z,400000,227.0,56.0,1,left,MISS M. Kleber 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,23.34,Missed,,,,,,,,,,,
41,PT08M40.00S,2022-01-21T00:37:17.2Z,1,REGULAR,rebound,offensive,[],1628467,,,1610612742,3,5,2022-01-21T00:37:24Z,410000,,,0,,M. Kleber REBOUND (Off:1 Def:0),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,40.0,1.0,0.0,1.0,,,
42,PT08M39.00S,2022-01-21T00:37:18.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628467,20.45006570302234,6.127450980392156,1610612742,3,5,2022-01-21T00:37:28Z,420000,219.0,140.0,1,left,MISS M. Kleber 26' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,26.01,Missed,,,,,,,,,,,
43,PT08M36.00S,2022-01-21T00:37:21.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,3,5,2022-01-21T00:37:28Z,430000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,
44,PT08M36.00S,2022-01-21T00:37:24.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,3,5,2022-01-21T00:37:24Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M21.00S,2022-01-21T00:37:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,92.06636005256242,47.30392156862745,1610612756,3,7,2022-01-21T00:37:41Z,450000,-13.0,22.0,1,right,J. McGee alley-oop Layup (4 PTS) (C. Paul 2 AST),"[201580, 101108]",1610612756.0,PHX,alley-oop,,,McGee,J. McGee,,,,,,,,,,,,,2.59,Made,4.0,C. Paul,101108.0,2.0,,,,,,,
47,PT08M10.00S,2022-01-21T00:37:49.0Z,1,REGULAR,3pt,Jump Shot,[],1628467,9.017739816031538,94.11764705882352,1610612742,3,7,2022-01-21T00:37:54Z,470000,-221.0,32.0,1,left,MISS M. Kleber 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,22.3,Missed,,,,,,,,,,,
48,PT08M07.00S,2022-01-21T00:37:52.0Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,3,7,2022-01-21T00:37:54Z,480000,,,0,,J. McGee REBOUND (Off:1 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,47.0,2.0,1.0,1.0,,,
49,PT08M03.00S,2022-01-21T00:37:56.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203109,72.61826544021025,78.67647058823529,1610612756,3,7,2022-01-21T00:38:01Z,490000,143.0,205.0,1,right,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,25.01,Missed,,,,,,,,,,,
50,PT08M00.00S,2022-01-21T00:37:59.6Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,3,7,2022-01-21T00:38:01Z,500000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,
51,PT07M48.00S,2022-01-21T00:38:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,15.982260183968464,46.32352941176471,1610612742,5,7,2022-01-21T00:38:16Z,510000,18.0,98.0,1,left,L. Doncic 9' turnaround fadeaway Jump Shot (2 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,,,,,,,,,9.94,Made,2.0,,,,,,,,,,
52,PT07M29.00S,2022-01-21T00:38:30.6Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612756,5,7,2022-01-21T00:38:40Z,520000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Bridges 2 FT),"[204001, 1628969]",1610612742.0,DAL,shooting,,,Porzingis,K. Porzingis,,,,,,,,203593.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,,,,,
54,PT07M29.00S,2022-01-21T00:38:57.6Z,1,REGULAR,freethrow,1 of 2,[],1628969,,,1610612756,5,8,2022-01-21T00:38:57Z,540000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
55,PT07M29.00S,2022-01-21T00:39:11.3Z,1,REGULAR,freethrow,2 of 2,[],1628969,,,1610612756,5,9,2022-01-21T00:39:11Z,550000,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
56,PT07M20.00S,2022-01-21T00:39:21.9Z,1,REGULAR,3pt,Jump Shot,[],1628467,25.312089356110377,83.33333333333334,1610612742,8,9,2022-01-21T00:39:26Z,560000,-167.0,185.0,1,left,M. Kleber 24' 3PT  (3 PTS) (L. Doncic 1 AST),"[1628467, 1629029]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,24.93,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,
58,PT07M02.00S,2022-01-21T00:39:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,91.5407358738502,55.63725490196079,1610612756,8,9,2022-01-21T00:39:44Z,580000,28.0,27.0,1,right,MISS J. McGee alley-oop Layup,[201580],1610612756.0,PHX,alley-oop,,,McGee,J. McGee,,,,,,,,,,,,,3.9,Missed,,,,,,,,,,,
59,PT07M00.00S,2022-01-21T00:39:41.3Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,8,9,2022-01-21T00:39:44Z,590000,,,0,,M. Kleber REBOUND (Off:1 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,58.0,2.0,1.0,1.0,,,
60,PT06M56.00S,2022-01-21T00:39:45.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",204001,5.995400788436268,48.03921568627451,1610612742,10,9,2022-01-21T00:39:55Z,600000,10.0,4.0,1,left,K. Porzingis cutting DUNK (3 PTS) (L. Doncic 2 AST),"[204001, 1629029]",1610612742.0,DAL,cutting,,,Porzingis,K. Porzingis,,,,,,,,,,,,,1.05,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,
62,PT06M41.00S,2022-01-21T00:39:59.8Z,1,REGULAR,2pt,Jump Shot,[],1626164,81.2910643889619,25.49019607843137,1610612756,10,11,2022-01-21T00:40:05Z,620000,-123.0,123.0,1,right,D. Booker 17' fadeaway Jump Shot (5 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,,,,,,,,,17.39,Made,5.0,C. Paul,101108.0,3.0,,,,,,,
64,PT06M32.00S,2022-01-21T00:40:09.4Z,1,REGULAR,3pt,Jump Shot,[],204001,33.85348226018397,54.65686274509803,1610612742,13,11,2022-01-21T00:40:15Z,640000,-23.0,266.0,1,left,K. Porzingis 26' 3PT  (6 PTS) (D. Finney-Smith 1 AST),"[204001, 1627827]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,26.67,Made,6.0,D. Finney-Smith,1627827.0,1.0,,,,,,,
66,PT06M23.00S,2022-01-21T00:40:18.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,77.61169513797634,90.93137254901961,1610612756,13,11,2022-01-21T00:40:34Z,660000,205.0,158.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,25.86,Missed,,,,,,,,,,,
67,PT06M20.00S,2022-01-21T00:40:21.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,13,11,2022-01-21T00:40:34Z,670000,,,0,,K. Porzingis REBOUND (Off:0 Def:3),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,66.0,3.0,3.0,0.0,,,
68,PT06M14.00S,2022-01-21T00:40:31.6Z,1,REGULAR,foul,personal,[],203109,,,1610612742,13,11,2022-01-21T00:43:07Z,680000,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 204001]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,2530.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,
70,PT06M14.00S,2022-01-21T00:40:41.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,13,11,2022-01-21T00:40:41Z,700000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M14.00S,2022-01-21T00:43:06.6Z,1,REGULAR,substitution,out,[],201580,,,1610612742,13,11,2022-01-21T00:43:47Z,710000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M14.00S,2022-01-21T00:43:06.6Z,1,REGULAR,substitution,in,[],202687,,,1610612742,13,11,2022-01-21T00:43:47Z,720000,,,0,,SUB in: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M05.00S,2022-01-21T00:44:12.3Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,13,11,2022-01-21T00:44:18Z,730000,,,0,,L. Doncic traveling TURNOVER (2 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,2.0,,,1830.0,,,,,,,,,,,,,,,,,
74,PT05M54.00S,2022-01-21T00:44:32.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202687,86.02168199737189,52.69607843137255,1610612756,13,11,2022-01-21T00:44:36Z,740000,13.0,79.0,1,right,MISS B. Biyombo 8' driving floating Shot - blocked,"[202687, 204001]",1610612756.0,PHX,driving floating,,,Biyombo,B. Biyombo,,,,,,,,,,,,,8.0,Missed,,,,,,,,,Porzingis,204001.0,
75,PT05M54.00S,2022-01-21T00:44:32.8Z,1,REGULAR,block,,[],204001,,,1610612756,13,11,2022-01-21T00:44:35Z,750000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M50.00S,2022-01-21T00:44:36.8Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,13,11,2022-01-21T00:44:36Z,760000,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,74.0,2.0,2.0,0.0,,,
77,PT05M46.00S,2022-01-21T00:44:39.4Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,13,11,2022-01-21T00:44:47Z,770000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 203109]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,1.0,Crowder,203109.0,,,,,,,,,,,,,,,,,,
78,PT05M46.00S,2022-01-21T00:44:39.4Z,1,REGULAR,steal,,[],203109,,,1610612756,13,11,2022-01-21T00:44:41Z,780000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2022-01-21T00:44:45.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,92.32917214191852,74.75490196078431,1610612756,13,13,2022-01-21T00:44:50Z,790000,124.0,20.0,1,right,D. Booker 12' pullup Jump Shot (7 PTS) (C. Paul 4 AST),"[1626164, 101108]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,,,,,12.53,Made,7.0,C. Paul,101108.0,4.0,,,,,,,
81,PT05M25.00S,2022-01-21T00:45:03.8Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612742,13,13,2022-01-21T00:45:12Z,810000,,,0,,D. Booker shooting personal FOUL (1 PF) (Doncic 2 FT),"[1626164, 1629029]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,,,,1830.0,1.0,1.0,Doncic,1629029.0,,,,,,,,,,,,,
83,PT05M25.00S,2022-01-21T00:45:33.0Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,14,13,2022-01-21T00:45:33Z,830000,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,Made,3.0,,,,,,,,,,
84,PT05M25.00S,2022-01-21T00:45:34.4Z,1,REGULAR,substitution,out,[],204001,,,1610612742,14,13,2022-01-21T00:45:43Z,840000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M25.00S,2022-01-21T00:45:34.4Z,1,REGULAR,substitution,out,[],1628467,,,1610612742,14,13,2022-01-21T00:45:43Z,850000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M25.00S,2022-01-21T00:45:34.4Z,1,REGULAR,substitution,in,[],203939,,,1610612742,14,13,2022-01-21T00:45:43Z,860000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M25.00S,2022-01-21T00:45:34.4Z,1,REGULAR,substitution,in,[],203501,,,1610612742,14,13,2022-01-21T00:45:43Z,870000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M25.00S,2022-01-21T00:45:58.0Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,15,13,2022-01-21T00:45:58Z,880000,,,0,,L. Doncic Free Throw 2 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,Made,4.0,,,,,,,,,,
89,PT05M14.00S,2022-01-21T00:46:10.2Z,1,REGULAR,3pt,Jump Shot,[],101108,88.25558475689881,2.941176470588235,1610612756,15,13,2022-01-21T00:46:14Z,890000,-235.0,58.0,1,right,MISS C. Paul 24' 3PT,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,24.23,Missed,,,,,,,,,,,
90,PT05M12.00S,2022-01-21T00:46:12.2Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,15,13,2022-01-21T00:46:14Z,900000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,89.0,2.0,2.0,0.0,,,
91,PT05M02.00S,2022-01-21T00:46:26.7Z,1,REGULAR,violation,kicked ball,[],1626164,,,1610612742,15,13,2022-01-21T00:46:34Z,910000,,,0,,D. Booker kicked ball VIOLATION,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,2530.0,,,,,,,,,,,,,,,,,
