actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
17,PT10M33.00S,2021-10-31T19:43:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,86.02168199737189,65.44117647058823,1610612742,6,0,2021-10-31T19:47:55Z,170000,77.0,79.0,1,right,L. Doncic 11' driving floating Jump Shot (4 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,,11.04,Made,4.0,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2021-10-31T19:43:24.2Z,1,REGULAR,foul,personal,[],1629029,,,1610612758,6,0,2021-10-31T19:43:30Z,180000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 203090]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,2002.0,,,,,,,,,,,1.0,0.0,Harkless,203090.0,,,,,,
20,PT10M11.00S,2021-10-31T19:43:50.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,31.225361366622867,28.921568627450984,1610612758,6,3,2021-10-31T19:43:56Z,200000,105.0,241.0,1,left,D. Fox 26' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1628368, 1630169]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,26.3,Made,3.0,,,,,T. Haliburton,1630169.0,1.0,,,,,,,,,,
22,PT09M57.00S,2021-10-31T19:44:04.5Z,1,REGULAR,3pt,Jump Shot,[],203939,67.36202365308804,51.71568627450981,1610612742,9,3,2021-10-31T19:44:08Z,220000,9.0,254.0,1,right,D. Powell 25' 3PT  (5 PTS) (L. Doncic 2 AST),"[203939, 1629029]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,,25.44,Made,5.0,,,,,L. Doncic,1629029.0,2.0,,,,,,,,,,
24,PT09M49.00S,2021-10-31T19:44:12.1Z,1,REGULAR,3pt,Jump Shot,[],203090,6.915243101182654,95.34313725490196,1610612758,9,3,2021-10-31T19:44:17Z,240000,-227.0,13.0,1,left,MISS M. Harkless 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,
25,PT09M48.00S,2021-10-31T19:44:13.1Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,9,3,2021-10-31T19:44:17Z,250000,,,0,,M. Kleber REBOUND (Off:0 Def:2),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT09M41.00S,2021-10-31T19:44:21.2Z,1,REGULAR,3pt,Jump Shot,[],1629029,66.17936925098554,49.754901960784316,1610612742,9,3,2021-10-31T19:47:03Z,260000,-1.0,265.0,1,right,MISS L. Doncic 26' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,
27,PT09M37.00S,2021-10-31T19:44:24.2Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,9,3,2021-10-31T19:44:24Z,270000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,
28,PT09M30.00S,2021-10-31T19:44:31.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203501,95.22010512483574,95.34313725490196,1610612742,12,3,2021-10-31T19:44:36Z,280000,227.0,-8.0,1,right,T. Hardaway Jr. 3PT  (3 PTS) (L. Doncic 3 AST),"[203501, 1629029]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,22.68,Made,3.0,,,,,L. Doncic,1629029.0,3.0,,,,,,,,,,
30,PT09M28.00S,2021-10-31T19:44:37.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,12,3,2021-10-31T19:44:37Z,300000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M13.00S,2021-10-31T19:47:44.6Z,1,REGULAR,3pt,Jump Shot,[],203084,31.09395532194481,65.44117647058823,1610612758,12,3,2021-10-31T19:53:28Z,310000,-77.0,240.0,1,left,MISS H. Barnes 25' pullup 3PT,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,
32,PT09M10.00S,2021-10-31T19:47:47.6Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,12,3,2021-10-31T19:47:58Z,320000,,,0,,M. Kleber REBOUND (Off:0 Def:3),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,,
33,PT09M00.00S,2021-10-31T19:47:57.7Z,1,REGULAR,2pt,Jump Shot,[],1629029,88.12417871222075,26.225490196078432,1610612742,12,3,2021-10-31T19:48:03Z,330000,-119.0,59.0,1,right,MISS L. Doncic 13' driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,,13.28,Missed,,,,,,,,,,,,,,,,,,
34,PT08M58.00S,2021-10-31T19:47:59.7Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,12,3,2021-10-31T19:48:03Z,340000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT08M52.00S,2021-10-31T19:48:05.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203090,26.10052562417871,20.588235294117645,1610612758,12,3,2021-10-31T19:53:37Z,350000,147.0,193.0,1,left,MISS M. Harkless 24' 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,24.25,Missed,,,,,,,,,,,,,,,,,,
36,PT08M49.00S,2021-10-31T19:48:08.8Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,12,3,2021-10-31T19:48:11Z,360000,,,0,,M. Kleber REBOUND (Off:0 Def:4),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,35.0,4.0,4.0,0.0,,,,,,,,,,,,,
37,PT08M42.00S,2021-10-31T19:48:15.1Z,1,REGULAR,3pt,Jump Shot,[],1628467,72.88107752956637,19.362745098039216,1610612742,15,3,2021-10-31T19:48:21Z,370000,-153.0,202.0,1,right,M. Kleber 25' 3PT  (3 PTS) (L. Doncic 4 AST),"[1628467, 1629029]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,25.38,Made,3.0,,,,,L. Doncic,1629029.0,4.0,,,,,,,,,,
39,PT08M29.00S,2021-10-31T19:48:27.6Z,1,REGULAR,3pt,Jump Shot,[],203084,33.196452036793694,37.00980392156863,1610612758,15,3,2021-10-31T19:48:34Z,390000,65.0,260.0,1,left,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,26.75,Missed,,,,,,,,,,,,,,,,,,
40,PT08M25.00S,2021-10-31T19:48:31.6Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,15,3,2021-10-31T19:48:34Z,400000,,,0,,M. Kleber REBOUND (Off:0 Def:5),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,39.0,5.0,5.0,0.0,,,,,,,,,,,,,
41,PT08M22.00S,2021-10-31T19:48:38.2Z,1,REGULAR,violation,kicked ball,[],1628368,,,1610612742,15,3,2021-10-31T19:48:45Z,410000,,,0,,D. Fox kicked ball VIOLATION,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,1628159.0,,,,,,,,,,,,,,,,,,,,
42,PT08M10.00S,2021-10-31T19:49:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,92.19776609724047,36.76470588235294,1610612742,17,3,2021-10-31T19:49:08Z,420000,-66.0,21.0,1,right,L. Doncic 6' driving floating bank Jump Shot (6 PTS),[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,,6.94,Made,6.0,,,,,,,,,,,,,,,,,
43,PT07M54.00S,2021-10-31T19:49:19.7Z,1,REGULAR,2pt,Jump Shot,[],1628368,12.089356110381077,31.916360294117645,1610612758,17,3,2021-10-31T19:50:50Z,430000,90.0,61.0,1,left,MISS D. Fox 10' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,,10.91,Missed,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2021-10-31T19:49:19.7Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,17,3,2021-10-31T19:50:50Z,440000,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,
45,PT07M52.00S,2021-10-31T19:49:22.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626158,6.783837056504599,49.754901960784316,1610612758,17,5,2021-10-31T19:49:33Z,450000,1.0,11.0,1,left,R. Holmes Hook (2 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,1.14,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M36.00S,2021-10-31T19:49:38.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,68.80749014454665,69.85294117647058,1610612742,20,5,2021-10-31T19:49:44Z,460000,99.0,241.0,1,right,D. Finney-Smith 26' 3PT  (3 PTS) (T. Hardaway Jr. 1 AST),"[1627827, 203501]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,26.04,Made,3.0,,,,,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,
48,PT07M18.00S,2021-10-31T19:49:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626158,7.046649145860711,39.705882352941174,1610612758,20,7,2021-10-31T19:50:01Z,480000,51.0,14.0,1,left,R. Holmes Layup (4 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,5.33,Made,4.0,,,,,,,,,,,,,,,,,
49,PT07M05.00S,2021-10-31T19:50:08.7Z,1,REGULAR,3pt,Jump Shot,[],203501,66.17936925098554,53.67647058823529,1610612742,20,7,2021-10-31T19:50:12Z,490000,18.0,265.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,26.6,Missed,,,,,,,,,,,,,,,,,,
50,PT07M04.00S,2021-10-31T19:50:10.1Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,20,7,2021-10-31T19:50:10Z,500000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,,,,,
51,PT06M51.00S,2021-10-31T19:50:23.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,79.58278580814718,7.352941176470589,1610612742,20,7,2021-10-31T19:50:28Z,510000,-213.0,139.0,1,right,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,
52,PT06M49.00S,2021-10-31T19:50:25.0Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,20,7,2021-10-31T19:50:28Z,520000,,,0,,D. Powell REBOUND (Off:2 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,51.0,2.0,0.0,2.0,,,,,,,,,,,,,
53,PT06M46.00S,2021-10-31T19:50:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628467,91.67214191852825,42.40196078431372,1610612742,22,7,2021-10-31T19:50:33Z,530000,-38.0,26.0,1,right,M. Kleber cutting Layup (5 PTS) (D. Powell 1 AST),"[1628467, 203939]",1610612742.0,DAL,cutting,,,Kleber,M. Kleber,,,,,,4.59,Made,5.0,,,,,D. Powell,203939.0,1.0,,,,,,,,,,
55,PT06M32.00S,2021-10-31T19:50:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,14.536793692509855,53.92156862745098,1610612758,22,9,2021-10-31T19:53:58Z,550000,-20.0,84.0,1,left,D. Fox 8' turnaround Jump Shot (5 PTS) (H. Barnes 1 AST),"[1628368, 203084]",1610612758.0,SAC,turnaround,,,Fox,D. Fox,,,,,,8.64,Made,5.0,,,,,H. Barnes,203084.0,1.0,,,,,,,,,,
57,PT06M07.00S,2021-10-31T19:51:06.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,91.93495400788436,26.715686274509803,1610612742,22,9,2021-10-31T19:54:09Z,570000,-116.0,23.0,1,right,MISS L. Doncic 11' turnaround Shot,[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,,11.87,Missed,,,,,,,,,,,,,,,,,,
58,PT06M04.00S,2021-10-31T19:51:09.6Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,22,9,2021-10-31T19:51:11Z,580000,,,0,,M. Harkless REBOUND (Off:0 Def:2),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,
59,PT05M50.00S,2021-10-31T19:51:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,12.302890932982917,44.6078431372549,1610612758,22,9,2021-10-31T19:51:40Z,590000,27.0,63.0,1,left,MISS H. Barnes 6' Jump Shot,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,6.86,Missed,,,,,,,,,,,,,,,,,,
60,PT05M48.00S,2021-10-31T19:51:27.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,22,9,2021-10-31T19:51:40Z,600000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,
61,PT05M48.00S,2021-10-31T19:51:35.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,22,9,2021-10-31T19:51:35Z,610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M48.00S,2021-10-31T19:51:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,22,9,2021-10-31T19:51:46Z,620000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,out,[],1627827,,,1610612758,22,9,2021-10-31T19:54:56Z,630000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,out,[],203939,,,1610612758,22,9,2021-10-31T19:54:56Z,640000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,22,9,2021-10-31T19:54:56Z,650000,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,out,[],1626158,,,1610612758,22,9,2021-10-31T19:54:56Z,660000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,out,[],203090,,,1610612758,22,9,2021-10-31T19:54:56Z,670000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,22,9,2021-10-31T19:54:56Z,680000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,in,[],1628973,,,1610612758,22,9,2021-10-31T19:54:56Z,690000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,in,[],1626161,,,1610612758,22,9,2021-10-31T19:54:56Z,700000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,in,[],202684,,,1610612758,22,9,2021-10-31T19:54:56Z,710000,,,0,,SUB in: T. Thompson,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,in,[],1627741,,,1610612758,22,9,2021-10-31T19:54:56Z,720000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,in,[],1630558,,,1610612758,22,9,2021-10-31T19:54:56Z,730000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M48.00S,2021-10-31T19:53:40.3Z,1,REGULAR,substitution,in,[],1629056,,,1610612758,22,9,2021-10-31T19:54:56Z,740000,,,0,,SUB in: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2021-10-31T19:54:57.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630558,31.09395532194481,24.509803921568626,1610612758,22,9,2021-10-31T19:55:42Z,750000,127.0,240.0,1,left,MISS D. Mitchell 27' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,,27.16,Missed,,,,,,,,,,,,,,,,,,
76,PT05M34.00S,2021-10-31T19:55:04.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,22,9,2021-10-31T19:55:04Z,760000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,
77,PT05M34.00S,2021-10-31T19:55:04.8Z,1,REGULAR,foul,personal,[],1626161,,,1610612758,22,9,2021-10-31T19:55:14Z,770000,,,0,,W. Cauley-Stein loose ball personal FOUL (1 PF),"[1626161, 202684]",1610612742.0,DAL,loose ball,,,Cauley-Stein,W. Cauley-Stein,,,,,2003.0,,,,,,,,,,,1.0,0.0,Thompson,202684.0,,,,,,
79,PT05M22.00S,2021-10-31T19:55:28.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202684,6.1268068331143235,49.50980392156863,1610612758,22,11,2021-10-31T19:57:17Z,790000,2.0,5.0,1,left,T. Thompson cutting DUNK (2 PTS) (B. Hield 1 AST),"[202684, 1627741]",1610612758.0,SAC,cutting,,,Thompson,T. Thompson,,,,,,0.57,Made,2.0,,,,,B. Hield,1627741.0,1.0,,,,,,,,,,
81,PT05M05.00S,2021-10-31T19:55:46.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628467,94.43166885676742,49.50980392156863,1610612742,24,11,2021-10-31T19:58:14Z,810000,-2.0,0.0,1,right,M. Kleber cutting DUNK (7 PTS) (J. Brunson 1 AST),"[1628467, 1628973]",1610612742.0,DAL,cutting,,,Kleber,M. Kleber,,,,,,0.25,Made,7.0,,,,,J. Brunson,1628973.0,1.0,,,,,,,,,,
83,PT04M56.00S,2021-10-31T19:55:56.8Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612758,24,11,2021-10-31T19:56:26Z,830000,,,0,,L. Doncic shooting personal FOUL (2 PF) (Barnes 2 FT),"[1629029, 203084]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,1628159.0,,,,,,,,,,,2.0,0.0,Barnes,203084.0,,,,,,
85,PT04M56.00S,2021-10-31T19:56:28.6Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,24,12,2021-10-31T19:56:28Z,850000,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
86,PT04M56.00S,2021-10-31T19:56:31.2Z,1,REGULAR,substitution,out,[],1628467,,,1610612758,24,12,2021-10-31T19:56:48Z,860000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M56.00S,2021-10-31T19:56:31.2Z,1,REGULAR,substitution,out,[],1629029,,,1610612758,24,12,2021-10-31T19:56:48Z,870000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M56.00S,2021-10-31T19:56:31.2Z,1,REGULAR,substitution,in,[],1627827,,,1610612758,24,12,2021-10-31T19:56:48Z,880000,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M56.00S,2021-10-31T19:56:31.2Z,1,REGULAR,substitution,in,[],203493,,,1610612758,24,12,2021-10-31T19:56:48Z,890000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M56.00S,2021-10-31T19:56:58.7Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,24,13,2021-10-31T19:56:58Z,900000,,,0,,H. Barnes Free Throw 2 of 2 (2 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
91,PT04M39.00S,2021-10-31T19:57:17.8Z,1,REGULAR,2pt,Jump Shot,[],1628973,92.59198423127464,70.58823529411765,1610612742,24,13,2021-10-31T20:00:29Z,910000,103.0,17.0,1,right,MISS J. Brunson 10' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,10.43,Missed,,,,,,,,,,,,,,,,,,
