actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
17,PT10M34.00S,2021-10-29T00:43:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,6.044678055190539,45.427389705882355,1610612759,0,4,2021-10-29T00:43:09Z,170000,23.0,4.0,1,left,D. White driving Layup (2 PTS),[1628401],1610612759.0,SAS,driving,,,White,D. White,,,,,2.33,Made,,,,,,,,,,,2.0,,,,,,,,
18,PT10M15.00S,2021-10-29T00:43:22.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,81.8166885676741,94.6078431372549,1610612742,0,4,2021-10-29T00:43:25Z,180000,223.0,118.0,1,right,MISS L. Doncic 25' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2021-10-29T00:43:25.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,4,2021-10-29T00:43:25Z,190000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M03.00S,2021-10-29T00:43:34.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,5.338370565045992,96.32352941176471,1610612759,0,7,2021-10-29T00:43:38Z,200000,-232.0,-2.0,1,left,K. Johnson 3PT  (3 PTS) (D. White 2 AST),"[1629640, 1628401]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,23.16,Made,,,,,,,,,,,3.0,D. White,1628401.0,2.0,,,,,
22,PT09M49.00S,2021-10-29T00:43:48.5Z,1,REGULAR,2pt,Jump Shot,[],203493,74.45795006570303,27.450980392156865,1610612742,0,7,2021-10-29T00:43:52Z,220000,-113.0,188.0,1,right,MISS R. Bullock 21' pullup Shot,[203493],1610612742.0,DAL,pullup,,,Bullock,R. Bullock,,,,,21.88,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M47.00S,2021-10-29T00:43:50.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,7,2021-10-29T00:43:52Z,230000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
24,PT09M42.00S,2021-10-29T00:43:56.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,29.911300919842315,31.127450980392158,1610612759,0,7,2021-10-29T00:45:01Z,240000,94.0,229.0,1,left,MISS D. White 24' pullup 3PT,[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,24.74,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M37.00S,2021-10-29T00:44:01.1Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,7,2021-10-29T00:44:03Z,250000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
26,PT09M29.00S,2021-10-29T00:44:12.3Z,1,REGULAR,foul,personal,[],1629640,,,1610612742,0,7,2021-10-29T00:44:18Z,260000,,,0,,K. Johnson personal FOUL (2 PF),"[1629640, 203939]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,204059.0,2.0,0.0,Powell,203939.0,,,,,,,,,,
28,PT09M29.00S,2021-10-29T00:44:23.5Z,1,REGULAR,substitution,out,[],1629640,,,1610612742,0,7,2021-10-29T00:44:31Z,280000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2021-10-29T00:44:23.5Z,1,REGULAR,substitution,in,[],1630170,,,1610612742,0,7,2021-10-29T00:44:31Z,290000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2021-10-29T00:44:46.8Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612742,0,7,2021-10-29T00:44:55Z,300000,,,0,,D. White shooting personal FOUL (1 PF) (Powell 2 FT),"[1628401, 203939]",1610612759.0,SAS,shooting,,,White,D. White,,,,,,,,,,,1627961.0,1.0,0.0,Powell,203939.0,,,,,,,,,,
32,PT09M17.00S,2021-10-29T00:45:14.3Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,0,7,2021-10-29T00:45:14Z,320000,,,0,,MISS D. Powell Free Throw 1 of 2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2021-10-29T00:45:14.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,0,7,2021-10-29T00:45:14Z,330000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,
34,PT09M17.00S,2021-10-29T00:45:31.7Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,1,7,2021-10-29T00:45:31Z,340000,,,0,,D. Powell Free Throw 2 of 2 (1 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
35,PT09M06.00S,2021-10-29T00:45:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,8.229303547963205,50.245098039215684,1610612759,1,9,2021-10-29T00:45:50Z,350000,-1.0,25.0,1,left,J. Poeltl cutting finger roll Layup (4 PTS) (D. Murray 1 AST),"[1627751, 1627749]",1610612759.0,SAS,cutting finger roll,,,Poeltl,J. Poeltl,,,,,2.49,Made,,,,,,,,,,,4.0,D. Murray,1627749.0,1.0,,,,,
37,PT08M55.00S,2021-10-29T00:45:56.6Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,1,9,2021-10-29T00:46:02Z,370000,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1628401]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,2.0,,,,,White,1628401.0,,,
38,PT08M55.00S,2021-10-29T00:45:56.6Z,1,REGULAR,steal,,[],1628401,,,1610612759,1,9,2021-10-29T00:45:58Z,380000,,,0,,D. White STEAL (1 STL),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M48.00S,2021-10-29T00:46:04.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629022,5.469776609724048,95.34313725490196,1610612759,1,9,2021-10-29T00:46:09Z,390000,-227.0,-1.0,1,left,MISS L. Walker IV 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2021-10-29T00:46:08.0Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,1,9,2021-10-29T00:46:09Z,400000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M36.00S,2021-10-29T00:46:14.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,80.50262812089356,22.058823529411764,1610612742,1,9,2021-10-29T00:46:20Z,410000,-140.0,131.0,1,right,MISS L. Doncic 19' pullup bank Shot,[1629029],1610612742.0,DAL,pullup bank,,,Doncic,L. Doncic,,,,,19.14,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M34.00S,2021-10-29T00:46:16.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,1,9,2021-10-29T00:46:20Z,420000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
43,PT08M28.00S,2021-10-29T00:46:23.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627749,23.99802890932983,42.15686274509804,1610612759,1,11,2021-10-29T00:46:27Z,430000,39.0,173.0,1,left,D. Murray 17' pullup Jump Shot (2 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,17.75,Made,,,,,,,,,,,2.0,,,,,,,,
44,PT08M27.00S,2021-10-29T00:46:28.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,1,11,2021-10-29T00:46:28Z,440000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M18.00S,2021-10-29T00:49:29.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203501,94.30026281208936,53.67647058823529,1610612742,1,11,2021-10-29T00:49:33Z,450000,18.0,1.0,1,right,MISS T. Hardaway Jr. driving DUNK,[203501],1610612742.0,DAL,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,1.84,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M16.00S,2021-10-29T00:49:31.7Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,1,11,2021-10-29T00:49:33Z,460000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT08M08.00S,2021-10-29T00:49:42.2Z,1,REGULAR,violation,kicked ball,[],203939,,,1610612759,1,11,2021-10-29T00:49:46Z,470000,,,0,,D. Powell kicked ball VIOLATION,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,1151.0,,,,,,,,,,,,,,
48,PT07M58.00S,2021-10-29T00:50:05.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,12.959921156373195,40.931372549019606,1610612759,1,13,2021-10-29T00:50:09Z,480000,45.0,69.0,1,left,D. Vassell 8' driving floating Jump Shot (2 PTS) (D. Murray 2 AST),"[1630170, 1627749]",1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,8.28,Made,,,,,,,,,,,2.0,D. Murray,1627749.0,2.0,,,,,
50,PT07M41.00S,2021-10-29T00:50:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,92.9862023653088,48.03921568627451,1610612742,1,13,2021-10-29T00:50:27Z,500000,-10.0,13.0,1,right,MISS D. Powell cutting Layup - blocked,"[203939, 1630170]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,1.66,Missed,,,,,,,,,,,,,,,,,Vassell,1630170.0,
51,PT07M41.00S,2021-10-29T00:50:23.1Z,1,REGULAR,block,,[],1630170,,,1610612742,1,13,2021-10-29T00:50:25Z,510000,,,0,,D. Vassell BLOCK (1 BLK),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M38.00S,2021-10-29T00:50:26.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,1,13,2021-10-29T00:50:27Z,520000,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
53,PT07M34.00S,2021-10-29T00:50:30.7Z,1,REGULAR,3pt,Jump Shot,[],1627749,20.97568988173456,89.2156862745098,1610612759,1,16,2021-10-29T00:50:36Z,530000,-196.0,145.0,1,left,D. Murray 24' 3PT  (5 PTS) (D. White 3 AST),"[1627749, 1628401]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,24.37,Made,,,,,,,,,,,5.0,D. White,1628401.0,3.0,,,,,
104,PT07M14.00S,2021-10-29T00:50:54.3Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,1,16,2021-10-29T01:00:12Z,575000,,,0,,L. Doncic lost ball TURNOVER (3 TO),"[1629029, 1627751]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,3.0,,,,,Poeltl,1627751.0,,,
105,PT07M14.00S,2021-10-29T00:50:54.3Z,1,REGULAR,steal,,[],1627751,,,1610612759,1,16,2021-10-29T01:00:12Z,577500,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M09.00S,2021-10-29T00:50:58.6Z,1,REGULAR,foul,personal,[],1627827,,,1610612759,1,16,2021-10-29T00:51:03Z,580000,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 1627749]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,204059.0,1.0,0.0,Murray,1627749.0,,,,,,,,,,
60,PT06M56.00S,2021-10-29T00:51:26.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630170,8.623521681997373,4.166666666666666,1610612759,1,16,2021-10-29T01:00:12Z,600000,229.0,29.0,1,left,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,23.1,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M53.00S,2021-10-29T00:51:29.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,1,16,2021-10-29T00:51:31Z,610000,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,60.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
62,PT06M44.00S,2021-10-29T00:51:42.6Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612759,1,16,2021-10-29T00:51:54Z,620000,,,0,,D. Powell shooting personal FOUL (1 PF) (Walker IV 2 FT),"[203939, 1629022]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,,,,,,,1151.0,1.0,0.0,Walker IV,1629022.0,,,,,,,,,,
64,PT06M44.00S,2021-10-29T00:52:09.6Z,1,REGULAR,freethrow,1 of 2,"['2ndchance', 'fromturnover']",1629022,,,1610612759,1,17,2021-10-29T01:00:12Z,640000,,,0,,L. Walker IV Free Throw 1 of 2 (1 PTS),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
65,PT06M44.00S,2021-10-29T00:52:10.5Z,1,REGULAR,substitution,out,[],203939,,,1610612759,1,17,2021-10-29T00:52:30Z,650000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M44.00S,2021-10-29T00:52:10.5Z,1,REGULAR,substitution,out,[],1627827,,,1610612759,1,17,2021-10-29T00:52:30Z,660000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M44.00S,2021-10-29T00:52:10.5Z,1,REGULAR,substitution,out,[],203493,,,1610612759,1,17,2021-10-29T00:52:30Z,670000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M44.00S,2021-10-29T00:52:10.5Z,1,REGULAR,substitution,in,[],1628467,,,1610612759,1,17,2021-10-29T00:52:30Z,680000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M44.00S,2021-10-29T00:52:10.5Z,1,REGULAR,substitution,in,[],1626161,,,1610612759,1,17,2021-10-29T00:52:30Z,690000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M44.00S,2021-10-29T00:52:10.5Z,1,REGULAR,substitution,in,[],1628973,,,1610612759,1,17,2021-10-29T00:52:30Z,700000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M44.00S,2021-10-29T00:52:39.6Z,1,REGULAR,freethrow,2 of 2,"['2ndchance', 'fromturnover']",1629022,,,1610612759,1,18,2021-10-29T01:00:12Z,710000,,,0,,L. Walker IV Free Throw 2 of 2 (2 PTS),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,Made,,,,,,,,,,,2.0,,,,,,,,
72,PT06M33.00S,2021-10-29T00:52:51.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,91.40932982917214,41.66666666666667,1610612742,3,18,2021-10-29T00:52:55Z,720000,-42.0,28.0,1,right,L. Doncic turnaround bank Jump Shot (2 PTS),[1629029],1610612742.0,DAL,turnaround bank,,,Doncic,L. Doncic,,,,,5.04,Made,,,,,,,,,,,2.0,,,,,,,,
73,PT06M17.00S,2021-10-29T00:53:10.7Z,1,REGULAR,foul,offensive,[],1629022,,,1610612759,3,18,2021-10-29T00:53:17Z,730000,,,0,,L. Walker IV charge offensive FOUL (1 PF),"[1629022, 1628467]",1610612759.0,SAS,charge,,,Walker IV,L. Walker IV,,,,,,,,,,,204059.0,1.0,0.0,Kleber,1628467.0,,,,,,,,,,
75,PT06M17.00S,2021-10-29T00:53:10.7Z,1,REGULAR,turnover,offensive foul,[],1629022,,,1610612759,3,18,2021-10-29T00:53:10Z,750000,,,0,,L. Walker IV offensive foul TURNOVER (1 TO),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,204059.0,,,,,1.0,,,,,,,,,
76,PT05M58.00S,2021-10-29T00:53:40.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203501,74.32654402102497,84.55882352941177,1610612742,3,18,2021-10-29T00:53:46Z,760000,173.0,189.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M54.00S,2021-10-29T00:53:44.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,3,18,2021-10-29T00:53:46Z,770000,,,0,,J. Poeltl REBOUND (Off:1 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,76.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
78,PT05M49.00S,2021-10-29T00:53:48.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,25.706307490144546,82.35294117647058,1610612759,3,18,2021-10-29T00:53:52Z,780000,-162.0,189.0,1,left,MISS D. Murray 24' pullup 3PT,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M47.00S,2021-10-29T00:53:50.7Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,3,18,2021-10-29T00:53:52Z,790000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
80,PT05M43.00S,2021-10-29T00:53:55.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,72.09264126149803,82.59803921568627,1610612742,3,18,2021-10-29T00:54:00Z,800000,163.0,210.0,1,right,MISS T. Hardaway Jr. 26' pullup 3PT,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M42.00S,2021-10-29T00:53:56.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,3,18,2021-10-29T00:54:00Z,810000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,
82,PT05M42.00S,2021-10-29T00:54:03.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,3,18,2021-10-29T00:54:03Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M42.00S,2021-10-29T00:54:04.4Z,1,REGULAR,substitution,out,[],1629022,,,1610612759,3,18,2021-10-29T00:54:15Z,830000,,,0,,SUB out: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M42.00S,2021-10-29T00:54:04.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612759,3,18,2021-10-29T00:54:15Z,840000,,,0,,SUB out: D. White,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M42.00S,2021-10-29T00:54:04.4Z,1,REGULAR,substitution,in,[],1627854,,,1610612759,3,18,2021-10-29T00:54:15Z,850000,,,0,,SUB in: B. Forbes,[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M42.00S,2021-10-29T00:54:04.4Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,3,18,2021-10-29T00:54:15Z,860000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M22.00S,2021-10-29T00:54:34.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,14.14257555847569,50.49019607843137,1610612759,3,20,2021-10-29T00:54:39Z,870000,-2.0,80.0,1,left,J. Poeltl 8' driving Hook (6 PTS),[1627751],1610612759.0,SAS,driving,,,Poeltl,J. Poeltl,,,,,8.04,Made,,,,,,,,,,,6.0,,,,,,,,
88,PT05M05.00S,2021-10-29T00:54:52.5Z,1,REGULAR,3pt,Jump Shot,[],1628467,74.19513797634691,15.686274509803921,1610612742,3,20,2021-10-29T00:54:56Z,880000,-172.0,190.0,1,right,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M02.00S,2021-10-29T00:54:55.5Z,1,REGULAR,rebound,defensive,[],1627854,,,1610612759,3,20,2021-10-29T00:54:56Z,890000,,,0,,B. Forbes REBOUND (Off:0 Def:1),[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
90,PT04M51.00S,2021-10-29T00:55:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627854,32.40801576872536,27.696078431372552,1610612759,3,23,2021-10-29T00:55:10Z,900000,112.0,252.0,1,left,B. Forbes 27' 3PT  (3 PTS) (D. Murray 3 AST),"[1627854, 1627749]",1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,27.57,Made,,,,,,,,,,,3.0,D. Murray,1627749.0,3.0,,,,,
