actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M34.00S,2021-12-14T01:42:11.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,0,2021-12-14T01:42:11Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M18.00S,2021-12-14T01:42:29.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,11.514454664914586,51.225490196078425,1610612766,0,0,2021-12-14T01:42:35Z,160000,-6.0,56.0,1,left,MISS M. Bridges floating Shot - blocked,"[1628970, 204001]",1610612766.0,CHA,floating,,,Bridges,M. Bridges,,,,,5.6,Missed,,,,,Porzingis,204001.0,,,,,,,,,,,,,
17,PT10M18.00S,2021-12-14T01:42:29.6Z,1,REGULAR,block,,[],204001,,,1610612766,0,0,2021-12-14T01:42:31Z,170000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M16.00S,2021-12-14T01:42:31.6Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,0,0,2021-12-14T01:42:35Z,180000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
19,PT10M12.00S,2021-12-14T01:42:35.0Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,0,0,2021-12-14T01:42:39Z,190000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 203493]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,1.0,Bullock,203493.0,,,,,,,,,,
20,PT10M12.00S,2021-12-14T01:42:35.0Z,1,REGULAR,steal,,[],203493,,,1610612742,0,0,2021-12-14T01:42:36Z,200000,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M09.00S,2021-12-14T01:42:38.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",204001,92.59198423127464,50.98039215686274,1610612742,2,0,2021-12-14T01:42:46Z,210000,5.0,17.0,1,right,K. Porzingis running alley-oop DUNK (2 PTS) (J. Brunson 1 AST),"[204001, 1628973]",1610612742.0,DAL,running alley-oop,,,Porzingis,K. Porzingis,,,,,1.78,Made,,,,,,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,
23,PT09M55.00S,2021-12-14T01:42:52.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,10.85742444152431,4.166666666666666,1610612766,2,0,2021-12-14T01:42:55Z,230000,229.0,50.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2021-12-14T01:42:54.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,2,0,2021-12-14T01:42:55Z,240000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT09M30.00S,2021-12-14T01:43:16.8Z,1,REGULAR,3pt,Jump Shot,[],204001,93.24901445466492,95.58823529411765,1610612742,5,0,2021-12-14T01:43:21Z,250000,228.0,11.0,1,right,K. Porzingis 3PT  (5 PTS) (J. Brunson 2 AST),"[204001, 1628973]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,22.82,Made,,,,,,,,,,5.0,J. Brunson,1628973.0,2.0,,,,,,
27,PT09M18.00S,2021-12-14T01:43:29.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,11.645860709592641,50.245098039215684,1610612766,5,0,2021-12-14T01:46:27Z,270000,-1.0,57.0,1,left,MISS N. Richards cutting Layup - blocked,"[1630208, 1627827]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,5.7,Missed,,,,,Finney-Smith,1627827.0,,,,,,,,,,,,,
28,PT09M18.00S,2021-12-14T01:43:29.3Z,1,REGULAR,block,,[],1627827,,,1610612766,5,0,2021-12-14T01:43:31Z,280000,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M18.00S,2021-12-14T01:43:29.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,5,0,2021-12-14T01:43:34Z,290000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
30,PT09M18.00S,2021-12-14T01:43:33.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,5,0,2021-12-14T01:43:33Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M09.00S,2021-12-14T01:43:51.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202330,19.530223390275953,75.24509803921569,1610612766,5,0,2021-12-14T01:43:58Z,310000,-126.0,131.0,1,left,MISS G. Hayward 18' step back Shot,[202330],1610612766.0,CHA,step back,,,Hayward,G. Hayward,,,,,18.2,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M04.00S,2021-12-14T01:43:56.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,5,0,2021-12-14T01:43:58Z,320000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
34,PT08M57.00S,2021-12-14T01:44:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,83.26215505913272,45.34313725490196,1610612742,7,0,2021-12-14T01:44:07Z,330000,-23.0,105.0,1,right,J. Brunson 10' turnaround fadeaway Jump Shot (2 PTS),[1628973],1610612742.0,DAL,turnaround fadeaway,,,Brunson,J. Brunson,,,,,10.74,Made,,,,,,,,,,2.0,,,,,,,,,
35,PT08M40.00S,2021-12-14T01:44:19.5Z,1,REGULAR,turnover,bad pass,[],1628998,,,1610612766,7,0,2021-12-14T01:44:26Z,340000,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628998, 1628973]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,1.0,Brunson,1628973.0,,,,,,,,,,
36,PT08M40.00S,2021-12-14T01:44:19.5Z,1,REGULAR,steal,,[],1628973,,,1610612742,7,0,2021-12-14T01:44:21Z,350000,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M38.00S,2021-12-14T01:44:25.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628973,91.67214191852825,45.83333333333333,1610612742,9,0,2021-12-14T01:45:32Z,360000,-21.0,26.0,1,right,J. Brunson driving floating bank Jump Shot (4 PTS),[1628973],1610612742.0,DAL,driving floating bank,,,Brunson,J. Brunson,,,,,3.31,Made,,,,,,,,,,4.0,,,,,,,,,
38,PT08M38.00S,2021-12-14T01:44:28.6Z,1,REGULAR,foul,personal,['1freethrow'],1626179,,,1610612742,9,0,2021-12-14T01:44:34Z,370000,,,0,,T. Rozier shooting personal FOUL (1 PF) (Brunson 1 FT),"[1626179, 1628973]",1610612766.0,CHA,shooting,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Brunson,1628973.0,
40,PT08M38.00S,2021-12-14T01:44:43.1Z,1,REGULAR,substitution,out,[],1630208,,,1610612742,9,0,2021-12-14T01:45:30Z,390000,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M38.00S,2021-12-14T01:44:43.1Z,1,REGULAR,substitution,in,[],1629023,,,1610612742,9,0,2021-12-14T01:45:30Z,400000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2021-12-14T01:45:07.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1628973,,,1610612742,10,0,2021-12-14T01:45:07Z,410000,,,0,,J. Brunson Free Throw 1 of 1 (5 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
43,PT08M19.00S,2021-12-14T01:45:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,11.908672798948752,40.931372549019606,1610612766,10,0,2021-12-14T01:48:21Z,420000,45.0,59.0,1,left,MISS G. Hayward 7' driving floating Shot,[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,7.47,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2021-12-14T01:45:28.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,10,0,2021-12-14T01:45:34Z,430000,,,0,,K. Porzingis REBOUND (Off:0 Def:3),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
45,PT08M11.00S,2021-12-14T01:45:39.2Z,1,REGULAR,foul,personal,[],1626179,,,1610612742,10,0,2021-12-14T01:46:02Z,440000,,,0,,T. Rozier personal FOUL (2 PF),"[1626179, 1628973]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,2003.0,2.0,0.0,Brunson,1628973.0,
47,PT08M11.00S,2021-12-14T01:45:46.0Z,1,REGULAR,substitution,out,[],1628998,,,1610612742,10,0,2021-12-14T01:45:53Z,460000,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M11.00S,2021-12-14T01:45:46.0Z,1,REGULAR,substitution,in,[],1626162,,,1610612742,10,0,2021-12-14T01:45:53Z,470000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M08.00S,2021-12-14T01:46:02.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627827,93.38042049934296,50.245098039215684,1610612742,10,0,2021-12-14T01:46:05Z,480000,1.0,10.0,1,right,MISS D. Finney-Smith alley-oop DUNK,[1627827],1610612742.0,DAL,alley-oop,,,Finney-Smith,D. Finney-Smith,,,,,0.98,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M07.00S,2021-12-14T01:46:03.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,10,0,2021-12-14T01:46:05Z,490000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT08M00.00S,2021-12-14T01:46:10.7Z,1,REGULAR,3pt,Jump Shot,[],1626162,25.443495400788436,83.08823529411765,1610612766,10,3,2021-12-14T01:49:11Z,500000,-165.0,187.0,1,left,K. Oubre Jr. 24' 3PT  (3 PTS) (G. Hayward 1 AST),"[1626162, 202330]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,24.94,Made,,,,,,,,,,3.0,G. Hayward,202330.0,1.0,,,,,,
53,PT07M41.00S,2021-12-14T01:46:31.4Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612742,10,3,2021-12-14T01:46:38Z,520000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1626162, 204001]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Porzingis,204001.0,
55,PT07M41.00S,2021-12-14T01:47:02.3Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612742,11,3,2021-12-14T01:47:02Z,540000,,,0,,K. Porzingis Free Throw 1 of 2 (6 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,,,,6.0,,,,,,,,,
56,PT07M41.00S,2021-12-14T01:47:04.1Z,1,REGULAR,substitution,out,[],1626179,,,1610612742,11,3,2021-12-14T01:47:16Z,550000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M41.00S,2021-12-14T01:47:04.1Z,1,REGULAR,substitution,in,[],1630547,,,1610612742,11,3,2021-12-14T01:47:16Z,560000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M41.00S,2021-12-14T01:47:21.8Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612742,12,3,2021-12-14T01:47:21Z,570000,,,0,,K. Porzingis Free Throw 2 of 2 (7 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,,,,7.0,,,,,,,,,
59,PT07M27.00S,2021-12-14T01:47:41.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,12,3,2021-12-14T01:47:41Z,580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M20.00S,2021-12-14T01:47:59.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626162,8.09789750328515,55.14705882352941,1610612766,12,3,2021-12-14T01:48:04Z,590000,-26.0,24.0,1,left,MISS K. Oubre Jr. driving Hook,[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,3.49,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M16.00S,2021-12-14T01:48:03.8Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,12,3,2021-12-14T01:48:04Z,600000,,,0,,P. Washington REBOUND (Off:1 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
62,PT07M16.00S,2021-12-14T01:48:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629023,5.590000152587891,50.0,1610612766,12,5,2021-12-14T01:48:02Z,610000,0.0,0.0,1,left,P. Washington tip Layup (2 PTS),[1629023],1610612766.0,CHA,tip,,,Washington,P. Washington,,,,,0.0,Made,,,,,,,,,,2.0,,,,,,,,,
63,PT06M54.00S,2021-12-14T01:48:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,86.67871222076215,48.28431372549019,1610612742,14,5,2021-12-14T01:48:29Z,620000,-9.0,73.0,1,right,K. Porzingis 7' driving floating Jump Shot (9 PTS) (R. Bullock 1 AST),"[204001, 203493]",1610612742.0,DAL,driving floating,,,Porzingis,K. Porzingis,,,,,7.32,Made,,,,,,,,,,9.0,R. Bullock,203493.0,1.0,,,,,,
65,PT06M40.00S,2021-12-14T01:48:40.2Z,1,REGULAR,foul,personal,['2freethrow'],203493,,,1610612766,14,5,2021-12-14T01:48:48Z,640000,,,0,,R. Bullock shooting personal FOUL (1 PF) (Hayward 2 FT),"[203493, 202330]",1610612742.0,DAL,shooting,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Hayward,202330.0,
67,PT06M40.00S,2021-12-14T01:48:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,14,5,2021-12-14T01:48:50Z,660000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M40.00S,2021-12-14T01:52:00.0Z,1,REGULAR,freethrow,1 of 2,[],202330,,,1610612766,14,5,2021-12-14T01:52:00Z,670000,,,0,,MISS G. Hayward Free Throw 1 of 2,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M40.00S,2021-12-14T01:52:00.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,14,5,2021-12-14T01:52:00Z,680000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,
70,PT06M40.00S,2021-12-14T01:52:15.0Z,1,REGULAR,freethrow,2 of 2,[],202330,,,1610612766,14,6,2021-12-14T01:52:15Z,690000,,,0,,G. Hayward Free Throw 2 of 2 (1 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
71,PT06M23.00S,2021-12-14T01:52:36.9Z,1,REGULAR,2pt,Jump Shot,[],203939,75.64060446780552,49.50980392156863,1610612742,14,6,2021-12-14T01:52:43Z,700000,-2.0,176.0,1,right,MISS D. Powell 17' Jump Shot,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,17.65,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M20.00S,2021-12-14T01:52:39.9Z,1,REGULAR,rebound,defensive,[],1630547,,,1610612766,14,6,2021-12-14T01:52:43Z,710000,,,0,,J. Bouknight REBOUND (Off:0 Def:1),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
73,PT06M07.00S,2021-12-14T01:52:51.6Z,1,REGULAR,2pt,Hook,[],1628970,7.5722733245729295,66.91176470588235,1610612766,14,6,2021-12-14T01:53:42Z,720000,-85.0,19.0,1,left,MISS M. Bridges 8' driving Hook,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,8.66,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M07.00S,2021-12-14T01:52:51.6Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,14,6,2021-12-14T01:53:26Z,730000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
75,PT06M07.00S,2021-12-14T01:52:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,5.590000152587891,50.0,1610612766,14,8,2021-12-14T01:52:56Z,740000,0.0,0.0,1,left,K. Oubre Jr. tip Layup (5 PTS),[1626162],1610612766.0,CHA,tip,,,Oubre Jr.,K. Oubre Jr.,,,,,0.0,Made,,,,,,,,,,5.0,,,,,,,,,
76,PT06M07.00S,2021-12-14T01:52:56.9Z,1,REGULAR,foul,personal,['1freethrow'],204001,,,1610612766,14,8,2021-12-14T01:53:32Z,750000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[204001, 1626162]",1610612742.0,DAL,shooting,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Oubre Jr.,1626162.0,
78,PT06M07.00S,2021-12-14T01:53:08.2Z,1,REGULAR,substitution,out,[],203939,,,1610612766,14,8,2021-12-14T01:53:26Z,770000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M07.00S,2021-12-14T01:53:08.2Z,1,REGULAR,substitution,in,[],1628467,,,1610612766,14,8,2021-12-14T01:53:26Z,780000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M07.00S,2021-12-14T01:53:24.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1626162,,,1610612766,14,8,2021-12-14T01:53:28Z,790000,,,0,,MISS K. Oubre Jr. Free Throw 1 of 1,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2021-12-14T01:53:26.6Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,14,8,2021-12-14T01:53:28Z,800000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT05M44.00S,2021-12-14T01:53:47.1Z,1,REGULAR,2pt,Jump Shot,[],204001,89.04402102496715,22.54901960784314,1610612742,14,8,2021-12-14T01:53:53Z,810000,-137.0,50.0,1,right,MISS K. Porzingis 14' turnaround fadeaway Shot,[204001],1610612742.0,DAL,turnaround fadeaway,,,Porzingis,K. Porzingis,,,,,14.63,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M40.00S,2021-12-14T01:53:51.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,14,8,2021-12-14T01:53:53Z,820000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
84,PT05M33.00S,2021-12-14T01:53:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,5.338370565045992,51.470588235294116,1610612766,14,10,2021-12-14T01:54:02Z,830000,-7.0,-2.0,1,left,K. Oubre Jr. cutting finger roll Layup (7 PTS) (G. Hayward 2 AST),"[1626162, 202330]",1610612766.0,CHA,cutting finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,0.77,Made,,,,,,,,,,7.0,G. Hayward,202330.0,2.0,,,,,,
86,PT05M33.00S,2021-12-14T01:54:03.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,14,10,2021-12-14T01:54:03Z,850000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M12.00S,2021-12-14T01:57:13.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,94.43166885676742,49.50980392156863,1610612742,16,10,2021-12-14T01:57:17Z,860000,-2.0,0.0,1,right,K. Porzingis alley-oop DUNK (11 PTS) (D. Finney-Smith 1 AST),"[204001, 1627827]",1610612742.0,DAL,alley-oop,,,Porzingis,K. Porzingis,,,,,0.25,Made,,,,,,,,,,11.0,D. Finney-Smith,1627827.0,1.0,,,,,,
