actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
20,PT10M55.00S,2021-12-22T01:41:54.0Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,2,2021-12-22T01:41:55Z,200000,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M51.00S,2021-12-22T01:41:58.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626156,19.267411300919843,91.66666666666666,1610612750,0,2,2021-12-22T01:42:07Z,210000,-208.0,129.0,1,left,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,24.48,Missed,,,,,,,,,,,
22,PT10M49.00S,2021-12-22T01:42:00.3Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,0,2,2021-12-22T01:42:30Z,220000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
28,PT10M48.00S,2021-12-22T01:42:01.6Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612742,0,2,2021-12-22T01:45:32Z,225000,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (1 TO),[1628973],1610612742.0,DAL,bad pass,,,Brunson,J. Brunson,,,,,1.0,,,2715.0,,,,,,,,,,,,,,,,,
24,PT10M42.00S,2021-12-22T01:42:31.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626156,16.63929040735874,45.588235294117645,1610612750,0,2,2021-12-22T01:43:00Z,240000,22.0,104.0,1,left,MISS D. Russell 10' driving floating Shot,[1626156],1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,,,,,,,,,10.62,Missed,,,,,,,,,,,
25,PT10M37.00S,2021-12-22T01:42:36.8Z,1,REGULAR,rebound,offensive,[],1630195,,,1610612750,0,2,2021-12-22T01:42:36Z,250000,,,0,,L. Bolmaro REBOUND (Off:1 Def:0),[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,
26,PT10M32.00S,2021-12-22T01:42:41.2Z,1,REGULAR,3pt,Jump Shot,"['2ndchance', 'fromturnover']",1626156,25.312089356110377,14.215686274509803,1610612750,0,2,2021-12-22T01:43:12Z,260000,179.0,185.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,25.76,Missed,,,,,,,,,,,
27,PT10M29.00S,2021-12-22T01:42:44.2Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,2,2021-12-22T01:43:12Z,270000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,
29,PT10M21.00S,2021-12-22T01:42:52.9Z,1,REGULAR,3pt,Jump Shot,[],1628973,92.72339027595268,4.411764705882353,1610612742,3,2,2021-12-22T01:43:15Z,280000,-228.0,16.0,1,right,J. Brunson 3PT  (3 PTS) (S. Brown 1 AST),"[1628973, 1628425]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,22.85,Made,,,,,3.0,S. Brown,1628425.0,1.0,,,
31,PT10M09.00S,2021-12-22T01:43:04.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,28.597240473061763,76.9607843137255,1610612750,3,5,2021-12-22T01:43:11Z,300000,-135.0,216.0,1,left,K. Towns 25' 3PT step back (5 PTS) (M. Beasley 1 AST),"[1626157, 1627736]",1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,,,,,,,,,25.49,Made,,,,,5.0,M. Beasley,1627736.0,1.0,,,
33,PT09M54.00S,2021-12-22T01:43:19.0Z,1,REGULAR,3pt,Jump Shot,[],203939,67.49342969776609,33.82352941176471,1610612742,6,5,2021-12-22T01:43:25Z,320000,-81.0,253.0,1,right,D. Powell 26' 3PT  (3 PTS) (J. Brunson 1 AST),"[203939, 1628973]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,26.57,Made,,,,,3.0,J. Brunson,1628973.0,1.0,,,
35,PT09M39.00S,2021-12-22T01:43:33.8Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,6,5,2021-12-22T01:43:36Z,340000,,,0,,D. Russell bad pass TURNOVER (2 TO),"[1626156, 1628973]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,2.0,Brunson,1628973.0,,,,,,,,,,,,,,,,,,
36,PT09M39.00S,2021-12-22T01:43:33.8Z,1,REGULAR,steal,,[],1628973,,,1610612742,6,5,2021-12-22T01:43:35Z,350000,,,0,,J. Brunson STEAL (2 STL),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M34.00S,2021-12-22T01:43:39.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628373,93.77463863337714,96.56862745098039,1610612742,6,5,2021-12-22T01:43:45Z,360000,233.0,6.0,1,right,MISS F. Ntilikina 3PT,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,23.29,Missed,,,,,,,,,,,
38,PT09M30.00S,2021-12-22T01:43:43.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,6,5,2021-12-22T01:43:45Z,370000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,
39,PT09M27.00S,2021-12-22T01:43:46.1Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,6,5,2021-12-22T01:43:51Z,380000,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 1628973]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,1.0,Brunson,1628973.0,,,,,,,,,,,,,,,,,,
40,PT09M27.00S,2021-12-22T01:43:46.1Z,1,REGULAR,steal,,[],1628973,,,1610612742,6,5,2021-12-22T01:43:48Z,390000,,,0,,J. Brunson STEAL (3 STL),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M10.00S,2021-12-22T01:44:03.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203939,93.51182654402102,47.794117647058826,1610612742,6,5,2021-12-22T01:44:08Z,400000,-11.0,8.0,1,right,MISS D. Powell cutting Layup,[203939],1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,,,,,,,,,1.39,Missed,,,,,,,,,,,
42,PT09M08.00S,2021-12-22T01:44:05.6Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,6,5,2021-12-22T01:44:08Z,410000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,
43,PT09M00.00S,2021-12-22T01:44:13.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,5.601182654402102,49.50980392156863,1610612750,6,7,2021-12-22T01:44:16Z,420000,2.0,0.0,1,left,K. Towns cutting DUNK (7 PTS) (D. Russell 2 AST),"[1626157, 1626156]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,,,,,,,,,0.25,Made,,,,,7.0,D. Russell,1626156.0,2.0,,,
45,PT08M35.00S,2021-12-22T01:44:39.7Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612742,6,7,2021-12-22T01:44:54Z,440000,,,0,,K. Towns shooting personal FOUL (1 PF) (Powell 2 FT),"[1626157, 203939]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,2715.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,
47,PT08M35.00S,2021-12-22T01:45:16.2Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,7,7,2021-12-22T01:45:16Z,460000,,,0,,D. Powell Free Throw 1 of 2 (4 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,Made,,,,,4.0,,,,,,
48,PT08M35.00S,2021-12-22T01:45:36.4Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,8,7,2021-12-22T01:45:36Z,470000,,,0,,D. Powell Free Throw 2 of 2 (5 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,Made,,,,,5.0,,,,,,
49,PT08M18.00S,2021-12-22T01:45:55.7Z,1,REGULAR,3pt,Jump Shot,[],1627736,28.465834428383708,21.07843137254902,1610612750,8,10,2021-12-22T01:46:11Z,480000,145.0,215.0,1,left,M. Beasley 25' 3PT  (3 PTS) (D. Russell 3 AST),"[1627736, 1626156]",1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,25.92,Made,,,,,3.0,D. Russell,1626156.0,3.0,,,
51,PT08M01.00S,2021-12-22T01:46:12.1Z,1,REGULAR,2pt,Jump Shot,[],1628373,80.1084099868594,18.38235294117647,1610612742,8,10,2021-12-22T01:48:43Z,500000,-158.0,134.0,1,right,MISS F. Ntilikina 20' pullup Shot,[1628373],1610612742.0,DAL,pullup,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,20.76,Missed,,,,,,,,,,,
52,PT07M57.00S,2021-12-22T01:46:16.1Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,8,10,2021-12-22T01:49:12Z,510000,,,0,,D. Powell REBOUND (Off:2 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,51.0,2.0,0.0,2.0,,,,,,,
53,PT07M55.00S,2021-12-22T01:46:18.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628425,73.80091984231275,14.705882352941178,1610612742,11,10,2021-12-22T01:46:25Z,520000,-176.0,194.0,1,right,S. Brown 26' 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[1628425, 1627827]",1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,26.21,Made,,,,,3.0,D. Finney-Smith,1627827.0,1.0,,,
55,PT07M42.00S,2021-12-22T01:46:32.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.38567674113009,71.56862745098039,1610612750,11,10,2021-12-22T01:49:34Z,540000,-108.0,224.0,1,left,MISS D. Russell 24' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,,,,,,24.83,Missed,,,,,,,,,,,
56,PT07M38.00S,2021-12-22T01:46:36.4Z,1,REGULAR,rebound,defensive,[],1628425,,,1610612742,11,10,2021-12-22T01:46:36Z,550000,,,0,,S. Brown REBOUND (Off:0 Def:1),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,
63,PT07M38.00S,2021-12-22T01:46:40.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,11,10,2021-12-22T01:47:23Z,560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M31.00S,2021-12-22T01:46:48.3Z,1,REGULAR,substitution,out,[],1628373,,,1610612742,11,10,2021-12-22T01:47:01Z,570000,,,0,,SUB out: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M31.00S,2021-12-22T01:46:48.3Z,1,REGULAR,substitution,in,[],203504,,,1610612742,11,10,2021-12-22T01:47:01Z,580000,,,0,,SUB in: T. Burke,[203504],1610612742.0,DAL,,,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M29.00S,2021-12-22T01:47:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,88.25558475689881,96.56862745098039,1610612742,14,10,2021-12-22T01:47:27Z,600000,233.0,58.0,1,right,J. Brunson 3PT  (6 PTS) (T. Burke 1 AST),"[1628973, 203504]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,23.99,Made,,,,,6.0,T. Burke,203504.0,1.0,,,
64,PT07M10.00S,2021-12-22T01:47:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,14.98028909329829,36.998314950980394,1610612750,14,12,2021-12-22T01:47:37Z,620000,65.0,88.0,1,left,J. McDaniels 10' driving floating Jump Shot (2 PTS) (D. Russell 4 AST),"[1630183, 1626156]",1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,,,,,,,,,10.96,Made,,,,,2.0,D. Russell,1626156.0,4.0,,,
66,PT06M57.00S,2021-12-22T01:47:43.0Z,1,REGULAR,3pt,Jump Shot,[],1628973,71.43561103810775,78.18627450980392,1610612742,14,12,2021-12-22T01:47:51Z,640000,141.0,216.0,1,right,MISS J. Brunson 25' step back 3PT,[1628973],1610612742.0,DAL,step back,,,Brunson,J. Brunson,,,,,,,,,,,,,25.79,Missed,,,,,,,,,,,
67,PT06M54.00S,2021-12-22T01:47:46.8Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,14,12,2021-12-22T01:47:46Z,650000,,,0,,D. Powell REBOUND (Off:3 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,66.0,3.0,0.0,3.0,,,,,,,
68,PT06M44.00S,2021-12-22T01:47:57.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628425,96.00854139290408,95.58823529411765,1610612742,14,12,2021-12-22T01:48:02Z,660000,228.0,-15.0,1,right,MISS S. Brown 3PT,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,22.84,Missed,,,,,,,,,,,
69,PT06M40.00S,2021-12-22T01:48:01.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,14,12,2021-12-22T01:48:02Z,670000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,
70,PT06M27.00S,2021-12-22T01:48:13.4Z,1,REGULAR,3pt,Jump Shot,[],1627736,7.703679369250986,4.166666666666666,1610612750,14,12,2021-12-22T01:48:19Z,680000,229.0,20.0,1,left,MISS M. Beasley 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,23.01,Missed,,,,,,,,,,,
71,PT06M23.00S,2021-12-22T01:48:17.4Z,1,REGULAR,rebound,offensive,[],1630195,,,1610612750,14,12,2021-12-22T01:48:19Z,690000,,,0,,L. Bolmaro REBOUND (Off:2 Def:0),[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,,,,,,,70.0,2.0,0.0,2.0,,,,,,,
72,PT06M13.00S,2021-12-22T01:48:28.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630183,3.630091984231275,95.58823529411765,1610612750,14,12,2021-12-22T01:48:34Z,700000,-228.0,-18.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,22.86,Missed,,,,,,,,,,,
73,PT06M11.00S,2021-12-22T01:48:30.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,14,12,2021-12-22T01:48:34Z,710000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,
74,PT06M11.00S,2021-12-22T01:48:33.8Z,1,REGULAR,foul,personal,[],1630195,,,1610612742,14,12,2021-12-22T01:48:37Z,720000,,,0,,L. Bolmaro loose ball personal FOUL (1 PF),"[1630195, 1628973]",1610612750.0,MIN,loose ball,,,Bolmaro,L. Bolmaro,,,,,,,,1628951.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,
76,PT06M11.00S,2021-12-22T01:48:42.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,14,12,2021-12-22T01:48:42Z,740000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M11.00S,2021-12-22T01:49:15.2Z,1,REGULAR,substitution,out,[],1628425,,,1610612742,14,12,2021-12-22T01:51:28Z,750000,,,0,,SUB out: S. Brown,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M11.00S,2021-12-22T01:49:15.2Z,1,REGULAR,substitution,out,[],1626156,,,1610612742,14,12,2021-12-22T01:51:28Z,760000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2021-12-22T01:49:15.2Z,1,REGULAR,substitution,in,[],1629033,,,1610612742,14,12,2021-12-22T01:51:28Z,770000,,,0,,SUB in: T. Pinson,[1629033],1610612742.0,DAL,,,,Pinson,T. Pinson,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M11.00S,2021-12-22T01:49:15.2Z,1,REGULAR,substitution,in,[],1629669,,,1610612742,14,12,2021-12-22T01:51:28Z,780000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M47.00S,2021-12-22T01:51:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,91.27792378449409,47.30392156862745,1610612742,14,12,2021-12-22T01:51:57Z,790000,-13.0,29.0,1,right,MISS D. Finney-Smith driving Layup,[1627827],1610612742.0,DAL,driving,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,3.24,Missed,,,,,,,,,,,
82,PT05M44.00S,2021-12-22T01:51:55.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,14,12,2021-12-22T01:51:57Z,800000,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,81.0,3.0,3.0,0.0,,,,,,,
83,PT05M29.00S,2021-12-22T01:52:10.6Z,1,REGULAR,3pt,Jump Shot,[],1627736,14.931011826544022,95.09803921568627,1610612750,14,15,2021-12-22T01:52:14Z,810000,-225.0,88.0,1,left,M. Beasley 24' 3PT  (6 PTS) (K. Towns 1 AST),"[1627736, 1626157]",1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,24.2,Made,,,,,6.0,K. Towns,1626157.0,1.0,,,
85,PT05M15.00S,2021-12-22T01:52:23.8Z,1,REGULAR,2pt,Jump Shot,[],203504,78.0059132720105,27.450980392156865,1610612742,14,15,2021-12-22T01:52:32Z,830000,-113.0,154.0,1,right,MISS T. Burke 19' pullup Shot,[203504],1610612742.0,DAL,pullup,,,Burke,T. Burke,,,,,,,,,,,,,19.1,Missed,,,,,,,,,,,
86,PT05M13.00S,2021-12-22T01:52:25.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,14,15,2021-12-22T01:52:32Z,840000,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,85.0,4.0,4.0,0.0,,,,,,,
87,PT05M08.00S,2021-12-22T01:52:33.1Z,1,REGULAR,foul,offensive,[],1627736,,,1610612750,14,15,2021-12-22T01:52:46Z,850000,,,0,,M. Beasley offensive FOUL (1 PF),"[1627736, 1628973]",1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,1628951.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,
89,PT05M08.00S,2021-12-22T01:52:33.1Z,1,REGULAR,turnover,offensive foul,[],1627736,,,1610612750,14,15,2021-12-22T01:52:33Z,870000,,,0,,M. Beasley offensive foul TURNOVER (1 TO),[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,1.0,,,1628951.0,,,,,,,,,,,,,,,,,
90,PT05M08.00S,2021-12-22T01:52:41.0Z,1,REGULAR,substitution,out,[],203939,,,1610612742,14,15,2021-12-22T01:52:51Z,880000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M08.00S,2021-12-22T01:52:41.0Z,1,REGULAR,substitution,in,[],1629650,,,1610612742,14,15,2021-12-22T01:52:51Z,890000,,,0,,SUB in: M. Brown,[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M51.00S,2021-12-22T01:53:11.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,71.43561103810775,78.67647058823529,1610612742,17,15,2021-12-22T01:53:16Z,900000,143.0,216.0,1,right,J. Brunson 25' 3PT  (9 PTS) (T. Pinson 1 AST),"[1628973, 1629033]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,25.93,Made,,,,,9.0,T. Pinson,1629033.0,1.0,,,
94,PT04M32.00S,2021-12-22T01:53:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,6.258212877792378,53.92156862745098,1610612750,17,17,2021-12-22T01:53:34Z,920000,-20.0,6.0,1,left,J. McDaniels driving finger roll Layup (4 PTS),[1630183],1610612750.0,MIN,driving finger roll,,,McDaniels,J. McDaniels,,,,,,,,,,,,,2.06,Made,,,,,4.0,,,,,,
