actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M49.00S,2022-02-13T01:43:45.1Z,1,REGULAR,2pt,Jump Shot,[],1629611,77.08607095926413,64.95098039215686,1610612746,0,2,2022-02-13T01:44:00Z,160000,75.0,163.0,1,right,MISS T. Mann 17' pullup Shot,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,17.93,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2022-02-13T01:43:48.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,2,2022-02-13T01:44:00Z,170000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M36.00S,2022-02-13T01:43:58.3Z,1,REGULAR,2pt,Jump Shot,[],1627827,6.915243101182654,82.59803921568627,1610612742,2,2,2022-02-13T01:44:04Z,180000,-163.0,13.0,1,left,D. Finney-Smith 16' Jump Shot (2 PTS) (J. Brunson 1 AST),"[1627827, 1628973]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,16.35,Made,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,,
20,PT10M18.00S,2022-02-13T01:44:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,90.67017082785807,43.36703431372549,1610612746,2,2,2022-02-13T01:44:38Z,200000,-33.0,35.0,1,right,MISS I. Zubac turnaround bank Shot,[1627826],1610612746.0,LAC,turnaround bank,,,Zubac,I. Zubac,,,,,4.84,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-02-13T01:44:19.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,2,2022-02-13T01:44:38Z,210000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,
22,PT10M09.00S,2022-02-13T01:44:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,6.783837056504599,49.26470588235294,1610612742,4,2,2022-02-13T01:44:42Z,220000,4.0,11.0,1,left,D. Powell alley-oop Layup (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,1.19,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
24,PT09M57.00S,2022-02-13T01:44:38.7Z,1,REGULAR,foul,personal,[],203493,,,1610612746,4,2,2022-02-13T01:44:51Z,240000,,,0,,R. Bullock personal FOUL (1 PF),"[203493, 1627826]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,202053.0,1.0,0.0,Zubac,1627826.0,,,,,,
26,PT09M52.00S,2022-02-13T01:45:04.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,83.52496714848883,53.431372549019606,1610612746,4,4,2022-02-13T01:45:10Z,260000,17.0,102.0,1,right,R. Jackson 10' driving floating Jump Shot (2 PTS) (I. Zubac 2 AST),"[202704, 1627826]",1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,10.38,Made,2.0,I. Zubac,1627826.0,2.0,,,,,,,,,,,,,,,
28,PT09M38.00S,2022-02-13T01:45:17.9Z,1,REGULAR,3pt,Jump Shot,[],203493,2.8416557161629434,96.07843137254902,1610612742,4,4,2022-02-13T01:45:22Z,280000,-230.0,-26.0,1,left,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,23.18,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M36.00S,2022-02-13T01:45:19.9Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,4,4,2022-02-13T01:45:22Z,290000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT09M25.00S,2022-02-13T01:45:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,91.93495400788436,59.068627450980394,1610612746,4,6,2022-02-13T01:45:37Z,300000,45.0,23.0,1,right,T. Mann driving floating bank Jump Shot (2 PTS) (R. Jackson 1 AST),"[1629611, 202704]",1610612746.0,LAC,driving floating bank,,,Mann,T. Mann,,,,,5.09,Made,2.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,,,
32,PT09M06.00S,2022-02-13T01:45:50.8Z,1,REGULAR,3pt,Jump Shot,[],1628973,30.831143232588698,30.392156862745097,1610612742,7,6,2022-02-13T01:45:56Z,320000,98.0,237.0,1,left,J. Brunson 25' 3PT  (3 PTS) (L. Doncic 2 AST),"[1628973, 1629029]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,25.67,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,,
34,PT08M49.00S,2022-02-13T01:46:07.6Z,1,REGULAR,3pt,Jump Shot,[],201587,83.52496714848883,95.34313725490196,1610612746,7,6,2022-02-13T01:46:11Z,340000,227.0,102.0,1,right,MISS N. Batum 24' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M47.00S,2022-02-13T01:46:09.6Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,7,6,2022-02-13T01:46:11Z,350000,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,
36,PT08M39.00S,2022-02-13T01:46:17.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.85348226018397,36.029411764705884,1610612742,7,6,2022-02-13T01:49:43Z,360000,70.0,266.0,1,left,MISS L. Doncic 27' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,27.47,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M36.00S,2022-02-13T01:46:20.8Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,7,6,2022-02-13T01:46:22Z,370000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT08M30.00S,2022-02-13T01:46:27.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,92.72339027595268,50.73529411764706,1610612746,7,8,2022-02-13T01:51:27Z,380000,4.0,16.0,1,right,I. Zubac DUNK (2 PTS) (T. Mann 1 AST),"[1627826, 1629611]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.63,Made,2.0,T. Mann,1629611.0,1.0,,,,,,,,,,,,,,,
40,PT08M16.00S,2022-02-13T01:46:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,8.360709592641262,52.94117647058824,1610612742,9,8,2022-02-13T01:46:56Z,400000,-15.0,26.0,1,left,L. Doncic driving floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,3.0,Made,2.0,,,,,,,,,,,,,,,,,,
41,PT08M16.00S,2022-02-13T01:46:45.3Z,1,REGULAR,foul,personal,['1freethrow'],1629611,,,1610612742,9,8,2022-02-13T01:46:51Z,410000,,,0,,T. Mann shooting personal FOUL (1 PF) (Doncic 1 FT),"[1629611, 1629029]",1610612746.0,LAC,shooting,,,Mann,T. Mann,,,,,,,,,,,,,,,202053.0,1.0,0.0,Doncic,1629029.0,,,,,,
43,PT08M16.00S,2022-02-13T01:47:13.6Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,9,8,2022-02-13T01:47:16Z,430000,,,0,,MISS L. Doncic Free Throw 1 of 1,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M13.00S,2022-02-13T01:47:16.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,9,8,2022-02-13T01:47:16Z,440000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,
45,PT08M01.00S,2022-02-13T01:47:26.9Z,1,REGULAR,3pt,Jump Shot,[],202694,67.62483574244416,56.86274509803921,1610612746,9,11,2022-02-13T01:47:32Z,450000,34.0,252.0,1,right,M. Morris Sr. 25' 3PT pullup (5 PTS) (I. Zubac 3 AST),"[202694, 1627826]",1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,25.41,Made,5.0,I. Zubac,1627826.0,3.0,,,,,,,,,,,,,,,
47,PT07M35.00S,2022-02-13T01:47:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,18.478975032851512,55.88235294117647,1610612742,11,11,2022-02-13T01:47:58Z,470000,-29.0,121.0,1,left,J. Brunson 12' driving floating Jump Shot (5 PTS) (R. Bullock 1 AST),"[1628973, 203493]",1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,12.47,Made,5.0,R. Bullock,203493.0,1.0,,,,,,,,,,,,,,,
49,PT07M23.00S,2022-02-13T01:48:05.1Z,1,REGULAR,2pt,Jump Shot,[],202704,80.50262812089356,81.61764705882352,1610612746,11,11,2022-02-13T01:48:10Z,490000,158.0,131.0,1,right,MISS R. Jackson 20' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,20.52,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2022-02-13T01:48:08.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,11,11,2022-02-13T01:48:10Z,500000,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,49.0,3.0,3.0,0.0,,,,,,,,,,,
51,PT07M09.00S,2022-02-13T01:48:18.6Z,1,REGULAR,foul,personal,['3freethrow'],202694,,,1610612742,11,11,2022-02-13T01:54:55Z,510000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Brunson 3 FT),"[202694, 1628973]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,200832.0,1.0,0.0,Brunson,1628973.0,,,,,,
53,PT07M09.00S,2022-02-13T01:48:54.2Z,1,REGULAR,instantreplay,request,[],0,,,1610612742,11,11,2022-02-13T01:54:48Z,530000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,200832.0,,,,,Tech foul on Brunson,,,,,
54,PT07M09.00S,2022-02-13T01:50:43.3Z,1,REGULAR,foul,technical,['1freethrow'],1628973,,,1610612742,11,11,2022-02-13T01:51:06Z,540000,,,0,,J. Brunson technical FOUL (1 Tech),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,200832.0,0.0,1.0,,,,,,,,
55,PT07M09.00S,2022-02-13T01:51:07.9Z,1,REGULAR,freethrow,1 of 1,[],202694,,,1610612742,11,12,2022-02-13T01:51:07Z,550000,,,0,,M. Morris Sr. technical Free Throw 1 of 1 (6 PTS),[202694],1610612746.0,LAC,technical,,,Morris Sr.,M. Morris Sr.,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
56,PT07M09.00S,2022-02-13T01:51:40.3Z,1,REGULAR,freethrow,1 of 3,[],1628973,,,1610612742,11,12,2022-02-13T01:54:01Z,560000,,,0,,MISS J. Brunson Free Throw 1 of 3,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M09.00S,2022-02-13T01:51:40.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,11,12,2022-02-13T01:54:01Z,570000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,
58,PT07M09.00S,2022-02-13T01:51:40.3Z,1,REGULAR,freethrow,2 of 3,[],1628973,,,1610612742,12,12,2022-02-13T01:54:01Z,580000,,,0,,J. Brunson Free Throw 2 of 3 (6 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
59,PT07M09.00S,2022-02-13T01:51:40.3Z,1,REGULAR,freethrow,3 of 3,[],1628973,,,1610612742,13,12,2022-02-13T01:54:01Z,590000,,,0,,J. Brunson Free Throw 3 of 3 (7 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
60,PT06M53.00S,2022-02-13T01:52:32.5Z,1,REGULAR,turnover,3-second-violation,[],1627826,,,1610612746,13,12,2022-02-13T01:52:54Z,600000,,,0,,I. Zubac 3-second-violation TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,200832.0,,,,,,1.0,,,,
61,PT06M53.00S,2022-02-13T01:52:48.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,13,12,2022-02-13T01:52:48Z,610000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2022-02-13T01:55:50.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,5.338370565045992,95.34313725490196,1610612742,13,12,2022-02-13T01:55:55Z,620000,-227.0,-2.0,1,left,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M39.00S,2022-02-13T01:55:53.3Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,13,12,2022-02-13T01:55:55Z,630000,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,
64,PT06M34.00S,2022-02-13T01:55:58.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629611,77.7431011826544,55.88235294117647,1610612746,13,12,2022-02-13T01:56:03Z,640000,29.0,157.0,1,right,MISS T. Mann 15' pullup Shot,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,15.94,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2022-02-13T01:56:01.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,13,12,2022-02-13T01:56:03Z,650000,,,0,,L. Doncic REBOUND (Off:0 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,64.0,4.0,4.0,0.0,,,,,,,,,,,
66,PT06M25.00S,2022-02-13T01:56:07.5Z,1,REGULAR,3pt,Jump Shot,[],203493,6.915243101182654,3.6764705882352944,1610612742,16,12,2022-02-13T01:56:13Z,660000,232.0,13.0,1,left,R. Bullock 3PT  (3 PTS) (D. Powell 1 AST),"[203493, 203939]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,23.19,Made,3.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,,
68,PT05M57.00S,2022-02-13T01:56:36.3Z,1,REGULAR,2pt,Jump Shot,[],202694,87.59855453350855,22.54901960784314,1610612746,16,14,2022-02-13T01:56:41Z,680000,-137.0,64.0,1,right,M. Morris Sr. 15' turnaround fadeaway Jump Shot (8 PTS),[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,15.15,Made,8.0,,,,,,,,,,,,,,,,,,
69,PT05M36.00S,2022-02-13T01:56:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,6.915243101182654,36.27450980392157,1610612742,16,14,2022-02-13T01:57:00Z,690000,69.0,13.0,1,left,MISS L. Doncic 6' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,6.97,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M33.00S,2022-02-13T01:56:59.4Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,16,14,2022-02-13T01:57:00Z,700000,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,
71,PT05M18.00S,2022-02-13T01:57:14.2Z,1,REGULAR,3pt,Jump Shot,[],202704,93.9060446780552,96.07843137254902,1610612746,16,17,2022-02-13T01:57:20Z,710000,230.0,5.0,1,right,R. Jackson 3PT  (5 PTS),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,23.04,Made,5.0,,,,,,,,,,,,,,,,,,
72,PT05M03.00S,2022-02-13T01:57:31.6Z,1,REGULAR,foul,personal,[],202704,,,1610612742,16,17,2022-02-13T01:57:50Z,720000,,,0,,R. Jackson personal FOUL (1 PF),"[202704, 203939]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,201246.0,1.0,0.0,Powell,203939.0,,,,,,
74,PT05M03.00S,2022-02-13T01:57:38.0Z,1,REGULAR,substitution,out,[],203493,,,1610612742,16,17,2022-02-13T01:57:49Z,740000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M03.00S,2022-02-13T01:57:38.0Z,1,REGULAR,substitution,out,[],203939,,,1610612742,16,17,2022-02-13T01:57:49Z,750000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M03.00S,2022-02-13T01:57:38.0Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,16,17,2022-02-13T01:57:49Z,760000,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M03.00S,2022-02-13T01:57:38.0Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,16,17,2022-02-13T01:57:49Z,770000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M53.00S,2022-02-13T01:58:08.4Z,1,REGULAR,3pt,Jump Shot,[],1628973,12.171484888304862,97.30392156862744,1610612742,19,17,2022-02-13T01:58:12Z,780000,-237.0,62.0,1,left,J. Brunson 24' 3PT  (10 PTS) (L. Doncic 3 AST),"[1628973, 1629029]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,24.45,Made,10.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,,,,
80,PT04M34.00S,2022-02-13T01:58:28.9Z,1,REGULAR,foul,personal,[],1627827,,,1610612746,19,17,2022-02-13T01:59:19Z,800000,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 201587]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,202053.0,1.0,0.0,Batum,201587.0,,,,,,
82,PT04M34.00S,2022-02-13T01:58:49.9Z,1,REGULAR,substitution,out,[],201587,,,1610612746,19,17,2022-02-13T01:59:02Z,820000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M34.00S,2022-02-13T01:58:49.9Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,19,17,2022-02-13T01:59:02Z,830000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M26.00S,2022-02-13T01:59:17.2Z,1,REGULAR,turnover,bad pass,[],1627826,,,1610612746,19,17,2022-02-13T01:59:31Z,840000,,,0,,I. Zubac bad pass TURNOVER (2 TO),"[1627826, 1630182]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,2.0,Green,1630182.0,,
85,PT04M26.00S,2022-02-13T01:59:17.2Z,1,REGULAR,steal,,[],1630182,,,1610612742,19,17,2022-02-13T02:00:13Z,850000,,,0,,J. Green STEAL (1 STL),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M20.00S,2022-02-13T01:59:23.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629029,34.641918528252305,51.9607843137255,1610612742,22,17,2022-02-13T02:09:36Z,860000,-10.0,273.0,1,left,L. Doncic 27' 3PT running pullup (5 PTS),[1629029],1610612742.0,DAL,running pullup,,,Doncic,L. Doncic,,,,,27.33,Made,5.0,,,,,,,,,,,,,,,,,,
87,PT04M03.00S,2022-02-13T01:59:39.7Z,1,REGULAR,3pt,Jump Shot,[],202694,76.03482260183968,12.254901960784313,1610612746,22,17,2022-02-13T01:59:44Z,870000,-189.0,173.0,1,right,MISS M. Morris Sr. 25' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M00.00S,2022-02-13T01:59:42.7Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,22,17,2022-02-13T01:59:44Z,880000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,
89,PT03M43.00S,2022-02-13T02:00:02.1Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,22,17,2022-02-13T02:00:07Z,890000,,,0,,L. Doncic traveling TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,201246.0,,,,,,1.0,,,,
90,PT03M43.00S,2022-02-13T02:00:04.5Z,1,REGULAR,substitution,out,[],1628973,,,1610612746,22,17,2022-02-13T02:00:14Z,900000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M43.00S,2022-02-13T02:00:04.5Z,1,REGULAR,substitution,in,[],203504,,,1610612746,22,17,2022-02-13T02:00:14Z,910000,,,0,,SUB in: T. Burke,[203504],1610612742.0,DAL,,,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,,,,,,
