actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
22,PT10M01.00S,2021-11-30T00:45:10.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,18.2161629434954,43.872549019607845,1610612748,2,3,2021-11-30T00:45:17Z,220000,31.0,119.0,1,left,MISS B. Adebayo 12' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,,,Missed,,,,,12.26,,,,,,,,,,
23,PT09M56.00S,2021-11-30T00:45:15.0Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,2,3,2021-11-30T00:45:17Z,230000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
27,PT09M55.00S,2021-11-30T00:45:33.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,2,3,2021-11-30T00:50:44Z,270000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M55.00S,2021-11-30T00:45:42.7Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612743,2,3,2021-11-30T00:50:35Z,280000,,,0,,,[],1610612743.0,DEN,overturned,,,,,,,,,2003.0,,,,,,,,,,,,,,,,,,Corrected to Personal Foul on B. Adebayo,,
29,PT09M55.00S,2021-11-30T00:47:08.8Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612743,2,3,2021-11-30T00:47:16Z,290000,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Barton 2 FT),"[1628389, 203115]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,2003.0,1.0,0.0,Barton,203115.0,,,,,,,,,,,,,,,,
31,PT09M55.00S,2021-11-30T00:48:26.4Z,1,REGULAR,freethrow,1 of 2,[],203115,,,1610612743,2,4,2021-11-30T00:48:26Z,310000,,,0,,W. Barton Free Throw 1 of 2 (1 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
32,PT09M55.00S,2021-11-30T00:48:41.4Z,1,REGULAR,freethrow,2 of 2,[],203115,,,1610612743,2,5,2021-11-30T00:48:41Z,320000,,,0,,W. Barton Free Throw 2 of 2 (2 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
33,PT09M45.00S,2021-11-30T00:48:52.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,6.389618922470433,96.32352941176471,1610612748,5,5,2021-11-30T00:48:58Z,330000,-232.0,8.0,1,left,D. Robinson 3PT  (3 PTS) (K. Lowry 2 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,Made,3.0,,,,23.17,,,,,K. Lowry,200768.0,2.0,,,
35,PT09M24.00S,2021-11-30T00:49:16.2Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612743,5,5,2021-11-30T00:49:25Z,350000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Green 2 FT),"[200768, 201145]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,2003.0,1.0,0.0,Green,201145.0,,,,,,,,,,,,,,,,
37,PT09M24.00S,2021-11-30T00:49:47.0Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,5,5,2021-11-30T00:49:47Z,370000,,,0,,MISS J. Green Free Throw 1 of 2,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Missed,,,,,,,,,,,,,,,
38,PT09M24.00S,2021-11-30T00:49:47.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,5,5,2021-11-30T00:49:47Z,380000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,
39,PT09M24.00S,2021-11-30T00:50:08.9Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,5,6,2021-11-30T00:50:09Z,390000,,,0,,J. Green Free Throw 2 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
40,PT09M06.00S,2021-11-30T00:50:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,6.915243101182654,53.67647058823529,1610612748,7,6,2021-11-30T00:50:34Z,400000,-18.0,13.0,1,left,P. Tucker cutting Layup (4 PTS) (B. Adebayo 1 AST),"[200782, 1628389]",1610612748.0,MIA,cutting,,,Tucker,P. Tucker,,,,,,,,,,Made,4.0,,,,2.22,,,,,B. Adebayo,1628389.0,1.0,,,
42,PT08M52.00S,2021-11-30T00:50:41.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,82.34231274638634,59.068627450980394,1610612743,7,8,2021-11-30T00:50:48Z,420000,45.0,113.0,1,right,M. Morris 12' pullup Jump Shot (2 PTS),[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,,,,,,Made,2.0,,,,12.22,,,,,,,,,,
43,PT08M46.00S,2021-11-30T00:50:48.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628997,6.1268068331143235,45.83333333333333,1610612748,9,8,2021-11-30T00:51:00Z,430000,21.0,5.0,1,left,C. Martin running alley-oop DUNK (2 PTS) (K. Lowry 3 AST),"[1628997, 200768]",1610612748.0,MIA,running alley-oop,,,Martin,C. Martin,,,,,,,,,,Made,2.0,,,,2.14,,,,,K. Lowry,200768.0,3.0,,,
45,PT08M34.00S,2021-11-30T00:51:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,87.33574244415243,42.15686274509804,1610612743,9,8,2021-11-30T00:51:09Z,450000,-39.0,67.0,1,right,MISS W. Barton 7' driving bank Shot,[203115],1610612743.0,DEN,driving bank,,,Barton,W. Barton,,,,,,,,,,Missed,,,,,7.72,,,,,,,,,,
46,PT08M28.00S,2021-11-30T00:51:05.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,9,8,2021-11-30T00:51:05Z,460000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,45.0,1.0,0.0,1.0,,,,,,
48,PT08M28.00S,2021-11-30T00:51:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,92.59198423127464,52.69607843137255,1610612743,9,10,2021-11-30T00:53:55Z,480000,13.0,17.0,1,right,N. Jokic putback Layup (5 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,,,,,Made,5.0,,,,2.18,,,,,,,,,,
49,PT08M24.00S,2021-11-30T00:51:10.0Z,1,REGULAR,3pt,Jump Shot,[],200768,31.35676741130092,23.284313725490197,1610612748,9,10,2021-11-30T00:51:25Z,490000,134.0,242.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,,,27.67,,,,,,,,,,
50,PT08M24.00S,2021-11-30T00:51:10.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,9,10,2021-11-30T00:51:25Z,500000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,49.0,1.0,0.0,1.0,,,,,,
51,PT08M13.00S,2021-11-30T00:51:21.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",200768,11.908672798948752,49.754901960784316,1610612748,9,10,2021-11-30T00:51:29Z,510000,1.0,59.0,1,left,MISS K. Lowry driving floating Shot,[200768],1610612748.0,MIA,driving floating,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,,,5.94,,,,,,,,,,
52,PT08M10.00S,2021-11-30T00:51:24.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,10,2021-11-30T00:51:29Z,520000,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,
53,PT08M04.00S,2021-11-30T00:51:29.7Z,1,REGULAR,3pt,Jump Shot,[],1628420,95.22010512483574,97.30392156862744,1610612743,9,10,2021-11-30T00:51:35Z,530000,237.0,-8.0,1,right,MISS M. Morris 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,Missed,,,,,23.66,,,,,,,,,,
54,PT08M00.00S,2021-11-30T00:51:33.7Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,9,10,2021-11-30T00:51:35Z,540000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,
55,PT07M56.00S,2021-11-30T00:51:38.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",200768,7.178055190538765,50.0,1610612748,11,10,2021-11-30T00:55:03Z,550000,0.0,15.0,1,left,K. Lowry driving Layup (2 PTS),[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,,,,,,Made,2.0,,,,1.5,,,,,,,,,,
56,PT07M49.00S,2021-11-30T00:51:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,93.11760840998686,51.225490196078425,1610612743,11,12,2021-11-30T00:51:53Z,560000,6.0,12.0,1,right,J. Green driving Layup (3 PTS),[201145],1610612743.0,DEN,driving,,,Green,J. Green,,,,,,,,,,Made,3.0,,,,1.36,,,,,,,,,,
57,PT07M30.00S,2021-11-30T00:52:08.4Z,1,REGULAR,foul,personal,[],1628420,,,1610612748,11,12,2021-11-30T00:52:18Z,570000,,,0,,M. Morris personal FOUL (1 PF),"[1628420, 200768]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,201246.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,,
59,PT07M22.00S,2021-11-30T00:52:36.9Z,1,REGULAR,3pt,Jump Shot,[],200768,7.30946123521682,97.05882352941177,1610612748,14,12,2021-11-30T00:52:42Z,590000,-235.0,16.0,1,left,K. Lowry 3PT  (5 PTS) (B. Adebayo 2 AST),"[200768, 1628389]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,Made,5.0,,,,23.59,,,,,B. Adebayo,1628389.0,2.0,,,
61,PT07M07.00S,2021-11-30T00:52:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,90.62089356110381,56.61764705882353,1610612743,14,12,2021-11-30T00:52:56Z,610000,33.0,36.0,1,right,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,,,,,,Missed,,,,,4.87,,,,,,,,,,
62,PT07M05.00S,2021-11-30T00:52:53.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,14,12,2021-11-30T00:52:53Z,620000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,
63,PT07M01.00S,2021-11-30T00:52:57.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,10.200394218134035,70.34313725490196,1610612748,14,12,2021-11-30T00:53:07Z,630000,-102.0,43.0,1,left,MISS B. Adebayo 11' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,Missed,,,,,11.06,,,,,,,,,,
64,PT07M00.00S,2021-11-30T00:52:58.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,14,12,2021-11-30T00:53:07Z,640000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,
65,PT07M00.00S,2021-11-30T00:53:07.7Z,1,REGULAR,foul,personal,[],1628997,,,1610612743,14,12,2021-11-30T00:53:19Z,650000,,,0,,C. Martin loose ball personal FOUL (1 PF),"[1628997, 201145]",1610612748.0,MIA,loose ball,,,Martin,C. Martin,,,,,201246.0,1.0,0.0,Green,201145.0,,,,,,,,,,,,,,,,
67,PT06M49.00S,2021-11-30T00:53:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.85479632063075,60.049019607843135,1610612743,14,14,2021-11-30T00:53:28Z,670000,50.0,15.0,1,right,N. Jokic cutting Layup (7 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,,,,,,Made,7.0,,,,5.23,,,,,M. Morris,1628420.0,1.0,,,
69,PT06M21.00S,2021-11-30T00:53:51.8Z,1,REGULAR,2pt,Jump Shot,[],200782,9.806176084099869,67.64705882352942,1610612748,14,14,2021-11-30T00:53:58Z,690000,-88.0,40.0,1,left,MISS P. Tucker 9' turnaround Shot,[200782],1610612748.0,MIA,turnaround,,,Tucker,P. Tucker,,,,,,,,,,Missed,,,,,9.67,,,,,,,,,,
70,PT06M17.00S,2021-11-30T00:53:55.8Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,14,14,2021-11-30T00:53:58Z,700000,,,0,,W. Barton REBOUND (Off:0 Def:2),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,69.0,2.0,2.0,0.0,,,,,,
71,PT06M16.00S,2021-11-30T00:53:56.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,69.33311432325887,69.85294117647058,1610612743,14,17,2021-11-30T00:58:27Z,710000,99.0,236.0,1,right,W. Barton 25' 3PT pullup (5 PTS),[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,,,,,,Made,5.0,,,,25.59,,,,,,,,,,
72,PT06M05.00S,2021-11-30T00:54:07.5Z,1,REGULAR,3pt,Jump Shot,[],1628997,6.915243101182654,95.58823529411765,1610612748,17,17,2021-11-30T00:54:13Z,720000,-228.0,13.0,1,left,C. Martin 3PT  (5 PTS) (K. Lowry 4 AST),"[1628997, 200768]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,Made,5.0,,,,22.82,,,,,K. Lowry,200768.0,4.0,,,
74,PT05M42.00S,2021-11-30T00:54:29.8Z,1,REGULAR,2pt,Jump Shot,[],1628420,93.77463863337714,75.49019607843137,1610612743,17,19,2021-11-30T00:54:37Z,740000,127.0,6.0,1,right,M. Morris 12' pullup Jump Shot (4 PTS),[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,,,,,,Made,4.0,,,,12.76,,,,,,,,,,
75,PT05M30.00S,2021-11-30T00:54:41.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,6.1268068331143235,2.941176470588235,1610612748,17,19,2021-11-30T00:54:47Z,750000,235.0,5.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,Missed,,,,,23.54,,,,,,,,,,
76,PT05M27.00S,2021-11-30T00:54:44.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,17,19,2021-11-30T00:54:47Z,760000,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,
77,PT05M22.00S,2021-11-30T00:54:50.6Z,1,REGULAR,3pt,Jump Shot,[],201145,93.38042049934296,96.32352941176471,1610612743,17,19,2021-11-30T00:54:56Z,770000,232.0,10.0,1,right,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Missed,,,,,23.18,,,,,,,,,,
78,PT05M20.00S,2021-11-30T00:54:52.6Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,17,19,2021-11-30T00:55:12Z,780000,,,0,,N. Jokic REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,77.0,4.0,2.0,2.0,,,,,,
79,PT05M19.00S,2021-11-30T00:54:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,91.93495400788436,51.9607843137255,1610612743,17,21,2021-11-30T00:55:02Z,790000,10.0,23.0,1,right,N. Jokic putback Layup (9 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,,,,,Made,9.0,,,,2.53,,,,,,,,,,
80,PT05M19.00S,2021-11-30T00:54:59.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,17,21,2021-11-30T00:54:59Z,800000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M19.00S,2021-11-30T00:57:16.2Z,1,REGULAR,substitution,out,[],1628997,,,1610612748,17,21,2021-11-30T00:57:42Z,810000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M19.00S,2021-11-30T00:57:16.2Z,1,REGULAR,substitution,out,[],200768,,,1610612748,17,21,2021-11-30T00:57:42Z,820000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M19.00S,2021-11-30T00:57:16.2Z,1,REGULAR,substitution,out,[],203115,,,1610612748,17,21,2021-11-30T00:57:42Z,830000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2021-11-30T00:57:16.2Z,1,REGULAR,substitution,in,[],1629622,,,1610612748,17,21,2021-11-30T00:57:42Z,840000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M19.00S,2021-11-30T00:57:16.2Z,1,REGULAR,substitution,in,[],1629216,,,1610612748,17,21,2021-11-30T00:57:42Z,850000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M19.00S,2021-11-30T00:57:16.2Z,1,REGULAR,substitution,in,[],203085,,,1610612748,17,21,2021-11-30T00:57:42Z,860000,,,0,,SUB in: A. Rivers,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M03.00S,2021-11-30T00:58:10.8Z,1,REGULAR,3pt,Jump Shot,[],1629622,32.14520367936925,62.5,1610612748,20,21,2021-11-30T00:58:16Z,870000,-62.0,250.0,1,left,M. Strus 25' 3PT  (3 PTS) (D. Robinson 1 AST),"[1629622, 1629130]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,Made,3.0,,,,25.74,,,,,D. Robinson,1629130.0,1.0,,,
89,PT04M48.00S,2021-11-30T00:58:27.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629622,,,1610612743,20,21,2021-11-30T00:58:39Z,890000,,,0,,M. Strus shooting personal FOUL (1 PF) (Gordon 2 FT),"[1629622, 203932]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,1626302.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,,,,,,,
91,PT04M48.00S,2021-11-30T00:58:52.2Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,20,22,2021-11-30T00:58:52Z,910000,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
92,PT04M48.00S,2021-11-30T00:58:53.2Z,1,REGULAR,substitution,out,[],1628420,,,1610612743,20,22,2021-11-30T00:59:00Z,920000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M48.00S,2021-11-30T00:58:53.2Z,1,REGULAR,substitution,out,[],201145,,,1610612743,20,22,2021-11-30T00:59:00Z,930000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M48.00S,2021-11-30T00:58:53.2Z,1,REGULAR,substitution,in,[],1630192,,,1610612743,20,22,2021-11-30T00:59:00Z,940000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M48.00S,2021-11-30T00:58:53.2Z,1,REGULAR,substitution,in,[],1630267,,,1610612743,20,22,2021-11-30T00:59:00Z,950000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
