actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
17,PT11M02.00S,2021-12-02T00:43:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,11.12023653088042,51.470588235294116,1610612748,0,1,2021-12-02T00:43:21Z,170000,-7.0,52.0,1,left,MISS P. Tucker floating Shot,[200782],1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,,,,,,Missed,,,,,,5.25,,,,,,,,,
18,PT10M59.00S,2021-12-02T00:43:17.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,1,2021-12-02T00:43:21Z,180000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,
19,PT10M50.00S,2021-12-02T00:43:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630596,80.50262812089356,95.58823529411765,1610612739,0,1,2021-12-02T00:43:32Z,190000,228.0,131.0,1,right,MISS E. Mobley 26' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,Missed,,,,,,26.28,,,,,,,,,
20,PT10M45.00S,2021-12-02T00:43:31.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,1,2021-12-02T00:43:32Z,200000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,
21,PT10M25.00S,2021-12-02T00:43:51.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,20.630749014454665,10.56219362745098,1610612748,0,1,2021-12-02T00:44:26Z,210000,197.0,141.0,1,left,MISS D. Robinson 24' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,,,Missed,,,,,,24.27,,,,,,,,,
22,PT10M23.00S,2021-12-02T00:43:53.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,0,1,2021-12-02T00:43:56Z,220000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M16.00S,2021-12-02T00:43:59.7Z,1,REGULAR,3pt,Jump Shot,[],1628374,79.31997371879106,90.68627450980392,1610612739,0,1,2021-12-02T00:44:06Z,230000,203.0,142.0,1,right,MISS L. Markkanen 24' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Missed,,,,,,24.8,,,,,,,,,
24,PT10M16.00S,2021-12-02T00:43:59.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,1,2021-12-02T00:44:06Z,240000,,,0,,K. Lowry REBOUND (Off:0 Def:3),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,23.0,3.0,3.0,0.0,,,,,,,,,,
25,PT10M06.00S,2021-12-02T00:44:14.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,9.724047306176084,44.15211397058824,1610612748,2,1,2021-12-02T00:44:49Z,250000,29.0,39.0,1,left,T. Herro driving floating bank Jump Shot (2 PTS),[1629639],1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,,,,,,Made,2.0,,,,,4.86,,,,,,,,,
26,PT10M06.00S,2021-12-02T00:44:18.3Z,1,REGULAR,foul,personal,['1freethrow'],1628374,,,1610612748,2,1,2021-12-02T00:44:28Z,260000,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Herro 1 FT),"[1628374, 1629639]",1610612739.0,CLE,shooting,,,Markkanen,L. Markkanen,,,,,1627964.0,1.0,0.0,Herro,1629639.0,,,,,,,,,,,,,,,,
28,PT10M06.00S,2021-12-02T00:44:37.4Z,1,REGULAR,freethrow,1 of 1,[],1629639,,,1610612748,3,1,2021-12-02T00:44:37Z,280000,,,0,,T. Herro Free Throw 1 of 1 (3 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
29,PT09M50.00S,2021-12-02T00:44:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,93.11760840998686,52.450980392156865,1610612739,3,3,2021-12-02T00:45:41Z,290000,12.0,12.0,1,right,J. Allen Layup (2 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,Made,2.0,,,,,1.73,E. Mobley,1630596.0,1.0,,,,,,
31,PT09M43.00S,2021-12-02T00:45:02.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203473,6.1268068331143235,51.9607843137255,1610612748,5,3,2021-12-02T00:45:21Z,310000,-10.0,5.0,1,left,D. Dedmon DUNK (2 PTS) (T. Herro 1 AST),"[203473, 1629639]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,Made,2.0,,,,,1.1,T. Herro,1629639.0,1.0,,,,,,
33,PT09M22.00S,2021-12-02T00:45:23.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,66.44218134034165,45.83333333333333,1610612739,5,6,2021-12-02T00:45:52Z,330000,-21.0,263.0,1,right,D. Garland 26' 3PT pullup (3 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,,,Made,3.0,,,,,26.37,,,,,,,,,
34,PT09M12.00S,2021-12-02T00:45:37.2Z,1,REGULAR,foul,personal,[],1628374,,,1610612748,5,6,2021-12-02T00:45:47Z,340000,,,0,,L. Markkanen personal FOUL (2 PF),"[1628374, 1629639]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,1627964.0,2.0,0.0,Herro,1629639.0,,,,,,,,,,,,,,,,
36,PT09M04.00S,2021-12-02T00:46:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203473,7.046649145860711,50.73529411764706,1610612748,5,6,2021-12-02T00:46:06Z,360000,-4.0,14.0,1,left,MISS D. Dedmon Layup - blocked,"[203473, 1628386]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,Missed,,,,,,1.42,,,,Allen,1628386.0,,,,
37,PT09M04.00S,2021-12-02T00:46:00.8Z,1,REGULAR,block,,[],1628386,,,1610612748,5,6,2021-12-02T00:46:03Z,370000,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M00.00S,2021-12-02T00:46:04.8Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,5,6,2021-12-02T00:46:06Z,380000,,,0,,D. Dedmon REBOUND (Off:1 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,
39,PT08M55.00S,2021-12-02T00:46:12.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",200768,7.30946123521682,51.71568627450981,1610612748,5,6,2021-12-02T00:46:19Z,390000,-9.0,16.0,1,left,MISS K. Lowry driving Layup - blocked,"[200768, 1628386]",1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,,,,1.83,,,,Allen,1628386.0,,,,
40,PT08M55.00S,2021-12-02T00:46:12.5Z,1,REGULAR,block,,[],1628386,,,1610612748,5,6,2021-12-02T00:46:15Z,400000,,,0,,J. Allen BLOCK (2 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M55.00S,2021-12-02T00:46:12.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,5,6,2021-12-02T00:46:19Z,410000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,
42,PT08M55.00S,2021-12-02T00:46:17.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,5,6,2021-12-02T00:46:41Z,420000,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,2714.0,,,,,,,,,,,,,,,,,,,,
43,PT08M49.00S,2021-12-02T00:46:27.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628386,92.9862023653088,49.26470588235294,1610612739,5,8,2021-12-02T00:46:33Z,430000,-4.0,13.0,1,right,J. Allen alley-oop DUNK (4 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,,,,,,Made,4.0,,,,,1.39,D. Garland,1629636.0,1.0,,,,,,
45,PT08M36.00S,2021-12-02T00:46:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.915243101182654,50.245098039215684,1610612748,5,8,2021-12-02T00:46:50Z,450000,-1.0,13.0,1,left,MISS T. Herro driving Layup - blocked,"[1629639, 1630596]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,,,,,,Missed,,,,,,1.26,,,,Mobley,1630596.0,,,,
46,PT08M36.00S,2021-12-02T00:46:42.7Z,1,REGULAR,block,,[],1630596,,,1610612748,5,8,2021-12-02T00:46:45Z,460000,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M36.00S,2021-12-02T00:46:42.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,5,8,2021-12-02T00:46:50Z,470000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
48,PT08M36.00S,2021-12-02T00:46:47.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,5,8,2021-12-02T00:46:47Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M34.00S,2021-12-02T00:47:01.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,7.30946123521682,98.0392156862745,1610612748,5,8,2021-12-02T00:47:06Z,490000,-240.0,16.0,1,left,MISS T. Herro 24' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,Missed,,,,,,24.07,,,,,,,,,
50,PT08M31.00S,2021-12-02T00:47:04.2Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,5,8,2021-12-02T00:47:06Z,500000,,,0,,D. Dedmon REBOUND (Off:2 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,49.0,3.0,1.0,2.0,,,,,,,,,,
51,PT08M29.00S,2021-12-02T00:47:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203473,6.783837056504599,51.9607843137255,1610612748,7,8,2021-12-02T00:47:09Z,510000,-10.0,11.0,1,left,D. Dedmon Layup (4 PTS),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,Made,4.0,,,,,1.5,,,,,,,,,
52,PT08M20.00S,2021-12-02T00:47:14.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,66.70499342969777,47.30392156862745,1610612739,7,8,2021-12-02T00:48:51Z,520000,-13.0,260.0,1,right,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,,,Missed,,,,,,26.08,,,,,,,,,
53,PT08M18.00S,2021-12-02T00:47:16.6Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,7,8,2021-12-02T00:47:18Z,530000,,,0,,D. Dedmon REBOUND (Off:2 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,52.0,4.0,2.0,2.0,,,,,,,,,,
54,PT07M58.00S,2021-12-02T00:47:36.6Z,1,REGULAR,3pt,Jump Shot,[],200768,17.821944809461236,94.11764705882352,1610612748,7,8,2021-12-02T00:47:45Z,540000,-221.0,115.0,1,left,MISS K. Lowry 24' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,,,,24.88,,,,,,,,,
55,PT07M55.00S,2021-12-02T00:47:39.6Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,7,8,2021-12-02T01:24:16Z,550000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,
56,PT07M49.00S,2021-12-02T00:47:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,92.85479632063075,45.34313725490196,1610612739,7,10,2021-12-02T00:47:51Z,560000,-23.0,15.0,1,right,I. Okoro running Layup (2 PTS),[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,,,,,,Made,2.0,,,,,2.75,,,,,,,,,
57,PT07M33.00S,2021-12-02T00:48:02.0Z,1,REGULAR,3pt,Jump Shot,[],1629639,32.670827858081466,47.05882352941176,1610612748,7,10,2021-12-02T00:50:53Z,570000,15.0,255.0,1,left,MISS T. Herro 25' pullup 3PT - blocked,"[1629639, 1630596]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,,,,,,Missed,,,,,,25.5,,,,Mobley,1630596.0,,,,
68,PT07M33.00S,2021-12-02T00:48:02.0Z,1,REGULAR,block,,[],1630596,,,1610612748,7,10,2021-12-02T00:50:46Z,575000,,,0,,E. Mobley BLOCK (2 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M30.00S,2021-12-02T00:48:05.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,7,10,2021-12-02T00:48:10Z,580000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
59,PT07M29.00S,2021-12-02T00:48:13.1Z,1,REGULAR,foul,offensive,[],1630171,,,1610612739,7,10,2021-12-02T00:48:31Z,590000,,,0,,I. Okoro charge offensive FOUL (1 PF),"[1630171, 200768]",1610612739.0,CLE,charge,,,Okoro,I. Okoro,,,,,1151.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,,
61,PT07M29.00S,2021-12-02T00:48:13.1Z,1,REGULAR,turnover,offensive foul,[],1630171,,,1610612739,7,10,2021-12-02T00:48:13Z,610000,,,0,,I. Okoro offensive foul TURNOVER (1 TO),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,1151.0,,,,,,,,,,,,,,,,,1.0,,,
62,PT07M12.00S,2021-12-02T00:48:43.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203473,9.149145860709593,96.07843137254902,1610612748,7,10,2021-12-02T00:48:48Z,620000,-230.0,34.0,1,left,MISS D. Dedmon 3PT,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,Missed,,,,,,23.28,,,,,,,,,
63,PT07M08.00S,2021-12-02T00:48:47.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,7,10,2021-12-02T00:48:48Z,630000,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,
64,PT06M59.00S,2021-12-02T00:48:55.6Z,1,REGULAR,3pt,Jump Shot,[],1628374,92.72339027595268,2.450980392156863,1610612739,7,10,2021-12-02T00:49:02Z,640000,-238.0,16.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Missed,,,,,,23.82,,,,,,,,,
65,PT06M57.00S,2021-12-02T00:48:57.6Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,7,10,2021-12-02T00:48:57Z,650000,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,64.0,3.0,2.0,1.0,,,,,,,,,,
66,PT06M56.00S,2021-12-02T00:49:03.5Z,1,REGULAR,turnover,out-of-bounds,[],1628386,,,1610612739,7,10,2021-12-02T00:49:12Z,660000,,,0,,J. Allen lost ball out-of-bounds TURNOVER (1 TO),[1628386],1610612739.0,CLE,lost ball,,,Allen,J. Allen,,,,,1151.0,,,,,,,,,,,,,,,,,1.0,,,
67,PT06M56.00S,2021-12-02T00:49:11.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,7,10,2021-12-02T00:49:11Z,670000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M36.00S,2021-12-02T00:52:27.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,27.283180026281208,22.058823529411764,1610612748,10,10,2021-12-02T00:52:32Z,680000,140.0,204.0,1,left,T. Herro 24' 3PT  (6 PTS) (K. Lowry 1 AST),"[1629639, 200768]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,Made,6.0,,,,,24.72,K. Lowry,200768.0,1.0,,,,,,
71,PT06M14.00S,2021-12-02T00:52:53.0Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,10,10,2021-12-02T00:52:59Z,700000,,,0,,E. Mobley lost ball out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,lost ball,,,Mobley,E. Mobley,,,,,2714.0,,,,,,,,,,,,,,,,,1.0,,,
72,PT06M14.00S,2021-12-02T00:52:59.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612748,10,10,2021-12-02T00:53:04Z,710000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M14.00S,2021-12-02T00:52:59.3Z,1,REGULAR,substitution,in,[],201567,,,1610612748,10,10,2021-12-02T00:53:04Z,720000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M56.00S,2021-12-02T00:53:25.7Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,10,10,2021-12-02T00:53:30Z,730000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1630171]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,1.0,Okoro,1630171.0,
75,PT05M56.00S,2021-12-02T00:53:25.7Z,1,REGULAR,steal,,[],1630171,,,1610612739,10,10,2021-12-02T00:53:28Z,740000,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M47.00S,2021-12-02T00:53:36.4Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,10,10,2021-12-02T00:53:42Z,750000,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,1151.0,,,,,,,,,,,,,,,,,1.0,,,
77,PT05M46.00S,2021-12-02T00:53:42.5Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,10,10,2021-12-02T00:53:47Z,760000,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,1627964.0,,,,,,,,,,,,,,,,,1.0,,,
78,PT05M31.00S,2021-12-02T00:54:04.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201567,89.83245729303549,96.81372549019608,1610612739,10,13,2021-12-02T00:54:09Z,770000,234.0,43.0,1,right,K. Love 3PT  (3 PTS) (D. Garland 2 AST),"[201567, 1629636]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,Made,3.0,,,,,23.8,D. Garland,1629636.0,2.0,,,,,,
80,PT05M10.00S,2021-12-02T00:54:31.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,10,13,2021-12-02T00:54:31Z,790000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,10,13,2021-12-02T00:54:44Z,800000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,out,[],203473,,,1610612748,10,13,2021-12-02T00:54:44Z,810000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,out,[],1628374,,,1610612748,10,13,2021-12-02T00:54:44Z,820000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,out,[],1630171,,,1610612748,10,13,2021-12-02T00:54:44Z,830000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,10,13,2021-12-02T00:54:44Z,840000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,in,[],1629216,,,1610612748,10,13,2021-12-02T00:54:44Z,850000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,in,[],201937,,,1610612748,10,13,2021-12-02T00:54:44Z,860000,,,0,,SUB in: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M10.00S,2021-12-02T00:54:32.1Z,1,REGULAR,substitution,in,[],1630205,,,1610612748,10,13,2021-12-02T00:54:44Z,870000,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
