actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
17,PT10M51.00S,2022-03-27T00:13:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,94.40999984741211,50.0,1610612751,4,3,2022-03-27T00:13:00Z,170000,0.0,0.0,1,right,MISS A. Drummond tip Layup,[203083],1610612751.0,BKN,tip,,,Drummond,A. Drummond,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
18,PT10M50.00S,2022-03-27T00:13:02.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,4,3,2022-03-27T00:13:02Z,180000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M46.00S,2022-03-27T00:13:05.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.062417871222076,43.13725490196079,1610612748,6,3,2022-03-27T00:13:21Z,190000,34.0,89.0,1,left,B. Adebayo 9' floating Jump Shot (2 PTS) (J. Butler 2 AST),"[1628389, 202710]",1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,,,,9.55,Made,2.0,J. Butler,202710.0,2.0,,,,,,,,,,,,
21,PT10M26.00S,2022-03-27T00:13:26.1Z,1,REGULAR,3pt,Jump Shot,[],201142,75.90341655716163,85.7843137254902,1610612751,6,3,2022-03-27T00:13:31Z,210000,179.0,174.0,1,right,MISS K. Durant 24' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,24.96,Missed,,,,,,,,,,,,,,,,
22,PT10M23.00S,2022-03-27T00:13:29.1Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,6,3,2022-03-27T00:13:31Z,220000,,,0,,A. Drummond REBOUND (Off:2 Def:0),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,21.0,2.0,0.0,2.0,,,,,
23,PT10M20.00S,2022-03-27T00:13:32.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203083,90.27595269382391,58.6014093137255,1610612751,6,5,2022-03-27T00:13:56Z,230000,43.0,39.0,1,right,A. Drummond Hook (2 PTS),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,5.8,Made,2.0,,,,,,,,,,,,,,,
24,PT10M02.00S,2022-03-27T00:13:51.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,6,5,2022-03-27T00:13:51Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M56.00S,2022-03-27T00:14:09.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,23.603810775295663,53.431372549019606,1610612748,6,5,2022-03-27T00:14:14Z,250000,-17.0,169.0,1,left,MISS B. Adebayo 17' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,17.03,Missed,,,,,,,,,,,,,,,,
26,PT09M55.00S,2022-03-27T00:14:12.0Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,6,5,2022-03-27T00:14:12Z,260000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT09M43.00S,2022-03-27T00:14:31.4Z,1,REGULAR,violation,kicked ball,[],1628389,,,1610612751,6,5,2022-03-27T00:14:37Z,270000,,,0,,B. Adebayo kicked ball VIOLATION,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,1193.0,,,,,,,,,,,
28,PT09M30.00S,2022-03-27T00:14:54.8Z,1,REGULAR,2pt,Jump Shot,[],201142,91.14651773981603,27.205882352941174,1610612751,6,7,2022-03-27T00:15:05Z,280000,-114.0,31.0,1,right,K. Durant 11' fadeaway Jump Shot (2 PTS),[201142],1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,,,,11.81,Made,2.0,,,,,,,,,,,,,,,
29,PT09M26.00S,2022-03-27T00:15:01.0Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612748,6,7,2022-03-27T00:15:13Z,290000,,,0,,B. Brown shooting personal FOUL (1 PF) (Butler 2 FT),"[1628971, 202710]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,2005.0,1.0,0.0,,,,,Butler,202710.0,,,
31,PT09M26.00S,2022-03-27T00:15:26.1Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,7,7,2022-03-27T00:15:26Z,310000,,,0,,J. Butler Free Throw 1 of 2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
32,PT09M26.00S,2022-03-27T00:15:43.6Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,8,7,2022-03-27T00:15:43Z,320000,,,0,,J. Butler Free Throw 2 of 2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
33,PT09M13.00S,2022-03-27T00:15:57.3Z,1,REGULAR,3pt,Jump Shot,[],202681,65.78515111695138,40.68627450980392,1610612751,8,7,2022-03-27T00:16:02Z,330000,-47.0,269.0,1,right,MISS K. Irving 27' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,27.31,Missed,,,,,,,,,,,,,,,,
34,PT09M10.00S,2022-03-27T00:16:00.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,8,7,2022-03-27T00:16:02Z,340000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,
35,PT08M52.00S,2022-03-27T00:16:18.7Z,1,REGULAR,2pt,Jump Shot,[],200768,12.220762155059132,68.89552696078431,1610612748,10,7,2022-03-27T00:16:37Z,350000,-94.0,62.0,1,left,K. Lowry 11' driving floating bank Jump Shot (5 PTS) (B. Adebayo 1 AST),"[200768, 1628389]",1610612748.0,MIA,driving floating bank,,,Lowry,K. Lowry,,,,,,,,11.32,Made,5.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,
37,PT08M35.00S,2022-03-27T00:16:36.1Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,10,7,2022-03-27T00:16:41Z,370000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 200768]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,1.0,Lowry,200768.0,,,,,,,,,,,,,,,,,,
38,PT08M35.00S,2022-03-27T00:16:36.1Z,1,REGULAR,steal,,[],200768,,,1610612748,10,7,2022-03-27T00:16:38Z,380000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M28.00S,2022-03-27T00:16:42.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,31.35676741130092,24.754901960784316,1610612748,10,7,2022-03-27T00:16:51Z,390000,126.0,242.0,1,left,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,27.32,Missed,,,,,,,,,,,,,,,,
40,PT08M20.00S,2022-03-27T00:16:50.5Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,10,7,2022-03-27T00:16:50Z,400000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,39.0,2.0,1.0,1.0,,,,,
41,PT08M18.00S,2022-03-27T00:16:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",200782,6.389618922470433,45.34313725490196,1610612748,12,7,2022-03-27T00:17:05Z,410000,23.0,8.0,1,left,P. Tucker cutting Layup (2 PTS) (J. Butler 3 AST),"[200782, 202710]",1610612748.0,MIA,cutting,,,Tucker,P. Tucker,,,,,,,,2.45,Made,2.0,J. Butler,202710.0,3.0,,,,,,,,,,,,
43,PT08M08.00S,2022-03-27T00:17:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,92.85479632063075,55.14705882352941,1610612751,12,7,2022-03-27T00:17:09Z,430000,26.0,15.0,1,right,MISS K. Durant cutting Layup,[201142],1610612751.0,BKN,cutting,,,Durant,K. Durant,,,,,,,,2.96,Missed,,,,,,,,,,,,,,,,
44,PT08M08.00S,2022-03-27T00:17:02.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,12,7,2022-03-27T00:17:09Z,440000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,
45,PT08M01.00S,2022-03-27T00:17:09.4Z,1,REGULAR,3pt,Jump Shot,[],200782,7.440867279894875,3.6764705882352944,1610612748,15,7,2022-03-27T00:17:25Z,450000,232.0,17.0,1,left,P. Tucker 3PT  (5 PTS) (J. Butler 4 AST),"[200782, 202710]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,23.23,Made,5.0,J. Butler,202710.0,4.0,,,,,,,,,,,,
47,PT07M57.00S,2022-03-27T00:17:19.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,15,7,2022-03-27T00:17:19Z,470000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M37.00S,2022-03-27T00:20:41.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,86.41590013140605,45.83333333333333,1610612751,15,9,2022-03-27T00:20:47Z,480000,-21.0,75.0,1,right,K. Durant 7' turnaround fadeaway Jump Shot (4 PTS),[201142],1610612751.0,BKN,turnaround fadeaway,,,Durant,K. Durant,,,,,,,,7.8,Made,4.0,,,,,,,,,,,,,,,
49,PT07M11.00S,2022-03-27T00:21:09.0Z,1,REGULAR,3pt,Jump Shot,[],1628389,34.773324572930356,56.372549019607845,1610612748,15,9,2022-03-27T00:21:32Z,490000,-32.0,274.0,1,left,MISS B. Adebayo 27' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,27.62,Missed,,,,,,,,,,,,,,,,
50,PT07M10.00S,2022-03-27T00:21:10.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,15,9,2022-03-27T00:21:54Z,500000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,
51,PT07M10.00S,2022-03-27T00:21:16.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,15,9,2022-03-27T00:21:24Z,510000,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,1193.0,,,,,,,,,,,
52,PT06M52.00S,2022-03-27T00:21:38.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,80.3712220762155,63.725490196078425,1610612751,15,11,2022-03-27T00:21:45Z,520000,69.0,132.0,1,right,K. Durant 14' Jump Shot (6 PTS) (K. Irving 1 AST),"[201142, 202681]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,14.88,Made,6.0,K. Irving,202681.0,1.0,,,,,,,,,,,,
54,PT06M40.00S,2022-03-27T00:21:50.9Z,1,REGULAR,2pt,Jump Shot,[],202710,7.835085413929041,17.647058823529413,1610612748,17,11,2022-03-27T00:22:05Z,540000,162.0,21.0,1,left,J. Butler 16' turnaround Jump Shot (5 PTS),[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,,,,16.32,Made,5.0,,,,,,,,,,,,,,,
55,PT06M27.00S,2022-03-27T00:22:04.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203083,90.48948751642575,53.92156862745098,1610612751,17,13,2022-03-27T00:22:11Z,550000,20.0,37.0,1,right,A. Drummond driving Hook (4 PTS),[203083],1610612751.0,BKN,driving,,,Drummond,A. Drummond,,,,,,,,4.18,Made,4.0,,,,,,,,,,,,,,,
57,PT06M14.00S,2022-03-27T00:22:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,7.966491458607096,58.82352941176471,1610612748,19,13,2022-03-27T00:22:25Z,570000,-44.0,22.0,1,left,J. Butler pullup bank Jump Shot (7 PTS),[202710],1610612748.0,MIA,pullup bank,,,Butler,J. Butler,,,,,,,,4.95,Made,7.0,,,,,,,,,,,,,,,
58,PT05M56.00S,2022-03-27T00:22:37.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,92.9862023653088,42.8921568627451,1610612751,19,15,2022-03-27T00:22:44Z,580000,-36.0,13.0,1,right,A. Drummond cutting Layup (6 PTS) (K. Durant 1 AST),"[203083, 201142]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,,,,3.79,Made,6.0,K. Durant,201142.0,1.0,,,,,,,,,,,,
60,PT05M56.00S,2022-03-27T00:22:41.7Z,1,REGULAR,foul,personal,['1freethrow'],200768,,,1610612751,19,15,2022-03-27T00:23:07Z,600000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Drummond 1 FT),"[200768, 203083]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,,,,1193.0,1.0,0.0,,,,,Drummond,203083.0,,,
62,PT05M56.00S,2022-03-27T00:22:54.7Z,1,REGULAR,substitution,out,[],1629130,,,1610612751,19,15,2022-03-27T00:23:05Z,620000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M56.00S,2022-03-27T00:22:54.7Z,1,REGULAR,substitution,in,[],1629639,,,1610612751,19,15,2022-03-27T00:23:05Z,630000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M56.00S,2022-03-27T00:23:14.5Z,1,REGULAR,freethrow,1 of 1,[],203083,,,1610612751,19,15,2022-03-27T00:23:19Z,640000,,,0,,MISS A. Drummond Free Throw 1 of 1,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,Missed,,,,,,,,,,,,,,,,
65,PT05M54.00S,2022-03-27T00:23:16.5Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,19,15,2022-03-27T00:23:35Z,650000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,
66,PT05M42.00S,2022-03-27T00:23:27.5Z,1,REGULAR,2pt,Jump Shot,[],200768,16.245072273324574,77.69607843137256,1610612748,21,15,2022-03-27T00:23:34Z,660000,-138.0,100.0,1,left,K. Lowry 17' Jump Shot (7 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,17.09,Made,7.0,,,,,,,,,,,,,,,
67,PT05M28.00S,2022-03-27T00:23:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628971,92.59198423127464,3.431372549019608,1610612751,21,15,2022-03-27T00:23:47Z,670000,-233.0,17.0,1,right,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,23.34,Missed,,,,,,,,,,,,,,,,
68,PT05M25.00S,2022-03-27T00:23:44.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,21,15,2022-03-27T00:23:47Z,680000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,
69,PT05M23.00S,2022-03-27T00:23:49.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,21,15,2022-03-27T00:23:49Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M23.00S,2022-03-27T00:23:50.4Z,1,REGULAR,substitution,out,[],203083,,,1610612748,21,15,2022-03-27T00:23:54Z,700000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M23.00S,2022-03-27T00:23:50.4Z,1,REGULAR,substitution,in,[],1629651,,,1610612748,21,15,2022-03-27T00:23:54Z,710000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M21.00S,2022-03-27T00:24:09.4Z,1,REGULAR,2pt,Jump Shot,[],202710,5.863994743758213,84.55882352941177,1610612748,21,15,2022-03-27T00:26:09Z,720000,-173.0,3.0,1,left,MISS J. Butler 17' Jump Shot,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,17.28,Missed,,,,,,,,,,,,,,,,
73,PT05M17.00S,2022-03-27T00:24:13.4Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,21,15,2022-03-27T00:26:09Z,730000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,72.0,1.0,0.0,1.0,,,,,
74,PT05M15.00S,2022-03-27T00:24:15.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,6.258212877792378,46.568627450980394,1610612748,21,15,2022-03-27T00:24:21Z,740000,17.0,6.0,1,left,MISS J. Butler cutting Layup,[202710],1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,,,,1.83,Missed,,,,,,,,,,,,,,,,
75,PT05M13.00S,2022-03-27T00:24:17.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,21,15,2022-03-27T00:24:21Z,750000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,,,
76,PT05M05.00S,2022-03-27T00:24:31.2Z,1,REGULAR,foul,personal,[],200768,,,1610612751,21,15,2022-03-27T00:24:52Z,760000,,,0,,K. Lowry personal FOUL (2 PF),"[200768, 1628971]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,1193.0,2.0,0.0,,,,,Brown,1628971.0,,,
78,PT05M05.00S,2022-03-27T00:24:35.6Z,1,REGULAR,substitution,out,[],203552,,,1610612751,21,15,2022-03-27T00:24:53Z,780000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M05.00S,2022-03-27T00:24:35.6Z,1,REGULAR,substitution,in,[],201609,,,1610612751,21,15,2022-03-27T00:24:53Z,790000,,,0,,SUB in: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M57.00S,2022-03-27T00:24:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.46057818659659,54.166666666666664,1610612751,21,17,2022-03-27T00:25:04Z,800000,21.0,18.0,1,right,N. Claxton Layup (2 PTS) (K. Durant 2 AST),"[1629651, 201142]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,2.78,Made,2.0,K. Durant,201142.0,2.0,,,,,,,,,,,,
82,PT04M44.00S,2022-03-27T00:25:11.7Z,1,REGULAR,3pt,Jump Shot,[],200768,31.61957950065703,35.049019607843135,1610612748,21,17,2022-03-27T00:25:18Z,820000,75.0,245.0,1,left,MISS K. Lowry 25' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,,,25.59,Missed,,,,,,,,,,,,,,,,
83,PT04M42.00S,2022-03-27T00:25:13.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,21,17,2022-03-27T00:25:18Z,830000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,
84,PT04M32.00S,2022-03-27T00:25:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,85.89027595269383,55.14705882352941,1610612751,21,17,2022-03-27T00:25:29Z,840000,26.0,80.0,1,right,MISS K. Irving 8' pullup Shot - blocked,"[202681, 202710]",1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,8.41,Missed,,,,,,,,,,,,,,Butler,202710.0,
85,PT04M32.00S,2022-03-27T00:25:24.0Z,1,REGULAR,block,,[],202710,,,1610612751,21,17,2022-03-27T00:25:26Z,850000,,,0,,J. Butler BLOCK (1 BLK),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M29.00S,2022-03-27T00:25:27.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,21,17,2022-03-27T00:25:29Z,860000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,84.0,2.0,2.0,0.0,,,,,
87,PT04M24.00S,2022-03-27T00:25:32.4Z,1,REGULAR,3pt,Jump Shot,[],200782,5.469776609724048,96.07843137254902,1610612748,21,17,2022-03-27T00:25:39Z,870000,-230.0,-1.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,23.04,Missed,,,,,,,,,,,,,,,,
88,PT04M21.00S,2022-03-27T00:25:35.8Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,21,17,2022-03-27T00:25:35Z,880000,,,0,,B. Adebayo REBOUND (Off:2 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,87.0,3.0,1.0,2.0,,,,,
89,PT04M17.00S,2022-03-27T00:25:39.0Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,21,17,2022-03-27T00:25:43Z,890000,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1628971]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,1.0,Brown,1628971.0,,,,,,,,,,,,,,,,,,
90,PT04M17.00S,2022-03-27T00:25:39.0Z,1,REGULAR,steal,,[],1628971,,,1610612751,21,17,2022-03-27T00:25:40Z,900000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
