actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
16,PT10M53.00S,2022-03-08T00:44:08.8Z,1,REGULAR,3pt,Jump Shot,[],1629645,73.27529566360053,83.08823529411765,1610612745,2,3,2022-03-08T00:44:14Z,160000,165.0,199.0,1,right,K. Porter Jr. 25' 3PT pullup (3 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,,,25.85,Made,,,,,,,,,3.0,,,,,,,,
17,PT10M43.00S,2022-03-08T00:44:18.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,27.808804204993432,80.88235294117648,1610612748,5,3,2022-03-08T00:44:22Z,170000,-154.0,209.0,1,left,D. Robinson 25' 3PT  (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,25.98,Made,,,,,,,,,3.0,J. Butler,202710.0,1.0,,,,,
19,PT10M24.00S,2022-03-08T00:44:37.4Z,1,REGULAR,3pt,Jump Shot,[],1629645,75.64060446780552,9.558823529411764,1610612745,5,3,2022-03-08T00:44:43Z,190000,-202.0,176.0,1,right,MISS K. Porter Jr. 26' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,26.84,Missed,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2022-03-08T00:44:40.4Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,5,3,2022-03-08T00:44:43Z,200000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M16.00S,2022-03-08T00:44:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,5.995400788436268,47.05882352941176,1610612748,7,3,2022-03-08T00:44:53Z,210000,15.0,4.0,1,left,B. Adebayo running Layup (2 PTS) (P. Tucker 1 AST),"[1628389, 200782]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,,,1.52,Made,,,,,,,,,2.0,P. Tucker,200782.0,1.0,,,,,
23,PT10M06.00S,2022-03-08T00:44:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,94.03745072273325,52.20588235294118,1610612745,7,5,2022-03-08T00:45:01Z,230000,11.0,4.0,1,right,A. Sengun driving Layup (2 PTS) (K. Porter Jr. 1 AST),"[1630578, 1629645]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,,,1.15,Made,,,,,,,,,2.0,K. Porter Jr.,1629645.0,1.0,,,,,
25,PT09M55.00S,2022-03-08T00:45:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629130,6.701708278580814,47.349877450980394,1610612748,9,5,2022-03-08T00:45:30Z,250000,13.0,10.0,1,left,D. Robinson Layup (5 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,1.69,Made,,,,,,,,,5.0,B. Adebayo,1628389.0,1.0,,,,,
27,PT09M55.00S,2022-03-08T00:45:14.1Z,1,REGULAR,violation,defensive goaltending,[],1630224,,,1610612748,9,5,2022-03-08T00:46:23Z,270000,,,0,,J. Green defensive goaltending VIOLATION,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,1363.0,,,,,,,,,,,,,,,,,,,,
28,PT09M31.00S,2022-03-08T00:45:41.1Z,1,REGULAR,3pt,Jump Shot,[],1630256,96.5341655716163,97.30392156862744,1610612745,9,5,2022-03-08T00:45:45Z,280000,237.0,-20.0,1,right,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,23.73,Missed,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2022-03-08T00:45:43.1Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,9,5,2022-03-08T00:45:45Z,290000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M22.00S,2022-03-08T00:45:50.5Z,1,REGULAR,3pt,Jump Shot,[],200782,7.178055190538765,3.1862745098039214,1610612748,9,5,2022-03-08T00:45:57Z,300000,234.0,15.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,23.46,Missed,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2022-03-08T00:45:55.5Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,9,5,2022-03-08T00:45:57Z,310000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
32,PT09M14.00S,2022-03-08T00:46:03.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,9,5,2022-03-08T00:46:03Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M09.00S,2022-03-08T00:46:30.6Z,1,REGULAR,foul,personal,[],1628389,,,1610612745,9,5,2022-03-08T00:46:37Z,330000,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1630578]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,200832.0,,,,,,,,1.0,0.0,Sengun,1630578.0,,,,,,,,,
35,PT09M03.00S,2022-03-08T00:46:53.1Z,1,REGULAR,3pt,Jump Shot,[],1630224,70.90998685939553,75.98039215686273,1610612745,9,8,2022-03-08T00:46:58Z,350000,130.0,221.0,1,right,J. Green 25' 3PT  (3 PTS) (J. Tate 1 AST),"[1630224, 1630256]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,25.63,Made,,,,,,,,,3.0,J. Tate,1630256.0,1.0,,,,,
37,PT08M39.00S,2022-03-08T00:47:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,7.703679369250986,62.745098039215684,1610612748,11,8,2022-03-08T00:47:24Z,370000,-64.0,20.0,1,left,P. Tucker 6' floating Jump Shot (2 PTS) (D. Robinson 1 AST),"[200782, 1629130]",1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,,,6.67,Made,,,,,,,,,2.0,D. Robinson,1629130.0,1.0,,,,,
39,PT08M26.00S,2022-03-08T00:47:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,67.45852496714849,55.6640625,1610612745,11,11,2022-03-08T00:47:36Z,390000,28.0,253.0,1,right,J. Green 25' 3PT  (6 PTS) (J. Christopher 1 AST),"[1630224, 1630528]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,25.5,Made,,,,,,,,,6.0,J. Christopher,1630528.0,1.0,,,,,
41,PT08M22.00S,2022-03-08T00:47:35.3Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,11,11,2022-03-08T01:37:48Z,410000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1630256]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,1.0,,,,,,,,,,,,,,,Tate,1630256.0,,,
42,PT08M22.00S,2022-03-08T00:47:35.3Z,1,REGULAR,steal,,[],1630256,,,1610612745,11,11,2022-03-08T00:47:37Z,420000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M15.00S,2022-03-08T00:47:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630256,92.32917214191852,43.13725490196079,1610612745,11,11,2022-03-08T00:47:47Z,430000,-34.0,20.0,1,right,MISS J. Tate driving Layup,[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,,,3.95,Missed,,,,,,,,,,,,,,,,,
44,PT08M12.00S,2022-03-08T00:47:45.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,11,11,2022-03-08T00:47:47Z,440000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,
45,PT08M09.00S,2022-03-08T00:47:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202710,4.944152431011826,56.372549019607845,1610612748,11,11,2022-03-08T00:47:57Z,450000,-32.0,-6.0,1,left,MISS J. Butler running Layup,[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,,,3.25,Missed,,,,,,,,,,,,,,,,,
46,PT08M06.00S,2022-03-08T00:47:51.2Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,11,11,2022-03-08T00:47:57Z,460000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,
47,PT07M52.00S,2022-03-08T00:48:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,94.43166885676742,54.65686274509803,1610612745,11,11,2022-03-08T00:48:11Z,470000,23.0,0.0,1,right,MISS K. Porter Jr. cutting Layup,[1629645],1610612745.0,HOU,cutting,,,Porter Jr.,K. Porter Jr.,,,,,,,2.33,Missed,,,,,,,,,,,,,,,,,
48,PT07M49.00S,2022-03-08T00:48:08.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,11,11,2022-03-08T00:48:11Z,480000,,,0,,P. Tucker REBOUND (Off:0 Def:3),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,,,,
49,PT07M44.00S,2022-03-08T00:48:13.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",200782,13.091327201051248,52.69607843137255,1610612748,11,11,2022-03-08T00:48:28Z,490000,-13.0,71.0,1,left,MISS P. Tucker 7' floating Shot - blocked,"[200782, 1630256]",1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,,,7.19,Missed,,,,,,,,,,,,,,,Tate,1630256.0,
50,PT07M44.00S,2022-03-08T00:48:13.2Z,1,REGULAR,block,,[],1630256,,,1610612748,11,11,2022-03-08T00:48:15Z,500000,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M40.00S,2022-03-08T00:48:17.2Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,11,11,2022-03-08T00:48:20Z,510000,,,0,,P. Tucker REBOUND (Off:1 Def:3),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,49.0,4.0,3.0,1.0,,,,,,,,,,,,,
52,PT07M38.00S,2022-03-08T00:48:18.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",200782,7.703679369250986,52.94117647058824,1610612748,13,11,2022-03-08T00:49:35Z,520000,-15.0,20.0,1,left,P. Tucker putback Layup (4 PTS),[200782],1610612748.0,MIA,putback,,,Tucker,P. Tucker,,,,,,,2.47,Made,,,,,,,,,4.0,,,,,,,,
53,PT07M21.00S,2022-03-08T00:48:35.5Z,1,REGULAR,2pt,Jump Shot,[],1629645,78.9257555847569,63.23529411764706,1610612745,13,13,2022-03-08T00:48:38Z,530000,66.0,146.0,1,right,K. Porter Jr. 15' pullup Jump Shot (5 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,,,15.99,Made,,,,,,,,,5.0,,,,,,,,
54,PT07M09.00S,2022-03-08T00:48:50.9Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612748,13,13,2022-03-08T00:49:03Z,540000,,,0,,J. Green shooting personal FOUL (1 PF) (Butler 2 FT),"[1630224, 202710]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,1363.0,,,,,,,,1.0,0.0,Butler,202710.0,,,,,,,,,
56,PT07M09.00S,2022-03-08T00:49:15.9Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,14,13,2022-03-08T00:49:15Z,560000,,,0,,J. Butler Free Throw 1 of 2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,
57,PT07M09.00S,2022-03-08T00:49:37.0Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,15,13,2022-03-08T00:49:37Z,570000,,,0,,J. Butler Free Throw 2 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,
58,PT06M54.00S,2022-03-08T00:49:53.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,74.72076215505913,15.686274509803921,1610612745,15,16,2022-03-08T00:50:06Z,580000,-172.0,185.0,1,right,J. Green 25' 3PT  (9 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,25.24,Made,,,,,,,,,9.0,,,,,,,,
59,PT06M32.00S,2022-03-08T00:50:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.14257555847569,51.225490196078425,1610612748,15,16,2022-03-08T00:50:20Z,590000,-6.0,80.0,1,left,MISS B. Adebayo 8' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,,,8.06,Missed,,,,,,,,,,,,,,,,,
60,PT06M29.00S,2022-03-08T00:50:19.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,15,16,2022-03-08T00:50:20Z,600000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,
61,PT06M26.00S,2022-03-08T00:50:22.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,92.59198423127464,3.431372549019608,1610612745,15,19,2022-03-08T00:50:29Z,610000,-233.0,17.0,1,right,J. Green 3PT  (12 PTS) (J. Christopher 2 AST),"[1630224, 1630528]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,23.34,Made,,,,,,,,,12.0,J. Christopher,1630528.0,2.0,,,,,
63,PT06M23.00S,2022-03-08T00:50:34.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612748,15,19,2022-03-08T00:50:38Z,630000,,,0,,TEAM delay-of-game VIOLATION,[],1610612745.0,HOU,,,,,,,,,,1363.0,,,,,,,,,,,,,,,,,,,,
64,PT06M15.00S,2022-03-08T00:50:50.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,15,19,2022-03-08T00:50:50Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M15.00S,2022-03-08T00:50:54.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,15,19,2022-03-08T00:50:54Z,650000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M08.00S,2022-03-08T00:53:50.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,7.046649145860711,52.69607843137255,1610612748,15,19,2022-03-08T00:53:54Z,660000,-13.0,14.0,1,left,MISS P. Tucker cutting Layup,[200782],1610612748.0,MIA,cutting,,,Tucker,P. Tucker,,,,,,,1.92,Missed,,,,,,,,,,,,,,,,,
67,PT06M04.00S,2022-03-08T00:53:54.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,15,19,2022-03-08T00:53:54Z,670000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT05M57.00S,2022-03-08T00:54:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,66.96780551905388,44.85294117647059,1610612745,15,19,2022-03-08T00:54:11Z,680000,-26.0,258.0,1,right,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,25.93,Missed,,,,,,,,,,,,,,,,,
69,PT05M54.00S,2022-03-08T00:54:04.3Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,15,19,2022-03-08T00:58:30Z,690000,,,0,,J. Tate REBOUND (Off:1 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,,,,,
104,PT05M54.00S,2022-03-08T00:54:07.7Z,1,REGULAR,turnover,lost ball,[],1630256,,,1610612745,15,19,2022-03-08T00:58:17Z,695000,,,0,,J. Tate lost ball TURNOVER (1 TO),"[1630256, 202710]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,1.0,,,,,,,,,,,,,,,Butler,202710.0,,,
105,PT05M54.00S,2022-03-08T00:54:07.7Z,1,REGULAR,steal,,[],202710,,,1610612748,15,19,2022-03-08T00:58:17Z,697500,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M44.00S,2022-03-08T00:54:14.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,31.750985545335087,36.27450980392157,1610612748,15,19,2022-03-08T00:58:17Z,700000,69.0,246.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,25.54,Missed,,,,,,,,,,,,,,,,,
71,PT05M39.00S,2022-03-08T00:54:19.2Z,1,REGULAR,rebound,defensive,[],1630528,,,1610612745,15,19,2022-03-08T00:54:22Z,710000,,,0,,J. Christopher REBOUND (Off:0 Def:1),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,
72,PT05M23.00S,2022-03-08T00:54:34.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,94.43166885676742,2.941176470588235,1610612745,15,19,2022-03-08T00:54:43Z,720000,-235.0,0.0,1,right,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,23.53,Missed,,,,,,,,,,,,,,,,,
73,PT05M19.00S,2022-03-08T00:54:39.3Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,15,19,2022-03-08T00:54:39Z,730000,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,,,,,,
74,PT05M17.00S,2022-03-08T00:54:40.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,93.77463863337714,49.01960784313725,1610612745,15,21,2022-03-08T00:54:47Z,740000,-5.0,6.0,1,right,A. Sengun putback Layup (4 PTS),[1630578],1610612745.0,HOU,putback,,,Sengun,A. Sengun,,,,,,,0.77,Made,,,,,,,,,4.0,,,,,,,,
75,PT05M03.00S,2022-03-08T00:54:54.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,25.57490144546649,83.57843137254902,1610612748,15,21,2022-03-08T00:55:01Z,750000,-168.0,188.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,25.2,Missed,,,,,,,,,,,,,,,,,
76,PT05M00.00S,2022-03-08T00:54:57.7Z,1,REGULAR,rebound,defensive,[],1630528,,,1610612745,15,21,2022-03-08T00:55:01Z,760000,,,0,,J. Christopher REBOUND (Off:0 Def:2),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,
77,PT04M56.00S,2022-03-08T00:55:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,94.69448094612353,54.90196078431373,1610612745,15,21,2022-03-08T00:55:34Z,770000,25.0,-3.0,1,right,MISS K. Porter Jr. driving Layup,[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,,,2.46,Missed,,,,,,,,,,,,,,,,,
78,PT04M55.00S,2022-03-08T00:55:06.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,15,21,2022-03-08T00:55:34Z,780000,,,0,,P. Tucker REBOUND (Off:1 Def:4),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,77.0,5.0,4.0,1.0,,,,,,,,,,,,,
79,PT04M54.00S,2022-03-08T00:55:14.1Z,1,REGULAR,foul,personal,[],1630256,,,1610612748,15,21,2022-03-08T00:59:02Z,790000,,,0,,J. Tate take personal FOUL (1 PF),"[1630256, 200782]",1610612745.0,HOU,take,,,Tate,J. Tate,,,,,1363.0,,,,,,,,1.0,0.0,Tucker,200782.0,,,,,,,,,
81,PT04M54.00S,2022-03-08T00:55:23.7Z,1,REGULAR,substitution,out,[],200768,,,1610612748,15,21,2022-03-08T00:55:42Z,810000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M54.00S,2022-03-08T00:55:23.7Z,1,REGULAR,substitution,out,[],1630256,,,1610612748,15,21,2022-03-08T00:55:42Z,820000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M54.00S,2022-03-08T00:55:23.7Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,15,21,2022-03-08T00:55:42Z,830000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M54.00S,2022-03-08T00:55:23.7Z,1,REGULAR,substitution,in,[],1630231,,,1610612748,15,21,2022-03-08T00:55:42Z,840000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M40.00S,2022-03-08T00:55:46.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.14520367936925,47.30392156862745,1610612748,15,21,2022-03-08T00:55:52Z,850000,13.0,250.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,25.01,Missed,,,,,,,,,,,,,,,,,
86,PT04M35.00S,2022-03-08T00:55:51.8Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,15,21,2022-03-08T00:55:52Z,860000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,
