actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
23,PT10M15.00S,2022-01-20T00:45:11.9Z,1,REGULAR,freethrow,1 of 1,[],1629216,,,1610612748,2,5,2022-01-20T00:45:11Z,230000,,,0,,MISS G. Vincent Free Throw 1 of 1,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,Missed,,,,,,,,,,,,,,,,
24,PT10M13.00S,2022-01-20T00:45:13.3Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,2,5,2022-01-20T00:45:13Z,240000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,
25,PT10M03.00S,2022-01-20T00:45:23.0Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612757,2,5,2022-01-20T00:45:28Z,250000,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 200782]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,1.0,Tucker,200782.0,,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2022-01-20T00:45:23.0Z,1,REGULAR,steal,,[],200782,,,1610612748,2,5,2022-01-20T00:45:26Z,260000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M00.00S,2022-01-20T00:45:32.4Z,1,REGULAR,foul,personal,[],1629014,,,1610612748,2,5,2022-01-20T00:45:43Z,270000,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 1629216]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Vincent,1629216.0,,,,
29,PT09M50.00S,2022-01-20T00:45:58.4Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612748,2,5,2022-01-20T00:46:05Z,290000,,,0,,J. Butler bad pass out-of-bounds TURNOVER (1 TO),[202710],1610612748.0,MIA,bad pass,,,Butler,J. Butler,,,,,1.0,,,,,,,,,,,,200833.0,,,,,,,,
30,PT09M30.00S,2022-01-20T00:46:20.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,66.5735873850197,27.205882352941174,1610612757,2,5,2022-01-20T00:46:29Z,300000,-114.0,262.0,1,right,MISS C. McCollum 28' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,28.55,Missed,,,,,,,,,,,,,,,,
31,PT09M26.00S,2022-01-20T00:46:24.6Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,2,5,2022-01-20T00:46:29Z,310000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,30.0,1.0,0.0,1.0,,,,,,,,,,
32,PT09M26.00S,2022-01-20T00:46:27.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,2,5,2022-01-20T00:46:38Z,320000,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,200833.0,,,,,,,,
33,PT09M11.00S,2022-01-20T00:46:51.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200782,4.418528252299605,96.32352941176471,1610612748,2,5,2022-01-20T00:46:56Z,330000,-232.0,-11.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,23.19,Missed,,,,,,,,,,,,,,,,
34,PT09M08.00S,2022-01-20T00:46:54.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,5,2022-01-20T00:46:56Z,340000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,
35,PT08M56.00S,2022-01-20T00:47:06.4Z,1,REGULAR,3pt,Jump Shot,[],203496,68.28186596583443,34.068627450980394,1610612757,2,8,2022-01-20T00:47:11Z,350000,-80.0,246.0,1,right,R. Covington 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[203496, 203468]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,25.83,Made,,,,,,,3.0,,,,,,C. McCollum,203468.0,1.0,
37,PT08M33.00S,2022-01-20T00:47:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.703679369250986,54.166666666666664,1610612748,2,8,2022-01-20T00:47:42Z,370000,-21.0,20.0,1,left,MISS J. Butler driving Layup - blocked,"[202710, 1629642]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,2.88,Missed,Little,1629642.0,,,,,,,,,,,,,,
38,PT08M33.00S,2022-01-20T00:47:30.2Z,1,REGULAR,block,,[],1629642,,,1610612748,2,8,2022-01-20T00:47:32Z,380000,,,0,,N. Little BLOCK (1 BLK),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M33.00S,2022-01-20T00:47:30.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,2,8,2022-01-20T00:47:42Z,390000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,
40,PT08M33.00S,2022-01-20T00:47:34.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,2,8,2022-01-20T00:47:34Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M31.00S,2022-01-20T00:47:42.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,15.325229960578188,36.27450980392157,1610612748,2,8,2022-01-20T00:47:50Z,410000,69.0,92.0,1,left,MISS B. Adebayo 11' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,11.44,Missed,,,,,,,,,,,,,,,,
42,PT08M27.00S,2022-01-20T00:47:46.9Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,2,8,2022-01-20T00:47:50Z,420000,,,0,,R. Covington REBOUND (Off:0 Def:3),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,
44,PT08M16.00S,2022-01-20T00:48:04.2Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612757,2,8,2022-01-20T00:48:10Z,440000,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1628389, 203994]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Nurkic,203994.0,,,,
46,PT08M16.00S,2022-01-20T00:48:29.6Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,2,9,2022-01-20T00:48:29Z,460000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,
47,PT08M16.00S,2022-01-20T00:48:46.7Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,2,10,2022-01-20T00:48:46Z,470000,,,0,,J. Nurkic Free Throw 2 of 2 (2 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,Made,,,,,,,2.0,,,,,,,,,
48,PT08M05.00S,2022-01-20T00:48:59.4Z,1,REGULAR,2pt,Jump Shot,[],1628389,21.369908015768726,59.31372549019608,1610612748,4,10,2022-01-20T00:49:04Z,480000,-47.0,148.0,1,left,B. Adebayo 15' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,15.55,Made,,,,,,,2.0,,,,,,,,,
49,PT07M51.00S,2022-01-20T00:49:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629642,95.48291721419186,97.30392156862744,1610612757,4,10,2022-01-20T00:49:18Z,490000,237.0,-10.0,1,right,MISS N. Little 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,23.67,Missed,,,,,,,,,,,,,,,,
50,PT07M49.00S,2022-01-20T00:49:14.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,4,10,2022-01-20T00:49:18Z,500000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,
51,PT07M43.00S,2022-01-20T00:49:21.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,34.11629434954008,36.33961397058824,1610612748,4,10,2022-01-20T00:49:29Z,510000,68.0,268.0,1,left,MISS D. Robinson 27' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,27.68,Missed,,,,,,,,,,,,,,,,
52,PT07M38.00S,2022-01-20T00:49:26.3Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,4,10,2022-01-20T00:49:29Z,520000,,,0,,R. Covington REBOUND (Off:0 Def:4),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,51.0,4.0,4.0,0.0,,,,,,,,,,
53,PT07M35.00S,2022-01-20T00:49:30.2Z,1,REGULAR,turnover,out-of-bounds,[],1629014,,,1610612757,4,10,2022-01-20T00:49:37Z,530000,,,0,,A. Simons bad pass out-of-bounds TURNOVER (2 TO),[1629014],1610612757.0,POR,bad pass,,,Simons,A. Simons,,,,,2.0,,,,,,,,,,,,200833.0,,,,,,,,
54,PT07M22.00S,2022-01-20T00:49:48.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,5.075558475689881,96.81372549019608,1610612748,7,10,2022-01-20T00:49:56Z,540000,-234.0,-5.0,1,left,D. Robinson 3PT step back (3 PTS) (G. Vincent 1 AST),"[1629130, 1629216]",1610612748.0,MIA,step back,,,Robinson,D. Robinson,,,,,,,,23.41,Made,,,,,,,3.0,,,,,,G. Vincent,1629216.0,1.0,
56,PT07M04.00S,2022-01-20T00:50:06.2Z,1,REGULAR,3pt,Jump Shot,[],1629014,72.35545335085413,79.16666666666666,1610612757,7,10,2022-01-20T00:50:11Z,560000,146.0,207.0,1,right,MISS A. Simons 25' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,,,,25.35,Missed,,,,,,,,,,,,,,,,
57,PT07M02.00S,2022-01-20T00:50:08.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,10,2022-01-20T00:50:11Z,570000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,
58,PT06M52.00S,2022-01-20T00:50:18.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202710,12.040078843626807,47.549019607843135,1610612748,7,10,2022-01-20T00:50:25Z,580000,12.0,61.0,1,left,MISS J. Butler 6' turnaround Hook,[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,,,,6.19,Missed,,,,,,,,,,,,,,,,
59,PT06M49.00S,2022-01-20T00:50:21.3Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,7,10,2022-01-20T00:50:25Z,590000,,,0,,R. Covington REBOUND (Off:0 Def:5),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,58.0,5.0,5.0,0.0,,,,,,,,,,
60,PT06M44.00S,2022-01-20T00:50:26.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629642,88.51839684625493,50.49019607843137,1610612757,7,10,2022-01-20T00:50:34Z,600000,2.0,55.0,1,right,MISS N. Little pullup Shot,[1629642],1610612757.0,POR,pullup,,,Little,N. Little,,,,,,,,5.55,Missed,,,,,,,,,,,,,,,,
62,PT06M41.00S,2022-01-20T00:50:29.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,10,2022-01-20T00:50:34Z,620000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,
63,PT06M34.00S,2022-01-20T00:50:39.1Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612748,7,10,2022-01-20T00:50:49Z,630000,,,0,,J. Nurkic shooting personal FOUL (2 PF) (Adebayo 2 FT),"[203994, 1628389]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,Adebayo,1628389.0,,,,
65,PT06M34.00S,2022-01-20T00:50:51.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,7,10,2022-01-20T00:50:51Z,650000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2022-01-20T00:51:46.8Z,1,REGULAR,substitution,out,[],203994,,,1610612748,7,10,2022-01-20T00:53:37Z,660000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2022-01-20T00:51:46.8Z,1,REGULAR,substitution,in,[],1630570,,,1610612748,7,10,2022-01-20T00:53:37Z,670000,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2022-01-20T00:54:05.5Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,7,10,2022-01-20T00:54:05Z,680000,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
69,PT06M34.00S,2022-01-20T00:54:05.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,7,10,2022-01-20T00:54:05Z,690000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,
70,PT06M34.00S,2022-01-20T00:54:21.3Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,8,10,2022-01-20T00:54:21Z,700000,,,0,,B. Adebayo Free Throw 2 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,
71,PT06M16.00S,2022-01-20T00:54:40.2Z,1,REGULAR,3pt,Jump Shot,[],203468,86.41590013140605,96.32352941176471,1610612757,8,13,2022-01-20T00:54:49Z,710000,232.0,75.0,1,right,C. McCollum 24' 3PT pullup (5 PTS) (T. Watford 1 AST),"[203468, 1630570]",1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,24.35,Made,,,,,,,5.0,,,,,,T. Watford,1630570.0,1.0,
73,PT05M57.00S,2022-01-20T00:54:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,7.5722733245729295,51.9607843137255,1610612748,10,13,2022-01-20T00:55:06Z,730000,-10.0,19.0,1,left,P. Tucker reverse Layup (2 PTS) (B. Adebayo 1 AST),"[200782, 1628389]",1610612748.0,MIA,reverse,,,Tucker,P. Tucker,,,,,,,,2.11,Made,,,,,,,2.0,,,,,,B. Adebayo,1628389.0,1.0,
75,PT05M47.00S,2022-01-20T00:55:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,92.32917214191852,39.46078431372549,1610612757,10,13,2022-01-20T00:55:18Z,750000,-53.0,20.0,1,right,MISS C. McCollum driving bank Shot - blocked,"[203468, 1629130]",1610612757.0,POR,driving bank,,,McCollum,C. McCollum,,,,,,,,5.62,Missed,Robinson,1629130.0,,,,,,,,,,,,,,
76,PT05M47.00S,2022-01-20T00:55:09.8Z,1,REGULAR,block,,[],1629130,,,1610612757,10,13,2022-01-20T00:55:12Z,760000,,,0,,D. Robinson BLOCK (1 BLK),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M44.00S,2022-01-20T00:55:12.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,10,13,2022-01-20T00:55:18Z,770000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,
78,PT05M39.00S,2022-01-20T00:55:18.1Z,1,REGULAR,3pt,Jump Shot,[],1629216,6.521024967148489,95.58823529411765,1610612748,10,13,2022-01-20T00:55:30Z,780000,-228.0,9.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,22.81,Missed,,,,,,,,,,,,,,,,
79,PT05M35.00S,2022-01-20T00:55:21.3Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,10,13,2022-01-20T00:55:21Z,790000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,78.0,3.0,2.0,1.0,,,,,,,,,,
80,PT05M24.00S,2022-01-20T00:55:32.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629216,4.28712220762155,96.81372549019608,1610612748,10,13,2022-01-20T00:55:37Z,800000,-234.0,-12.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,23.44,Missed,,,,,,,,,,,,,,,,
81,PT05M21.00S,2022-01-20T00:55:35.4Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,10,13,2022-01-20T00:59:50Z,810000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,
82,PT05M09.00S,2022-01-20T00:55:48.4Z,1,REGULAR,3pt,Jump Shot,[],203468,68.28186596583443,67.15686274509804,1610612757,10,16,2022-01-20T00:55:54Z,820000,86.0,246.0,1,right,C. McCollum 26' 3PT pullup (8 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,26.03,Made,,,,,,,8.0,,,,,,,,,
83,PT04M50.00S,2022-01-20T00:56:08.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,10,16,2022-01-20T00:56:08Z,830000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M50.00S,2022-01-20T00:56:09.4Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,10,16,2022-01-20T00:56:17Z,840000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M50.00S,2022-01-20T00:56:09.4Z,1,REGULAR,substitution,in,[],1629622,,,1610612748,10,16,2022-01-20T00:56:17Z,850000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M48.00S,2022-01-20T00:56:30.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,3.892904073587385,98.0392156862745,1610612748,13,16,2022-01-20T00:56:37Z,860000,-240.0,-16.0,1,left,M. Strus 24' 3PT  (3 PTS) (J. Butler 1 AST),"[1629622, 202710]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,24.07,Made,,,,,,,3.0,,,,,,J. Butler,202710.0,1.0,
88,PT04M30.00S,2022-01-20T00:56:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630570,66.17936925098554,48.77450980392157,1610612757,13,16,2022-01-20T00:56:54Z,880000,-6.0,265.0,1,right,MISS T. Watford 26' 3PT,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,26.55,Missed,,,,,,,,,,,,,,,,
89,PT04M27.00S,2022-01-20T00:56:51.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,13,16,2022-01-20T00:56:54Z,890000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,88.0,3.0,3.0,0.0,,,,,,,,,,
