actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
19,PT10M18.00S,2022-01-15T01:14:13.6Z,1,REGULAR,rebound,offensive,[],1630209,,,1610612748,5,4,2022-01-15T01:14:14Z,190000,,,0,,O. Yurtseven REBOUND (Off:1 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,,
20,PT10M16.00S,2022-01-15T01:14:15.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,33.459264126149804,50.98039215686274,1610612748,8,4,2022-01-15T01:14:22Z,200000,-5.0,262.0,1,left,M. Strus 26' 3PT  (6 PTS) (P. Tucker 1 AST),"[1629622, 200782]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,26.2,Made,,,,,6.0,P. Tucker,200782.0,1.0,,,,,,
22,PT09M58.00S,2022-01-15T01:14:35.4Z,1,REGULAR,turnover,out-of-bounds,[],203992,,,1610612737,8,4,2022-01-15T01:14:46Z,220000,,,0,,B. Bogdanovic bad pass out-of-bounds TURNOVER (1 TO),[203992],1610612737.0,ATL,bad pass,,,Bogdanovic,B. Bogdanovic,,,,,202049.0,,,,,,,,,,,,,,,1.0,,,,,
23,PT09M50.00S,2022-01-15T01:14:49.4Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,8,4,2022-01-15T01:14:55Z,230000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,1628172.0,,,,,,,,,,,,,,,1.0,,,,,
24,PT09M41.00S,2022-01-15T01:15:06.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629027,76.82325886990802,72.79411764705883,1610612737,8,6,2022-01-15T01:15:17Z,240000,114.0,165.0,1,right,T. Young 20' pullup Jump Shot (4 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,20.09,Made,,,,,4.0,,,,,,,,,
25,PT09M36.00S,2022-01-15T01:15:12.8Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,8,6,2022-01-15T01:15:20Z,250000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (2 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,1628172.0,,,,,,,,,,,,,,,2.0,,,,,
26,PT09M25.00S,2022-01-15T01:15:29.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203476,66.3107752956636,49.754901960784316,1610612737,8,6,2022-01-15T01:15:34Z,260000,-1.0,264.0,1,right,MISS G. Dieng 26' 3PT,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,26.42,Missed,,,,,,,,,,,,,,
27,PT09M22.00S,2022-01-15T01:15:32.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,8,6,2022-01-15T01:15:34Z,270000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M20.00S,2022-01-15T01:15:35.0Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,8,6,2022-01-15T01:15:39Z,280000,,,0,,K. Lowry bad pass TURNOVER (3 TO),"[200768, 203476]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,3.0,Dieng,203476.0,,,
29,PT09M20.00S,2022-01-15T01:15:35.0Z,1,REGULAR,steal,,[],203476,,,1610612737,8,6,2022-01-15T01:15:36Z,290000,,,0,,G. Dieng STEAL (1 STL),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M13.00S,2022-01-15T01:15:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628381,92.19776609724047,43.38235294117647,1610612737,8,6,2022-01-15T01:15:46Z,300000,-33.0,21.0,1,right,MISS J. Collins driving Layup,[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,,,,,,3.91,Missed,,,,,,,,,,,,,,
31,PT09M10.00S,2022-01-15T01:15:44.9Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,8,6,2022-01-15T01:15:46Z,310000,,,0,,O. Yurtseven REBOUND (Off:1 Def:2),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,30.0,3.0,2.0,1.0,,,,,,,,,,
32,PT09M02.00S,2022-01-15T01:15:52.7Z,1,REGULAR,3pt,Jump Shot,[],200782,7.440867279894875,98.0392156862745,1610612748,11,6,2022-01-15T01:15:59Z,320000,-240.0,17.0,1,left,P. Tucker 24' 3PT  (3 PTS) (J. Butler 2 AST),"[200782, 202710]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,24.08,Made,,,,,3.0,J. Butler,202710.0,2.0,,,,,,
34,PT08M45.00S,2022-01-15T01:16:09.7Z,1,REGULAR,3pt,Jump Shot,[],203992,73.14388961892247,83.08823529411765,1610612737,11,6,2022-01-15T01:16:15Z,340000,165.0,200.0,1,right,MISS B. Bogdanovic 25' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,25.95,Missed,,,,,,,,,,,,,,
35,PT08M41.00S,2022-01-15T01:16:13.7Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,11,6,2022-01-15T01:16:15Z,350000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M34.00S,2022-01-15T01:16:21.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,13.222733245729303,42.40196078431372,1610612748,13,6,2022-01-15T01:16:31Z,360000,38.0,72.0,1,left,J. Butler 8' turnaround fadeaway Jump Shot (2 PTS),[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,,,,,,8.12,Made,,,,,2.0,,,,,,,,,
37,PT08M18.00S,2022-01-15T01:16:36.4Z,1,REGULAR,3pt,Jump Shot,[],203992,97.7168199737188,4.6568627450980395,1610612737,13,6,2022-01-15T01:16:41Z,370000,-227.0,-31.0,1,right,MISS B. Bogdanovic 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,22.88,Missed,,,,,,,,,,,,,,
38,PT08M16.00S,2022-01-15T01:16:38.4Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,13,6,2022-01-15T01:16:41Z,380000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT08M11.00S,2022-01-15T01:16:47.1Z,1,REGULAR,3pt,Jump Shot,[],1629622,4.681340341655716,97.30392156862744,1610612748,16,6,2022-01-15T01:16:59Z,390000,-237.0,-8.0,1,left,M. Strus 3PT  (9 PTS) (K. Lowry 1 AST),"[1629622, 200768]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,23.67,Made,,,,,9.0,K. Lowry,200768.0,1.0,,,,,,
41,PT08M11.00S,2022-01-15T01:17:01.0Z,1,REGULAR,stoppage,other,[],0,,,1610612737,16,6,2022-01-15T01:17:01Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M03.00S,2022-01-15T01:17:23.2Z,1,REGULAR,foul,offensive,[],203476,,,1610612737,16,6,2022-01-15T01:17:36Z,430000,,,0,,G. Dieng offensive FOUL (1 PF),"[203476, 1630209]",1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,202049.0,1.0,0.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,
45,PT08M03.00S,2022-01-15T01:17:23.2Z,1,REGULAR,turnover,offensive foul,[],203476,,,1610612737,16,6,2022-01-15T01:17:23Z,450000,,,0,,G. Dieng offensive foul TURNOVER (1 TO),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,202049.0,,,,,,,,,,,,,,,1.0,,,,,
46,PT07M44.00S,2022-01-15T01:17:47.2Z,1,REGULAR,foul,personal,[],1629027,,,1610612748,16,6,2022-01-15T01:18:04Z,460000,,,0,,T. Young personal FOUL (1 PF),"[1629027, 200768]",1610612737.0,ATL,,,,Young,T. Young,,,,,1628172.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,,
48,PT07M44.00S,2022-01-15T01:18:03.9Z,1,REGULAR,substitution,out,[],203476,,,1610612748,16,6,2022-01-15T01:18:09Z,480000,,,0,,SUB out: G. Dieng,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M44.00S,2022-01-15T01:18:03.9Z,1,REGULAR,substitution,in,[],1630168,,,1610612748,16,6,2022-01-15T01:18:09Z,490000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M44.00S,2022-01-15T01:18:17.0Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612748,16,6,2022-01-15T01:18:17Z,500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M37.00S,2022-01-15T01:19:23.1Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612748,16,6,2022-01-15T01:19:33Z,510000,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Yurtseven 2 FT),"[1630168, 1630209]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,1198.0,1.0,0.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,
53,PT07M37.00S,2022-01-15T01:19:53.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630209,,,1610612748,17,6,2022-01-15T01:19:53Z,530000,,,0,,O. Yurtseven Free Throw 1 of 2 (3 PTS),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
54,PT07M37.00S,2022-01-15T01:20:10.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630209,,,1610612748,18,6,2022-01-15T01:20:10Z,540000,,,0,,O. Yurtseven Free Throw 2 of 2 (4 PTS),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,
55,PT07M26.00S,2022-01-15T01:20:20.6Z,1,REGULAR,2pt,Jump Shot,[],1629027,78.53153745072274,78.43137254901961,1610612737,18,6,2022-01-15T01:20:25Z,550000,142.0,149.0,1,right,MISS T. Young 20' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,20.62,Missed,,,,,,,,,,,,,,
56,PT07M23.00S,2022-01-15T01:20:23.6Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,18,6,2022-01-15T01:20:25Z,560000,,,0,,O. Yurtseven REBOUND (Off:1 Def:3),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,55.0,4.0,3.0,1.0,,,,,,,,,,
57,PT07M08.00S,2022-01-15T01:20:38.6Z,1,REGULAR,3pt,Jump Shot,[],200782,5.601182654402102,97.05882352941177,1610612748,18,6,2022-01-15T01:20:43Z,570000,-235.0,0.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,23.53,Missed,,,,,,,,,,,,,,
58,PT07M05.00S,2022-01-15T01:20:42.0Z,1,REGULAR,rebound,offensive,[],1630209,,,1610612748,18,6,2022-01-15T01:20:42Z,580000,,,0,,O. Yurtseven REBOUND (Off:2 Def:3),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,57.0,5.0,3.0,2.0,,,,,,,,,,
59,PT07M02.00S,2022-01-15T01:20:44.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200768,34.11629434954008,60.049019607843135,1610612748,18,6,2022-01-15T01:20:51Z,590000,-50.0,268.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,27.29,Missed,,,,,,,,,,,,,,
60,PT06M57.00S,2022-01-15T01:20:49.9Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,18,6,2022-01-15T01:20:51Z,600000,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT06M48.00S,2022-01-15T01:20:58.0Z,1,REGULAR,2pt,Jump Shot,[],1629631,95.3515111695138,19.362745098039216,1610612737,18,8,2022-01-15T01:22:26Z,610000,-153.0,-9.0,1,right,D. Hunter 15' pullup Jump Shot (2 PTS) (B. Bogdanovic 1 AST),"[1629631, 203992]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,,,,,,15.35,Made,,,,,2.0,B. Bogdanovic,203992.0,1.0,,,,,,
63,PT06M30.00S,2022-01-15T01:21:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,9.280551905387648,48.77450980392157,1610612748,20,8,2022-01-15T01:21:23Z,630000,6.0,35.0,1,left,M. Strus cutting Layup (11 PTS) (J. Butler 3 AST),"[1629622, 202710]",1610612748.0,MIA,cutting,,,Strus,M. Strus,,,,,,,,,,3.52,Made,,,,,11.0,J. Butler,202710.0,3.0,,,,,,
65,PT06M30.00S,2022-01-15T01:21:23.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,20,8,2022-01-15T01:21:23Z,650000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M18.00S,2022-01-15T01:24:26.5Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612737,20,8,2022-01-15T01:24:32Z,660000,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 202710]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,1.0,Butler,202710.0,,,
67,PT06M18.00S,2022-01-15T01:24:26.5Z,1,REGULAR,steal,,[],202710,,,1610612748,20,8,2022-01-15T01:24:30Z,670000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M10.00S,2022-01-15T01:24:33.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629622,4.944152431011826,98.2843137254902,1610612748,20,8,2022-01-15T01:24:56Z,680000,-241.0,-6.0,1,left,MISS M. Strus 24' 3PT - blocked,"[1629622, 1629631]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,24.15,Missed,,,,,,,,,,,,Hunter,1629631.0,
69,PT06M10.00S,2022-01-15T01:24:33.4Z,1,REGULAR,block,,[],1629631,,,1610612748,20,8,2022-01-15T01:24:36Z,690000,,,0,,D. Hunter BLOCK (1 BLK),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M06.00S,2022-01-15T01:24:37.4Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,20,8,2022-01-15T01:24:39Z,700000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,
71,PT06M03.00S,2022-01-15T01:24:41.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,91.40932982917214,98.0392156862745,1610612737,20,11,2022-01-15T01:24:48Z,710000,240.0,28.0,1,right,D. Hunter 24' 3PT  (5 PTS) (B. Bogdanovic 2 AST),"[1629631, 203992]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,24.19,Made,,,,,5.0,B. Bogdanovic,203992.0,2.0,,,,,,
73,PT05M37.00S,2022-01-15T01:25:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,9.149145860709593,56.61764705882353,1610612748,22,11,2022-01-15T01:25:18Z,730000,-33.0,34.0,1,left,M. Strus cutting Layup (13 PTS) (O. Yurtseven 1 AST),"[1629622, 1630209]",1610612748.0,MIA,cutting,,,Strus,M. Strus,,,,,,,,,,4.71,Made,,,,,13.0,O. Yurtseven,1630209.0,1.0,,,,,,
75,PT05M27.00S,2022-01-15T01:25:17.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,66.70499342969777,45.83333333333333,1610612737,22,11,2022-01-15T01:25:24Z,750000,-21.0,260.0,1,right,MISS T. Young 26' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,26.13,Missed,,,,,,,,,,,,,,
76,PT05M24.00S,2022-01-15T01:25:20.2Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,22,11,2022-01-15T01:25:24Z,760000,,,0,,O. Yurtseven REBOUND (Off:2 Def:4),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,75.0,6.0,4.0,2.0,,,,,,,,,,
77,PT05M14.00S,2022-01-15T01:25:32.0Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612748,22,11,2022-01-15T01:25:39Z,770000,,,0,,O. Okongwu shooting personal FOUL (2 PF) (Yurtseven 2 FT),"[1630168, 1630209]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,202049.0,2.0,0.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,
79,PT05M14.00S,2022-01-15T01:26:00.6Z,1,REGULAR,freethrow,1 of 2,[],1630209,,,1610612748,23,11,2022-01-15T01:26:00Z,790000,,,0,,O. Yurtseven Free Throw 1 of 2 (5 PTS),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,Made,,,,,5.0,,,,,,,,,
80,PT05M14.00S,2022-01-15T01:26:01.4Z,1,REGULAR,substitution,out,[],1629631,,,1610612748,23,11,2022-01-15T01:26:18Z,800000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M14.00S,2022-01-15T01:26:01.4Z,1,REGULAR,substitution,out,[],203992,,,1610612748,23,11,2022-01-15T01:26:18Z,810000,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M14.00S,2022-01-15T01:26:01.4Z,1,REGULAR,substitution,out,[],1630168,,,1610612748,23,11,2022-01-15T01:26:18Z,820000,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2022-01-15T01:26:01.4Z,1,REGULAR,substitution,in,[],1627789,,,1610612748,23,11,2022-01-15T01:26:18Z,830000,,,0,,SUB in: T. Luwawu-Cabarrot,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2022-01-15T01:26:01.4Z,1,REGULAR,substitution,in,[],201568,,,1610612748,23,11,2022-01-15T01:26:18Z,840000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2022-01-15T01:26:01.4Z,1,REGULAR,substitution,in,[],1628989,,,1610612748,23,11,2022-01-15T01:26:18Z,850000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M14.00S,2022-01-15T01:26:00.6Z,1,REGULAR,freethrow,2 of 2,[],1630209,,,1610612748,23,11,2022-01-15T01:26:30Z,860000,,,0,,MISS O. Yurtseven Free Throw 2 of 2,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,Missed,,,,,,,,,,,,,,
87,PT05M12.00S,2022-01-15T01:26:02.6Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,23,11,2022-01-15T01:26:30Z,870000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,
88,PT05M04.00S,2022-01-15T01:26:36.8Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,23,11,2022-01-15T01:27:37Z,880000,,,0,,T. Young lost ball out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,lost ball,,,Young,T. Young,,,,,1628172.0,,,,,,,,,,,,,,,1.0,,,,,
89,PT05M04.00S,2022-01-15T01:26:45.9Z,1,REGULAR,foul,technical,['1freethrow'],1629027,,,1610612748,23,11,2022-01-15T01:26:53Z,890000,,,0,,T. Young technical FOUL (1 Tech),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,1628172.0,1.0,1.0,,,,,,,,,,,,,,,,,,
90,PT05M04.00S,2022-01-15T01:27:05.6Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,24,11,2022-01-15T01:27:05Z,900000,,,0,,J. Butler technical Free Throw 1 of 1 (3 PTS),[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
91,PT04M53.00S,2022-01-15T01:27:26.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,31.750985545335087,69.36274509803921,1610612748,27,11,2022-01-15T01:27:32Z,910000,-97.0,246.0,1,left,M. Strus 26' 3PT  (16 PTS) (K. Lowry 2 AST),"[1629622, 200768]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,26.44,Made,,,,,16.0,K. Lowry,200768.0,2.0,,,,,,
93,PT04M43.00S,2022-01-15T01:27:42.4Z,1,REGULAR,foul,personal,[],200782,,,1610612737,27,11,2022-01-15T01:28:22Z,930000,,,0,,P. Tucker personal FOUL (1 PF),"[200782, 1628381]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,202049.0,1.0,0.0,Collins,1628381.0,,,,,,,,,,,,,,,,
