actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M41.00S,2022-01-18T00:44:36.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,10.85742444152431,55.14705882352941,1610612748,0,0,2022-01-18T00:44:43Z,150000,-26.0,50.0,1,left,MISS B. Adebayo driving Hook,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,5.59,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M37.00S,2022-01-18T00:44:40.7Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,0,0,2022-01-18T00:44:43Z,160000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
17,PT10M37.00S,2022-01-18T00:44:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,6.521024967148489,47.549019607843135,1610612748,2,0,2022-01-18T00:44:48Z,170000,12.0,9.0,1,left,J. Butler putback Layup (2 PTS),[202710],1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,1.51,Made,,,,,2.0,,,,,,,,,,,,,,
18,PT10M13.00S,2022-01-18T00:45:05.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,84.57621550591328,41.66666666666667,1610612761,2,2,2022-01-18T00:45:11Z,180000,-42.0,92.0,1,right,S. Barnes 10' turnaround Hook (2 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,10.15,Made,,,,,2.0,,,,,,,,,,,,,,
19,PT10M02.00S,2022-01-18T00:45:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,9.806176084099869,57.35294117647059,1610612748,2,2,2022-01-18T00:45:28Z,190000,-37.0,40.0,1,left,MISS B. Adebayo driving Layup - blocked,"[1628389, 1630173]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,5.41,Missed,,,,,,Achiuwa,1630173.0,,,,,,,,,,,,
20,PT10M02.00S,2022-01-18T00:45:15.6Z,1,REGULAR,block,,[],1630173,,,1610612748,2,2,2022-01-18T00:45:18Z,200000,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2022-01-18T00:45:16.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,2,2,2022-01-18T00:45:28Z,210000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2022-01-18T00:45:22.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,2,2,2022-01-18T00:45:22Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M45.00S,2022-01-18T00:45:47.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,67.23061760840999,31.372549019607842,1610612761,2,5,2022-01-18T00:45:53Z,230000,-93.0,256.0,1,right,F. VanVleet 27' 3PT  (3 PTS) (O. Anunoby 1 AST),"[1627832, 1628384]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,27.19,Made,,,,,3.0,,,O. Anunoby,1628384.0,1.0,,,,,,,,,
25,PT09M28.00S,2022-01-18T00:46:07.6Z,1,REGULAR,turnover,bad pass,[],1629216,,,1610612748,2,5,2022-01-18T00:46:18Z,250000,,,0,,G. Vincent bad pass TURNOVER (1 TO),"[1629216, 1627783]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,,
26,PT09M28.00S,2022-01-18T00:46:07.6Z,1,REGULAR,steal,,[],1627783,,,1610612761,2,5,2022-01-18T00:46:10Z,260000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M26.00S,2022-01-18T00:46:12.6Z,1,REGULAR,foul,personal,[],200782,,,1610612761,2,5,2022-01-18T00:47:48Z,270000,,,0,,P. Tucker take personal FOUL (1 PF),"[200782, 1627783]",1610612748.0,MIA,take,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Siakam,1627783.0,
29,PT09M26.00S,2022-01-18T00:46:33.5Z,1,REGULAR,instantreplay,request,[],0,,,1610612761,2,5,2022-01-18T01:21:36Z,290000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,,1662.0,,,,,Common Foul Upheld
30,PT09M16.00S,2022-01-18T00:47:49.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,67.23061760840999,50.73529411764706,1610612761,2,5,2022-01-18T00:47:55Z,300000,4.0,256.0,1,right,MISS F. VanVleet 25' step back 3PT,[1627832],1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2022-01-18T00:47:54.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,5,2022-01-18T00:47:55Z,310000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M05.00S,2022-01-18T00:47:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.802233902759525,47.05882352941176,1610612748,5,5,2022-01-18T00:48:09Z,320000,15.0,256.0,1,left,D. Robinson 25' 3PT pullup (3 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.62,Made,,,,,3.0,,,B. Adebayo,1628389.0,1.0,,,,,,,,,
34,PT08M50.00S,2022-01-18T00:48:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,86.28449408672799,50.245098039215684,1610612761,5,5,2022-01-18T00:49:35Z,340000,1.0,76.0,1,right,MISS S. Barnes 7' driving floating Shot,[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,7.64,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M46.00S,2022-01-18T00:48:18.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,5,2022-01-18T00:48:19Z,350000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT08M35.00S,2022-01-18T00:48:34.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,5,5,2022-01-18T00:48:34Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M34.00S,2022-01-18T00:48:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629130,5.732588699080158,48.03921568627451,1610612748,7,5,2022-01-18T00:49:03Z,370000,10.0,1.0,1,left,D. Robinson cutting Layup (5 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,cutting,,,Robinson,D. Robinson,,,,,0.99,Made,,,,,5.0,,,J. Butler,202710.0,1.0,,,,,,,,,
39,PT08M34.00S,2022-01-18T00:48:51.6Z,1,REGULAR,violation,defensive goaltending,[],1630567,,,1610612748,7,5,2022-01-18T00:49:03Z,390000,,,0,,S. Barnes defensive goaltending VIOLATION,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,1627539.0,,,,,
40,PT08M20.00S,2022-01-18T00:49:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,67.09921156373193,40.44117647058824,1610612761,7,5,2022-01-18T00:49:13Z,400000,-48.0,257.0,1,right,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M15.00S,2022-01-18T00:49:12.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,5,2022-01-18T00:49:13Z,410000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,40.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
42,PT08M03.00S,2022-01-18T00:49:27.5Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,7,5,2022-01-18T00:56:21Z,420000,,,0,,J. Butler bad pass TURNOVER (1 TO),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,1.0,,,1627539.0,,,,,
43,PT07M43.00S,2022-01-18T00:49:50.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,83.13074901445466,40.19607843137255,1610612761,7,5,2022-01-18T00:50:02Z,430000,-49.0,106.0,1,right,MISS P. Siakam 11' fadeaway Shot,[1627783],1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,11.69,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M36.00S,2022-01-18T00:49:57.7Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,5,2022-01-18T00:50:02Z,440000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
46,PT07M31.00S,2022-01-18T00:50:01.7Z,1,REGULAR,turnover,bad pass,[],1629216,,,1610612748,7,5,2022-01-18T00:50:09Z,460000,,,0,,G. Vincent bad pass TURNOVER (2 TO),"[1629216, 1630173]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,2.0,Achiuwa,1630173.0,,,,,,
47,PT07M31.00S,2022-01-18T00:50:01.7Z,1,REGULAR,steal,,[],1630173,,,1610612761,7,5,2022-01-18T00:50:06Z,470000,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M24.00S,2022-01-18T00:50:08.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630567,74.45795006570303,40.931372549019606,1610612761,7,5,2022-01-18T00:50:28Z,480000,-45.0,188.0,1,right,MISS S. Barnes 19' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,19.3,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M19.00S,2022-01-18T00:50:13.9Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,5,2022-01-18T00:50:28Z,490000,,,0,,J. Butler REBOUND (Off:1 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,48.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
50,PT07M14.00S,2022-01-18T00:50:18.5Z,1,REGULAR,3pt,Jump Shot,[],1629216,27.151773981603156,82.59803921568627,1610612748,10,5,2022-01-18T00:50:35Z,500000,-163.0,203.0,1,left,G. Vincent 26' 3PT pullup (3 PTS) (J. Butler 2 AST),"[1629216, 202710]",1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,26.01,Made,,,,,3.0,,,J. Butler,202710.0,2.0,,,,,,,,,
51,PT06M59.00S,2022-01-18T00:50:32.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,65.52233902759527,50.73529411764706,1610612761,10,5,2022-01-18T00:50:39Z,510000,4.0,272.0,1,right,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,27.16,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M59.00S,2022-01-18T00:50:32.8Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,10,5,2022-01-18T00:50:39Z,520000,,,0,,J. Butler REBOUND (Off:1 Def:4),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,51.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
53,PT06M55.00S,2022-01-18T00:50:39.4Z,1,REGULAR,foul,personal,[],1627832,,,1610612748,10,5,2022-01-18T00:51:19Z,530000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 200782]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Tucker,200782.0,
56,PT06M55.00S,2022-01-18T00:50:58.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,10,5,2022-01-18T00:50:58Z,550000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2022-01-18T00:53:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,11.908672798948752,43.627450980392155,1610612748,12,5,2022-01-18T00:54:03Z,560000,32.0,59.0,1,left,J. Butler 6' driving Layup (4 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,6.74,Made,,,,,4.0,,,,,,,,,,,,,,
58,PT06M47.00S,2022-01-18T00:53:58.3Z,1,REGULAR,foul,personal,['1freethrow'],1630173,,,1610612748,12,5,2022-01-18T00:54:07Z,570000,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (Butler 1 FT),"[1630173, 202710]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Butler,202710.0,
60,PT06M47.00S,2022-01-18T00:54:24.5Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,12,5,2022-01-18T00:54:27Z,590000,,,0,,MISS J. Butler Free Throw 1 of 1,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M44.00S,2022-01-18T00:54:27.5Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,12,5,2022-01-18T00:54:27Z,600000,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
62,PT06M28.00S,2022-01-18T00:54:43.7Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612761,12,5,2022-01-18T00:54:53Z,610000,,,0,,P. Tucker shooting personal FOUL (2 PF) (Barnes 2 FT),"[200782, 1630567]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,200834.0,2.0,0.0,Barnes,1630567.0,
64,PT06M28.00S,2022-01-18T00:55:08.4Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,12,6,2022-01-18T00:55:08Z,630000,,,0,,S. Barnes Free Throw 1 of 2 (3 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
65,PT06M28.00S,2022-01-18T00:55:09.1Z,1,REGULAR,substitution,out,[],200782,,,1610612761,12,6,2022-01-18T00:55:20Z,640000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2022-01-18T00:55:09.1Z,1,REGULAR,substitution,out,[],1630173,,,1610612761,12,6,2022-01-18T00:55:20Z,650000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M28.00S,2022-01-18T00:55:09.1Z,1,REGULAR,substitution,in,[],1628997,,,1610612761,12,6,2022-01-18T00:55:20Z,660000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2022-01-18T00:55:09.1Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,12,6,2022-01-18T00:55:20Z,670000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M28.00S,2022-01-18T00:55:37.2Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,12,7,2022-01-18T00:55:37Z,680000,,,0,,S. Barnes Free Throw 2 of 2 (4 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
70,PT06M22.00S,2022-01-18T00:55:47.8Z,1,REGULAR,foul,offensive,[],1629130,,,1610612748,12,7,2022-01-18T00:55:59Z,690000,,,0,,D. Robinson off-the-ball offensive FOUL (1 PF),"[1629130, 1627832]",1610612748.0,MIA,off-the-ball,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,1627539.0,1.0,0.0,VanVleet,1627832.0,
72,PT06M22.00S,2022-01-18T00:55:47.8Z,1,REGULAR,turnover,offensive foul,[],1629130,,,1610612748,12,7,2022-01-18T00:55:47Z,710000,,,0,,D. Robinson offensive foul TURNOVER (1 TO),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,1.0,,,1627539.0,,,,,
73,PT06M07.00S,2022-01-18T00:56:17.4Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,12,7,2022-01-18T00:56:25Z,720000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 202710]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,1.0,Butler,202710.0,,,,,,
74,PT06M07.00S,2022-01-18T00:56:17.4Z,1,REGULAR,steal,,[],202710,,,1610612748,12,7,2022-01-18T00:56:20Z,730000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M03.00S,2022-01-18T00:56:21.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629130,12.828515111695138,4.166666666666666,1610612748,12,7,2022-01-18T00:56:31Z,740000,229.0,68.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,23.91,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M58.00S,2022-01-18T00:56:26.9Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,12,7,2022-01-18T00:56:31Z,750000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
77,PT05M52.00S,2022-01-18T00:56:33.5Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612761,12,7,2022-01-18T00:56:40Z,760000,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 1629130]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,1.0,Robinson,1629130.0,,,,,,
78,PT05M52.00S,2022-01-18T00:56:33.5Z,1,REGULAR,steal,,[],1629130,,,1610612748,12,7,2022-01-18T00:56:35Z,770000,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M46.00S,2022-01-18T00:56:42.4Z,1,REGULAR,foul,personal,[],1628384,,,1610612748,12,7,2022-01-18T00:57:13Z,780000,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 202710]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Butler,202710.0,
81,PT05M46.00S,2022-01-18T00:56:52.8Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,12,7,2022-01-18T00:56:59Z,800000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M46.00S,2022-01-18T00:56:52.8Z,1,REGULAR,substitution,out,[],1628384,,,1610612748,12,7,2022-01-18T00:56:59Z,810000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M46.00S,2022-01-18T00:56:52.8Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,12,7,2022-01-18T00:56:59Z,820000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M46.00S,2022-01-18T00:56:52.8Z,1,REGULAR,substitution,in,[],1630173,,,1610612748,12,7,2022-01-18T00:56:59Z,830000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M37.00S,2022-01-18T00:57:21.7Z,1,REGULAR,turnover,bad pass,[],1628997,,,1610612748,12,7,2022-01-18T00:57:33Z,840000,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628997, 1627783]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,,
86,PT05M37.00S,2022-01-18T00:57:21.7Z,1,REGULAR,steal,,[],1627783,,,1610612761,12,7,2022-01-18T00:59:18Z,850000,,,0,,P. Siakam STEAL (2 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M33.00S,2022-01-18T00:57:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,92.59198423127464,54.90196078431373,1610612761,12,9,2022-01-18T00:57:44Z,860000,25.0,17.0,1,right,P. Siakam running alley-oop Layup (2 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,running alley-oop,,,Siakam,P. Siakam,,,,,2.99,Made,,,,,2.0,,,S. Barnes,1630567.0,1.0,,,,,,,,,
89,PT05M27.00S,2022-01-18T00:57:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.046649145860711,45.588235294117645,1610612748,14,9,2022-01-18T00:58:04Z,880000,22.0,14.0,1,left,J. Butler driving Layup (6 PTS) (T. Herro 1 AST),"[202710, 1629639]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,2.6,Made,,,,,6.0,,,T. Herro,1629639.0,1.0,,,,,,,,,
