actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
21,PT10M39.00S,2022-02-13T01:13:56.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],200782,,,1610612748,2,5,2022-02-13T01:14:00Z,210000,,,0,,MISS P. Tucker Free Throw 1 of 1,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,Missed,,,,,,,,,,,,,
22,PT10M36.00S,2022-02-13T01:13:59.3Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,2,5,2022-02-13T01:14:00Z,220000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
23,PT10M21.00S,2022-02-13T01:14:12.4Z,1,REGULAR,3pt,Jump Shot,[],201988,70.38436268068331,20.588235294117645,1610612751,2,5,2022-02-13T01:14:18Z,230000,-147.0,226.0,1,right,MISS P. Mills 26' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,26.96,Missed,,,,,,,,,,,,,
24,PT10M19.00S,2022-02-13T01:14:14.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,5,2022-02-13T01:14:18Z,240000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M04.00S,2022-02-13T01:14:29.3Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,2,5,2022-02-13T01:14:35Z,250000,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 202681]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,1.0,Irving,202681.0,,
26,PT10M04.00S,2022-02-13T01:14:29.3Z,1,REGULAR,steal,,[],202681,,,1610612751,2,5,2022-02-13T01:14:31Z,260000,,,0,,K. Irving STEAL (1 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M00.00S,2022-02-13T01:14:33.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630556,75.24638633377135,12.254901960784313,1610612751,2,5,2022-02-13T01:16:04Z,270000,-189.0,180.0,1,right,MISS K. Edwards 26' running 3PT,[1630556],1610612751.0,BKN,running,,,Edwards,K. Edwards,,,,,,,,,,26.09,Missed,,,,,,,,,,,,,
28,PT09M55.00S,2022-02-13T01:14:38.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,2,5,2022-02-13T01:14:42Z,280000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT09M41.00S,2022-02-13T01:14:52.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,9.937582128777924,94.11764705882352,1610612748,5,5,2022-02-13T01:14:59Z,290000,-221.0,41.0,1,left,D. Robinson 3PT  (3 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,22.44,Made,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,
31,PT09M19.00S,2022-02-13T01:15:13.6Z,1,REGULAR,3pt,Jump Shot,[],201933,69.20170827858082,21.07843137254902,1610612751,5,8,2022-02-13T01:15:22Z,310000,-145.0,237.0,1,right,B. Griffin 27' 3PT  (5 PTS) (P. Mills 1 AST),"[201933, 201988]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,27.76,Made,,,,,5.0,P. Mills,201988.0,1.0,,,,,
33,PT09M00.00S,2022-02-13T01:15:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,11.908672798948752,34.068627450980394,1610612748,7,8,2022-02-13T01:15:39Z,330000,80.0,59.0,1,left,J. Butler 9' pullup Jump Shot (2 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,,,,,,9.94,Made,,,,,2.0,,,,,,,,
34,PT08M49.00S,2022-02-13T01:15:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630556,71.56701708278581,15.686274509803921,1610612751,7,8,2022-02-13T01:15:50Z,340000,-172.0,215.0,1,right,MISS K. Edwards 27' 3PT,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,27.49,Missed,,,,,,,,,,,,,
35,PT08M47.00S,2022-02-13T01:15:46.5Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,7,8,2022-02-13T01:15:50Z,350000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
36,PT08M38.00S,2022-02-13T01:15:55.9Z,1,REGULAR,3pt,Jump Shot,[],200782,6.915243101182654,2.696078431372549,1610612748,7,8,2022-02-13T01:16:03Z,360000,237.0,13.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,23.68,Missed,,,,,,,,,,,,,
37,PT08M34.00S,2022-02-13T01:15:59.9Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,7,8,2022-02-13T01:16:03Z,370000,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,
38,PT08M23.00S,2022-02-13T01:16:15.7Z,1,REGULAR,foul,personal,[],200768,,,1610612751,7,8,2022-02-13T01:16:30Z,380000,,,0,,K. Lowry personal FOUL (1 PF),"[200768, 202681]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,101284.0,1.0,0.0,Irving,202681.0,,,,,,,,,,,,,,,
40,PT08M11.00S,2022-02-13T01:16:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,85.3646517739816,50.73529411764706,1610612751,7,8,2022-02-13T01:16:54Z,400000,4.0,85.0,1,right,MISS B. Brown 8' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,,,,,,8.52,Missed,,,,,,,,,,,,,
41,PT08M09.00S,2022-02-13T01:16:50.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,7,8,2022-02-13T01:16:50Z,410000,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,
42,PT07M55.00S,2022-02-13T01:17:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,19.267411300919843,40.931372549019606,1610612748,9,8,2022-02-13T01:17:11Z,420000,45.0,129.0,1,left,B. Adebayo 13' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,,,13.63,Made,,,,,2.0,,,,,,,,
43,PT07M44.00S,2022-02-13T01:17:14.5Z,1,REGULAR,3pt,Jump Shot,[],202681,87.07293035479631,96.56862745098039,1610612751,9,8,2022-02-13T01:17:21Z,430000,233.0,69.0,1,right,MISS K. Irving 24' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,24.28,Missed,,,,,,,,,,,,,
44,PT07M41.00S,2022-02-13T01:17:18.2Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,9,8,2022-02-13T01:17:18Z,440000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,
45,PT07M39.00S,2022-02-13T01:17:20.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201988,92.59198423127464,1.9607843137254901,1610612751,9,8,2022-02-13T01:17:26Z,450000,-240.0,17.0,1,right,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,24.08,Missed,,,,,,,,,,,,,
46,PT07M37.00S,2022-02-13T01:17:22.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,9,8,2022-02-13T01:17:35Z,460000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,
47,PT07M34.00S,2022-02-13T01:17:26.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629130,6.915243101182654,49.754901960784316,1610612748,11,8,2022-02-13T01:18:27Z,470000,1.0,13.0,1,left,D. Robinson running DUNK (5 PTS),[1629130],1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,,,,,,1.26,Made,,,,,5.0,,,,,,,,
48,PT07M08.00S,2022-02-13T01:17:50.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201933,86.5473061760841,37.99019607843137,1610612751,11,8,2022-02-13T01:17:57Z,480000,-60.0,74.0,1,right,MISS B. Griffin 9' turnaround fadeaway Shot,[201933],1610612751.0,BKN,turnaround fadeaway,,,Griffin,B. Griffin,,,,,,,,,,9.53,Missed,,,,,,,,,,,,,
49,PT07M04.00S,2022-02-13T01:17:54.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,11,8,2022-02-13T01:17:57Z,490000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,48.0,3.0,3.0,0.0,,,,,,,,,
50,PT06M58.00S,2022-02-13T01:18:01.4Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,11,8,2022-02-13T01:18:05Z,500000,,,0,,B. Adebayo lost ball TURNOVER (2 TO),"[1628389, 1630556]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,2.0,Edwards,1630556.0,,
51,PT06M58.00S,2022-02-13T01:18:01.4Z,1,REGULAR,steal,,[],1630556,,,1610612751,11,8,2022-02-13T01:18:03Z,510000,,,0,,K. Edwards STEAL (1 STL),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M54.00S,2022-02-13T01:18:09.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630556,85.62746386333771,41.66666666666667,1610612751,11,10,2022-02-13T01:20:06Z,520000,-42.0,83.0,1,right,K. Edwards 9' driving floating Jump Shot (2 PTS),[1630556],1610612751.0,BKN,driving floating,,,Edwards,K. Edwards,,,,,,,,,,9.25,Made,,,,,2.0,,,,,,,,
53,PT06M43.00S,2022-02-13T01:18:16.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,8.754927726675426,51.470588235294116,1610612748,11,10,2022-02-13T01:18:21Z,530000,-7.0,30.0,1,left,MISS J. Butler bank Shot,[202710],1610612748.0,MIA,bank,,,Butler,J. Butler,,,,,,,,,,3.07,Missed,,,,,,,,,,,,,
54,PT06M40.00S,2022-02-13T01:18:18.8Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,11,10,2022-02-13T01:18:18Z,540000,,,0,,K. Edwards REBOUND (Off:0 Def:2),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,
55,PT06M33.00S,2022-02-13T01:18:26.1Z,1,REGULAR,3pt,Jump Shot,[],201988,89.04402102496715,4.166666666666666,1610612751,11,10,2022-02-13T01:18:32Z,550000,-229.0,50.0,1,right,MISS P. Mills 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,23.47,Missed,,,,,,,,,,,,,
56,PT06M30.00S,2022-02-13T01:18:29.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,11,10,2022-02-13T01:18:29Z,560000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,
57,PT06M27.00S,2022-02-13T01:18:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202710,5.995400788436268,47.794117647058826,1610612748,13,10,2022-02-13T01:20:37Z,570000,11.0,4.0,1,left,J. Butler running Layup (4 PTS) (K. Lowry 1 AST),"[202710, 200768]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,,,,,,1.17,Made,,,,,4.0,K. Lowry,200768.0,1.0,,,,,
59,PT06M21.00S,2022-02-13T01:18:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,93.38042049934296,45.83333333333333,1610612751,13,12,2022-02-13T01:18:48Z,590000,-21.0,10.0,1,right,B. Brown driving Layup (2 PTS),[1628971],1610612751.0,BKN,driving,,,Brown,B. Brown,,,,,,,,,,2.3,Made,,,,,2.0,,,,,,,,
60,PT06M21.00S,2022-02-13T01:18:46.2Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612751,13,12,2022-02-13T01:18:56Z,600000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Brown 1 FT),"[1629130, 1628971]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,1626302.0,1.0,0.0,Brown,1628971.0,,,,,,,,,,,,,,,
62,PT06M21.00S,2022-02-13T01:19:00.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,13,12,2022-02-13T01:20:06Z,620000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M21.00S,2022-02-13T01:22:19.1Z,1,REGULAR,freethrow,1 of 1,[],1628971,,,1610612751,13,13,2022-02-13T01:22:19Z,630000,,,0,,B. Brown Free Throw 1 of 1 (3 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
64,PT06M05.00S,2022-02-13T01:22:36.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.53942181340342,36.51960784313725,1610612748,13,13,2022-02-13T01:22:43Z,640000,67.0,253.0,1,left,MISS D. Robinson 26' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,,,26.22,Missed,,,,,,,,,,,,,
65,PT06M00.00S,2022-02-13T01:22:41.3Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,13,13,2022-02-13T01:22:43Z,650000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,,
66,PT05M58.00S,2022-02-13T01:22:42.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,30.305519053876477,73.2843137254902,1610612748,16,13,2022-02-13T01:22:50Z,660000,-116.0,232.0,1,left,D. Robinson 25' 3PT  (8 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,25.99,Made,,,,,8.0,J. Butler,202710.0,1.0,,,,,
68,PT05M34.00S,2022-02-13T01:23:07.9Z,1,REGULAR,2pt,Jump Shot,[],201933,81.02825229960578,28.431372549019606,1610612751,16,13,2022-02-13T01:23:15Z,680000,-108.0,126.0,1,right,MISS B. Griffin 16' Jump Shot,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,16.57,Missed,,,,,,,,,,,,,
69,PT05M31.00S,2022-02-13T01:23:10.9Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,16,13,2022-02-13T01:23:15Z,690000,,,0,,P. Tucker REBOUND (Off:1 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,68.0,3.0,2.0,1.0,,,,,,,,,
70,PT05M24.00S,2022-02-13T01:23:17.6Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,16,13,2022-02-13T01:23:22Z,700000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1628971]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,1.0,Brown,1628971.0,,
71,PT05M24.00S,2022-02-13T01:23:17.6Z,1,REGULAR,steal,,[],1628971,,,1610612751,16,13,2022-02-13T01:23:19Z,710000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2022-02-13T01:23:37.3Z,1,REGULAR,foul,personal,[],1629130,,,1610612751,16,13,2022-02-13T01:25:57Z,720000,,,0,,D. Robinson personal FOUL (2 PF),"[1629130, 201988]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,101284.0,2.0,0.0,Mills,201988.0,,,,,,,,,,,,,,,
74,PT05M17.00S,2022-02-13T01:23:42.3Z,1,REGULAR,substitution,out,[],1629130,,,1610612751,16,13,2022-02-13T01:24:06Z,740000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M17.00S,2022-02-13T01:23:42.3Z,1,REGULAR,substitution,out,[],200768,,,1610612751,16,13,2022-02-13T01:24:06Z,750000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M17.00S,2022-02-13T01:23:42.3Z,1,REGULAR,substitution,out,[],1630556,,,1610612751,16,13,2022-02-13T01:24:06Z,760000,,,0,,SUB out: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M17.00S,2022-02-13T01:23:42.3Z,1,REGULAR,substitution,in,[],1629639,,,1610612751,16,13,2022-02-13T01:24:06Z,770000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M17.00S,2022-02-13T01:23:42.3Z,1,REGULAR,substitution,in,[],1629622,,,1610612751,16,13,2022-02-13T01:24:06Z,780000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M17.00S,2022-02-13T01:23:42.3Z,1,REGULAR,substitution,in,[],201949,,,1610612751,16,13,2022-02-13T01:24:06Z,790000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M05.00S,2022-02-13T01:24:12.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202681,82.26018396846256,54.33134191176471,1610612751,16,15,2022-02-13T01:24:51Z,800000,22.0,114.0,1,right,K. Irving 11' pullup Jump Shot (2 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,,,11.63,Made,,,,,2.0,,,,,,,,
81,PT04M45.00S,2022-02-13T01:24:34.2Z,1,REGULAR,foul,personal,[],1628971,,,1610612748,16,15,2022-02-13T01:24:50Z,810000,,,0,,B. Brown personal FOUL (1 PF),"[1628971, 202710]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,101284.0,1.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,
83,PT04M45.00S,2022-02-13T01:24:43.4Z,1,REGULAR,substitution,out,[],201933,,,1610612748,16,15,2022-02-13T01:24:50Z,830000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M45.00S,2022-02-13T01:24:43.4Z,1,REGULAR,substitution,out,[],201988,,,1610612748,16,15,2022-02-13T01:24:50Z,840000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M45.00S,2022-02-13T01:24:43.4Z,1,REGULAR,substitution,in,[],1630561,,,1610612748,16,15,2022-02-13T01:24:50Z,850000,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M45.00S,2022-02-13T01:24:43.4Z,1,REGULAR,substitution,in,[],1630549,,,1610612748,16,15,2022-02-13T01:24:50Z,860000,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M40.00S,2022-02-13T01:25:05.8Z,1,REGULAR,foul,personal,[],1630549,,,1610612748,16,15,2022-02-13T01:25:16Z,870000,,,0,,D. Sharpe personal FOUL (1 PF),"[1630549, 1628389]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,101283.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
89,PT04M33.00S,2022-02-13T01:25:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,17.0335085413929,51.71568627450981,1610612748,16,15,2022-02-13T01:25:37Z,890000,-9.0,108.0,1,left,MISS J. Butler 10' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,,,,,,10.79,Missed,,,,,,,,,,,,,
