actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
60,PT06M44.00S,2021-11-18T00:53:16.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,15.193823915900131,96.07843137254902,1610612740,8,17,2021-11-18T00:53:20Z,580000,-230.0,90.0,1,left,MISS D. Graham 24' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,,,,24.75,Missed,,,,,,,,,,,,,
61,PT06M41.00S,2021-11-18T00:53:19.0Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,8,17,2021-11-18T00:53:20Z,590000,,,0,,D. Dedmon REBOUND (Off:1 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,60.0,2.0,1.0,1.0,,,,,
62,PT06M35.00S,2021-11-18T00:53:30.7Z,1,REGULAR,foul,personal,[],1629638,,,1610612748,8,17,2021-11-18T00:53:44Z,600000,,,0,,N. Alexander-Walker personal FOUL (1 PF),"[1629638, 202710]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,201245.0,1.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,,
64,PT06M35.00S,2021-11-18T00:53:30.8Z,1,REGULAR,substitution,out,[],1629638,,,1610612748,8,17,2021-11-18T00:54:08Z,620000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M35.00S,2021-11-18T00:53:30.8Z,1,REGULAR,substitution,in,[],1630529,,,1610612748,8,17,2021-11-18T00:54:08Z,630000,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT06M30.00S,2021-11-18T00:53:53.6Z,1,REGULAR,2pt,Jump Shot,[],1629639,95.48291721419186,31.127450980392158,1610612748,8,17,2021-11-18T01:01:28Z,635000,-94.0,-10.0,1,right,MISS T. Herro 9' driving floating Shot - blocked,"[1629639, 1630529]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,,,,,,,9.49,Missed,,,,,,,,,Jones,1630529.0,,,
115,PT06M30.00S,2021-11-18T00:53:53.6Z,1,REGULAR,block,,[],1630529,,,1610612748,8,17,2021-11-18T01:01:28Z,637500,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT06M30.00S,2021-11-18T00:53:53.6Z,1,REGULAR,rebound,offensive,[],1629644,,,1610612748,8,17,2021-11-18T01:01:28Z,638750,,,0,,K. Okpala REBOUND (Off:1 Def:0),[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,114.0,1.0,0.0,1.0,,,,,
66,PT06M27.00S,2021-11-18T00:54:16.4Z,1,REGULAR,foul,personal,[],1630529,,,1610612748,8,17,2021-11-18T00:54:28Z,640000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1629644]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,1627964.0,1.0,0.0,Okpala,1629644.0,,,,,,,,,,,,,,,,
68,PT06M16.00S,2021-11-18T00:54:35.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,70.90998685939553,26.715686274509803,1610612748,11,17,2021-11-18T01:01:28Z,660000,-116.0,221.0,1,right,D. Robinson 24' 3PT pullup (3 PTS) (K. Okpala 1 AST),"[1629130, 1629644]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,,,,24.97,Made,3.0,K. Okpala,1629644.0,1.0,,,,,,,,,
70,PT05M57.00S,2021-11-18T00:54:53.5Z,1,REGULAR,3pt,Jump Shot,[],202685,28.203022339027594,18.38235294117647,1610612740,11,17,2021-11-18T00:54:58Z,680000,158.0,213.0,1,left,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,26.49,Missed,,,,,,,,,,,,,
71,PT05M54.00S,2021-11-18T00:54:56.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,11,17,2021-11-18T00:54:58Z,690000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,
72,PT05M47.00S,2021-11-18T00:55:04.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,87.99277266754271,96.32352941176471,1610612748,11,17,2021-11-18T00:55:09Z,700000,232.0,60.0,1,right,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,23.93,Missed,,,,,,,,,,,,,
73,PT05M43.00S,2021-11-18T00:55:08.1Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,11,17,2021-11-18T00:55:09Z,710000,,,0,,D. Dedmon REBOUND (Off:2 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,72.0,3.0,1.0,2.0,,,,,
74,PT05M42.00S,2021-11-18T00:55:09.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203473,91.93495400788436,51.9607843137255,1610612748,11,17,2021-11-18T01:00:44Z,720000,10.0,23.0,1,right,MISS D. Dedmon putback Layup - blocked,"[203473, 202685]",1610612748.0,MIA,putback,,,Dedmon,D. Dedmon,,,,,,,,,,,2.53,Missed,,,,,,,,,Valanciunas,202685.0,,,
75,PT05M42.00S,2021-11-18T00:55:09.3Z,1,REGULAR,block,,[],202685,,,1610612748,11,17,2021-11-18T00:55:13Z,730000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M37.00S,2021-11-18T00:55:14.3Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,11,17,2021-11-18T00:55:16Z,740000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,,,
77,PT05M33.00S,2021-11-18T00:55:18.3Z,1,REGULAR,3pt,Jump Shot,[],1628984,26.888961892247043,17.647058823529413,1610612740,11,20,2021-11-18T00:55:26Z,750000,162.0,200.0,1,left,D. Graham 25' 3PT  (6 PTS) (H. Jones 1 AST),"[1628984, 1630529]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,25.75,Made,6.0,H. Jones,1630529.0,1.0,,,,,,,,,
79,PT05M18.00S,2021-11-18T00:55:38.5Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612748,11,20,2021-11-18T00:55:45Z,770000,,,0,,H. Jones shooting personal FOUL (2 PF) (Butler 2 FT),"[1630529, 202710]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,201245.0,2.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,,
81,PT05M18.00S,2021-11-18T00:56:04.8Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,12,20,2021-11-18T00:56:04Z,790000,,,0,,J. Butler Free Throw 1 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
82,PT05M18.00S,2021-11-18T00:56:05.4Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,12,20,2021-11-18T00:56:16Z,800000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
