actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
17,PT11M10.00S,2021-10-22T00:16:02.9Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,3,1,2021-10-22T00:16:34Z,170000,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
18,PT11M10.00S,2021-10-22T00:16:02.9Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,3,1,2021-10-22T00:16:34Z,180000,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
19,PT11M08.00S,2021-10-22T00:16:04.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,3,1,2021-10-22T00:16:34Z,190000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,
20,PT11M08.00S,2021-10-22T00:16:33.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,3,1,2021-10-22T00:16:33Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT11M06.00S,2021-10-22T00:16:43.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,87.99277266754271,2.450980392156863,1610612748,3,1,2021-10-22T00:16:52Z,210000,-238.0,60.0,1,right,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,24.53,Missed,,,,,,,,,,,,,,,,
22,PT11M00.00S,2021-10-22T00:16:49.4Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,3,1,2021-10-22T00:16:52Z,220000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT10M59.00S,2021-10-22T00:16:50.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626192,6.1268068331143235,46.568627450980394,1610612749,3,3,2021-10-22T00:16:58Z,230000,17.0,5.0,1,left,P. Connaughton running Layup (2 PTS) (K. Middleton 1 AST),"[1626192, 203114]",1610612749.0,MIL,running,,,Connaughton,P. Connaughton,,,,,,,,1.79,Made,2.0,,,,,,,,,,K. Middleton,203114.0,1.0,,,
25,PT10M50.00S,2021-10-22T00:16:58.2Z,1,REGULAR,2pt,Jump Shot,[],1628389,76.69185282522996,40.68627450980392,1610612748,3,3,2021-10-22T00:17:05Z,250000,-47.0,167.0,1,right,MISS B. Adebayo 17' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,17.3,Missed,,,,,,,,,,,,,,,,
26,PT10M47.00S,2021-10-22T00:17:01.2Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,3,3,2021-10-22T00:17:05Z,260000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT10M36.00S,2021-10-22T00:17:13.1Z,1,REGULAR,3pt,Jump Shot,[],1626192,32.40801576872536,62.5,1610612749,3,3,2021-10-22T00:17:18Z,270000,-62.0,252.0,1,left,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,25.97,Missed,,,,,,,,,,,,,,,,
28,PT10M33.00S,2021-10-22T00:17:16.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,3,3,2021-10-22T00:17:18Z,280000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT10M25.00S,2021-10-22T00:17:27.6Z,1,REGULAR,foul,personal,[],1628960,,,1610612748,3,3,2021-10-22T00:17:51Z,290000,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 1628389]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,2714.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,
31,PT10M14.00S,2021-10-22T00:17:53.2Z,1,REGULAR,3pt,Jump Shot,[],200768,75.64060446780552,90.19607843137256,1610612748,3,3,2021-10-22T00:17:58Z,310000,201.0,176.0,1,right,MISS K. Lowry 26' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,26.75,Missed,,,,,,,,,,,,,,,,
32,PT10M10.00S,2021-10-22T00:17:57.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,3,2021-10-22T00:17:58Z,320000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT10M03.00S,2021-10-22T00:18:04.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,19.136005256241788,93.62745098039215,1610612749,3,3,2021-10-22T00:18:08Z,330000,-218.0,127.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,25.26,Missed,,,,,,,,,,,,,,,,
34,PT10M01.00S,2021-10-22T00:18:06.0Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,3,3,2021-10-22T00:18:08Z,340000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,
35,PT09M57.00S,2021-10-22T00:18:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629130,92.72339027595268,45.83333333333333,1610612748,3,3,2021-10-22T00:18:15Z,350000,-21.0,16.0,1,right,MISS D. Robinson running Layup,[1629130],1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,,,,2.62,Missed,,,,,,,,,,,,,,,,
36,PT09M53.00S,2021-10-22T00:18:13.9Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,3,3,2021-10-22T00:18:13Z,360000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,
37,PT09M52.00S,2021-10-22T00:18:15.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203114,27.808804204993432,79.90196078431373,1610612749,3,3,2021-10-22T00:18:22Z,370000,-150.0,209.0,1,left,MISS K. Middleton 25' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,25.69,Missed,,,,,,,,,,,,,,,,
38,PT09M47.00S,2021-10-22T00:18:20.2Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,3,3,2021-10-22T00:18:22Z,380000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,
39,PT09M43.00S,2021-10-22T00:18:24.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202710,88.12417871222075,63.970588235294116,1610612748,5,3,2021-10-22T00:18:41Z,390000,70.0,59.0,1,right,J. Butler 9' running Jump Shot (2 PTS),[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,,,,9.15,Made,2.0,,,,,,,,,,,,,,,
40,PT09M28.00S,2021-10-22T00:18:39.2Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,5,3,2021-10-22T00:18:43Z,400000,,,0,,K. Middleton bad pass TURNOVER (2 TO),"[203114, 200782]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,2.0,Tucker,200782.0,,,,,,,,,,,,,,,,,,
41,PT09M28.00S,2021-10-22T00:18:39.2Z,1,REGULAR,steal,,[],200782,,,1610612748,5,3,2021-10-22T00:18:41Z,410000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M24.00S,2021-10-22T00:18:42.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,93.64323258869908,48.28431372549019,1610612748,7,3,2021-10-22T00:18:53Z,420000,-9.0,7.0,1,right,J. Butler running DUNK (4 PTS) (P. Tucker 1 AST),"[202710, 200782]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,,,,1.13,Made,4.0,,,,,,,,,,P. Tucker,200782.0,1.0,,,
44,PT09M08.00S,2021-10-22T00:18:58.8Z,1,REGULAR,3pt,Jump Shot,[],1626192,18.610381077529567,4.166666666666666,1610612749,7,3,2021-10-22T00:19:03Z,440000,229.0,122.0,1,left,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,25.98,Missed,,,,,,,,,,,,,,,,
45,PT09M06.00S,2021-10-22T00:19:00.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,7,3,2021-10-22T00:19:03Z,450000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,
46,PT08M55.00S,2021-10-22T00:19:18.2Z,1,REGULAR,foul,personal,[],203114,,,1610612748,7,3,2021-10-22T00:19:28Z,460000,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 1628389]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,203591.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,
48,PT08M48.00S,2021-10-22T00:19:39.7Z,1,REGULAR,2pt,Jump Shot,[],200768,90.48948751642575,75.49019607843137,1610612748,7,3,2021-10-22T00:19:47Z,480000,127.0,37.0,1,right,MISS K. Lowry 13' fadeaway Shot,[200768],1610612748.0,MIA,fadeaway,,,Lowry,K. Lowry,,,,,,,,13.27,Missed,,,,,,,,,,,,,,,,
49,PT08M45.00S,2021-10-22T00:19:42.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,7,3,2021-10-22T00:19:47Z,490000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,
50,PT08M45.00S,2021-10-22T00:19:46.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,7,3,2021-10-22T00:19:46Z,500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M40.00S,2021-10-22T00:20:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,93.11760840998686,45.34313725490196,1610612748,9,3,2021-10-22T00:20:11Z,510000,-23.0,12.0,1,right,B. Adebayo driving Layup (5 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,,,,2.63,Made,5.0,,,,,,,,,,,,,,,
52,PT08M23.00S,2021-10-22T00:20:19.2Z,1,REGULAR,3pt,Jump Shot,[],203114,12.959921156373195,4.6568627450980395,1610612749,9,3,2021-10-22T00:20:24Z,520000,227.0,69.0,1,left,MISS K. Middleton 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,23.71,Missed,,,,,,,,,,,,,,,,
53,PT08M20.00S,2021-10-22T00:20:22.2Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,9,3,2021-10-22T00:20:24Z,530000,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,
54,PT08M11.00S,2021-10-22T00:20:31.6Z,1,REGULAR,2pt,Jump Shot,[],1628389,79.97700394218134,28.186274509803923,1610612748,11,3,2021-10-22T00:24:22Z,540000,-109.0,136.0,1,right,B. Adebayo 17' Jump Shot (7 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,17.41,Made,7.0,,,,,,,,,,,,,,,
55,PT07M53.00S,2021-10-22T00:20:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201588,5.732588699080158,55.392156862745104,1610612749,11,3,2021-10-22T00:21:01Z,550000,-27.0,1.0,1,left,MISS G. Hill Layup,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,2.7,Missed,,,,,,,,,,,,,,,,
56,PT07M53.00S,2021-10-22T00:20:49.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,11,3,2021-10-22T00:21:01Z,560000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,
57,PT07M53.00S,2021-10-22T00:20:58.9Z,1,REGULAR,foul,personal,[],201588,,,1610612748,11,3,2021-10-22T00:21:18Z,570000,,,0,,G. Hill loose ball personal FOUL (1 PF),"[201588, 202710]",1610612749.0,MIL,loose ball,,,Hill,G. Hill,,,,,,,,,,,203591.0,1.0,0.0,Butler,202710.0,,,,,,,,,,
59,PT07M40.00S,2021-10-22T00:21:34.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201588,,,1610612748,11,3,2021-10-22T00:25:58Z,590000,,,0,,G. Hill personal FOUL (2 PF) (Adebayo 2 FT),"[201588, 1628389]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,1627964.0,2.0,0.0,Adebayo,1628389.0,,,,,,,,,,
61,PT07M40.00S,2021-10-22T00:22:00.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,11,3,2021-10-22T00:25:58Z,615000,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
62,PT07M40.00S,2021-10-22T00:22:00.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,11,3,2021-10-22T00:25:58Z,622500,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,
65,PT07M40.00S,2021-10-22T00:22:00.0Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,11,3,2021-10-22T00:25:58Z,626250,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
66,PT07M40.00S,2021-10-22T00:22:00.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,11,3,2021-10-22T00:25:58Z,628125,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,
63,PT07M40.00S,2021-10-22T00:22:00.7Z,1,REGULAR,substitution,out,[],201588,,,1610612749,11,3,2021-10-22T00:25:41Z,630000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M40.00S,2021-10-22T00:22:00.7Z,1,REGULAR,substitution,in,[],1629620,,,1610612749,11,3,2021-10-22T00:25:41Z,640000,,,0,,SUB in: J. Robinson,[1629620],1610612749.0,MIL,,,,Robinson,J. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M39.00S,2021-10-22T00:22:30.7Z,1,REGULAR,foul,personal,[],200768,,,1610612749,11,3,2021-10-22T01:21:19Z,645000,,,0,,K. Lowry loose ball personal FOUL (1 PF),"[200768, 203114]",1610612748.0,MIA,loose ball,,,Lowry,K. Lowry,,,,,,,,,,,203591.0,1.0,0.0,Middleton,203114.0,,,,,,,,,,
69,PT07M34.00S,2021-10-22T00:22:48.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,11,3,2021-10-22T00:31:39Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M24.00S,2021-10-22T00:23:06.9Z,1,REGULAR,3pt,Jump Shot,[],1629620,34.11629434954008,47.794117647058826,1610612749,11,3,2021-10-22T00:27:47Z,700000,11.0,268.0,1,left,MISS J. Robinson 26' 3PT,[1629620],1610612749.0,MIL,,,,Robinson,J. Robinson,,,,,,,,26.84,Missed,,,,,,,,,,,,,,,,
72,PT07M20.00S,2021-10-22T00:23:10.9Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,11,3,2021-10-22T00:23:13Z,710000,,,0,,P. Tucker REBOUND (Off:0 Def:3),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,
73,PT07M14.00S,2021-10-22T00:23:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,93.77463863337714,59.80392156862745,1610612748,13,3,2021-10-22T00:33:28Z,720000,49.0,6.0,1,right,P. Tucker driving Layup (2 PTS) (D. Robinson 1 AST),"[200782, 1629130]",1610612748.0,MIA,driving,,,Tucker,P. Tucker,,,,,,,,4.94,Made,2.0,,,,,,,,,,D. Robinson,1629130.0,1.0,,,
75,PT07M14.00S,2021-10-22T00:23:22.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,13,3,2021-10-22T00:23:22Z,740000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT07M14.00S,2021-10-22T00:25:46.9Z,1,REGULAR,substitution,out,[],203114,,,1610612749,13,3,2021-10-22T00:26:08Z,750000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT07M14.00S,2021-10-22T00:25:46.9Z,1,REGULAR,substitution,in,[],1629670,,,1610612749,13,3,2021-10-22T00:26:08Z,760000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M51.00S,2021-10-22T00:26:41.4Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,13,3,2021-10-22T00:26:50Z,770000,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,1.0,,,,,,1627964.0,,,,,,,,,,,,,,
79,PT06M38.00S,2021-10-22T00:27:02.0Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,13,3,2021-10-22T00:27:07Z,780000,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 203507]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,
80,PT06M38.00S,2021-10-22T00:27:02.0Z,1,REGULAR,steal,,[],203507,,,1610612749,13,3,2021-10-22T00:27:05Z,790000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M38.00S,2021-10-22T00:27:12.2Z,1,REGULAR,foul,personal,[],1629130,,,1610612749,13,3,2021-10-22T00:27:20Z,800000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 1626192]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,1627964.0,1.0,0.0,Connaughton,1626192.0,,,,,,,,,,
83,PT06M29.00S,2021-10-22T00:27:35.1Z,1,REGULAR,turnover,traveling,[],1628960,,,1610612749,13,3,2021-10-22T00:27:45Z,820000,,,0,,G. Allen traveling TURNOVER (1 TO),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,1.0,,,,,,1627964.0,,,,,,,,,,,,,,
84,PT06M29.00S,2021-10-22T00:27:39.7Z,1,REGULAR,substitution,out,[],200768,,,1610612748,13,3,2021-10-22T00:27:46Z,830000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M29.00S,2021-10-22T00:27:39.7Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,13,3,2021-10-22T00:27:46Z,840000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M15.00S,2021-10-22T00:28:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202710,93.11760840998686,55.392156862745104,1610612748,15,3,2021-10-22T00:28:12Z,850000,27.0,12.0,1,right,J. Butler driving Layup (6 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,2.96,Made,6.0,,,,,,,,,,,,,,,
87,PT06M08.00S,2021-10-22T00:28:09.2Z,1,REGULAR,3pt,Jump Shot,[],203507,31.35676741130092,66.42156862745098,1610612749,15,3,2021-10-22T00:28:20Z,860000,-82.0,242.0,1,left,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,25.58,Missed,,,,,,,,,,,,,,,,
88,PT06M08.00S,2021-10-22T00:28:09.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,15,3,2021-10-22T00:28:16Z,870000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,
485,PT05M49.00S,2021-10-22T00:28:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,87.64783180026281,51.447610294117645,1610612748,15,3,2021-10-22T01:49:39Z,875000,7.0,64.0,1,right,MISS T. Herro 6' driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,,,,6.4,Missed,,,,,,,,,,,,,,,,
486,PT05M48.00S,2021-10-22T00:28:23.9Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,15,3,2021-10-22T01:49:39Z,877500,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,485.0,1.0,0.0,1.0,,,,,,
