actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
41,PT08M15.00S,2022-01-29T01:17:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,6.258212877792378,46.07843137254902,1610612746,2,6,2022-01-29T01:17:34Z,410000,20.0,6.0,1,left,R. Jackson driving finger roll Layup (4 PTS),[202704],1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,,,,,,,2.06,Made,,,,,4.0,,,,,,,
42,PT08M07.00S,2022-01-29T01:17:34.3Z,1,REGULAR,2pt,Jump Shot,[],200782,87.51642575558476,10.317095588235293,1610612748,4,6,2022-01-29T01:17:46Z,420000,-198.0,65.0,1,right,P. Tucker 20' Jump Shot (2 PTS) (G. Vincent 1 AST),"[200782, 1629216]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,20.87,Made,,,,,2.0,G. Vincent,1629216.0,1.0,,,,
44,PT07M44.00S,2022-01-29T01:17:57.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,17.16491458607096,41.66666666666667,1610612746,4,6,2022-01-29T01:18:02Z,440000,42.0,109.0,1,left,MISS I. Zubac 11' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,,,,,,,11.66,Missed,,,,,,,,,,,,
45,PT07M42.00S,2022-01-29T01:17:59.6Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,4,6,2022-01-29T01:18:02Z,450000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,
46,PT07M34.00S,2022-01-29T01:18:07.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,67.62483574244416,53.67647058823529,1610612748,7,6,2022-01-29T01:18:15Z,460000,18.0,252.0,1,right,D. Robinson 25' 3PT  (3 PTS) (P. Tucker 1 AST),"[1629130, 200782]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,25.25,Made,,,,,3.0,P. Tucker,200782.0,1.0,,,,
48,PT07M13.00S,2022-01-29T01:18:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,7.703679369250986,58.08823529411765,1610612746,7,6,2022-01-29T01:18:34Z,480000,-40.0,20.0,1,left,MISS R. Jackson driving Layup,[202704],1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,,,,,,,4.5,Missed,,,,,,,,,,,,
49,PT07M10.00S,2022-01-29T01:18:31.1Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,7,6,2022-01-29T01:18:34Z,490000,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,
50,PT07M07.00S,2022-01-29T01:18:34.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,75.24638633377135,13.480392156862745,1610612748,7,6,2022-01-29T01:18:39Z,500000,-183.0,180.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,25.65,Missed,,,,,,,,,,,,
51,PT07M04.00S,2022-01-29T01:18:36.9Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,7,6,2022-01-29T01:18:36Z,510000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,50.0,2.0,1.0,1.0,,,,,,,,
52,PT06M57.00S,2022-01-29T01:18:44.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200782,92.59198423127464,3.9215686274509802,1610612748,7,6,2022-01-29T01:18:52Z,520000,-230.0,17.0,1,right,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,23.1,Missed,,,,,,,,,,,,
53,PT06M53.00S,2022-01-29T01:18:48.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,7,6,2022-01-29T01:18:52Z,530000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,
54,PT06M48.00S,2022-01-29T01:18:53.2Z,1,REGULAR,3pt,Jump Shot,[],201587,29.38567674113009,20.098039215686274,1610612746,7,6,2022-01-29T01:19:00Z,540000,150.0,224.0,1,left,MISS N. Batum 26' pullup 3PT,[201587],1610612746.0,LAC,pullup,,,Batum,N. Batum,,,,,,,,,,,26.91,Missed,,,,,,,,,,,,
55,PT06M43.00S,2022-01-29T01:18:58.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,6,2022-01-29T01:19:00Z,550000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,
56,PT06M32.00S,2022-01-29T01:19:09.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,91.14651773981603,50.98039215686274,1610612748,9,6,2022-01-29T01:19:16Z,560000,5.0,31.0,1,right,B. Adebayo Hook (2 PTS) (G. Vincent 2 AST),"[1628389, 1629216]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,3.11,Made,,,,,2.0,G. Vincent,1629216.0,2.0,,,,
58,PT06M32.00S,2022-01-29T01:19:16.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,9,6,2022-01-29T01:19:16Z,580000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M22.00S,2022-01-29T01:22:27.0Z,1,REGULAR,foul,offensive,[],1629611,,,1610612746,9,6,2022-01-29T01:22:53Z,590000,,,0,,T. Mann offensive FOUL (1 PF),"[1629611, 1629216]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,202026.0,1.0,0.0,Vincent,1629216.0,,,,,,,,,,,,,,,
61,PT06M22.00S,2022-01-29T01:22:27.0Z,1,REGULAR,turnover,offensive foul,[],1629611,,,1610612746,9,6,2022-01-29T01:22:27Z,610000,,,0,,T. Mann offensive foul TURNOVER (1 TO),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,202026.0,,,,,1.0,,,,,,,,,,,,,,
62,PT06M07.00S,2022-01-29T01:22:59.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,78.13731931668858,91.66666666666666,1610612748,9,6,2022-01-29T01:23:04Z,620000,208.0,153.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,25.85,Missed,,,,,,,,,,,,
63,PT06M05.00S,2022-01-29T01:23:01.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,9,6,2022-01-29T01:23:04Z,630000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,62.0,3.0,3.0,0.0,,,,,,,,
64,PT05M43.00S,2022-01-29T01:23:22.7Z,1,REGULAR,3pt,Jump Shot,[],1629611,36.08738501971091,33.33333333333333,1610612746,9,6,2022-01-29T01:23:28Z,640000,83.0,287.0,1,left,MISS T. Mann 29' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,29.86,Missed,,,,,,,,,,,,
65,PT05M42.00S,2022-01-29T01:23:27.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,9,6,2022-01-29T01:23:27Z,650000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,
66,PT05M42.00S,2022-01-29T01:23:28.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,9,6,2022-01-29T01:23:28Z,660000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M42.00S,2022-01-29T01:23:31.9Z,1,REGULAR,substitution,out,[],1629611,,,1610612746,9,6,2022-01-29T01:23:40Z,670000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M42.00S,2022-01-29T01:23:31.9Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,9,6,2022-01-29T01:23:40Z,680000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M39.00S,2022-01-29T01:23:53.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201587,6.652431011826544,3.431372549019608,1610612746,9,9,2022-01-29T01:23:58Z,690000,233.0,10.0,1,left,N. Batum 3PT  (5 PTS) (L. Kennard 1 AST),"[201587, 1628379]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,23.3,Made,,,,,5.0,L. Kennard,1628379.0,1.0,,,,
71,PT05M20.00S,2022-01-29T01:24:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,92.72339027595268,46.32352941176471,1610612748,11,9,2022-01-29T01:24:18Z,710000,-18.0,16.0,1,right,J. Butler driving Layup (4 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,,,,2.43,Made,,,,,4.0,,,,,,,
72,PT05M07.00S,2022-01-29T01:24:28.8Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612746,11,9,2022-01-29T01:24:38Z,720000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Jackson 2 FT),"[200782, 202704]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,202901.0,1.0,0.0,Jackson,202704.0,,,,,,,,,,,,,,,
74,PT05M07.00S,2022-01-29T01:25:03.4Z,1,REGULAR,freethrow,1 of 2,[],202704,,,1610612746,11,9,2022-01-29T01:25:03Z,740000,,,0,,MISS R. Jackson Free Throw 1 of 2,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,Missed,,,,,,,,,,,,
75,PT05M07.00S,2022-01-29T01:25:03.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,11,9,2022-01-29T01:25:03Z,750000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,
76,PT05M07.00S,2022-01-29T01:25:04.4Z,1,REGULAR,substitution,out,[],1629216,,,1610612746,11,9,2022-01-29T01:25:07Z,760000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M07.00S,2022-01-29T01:25:04.4Z,1,REGULAR,substitution,in,[],1629639,,,1610612746,11,9,2022-01-29T01:25:07Z,770000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M07.00S,2022-01-29T01:25:31.7Z,1,REGULAR,freethrow,2 of 2,[],202704,,,1610612746,11,10,2022-01-29T01:25:31Z,780000,,,0,,R. Jackson Free Throw 2 of 2 (5 PTS),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,Made,,,,,5.0,,,,,,,
79,PT04M51.00S,2022-01-29T01:25:49.6Z,1,REGULAR,2pt,Jump Shot,[],202710,86.02168199737189,73.0392156862745,1610612748,13,10,2022-01-29T01:25:55Z,790000,115.0,79.0,1,right,J. Butler 13' pullup Jump Shot (6 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,,,,,,,13.96,Made,,,,,6.0,,,,,,,
80,PT04M37.00S,2022-01-29T01:26:04.0Z,1,REGULAR,3pt,Jump Shot,[],201587,20.844283837056505,91.17647058823529,1610612746,13,13,2022-01-29T01:26:10Z,800000,-206.0,143.0,1,left,N. Batum 25' 3PT  (8 PTS) (R. Jackson 1 AST),"[201587, 202704]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,25.09,Made,,,,,8.0,R. Jackson,202704.0,1.0,,,,
82,PT04M23.00S,2022-01-29T01:26:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,93.24901445466492,54.41176470588235,1610612748,15,13,2022-01-29T01:26:25Z,820000,22.0,11.0,1,right,B. Adebayo cutting Layup (4 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,,,,,,,2.47,Made,,,,,4.0,J. Butler,202710.0,1.0,,,,
84,PT04M23.00S,2022-01-29T01:26:24.7Z,1,REGULAR,foul,personal,['1freethrow'],201587,,,1610612748,15,13,2022-01-29T01:26:33Z,840000,,,0,,N. Batum shooting personal FOUL (1 PF) (Adebayo 1 FT),"[201587, 1628389]",1610612746.0,LAC,shooting,,,Batum,N. Batum,,,,,2714.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
86,PT04M23.00S,2022-01-29T01:26:50.0Z,1,REGULAR,freethrow,1 of 1,[],1628389,,,1610612748,16,13,2022-01-29T01:26:50Z,860000,,,0,,B. Adebayo Free Throw 1 of 1 (5 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,Made,,,,,5.0,,,,,,,
87,PT04M10.00S,2022-01-29T01:27:04.1Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,16,13,2022-01-29T01:27:09Z,870000,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 202710]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,1.0,,,,,,,,,,,,,Butler,202710.0
88,PT04M10.00S,2022-01-29T01:27:04.1Z,1,REGULAR,steal,,[],202710,,,1610612748,16,13,2022-01-29T01:27:06Z,880000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M06.00S,2022-01-29T01:27:07.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,93.77463863337714,50.73529411764706,1610612748,18,13,2022-01-29T01:27:13Z,890000,4.0,6.0,1,right,J. Butler running DUNK (8 PTS),[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,,,,,,,0.7,Made,,,,,8.0,,,,,,,
