actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
35,PT09M17.00S,2022-03-10T00:49:01.2Z,1,REGULAR,foul,personal,['1freethrow'],200782,,,1610612756,9,4,2022-03-10T00:49:13Z,350000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Ayton 1 FT),"[200782, 1629028]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,,,,,,,,,,2005.0,,,,,1.0,0.0,Ayton,1629028.0,,
37,PT09M17.00S,2022-03-10T00:49:22.4Z,1,REGULAR,freethrow,1 of 1,[],1629028,,,1610612756,9,5,2022-03-10T00:49:22Z,370000,,,0,,D. Ayton Free Throw 1 of 1 (5 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,Made,,,,,,5.0,,,,,,,,,
38,PT09M04.00S,2022-03-10T00:49:36.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,92.72339027595268,2.941176470588235,1610612748,12,5,2022-03-10T00:49:40Z,380000,-235.0,16.0,1,right,D. Robinson 3PT  (9 PTS) (K. Lowry 2 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,23.58,Made,,,,,,9.0,K. Lowry,200768.0,2.0,,,,,,
40,PT08M48.00S,2022-03-10T00:49:53.5Z,1,REGULAR,2pt,Jump Shot,[],1626166,17.608409986859396,67.67003676470588,1610612756,12,7,2022-03-10T00:50:10Z,400000,-88.0,113.0,1,left,C. Payne 14' driving floating Jump Shot (2 PTS),[1626166],1610612756.0,PHX,driving floating,,,Payne,C. Payne,,,,,,,,14.35,Made,,,,,,2.0,,,,,,,,,
41,PT08M39.00S,2022-03-10T00:50:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612748,12,7,2022-03-10T00:50:17Z,410000,,,0,,D. Booker shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1626164, 1628389]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,,,,,,,,,,2005.0,,,,,1.0,0.0,Adebayo,1628389.0,,
43,PT08M39.00S,2022-03-10T00:50:30.1Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,13,7,2022-03-10T00:50:30Z,430000,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Made,,,,,,1.0,,,,,,,,,
44,PT08M39.00S,2022-03-10T00:50:50.4Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,14,7,2022-03-10T00:50:50Z,440000,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Made,,,,,,2.0,,,,,,,,,
45,PT08M26.00S,2022-03-10T00:51:04.9Z,1,REGULAR,3pt,Jump Shot,[],203109,26.231931668856767,81.37254901960785,1610612756,14,7,2022-03-10T00:51:10Z,450000,-157.0,194.0,1,left,MISS J. Crowder 24' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,24.96,Missed,,,,,,,,,,,,,,,
46,PT08M22.00S,2022-03-10T00:51:08.9Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,14,7,2022-03-10T00:51:10Z,460000,,,0,,K. Lowry REBOUND (Off:0 Def:3),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT08M14.00S,2022-03-10T00:51:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,80.55190538764782,43.10278799019608,1610612748,16,7,2022-03-10T00:51:32Z,470000,-34.0,130.0,1,right,B. Adebayo 13' pullup Jump Shot (4 PTS) (K. Lowry 3 AST),"[1628389, 200768]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,13.48,Made,,,,,,4.0,K. Lowry,200768.0,3.0,,,,,,
49,PT08M06.00S,2022-03-10T00:51:23.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,19.793035479632064,93.87254901960785,1610612756,16,10,2022-03-10T00:51:34Z,490000,-219.0,134.0,1,left,D. Booker 25' 3PT pullup (3 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,25.69,Made,,,,,,3.0,,,,,,,,,
50,PT07M51.00S,2022-03-10T00:51:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,92.85479632063075,52.20588235294118,1610612748,18,10,2022-03-10T00:51:44Z,500000,11.0,15.0,1,right,P. Tucker driving Layup (2 PTS) (K. Lowry 4 AST),"[200782, 200768]",1610612748.0,MIA,driving,,,Tucker,P. Tucker,,,,,,,,1.84,Made,,,,,,2.0,K. Lowry,200768.0,4.0,,,,,,
52,PT07M45.00S,2022-03-10T00:51:48.1Z,1,REGULAR,foul,personal,[],1629130,,,1610612756,18,10,2022-03-10T00:52:07Z,520000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 203109]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,2534.0,,,,,1.0,0.0,Crowder,203109.0,,
54,PT07M38.00S,2022-03-10T00:52:14.1Z,1,REGULAR,3pt,Jump Shot,[],1626166,32.802233902759525,51.225490196078425,1610612756,18,10,2022-03-10T00:53:07Z,540000,-6.0,256.0,1,left,MISS C. Payne 25' pullup 3PT,[1626166],1610612756.0,PHX,pullup,,,Payne,C. Payne,,,,,,,,25.59,Missed,,,,,,,,,,,,,,,
55,PT07M35.00S,2022-03-10T00:52:17.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,18,10,2022-03-10T00:52:21Z,550000,,,0,,K. Lowry REBOUND (Off:0 Def:4),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,54.0,4.0,4.0,0.0,,,,,,,,,,,
56,PT07M33.00S,2022-03-10T00:52:19.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629216,92.9862023653088,47.30392156862745,1610612748,20,10,2022-03-10T00:52:26Z,560000,-13.0,13.0,1,right,G. Vincent running Layup (2 PTS) (K. Lowry 5 AST),"[1629216, 200768]",1610612748.0,MIA,running,,,Vincent,G. Vincent,,,,,,,,1.9,Made,,,,,,2.0,K. Lowry,200768.0,5.0,,,,,,
58,PT07M33.00S,2022-03-10T00:52:24.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,20,10,2022-03-10T00:52:24Z,580000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M24.00S,2022-03-10T00:55:52.9Z,1,REGULAR,turnover,lost ball,[],1626166,,,1610612756,20,10,2022-03-10T00:55:59Z,590000,,,0,,C. Payne lost ball TURNOVER (2 TO),"[1626166, 200782]",1610612756.0,PHX,,,,Payne,C. Payne,,,,,2.0,Tucker,200782.0,,,,,,,,,,,,,,,,,
60,PT07M24.00S,2022-03-10T00:55:52.9Z,1,REGULAR,steal,,[],200782,,,1610612748,20,10,2022-03-10T00:55:54Z,600000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M20.00S,2022-03-10T00:55:58.6Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,20,10,2022-03-10T00:56:15Z,610000,,,0,,K. Lowry lost ball out-of-bounds TURNOVER (2 TO),[200768],1610612748.0,MIA,lost ball,,,Lowry,K. Lowry,,,,,2.0,,,,,,,,,2534.0,,,,,,,,,,
62,PT07M00.00S,2022-03-10T00:56:23.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,11.251642575558476,96.81372549019608,1610612756,20,10,2022-03-10T00:57:29Z,620000,-234.0,53.0,1,left,MISS D. Booker 24' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,24.01,Missed,,,,,,,,,,,,,,,
63,PT06M57.00S,2022-03-10T00:56:26.5Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,20,10,2022-03-10T00:56:31Z,630000,,,0,,M. Bridges REBOUND (Off:1 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,62.0,3.0,2.0,1.0,,,,,,,,,,,
64,PT06M55.00S,2022-03-10T00:56:28.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628969,6.652431011826544,52.450980392156865,1610612756,20,12,2022-03-10T00:56:42Z,640000,-12.0,10.0,1,left,M. Bridges reverse Layup (2 PTS),[1628969],1610612756.0,PHX,reverse,,,Bridges,M. Bridges,,,,,,,,1.59,Made,,,,,,2.0,,,,,,,,,
65,PT06M34.00S,2022-03-10T00:56:49.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,75.3777923784494,11.519607843137255,1610612748,23,12,2022-03-10T00:56:58Z,650000,-192.0,179.0,1,right,D. Robinson 26' 3PT  (12 PTS) (P. Tucker 1 AST),"[1629130, 200782]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,26.27,Made,,,,,,12.0,P. Tucker,200782.0,1.0,,,,,,
67,PT06M18.00S,2022-03-10T00:57:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,17.0335085413929,59.31372549019608,1610612756,23,14,2022-03-10T00:57:13Z,670000,-47.0,108.0,1,left,D. Ayton 11' turnaround fadeaway Jump Shot (7 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,,,,11.73,Made,,,,,,7.0,M. Bridges,1628969.0,1.0,,,,,,
69,PT06M06.00S,2022-03-10T00:57:17.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,92.9862023653088,51.71568627450981,1610612748,25,14,2022-03-10T00:57:33Z,690000,9.0,13.0,1,right,B. Adebayo driving DUNK (6 PTS) (K. Lowry 6 AST),"[1628389, 200768]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,,,,1.59,Made,,,,,,6.0,K. Lowry,200768.0,6.0,,,,,,
71,PT05M53.00S,2022-03-10T00:57:30.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,7.178055190538765,2.696078431372549,1610612756,25,14,2022-03-10T00:57:37Z,710000,237.0,15.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,23.7,Missed,,,,,,,,,,,,,,,
72,PT05M53.00S,2022-03-10T00:57:30.5Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,25,14,2022-03-10T00:57:37Z,720000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
73,PT05M40.00S,2022-03-10T00:57:43.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,93.9060446780552,3.6764705882352944,1610612748,25,14,2022-03-10T00:57:49Z,730000,-232.0,5.0,1,right,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,23.16,Missed,,,,,,,,,,,,,,,
74,PT05M37.00S,2022-03-10T00:57:46.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,25,14,2022-03-10T00:57:49Z,740000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,
75,PT05M23.00S,2022-03-10T00:58:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,9.85545335085414,51.692708333333336,1610612756,25,16,2022-03-10T00:59:18Z,750000,-8.0,40.0,1,left,J. Crowder driving floating Jump Shot (2 PTS) (C. Payne 1 AST),"[203109, 1626166]",1610612756.0,PHX,driving floating,,,Crowder,J. Crowder,,,,,,,,4.1,Made,,,,,,2.0,C. Payne,1626166.0,1.0,,,,,,
77,PT05M01.00S,2022-03-10T00:58:22.3Z,1,REGULAR,turnover,bad pass,[],1629130,,,1610612748,25,16,2022-03-10T01:00:51Z,770000,,,0,,D. Robinson bad pass TURNOVER (1 TO),"[1629130, 203109]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,1.0,Crowder,203109.0,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2022-03-10T00:58:22.3Z,1,REGULAR,steal,,[],203109,,,1610612756,25,16,2022-03-10T00:58:23Z,780000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M59.00S,2022-03-10T00:58:26.8Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,25,16,2022-03-10T00:58:40Z,790000,,,0,,D. Booker step out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,step,,,Booker,D. Booker,,,,,1.0,,,,,,,,,201246.0,,,,,,,,,,
80,PT04M59.00S,2022-03-10T00:58:30.7Z,1,REGULAR,substitution,out,[],200768,,,1610612748,25,16,2022-03-10T00:58:43Z,800000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M59.00S,2022-03-10T00:58:30.7Z,1,REGULAR,substitution,out,[],1626166,,,1610612748,25,16,2022-03-10T00:58:43Z,810000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M59.00S,2022-03-10T00:58:30.7Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,25,16,2022-03-10T00:58:43Z,820000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M59.00S,2022-03-10T00:58:30.7Z,1,REGULAR,substitution,in,[],1628988,,,1610612748,25,16,2022-03-10T00:58:43Z,830000,,,0,,SUB in: A. Holiday,[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M45.00S,2022-03-10T00:59:04.1Z,1,REGULAR,foul,personal,[],203109,,,1610612748,25,16,2022-03-10T00:59:19Z,840000,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 1628389]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,2005.0,,,,,1.0,0.0,Adebayo,1628389.0,,
86,PT04M36.00S,2022-03-10T00:59:35.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,95.6143232588699,96.81372549019608,1610612748,25,16,2022-03-10T00:59:42Z,860000,234.0,-11.0,1,right,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,23.44,Missed,,,,,,,,,,,,,,,
87,PT04M30.00S,2022-03-10T00:59:41.5Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,25,16,2022-03-10T00:59:42Z,870000,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,86.0,2.0,1.0,1.0,,,,,,,,,,,
88,PT04M30.00S,2022-03-10T00:59:40.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",200782,94.40999984741211,50.0,1610612748,25,16,2022-03-10T01:00:45Z,880000,0.0,0.0,1,right,MISS P. Tucker tip Layup,[200782],1610612748.0,MIA,tip,,,Tucker,P. Tucker,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,
89,PT04M29.00S,2022-03-10T00:59:41.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,25,16,2022-03-10T01:00:45Z,890000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,
90,PT04M29.00S,2022-03-10T00:59:45.3Z,1,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612756,25,16,2022-03-10T00:59:57Z,900000,,,0,,G. Vincent shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629216, 1628969]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,,,,,,,,,,2005.0,,,,,1.0,0.0,Bridges,1628969.0,,
92,PT04M29.00S,2022-03-10T01:00:08.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628969,,,1610612756,25,17,2022-03-10T01:00:08Z,920000,,,0,,M. Bridges Free Throw 1 of 2 (3 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,Made,,,,,,3.0,,,,,,,,,
