actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
20,PT10M26.00S,2021-11-04T23:43:53.0Z,1,REGULAR,steal,,[],200768,,,1610612748,0,0,2021-11-04T23:43:55Z,200000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2021-11-04T23:44:14.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202710,95.3515111695138,81.86274509803921,1610612748,0,0,2021-11-04T23:45:45Z,210000,159.0,-9.0,1,right,MISS J. Butler 15' step back Shot,[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,15.95,Missed,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2021-11-04T23:44:17.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-11-04T23:44:19Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M51.00S,2021-11-04T23:44:28.8Z,1,REGULAR,3pt,Jump Shot,[],203935,7.178055190538765,97.79411764705883,1610612738,0,0,2021-11-04T23:44:33Z,230000,-239.0,15.0,1,left,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.95,Missed,,,,,,,,,,,,,,,,,,
24,PT09M48.00S,2021-11-04T23:44:31.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2021-11-04T23:44:33Z,240000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M37.00S,2021-11-04T23:44:43.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,95.0886990801577,71.81372549019608,1610612748,0,0,2021-11-04T23:46:35Z,250000,109.0,-6.0,1,right,MISS B. Adebayo 10' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,10.93,Missed,,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2021-11-04T23:44:46.7Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,0,0,2021-11-04T23:46:35Z,260000,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,
27,PT09M33.00S,2021-11-04T23:44:47.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,75.3777923784494,13.480392156862745,1610612748,0,0,2021-11-04T23:44:53Z,270000,-183.0,179.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,
28,PT09M28.00S,2021-11-04T23:44:51.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2021-11-04T23:44:51Z,280000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT09M10.00S,2021-11-04T23:45:09.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,20.844283837056505,10.294117647058822,1610612738,0,0,2021-11-04T23:45:15Z,290000,199.0,143.0,1,left,MISS J. Tatum 24' fadeaway 3PT,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,24.49,Missed,,,,,,,,,,,,,,,,,,
30,PT09M07.00S,2021-11-04T23:45:12.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,0,2021-11-04T23:45:15Z,300000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M04.00S,2021-11-04T23:45:22.6Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612748,0,0,2021-11-04T23:45:34Z,310000,,,0,,M. Smart shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203935, 1628389]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,203591.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
33,PT09M04.00S,2021-11-04T23:45:50.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628389,,,1610612748,1,0,2021-11-04T23:45:50Z,330000,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
34,PT09M04.00S,2021-11-04T23:46:09.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628389,,,1610612748,2,0,2021-11-04T23:46:09Z,340000,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
35,PT08M51.00S,2021-11-04T23:46:24.5Z,1,REGULAR,3pt,Jump Shot,[],201143,7.30946123521682,96.81372549019608,1610612738,2,0,2021-11-04T23:46:28Z,350000,-234.0,16.0,1,left,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,
36,PT08M48.00S,2021-11-04T23:46:27.5Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,2,0,2021-11-04T23:46:28Z,360000,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT08M41.00S,2021-11-04T23:46:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,69.20170827858082,20.588235294117645,1610612748,5,0,2021-11-04T23:46:42Z,370000,-147.0,237.0,1,right,D. Robinson 27' 3PT  (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,27.89,Made,,,,,,,,,,,,,3.0,J. Butler,202710.0,1.0,,
39,PT08M27.00S,2021-11-04T23:46:47.7Z,1,REGULAR,3pt,Jump Shot,[],201143,34.11629434954008,46.07843137254902,1610612738,5,3,2021-11-04T23:46:52Z,390000,20.0,268.0,1,left,A. Horford 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.89,Made,,,,,,,,,,,,,3.0,J. Tatum,1628369.0,1.0,,
41,PT08M07.00S,2021-11-04T23:47:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.7365308804205,41.66666666666667,1610612748,5,3,2021-11-04T23:47:18Z,410000,-42.0,110.0,1,right,MISS B. Adebayo 11' pullup Shot - blocked,"[1628389, 201143]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,11.75,Missed,,,,,,,,,,,,,,,,,Horford,201143.0
44,PT08M07.00S,2021-11-04T23:47:08.4Z,1,REGULAR,block,,[],201143,,,1610612748,5,3,2021-11-04T23:47:18Z,415000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M04.00S,2021-11-04T23:47:11.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,5,3,2021-11-04T23:47:18Z,420000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT07M58.00S,2021-11-04T23:47:18.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,14.011169513797633,50.73529411764706,1610612738,5,3,2021-11-04T23:49:16Z,430000,-4.0,79.0,1,left,MISS A. Horford 7' turnaround Hook,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,7.93,Missed,,,,,,,,,,,,,,,,,,
45,PT07M55.00S,2021-11-04T23:47:21.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,5,3,2021-11-04T23:49:16Z,440000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,
46,PT07M54.00S,2021-11-04T23:47:28.7Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612738,5,3,2021-11-04T23:47:42Z,450000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Brown 2 FT),"[200768, 1627759]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,202007.0,1.0,0.0,Brown,1627759.0,,,,,,,,,
48,PT07M54.00S,2021-11-04T23:47:58.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627759,,,1610612738,5,3,2021-11-04T23:47:58Z,470000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
49,PT07M54.00S,2021-11-04T23:47:58.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,5,3,2021-11-04T23:47:58Z,480000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,
50,PT07M54.00S,2021-11-04T23:48:12.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627759,,,1610612738,5,4,2021-11-04T23:48:12Z,490000,,,0,,J. Brown Free Throw 2 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
51,PT07M44.00S,2021-11-04T23:48:29.0Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,5,4,2021-11-04T23:48:46Z,500000,,,0,,B. Adebayo off-the-ball offensive FOUL (1 PF),"[1628389, 203935]",1610612748.0,MIA,off-the-ball,,,Adebayo,B. Adebayo,,,,,,,,,,,1162.0,1.0,0.0,Smart,203935.0,,,,,,,,,
53,PT07M44.00S,2021-11-04T23:48:29.0Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,5,4,2021-11-04T23:48:29Z,520000,,,0,,B. Adebayo offensive foul TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,1162.0,,,,,1.0,,,,,,,,
54,PT07M27.00S,2021-11-04T23:48:57.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,22.28975032851511,70.09803921568627,1610612738,5,4,2021-11-04T23:50:21Z,530000,-100.0,157.0,1,left,MISS J. Tatum 18' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,18.64,Missed,,,,,,,,,,,,,,,,,,
55,PT07M24.00S,2021-11-04T23:49:00.9Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,5,4,2021-11-04T23:49:03Z,540000,,,0,,K. Lowry REBOUND (Off:0 Def:3),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT07M19.00S,2021-11-04T23:49:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,93.77463863337714,53.18627450980392,1610612748,7,4,2021-11-04T23:49:21Z,550000,16.0,6.0,1,right,J. Butler cutting Layup (2 PTS) (K. Lowry 1 AST),"[202710, 200768]",1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,1.7,Made,,,,,,,,,,,,,2.0,K. Lowry,200768.0,1.0,,
58,PT07M05.00S,2021-11-04T23:49:19.0Z,1,REGULAR,3pt,Jump Shot,[],201143,32.670827858081466,45.588235294117645,1610612738,7,4,2021-11-04T23:49:24Z,570000,22.0,255.0,1,left,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,
59,PT07M02.00S,2021-11-04T23:49:22.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,7,4,2021-11-04T23:49:24Z,580000,,,0,,K. Lowry REBOUND (Off:0 Def:4),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,58.0,4.0,4.0,0.0,,,,,,,,,,,,,,
60,PT06M57.00S,2021-11-04T23:49:28.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202710,90.09526938239159,4.166666666666666,1610612748,7,4,2021-11-04T23:49:33Z,590000,-229.0,41.0,1,right,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,
61,PT06M54.00S,2021-11-04T23:49:31.1Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,7,4,2021-11-04T23:49:31Z,600000,,,0,,P. Tucker REBOUND (Off:2 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,60.0,3.0,1.0,2.0,,,,,,,,,,,,,,
62,PT06M49.00S,2021-11-04T23:49:35.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200768,67.49342969776609,49.754901960784316,1610612748,7,4,2021-11-04T23:49:42Z,610000,-1.0,253.0,1,right,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2021-11-04T23:49:38.7Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,7,4,2021-11-04T23:49:42Z,620000,,,0,,P. Tucker REBOUND (Off:3 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,62.0,4.0,1.0,3.0,,,,,,,,,,,,,,
64,PT06M42.00S,2021-11-04T23:49:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,94.43166885676742,52.94117647058824,1610612748,9,4,2021-11-04T23:49:57Z,630000,15.0,0.0,1,right,J. Butler driving Layup (4 PTS) (P. Tucker 1 AST),"[202710, 200782]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,1.47,Made,,,,,,,,,,,,,4.0,P. Tucker,200782.0,1.0,,
66,PT06M42.00S,2021-11-04T23:49:55.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,9,4,2021-11-04T23:49:55Z,650000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2021-11-04T23:51:00.6Z,1,REGULAR,substitution,out,[],201143,,,1610612738,9,4,2021-11-04T23:52:42Z,660000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M42.00S,2021-11-04T23:51:00.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,9,4,2021-11-04T23:52:42Z,670000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M30.00S,2021-11-04T23:52:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,10.463206307490145,46.07843137254902,1610612738,9,4,2021-11-04T23:52:57Z,680000,20.0,46.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,4.99,Missed,,,,,,,,,,,,,,,,,,
70,PT06M26.00S,2021-11-04T23:52:55.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,9,4,2021-11-04T23:52:57Z,690000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT06M19.00S,2021-11-04T23:53:02.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,66.44218134034165,49.754901960784316,1610612748,12,4,2021-11-04T23:53:22Z,700000,-1.0,263.0,1,right,D. Robinson 26' 3PT step back (6 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,step back,,,Robinson,D. Robinson,,,,,26.29,Made,,,,,,,,,,,,,6.0,B. Adebayo,1628389.0,1.0,,
73,PT06M01.00S,2021-11-04T23:53:20.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,7.835085413929041,3.431372549019608,1610612738,12,7,2021-11-04T23:53:25Z,720000,233.0,21.0,1,left,G. Williams 3PT  (3 PTS) (R. Williams III 1 AST),"[1629684, 1629057]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.38,Made,,,,,,,,,,,,,3.0,R. Williams III,1629057.0,1.0,,
75,PT05M42.00S,2021-11-04T23:53:38.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,64.33968462549278,49.754901960784316,1610612748,15,7,2021-11-04T23:53:43Z,740000,-1.0,283.0,1,right,D. Robinson 28' 3PT  (9 PTS) (J. Butler 2 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,28.27,Made,,,,,,,,,,,,,9.0,J. Butler,202710.0,2.0,,
77,PT05M19.00S,2021-11-04T23:54:01.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,12.697109067017081,4.6568627450980395,1610612738,15,10,2021-11-04T23:54:07Z,760000,227.0,67.0,1,left,J. Brown 3PT  (4 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.64,Made,,,,,,,,,,,,,4.0,M. Smart,203935.0,1.0,,
79,PT04M58.00S,2021-11-04T23:54:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.68528252299606,51.470588235294116,1610612748,15,10,2021-11-04T23:54:28Z,780000,7.0,120.0,1,right,MISS B. Adebayo 11' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,11.99,Missed,,,,,,,,,,,,,,,,,,
80,PT04M55.00S,2021-11-04T23:54:27.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,10,2021-11-04T23:54:28Z,790000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,,
81,PT04M50.00S,2021-11-04T23:54:32.1Z,1,REGULAR,3pt,Jump Shot,[],203935,33.85348226018397,43.627450980392155,1610612738,15,10,2021-11-04T23:54:38Z,800000,32.0,266.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,
82,PT04M45.00S,2021-11-04T23:54:37.1Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,15,10,2021-11-04T23:54:38Z,810000,,,0,,D. Robinson REBOUND (Off:0 Def:3),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,81.0,3.0,3.0,0.0,,,,,,,,,,,,,,
83,PT04M31.00S,2021-11-04T23:54:49.8Z,1,REGULAR,3pt,Jump Shot,[],200782,94.56307490144546,1.715686274509804,1610612748,18,10,2021-11-04T23:54:54Z,820000,-241.0,-1.0,1,right,P. Tucker 24' 3PT  (3 PTS) (B. Adebayo 2 AST),"[200782, 1628389]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,24.14,Made,,,,,,,,,,,,,3.0,B. Adebayo,1628389.0,2.0,,
85,PT04M12.00S,2021-11-04T23:55:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.915243101182654,45.34313725490196,1610612738,18,12,2021-11-04T23:55:14Z,840000,23.0,13.0,1,left,J. Brown driving Layup (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.64,Made,,,,,,,,,,,,,6.0,,,,,
86,PT04M01.00S,2021-11-04T23:55:19.6Z,1,REGULAR,3pt,Jump Shot,[],200768,86.81011826544021,96.56862745098039,1610612748,18,12,2021-11-04T23:56:14Z,850000,233.0,71.0,1,right,MISS K. Lowry 24' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,24.35,Missed,,,,,,,,,,,,,,,,,,
87,PT03M58.00S,2021-11-04T23:55:22.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,18,12,2021-11-04T23:55:24Z,860000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,86.0,3.0,3.0,0.0,,,,,,,,,,,,,,
88,PT03M43.00S,2021-11-04T23:55:38.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,7.178055190538765,52.69607843137255,1610612738,18,12,2021-11-04T23:57:20Z,870000,-13.0,15.0,1,left,MISS J. Tatum driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,2.02,Missed,,,,,,,,,,,,,,,,,,
89,PT03M42.00S,2021-11-04T23:55:39.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,18,12,2021-11-04T23:55:43Z,880000,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,88.0,4.0,2.0,2.0,,,,,,,,,,,,,,
