actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
38,PT09M10.00S,2021-12-09T00:48:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,92.29632063074901,45.09803921568627,1610612748,7,0,2021-12-09T01:17:09Z,380000,-25.0,20.0,1,right,K. Lowry cutting Layup (2 PTS) (P. Tucker 2 AST),"[200768, 200782]",1610612748.0,MIA,cutting,,,Lowry,K. Lowry,,,,,3.16,Made,,,,,,,2.0,,,P. Tucker,200782.0,2.0,,,,,,,
40,PT08M52.00S,2021-12-09T00:49:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.670827858081481,50.0,1610612749,7,2,2021-12-09T01:10:00Z,400000,0.0,20.0,1,left,J. Holiday Layup (2 PTS) (K. Middleton 1 AST),"[201950, 203114]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,1.96,Made,,,,,,,2.0,,,K. Middleton,203114.0,1.0,,,,,,,
42,PT08M32.00S,2021-12-09T00:49:20.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,86.25164257555848,58.82352941176471,1610612748,9,2,2021-12-09T01:17:36Z,420000,44.0,77.0,1,right,P. Tucker 8' floating Jump Shot (2 PTS) (K. Lowry 1 AST),"[200782, 200768]",1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,8.85,Made,,,,,,,2.0,,,K. Lowry,200768.0,1.0,,,,,,,
44,PT08M24.00S,2021-12-09T00:49:34.3Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612749,9,2,2021-12-09T01:17:56Z,440000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Middleton 2 FT),"[1629130, 203114]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,203591.0,,,,,,,,1.0,0.0,Middleton,203114.0,,,
46,PT08M24.00S,2021-12-09T00:49:59.7Z,1,REGULAR,freethrow,1 of 2,[],203114,,,1610612749,9,3,2021-12-09T00:49:59Z,460000,,,0,,K. Middleton Free Throw 1 of 2 (1 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
47,PT08M24.00S,2021-12-09T00:50:11.3Z,1,REGULAR,freethrow,2 of 2,[],203114,,,1610612749,9,4,2021-12-09T00:50:11Z,470000,,,0,,K. Middleton Free Throw 2 of 2 (2 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
48,PT08M13.00S,2021-12-09T00:50:24.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,71.53416557161628,24.509803921568633,1610612748,9,4,2021-12-09T01:18:12Z,480000,-127.0,215.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.0,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M09.00S,2021-12-09T00:50:28.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,9,4,2021-12-09T00:50:30Z,490000,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
50,PT08M05.00S,2021-12-09T00:50:32.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628960,30.929697766097235,75.73529411764706,1610612749,9,7,2021-12-09T01:18:22Z,500000,-129.0,238.0,1,left,G. Allen 27' 3PT pullup (3 PTS),[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,27.07,Made,,,,,,,3.0,,,,,,,,,,,,
51,PT07M49.00S,2021-12-09T00:50:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,92.29632063074901,53.431372549019606,1610612748,11,7,2021-12-09T01:18:31Z,510000,17.0,20.0,1,right,C. Martin driving Layup (5 PTS) (K. Lowry 2 AST),"[1628997, 200768]",1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,2.63,Made,,,,,,,5.0,,,K. Lowry,200768.0,2.0,,,,,,,
52,PT07M44.00S,2021-12-09T00:51:00.3Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,11,7,2021-12-09T01:18:44Z,520000,,,0,,G. Antetokounmpo offensive FOUL (1 PF),"[203507, 200782]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,201640.0,,,,,,,,1.0,0.0,Tucker,200782.0,,,
54,PT07M44.00S,2021-12-09T00:51:00.3Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,11,7,2021-12-09T01:18:44Z,540000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,201640.0,1.0,,,,,,,,,,,,,
55,PT07M21.00S,2021-12-09T00:51:33.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,76.7904073587385,10.539215686274503,1610612748,14,7,2021-12-09T01:19:00Z,550000,-197.0,166.0,1,right,D. Robinson 25' 3PT  (3 PTS) (K. Lowry 3 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.77,Made,,,,,,,3.0,,,K. Lowry,200768.0,3.0,,,,,,,
57,PT07M19.00S,2021-12-09T00:51:44.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,14,7,2021-12-09T00:51:44Z,570000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M19.00S,2021-12-09T00:53:48.8Z,1,REGULAR,substitution,out,[],203507,,,1610612749,14,7,2021-12-09T00:55:10Z,580000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M19.00S,2021-12-09T00:53:48.8Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,14,7,2021-12-09T00:55:10Z,590000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M01.00S,2021-12-09T00:55:19.8Z,1,REGULAR,3pt,Jump Shot,[],1626171,30.404073587385014,29.166666666666657,1610612749,14,7,2021-12-09T01:19:16Z,600000,104.0,233.0,1,left,MISS B. Portis 25' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M57.00S,2021-12-09T00:55:23.8Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,14,7,2021-12-09T01:10:50Z,610000,,,0,,D. Dedmon REBOUND (Off:1 Def:3),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,60.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
62,PT06M49.00S,2021-12-09T00:55:31.9Z,1,REGULAR,3pt,Jump Shot,[],1628997,72.19119579500656,19.85294117647058,1610612748,14,7,2021-12-09T01:19:24Z,620000,-151.0,209.0,1,right,MISS C. Martin 25' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2021-12-09T00:55:33.9Z,1,REGULAR,rebound,offensive,[],200768,,,1610612748,14,7,2021-12-09T01:19:24Z,630000,,,0,,K. Lowry REBOUND (Off:1 Def:0),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
64,PT06M45.00S,2021-12-09T00:55:35.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",200768,93.87319316688567,46.81372549019608,1610612748,16,7,2021-12-09T01:19:37Z,640000,-16.0,5.0,1,right,K. Lowry putback Layup (4 PTS),[200768],1610612748.0,MIA,putback,,,Lowry,K. Lowry,,,,,1.67,Made,,,,,,,4.0,,,,,,,,,,,,
65,PT06M34.00S,2021-12-09T00:55:46.2Z,1,REGULAR,3pt,Jump Shot,[],1626171,5.305519053876466,96.32352941176471,1610612749,16,10,2021-12-09T01:19:48Z,650000,-232.0,-3.0,1,left,B. Portis 3PT  (3 PTS) (K. Middleton 2 AST),"[1626171, 203114]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,23.16,Made,,,,,,,3.0,,,K. Middleton,203114.0,2.0,,,,,,,
67,PT06M17.00S,2021-12-09T00:56:07.7Z,1,REGULAR,turnover,traveling,[],1629130,,,1610612748,16,10,2021-12-09T01:20:10Z,670000,,,0,,D. Robinson traveling TURNOVER (1 TO),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,203592.0,1.0,,,,,,,,,,,,,
68,PT06M17.00S,2021-12-09T00:56:10.8Z,1,REGULAR,substitution,out,[],200782,,,1610612749,16,10,2021-12-09T00:56:20Z,680000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M17.00S,2021-12-09T00:56:10.8Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,16,10,2021-12-09T00:56:20Z,690000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M17.00S,2021-12-09T00:56:10.8Z,1,REGULAR,substitution,in,[],1629639,,,1610612749,16,10,2021-12-09T00:56:20Z,700000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M17.00S,2021-12-09T00:56:10.8Z,1,REGULAR,substitution,in,[],203918,,,1610612749,16,10,2021-12-09T00:56:20Z,710000,,,0,,SUB in: R. Hood,[203918],1610612749.0,MIL,,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M04.00S,2021-12-09T00:56:43.0Z,1,REGULAR,foul,personal,[],203473,,,1610612749,16,10,2021-12-09T01:20:36Z,720000,,,0,,D. Dedmon personal FOUL (1 PF),"[203473, 1626171]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,201640.0,,,,,,,,1.0,0.0,Portis,1626171.0,,,
74,PT06M04.00S,2021-12-09T00:57:12.2Z,1,REGULAR,substitution,out,[],203473,,,1610612749,16,10,2021-12-09T00:57:14Z,740000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M04.00S,2021-12-09T00:57:12.2Z,1,REGULAR,substitution,in,[],1630209,,,1610612749,16,10,2021-12-09T00:57:14Z,750000,,,0,,SUB in: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M04.00S,2021-12-09T00:57:17.4Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,16,10,2021-12-09T00:57:22Z,760000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M04.00S,2021-12-09T00:57:17.4Z,1,REGULAR,substitution,in,[],202326,,,1610612749,16,10,2021-12-09T00:57:22Z,770000,,,0,,SUB in: D. Cousins,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M50.00S,2021-12-09T00:57:40.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201950,7.670827858081481,12.5,1610612749,16,12,2021-12-09T01:20:52Z,780000,188.0,20.0,1,left,J. Holiday 18' step back Jump Shot (4 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,18.85,Made,,,,,,,4.0,,,,,,,,,,,,
79,PT05M49.00S,2021-12-09T00:57:50.9Z,1,REGULAR,3pt,Jump Shot,[],200768,67.32917214191853,45.09803921568627,1610612748,16,12,2021-12-09T01:22:29Z,790000,-25.0,255.0,1,right,MISS K. Lowry 25' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M46.00S,2021-12-09T00:57:53.9Z,1,REGULAR,rebound,defensive,[],202326,,,1610612749,16,12,2021-12-09T01:22:29Z,800000,,,0,,D. Cousins REBOUND (Off:0 Def:1),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
81,PT05M41.00S,2021-12-09T00:57:56.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203114,25.016425755584763,85.04901960784314,1610612749,16,12,2021-12-09T01:22:51Z,810000,-175.0,183.0,1,left,MISS K. Middleton 25' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2021-12-09T00:57:58.8Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,16,12,2021-12-09T01:22:51Z,820000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
83,PT05M28.00S,2021-12-09T00:58:10.4Z,1,REGULAR,3pt,Jump Shot,[],1628997,95.05584756898817,3.4313725490196134,1610612748,19,12,2021-12-09T01:21:47Z,830000,-233.0,-6.0,1,right,C. Martin 3PT  (8 PTS) (T. Herro 1 AST),"[1628997, 1629639]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,23.29,Made,,,,,,,8.0,,,T. Herro,1629639.0,1.0,,,,,,,
85,PT05M09.00S,2021-12-09T00:58:21.9Z,1,REGULAR,3pt,Jump Shot,[],1626192,23.570959264126145,89.2156862745098,1610612749,19,12,2021-12-09T01:23:06Z,850000,-196.0,169.0,1,left,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
86,PT05M09.00S,2021-12-09T00:58:21.9Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,19,12,2021-12-09T01:23:06Z,860000,,,0,,K. Middleton REBOUND (Off:2 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,85.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
87,PT05M09.00S,2021-12-09T00:58:36.9Z,1,REGULAR,foul,personal,[],200768,,,1610612749,19,12,2021-12-09T01:23:33Z,870000,,,0,,K. Lowry personal FOUL (1 PF),"[200768, 203114]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,203592.0,,,,,,,,1.0,0.0,Middleton,203114.0,,,
