actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
212,PT07M12.00S,2022-02-27T01:49:23.4Z,2,REGULAR,rebound,defensive,[],1629022,,,1610612759,41,50,2022-02-27T01:49:37Z,2110000,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612759.0,SAS,,,,,,,,,Walker IV,L. Walker IV,211.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
214,PT07M04.00S,2022-02-27T01:49:42.2Z,2,REGULAR,foul,offensive,[],1630563,,,1610612759,41,50,2022-02-27T01:50:42Z,2130000,,,0,,J. Primo off-the-ball offensive FOUL (2 PF),"[1630563, 1629216]",1610612759.0,SAS,off-the-ball,,,,,,,,Primo,J. Primo,,,,,,,,,1626301.0,,2.0,0.0,Vincent,1629216.0,,,,,
216,PT07M04.00S,2022-02-27T01:49:42.2Z,2,REGULAR,turnover,offensive foul,[],1630563,,,1610612759,41,50,2022-02-27T01:49:42Z,2150000,,,0,,J. Primo offensive foul TURNOVER (1 TO),[1630563],1610612759.0,SAS,,,,,,,,,Primo,J. Primo,,,,,,,,,1626301.0,1.0,,,,,,,,,
217,PT07M04.00S,2022-02-27T01:49:53.7Z,2,REGULAR,substitution,out,[],1629216,,,1610612748,41,50,2022-02-27T01:49:56Z,2160000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,,,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,
218,PT07M04.00S,2022-02-27T01:49:53.7Z,2,REGULAR,substitution,in,[],202710,,,1610612748,41,50,2022-02-27T01:49:56Z,2170000,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,,,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,
219,PT06M52.00S,2022-02-27T01:50:06.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,24.392247043363994,10.784313725490197,1610612748,44,50,2022-02-27T01:53:35Z,2180000,196.0,177.0,1,left,D. Robinson 26' 3PT pullup (3 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,pullup,,,,,,26.4,Made,Robinson,D. Robinson,,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
221,PT06M41.00S,2022-02-27T01:50:21.6Z,2,REGULAR,turnover,out-of-bounds,[],1628380,,,1610612759,44,50,2022-02-27T01:50:34Z,2200000,,,0,,Z. Collins lost ball out-of-bounds TURNOVER (3 TO),[1628380],1610612759.0,SAS,lost ball,,,,,,,,Collins,Z. Collins,,,,,,,,,2003.0,3.0,,,,,,,,,
222,PT06M28.00S,2022-02-27T01:50:41.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628997,31.35676741130092,71.56862745098039,1610612748,44,50,2022-02-27T01:53:17Z,2210000,-108.0,242.0,1,left,MISS C. Martin 26' 3PT,[1628997],1610612748.0,MIA,,,,,,,26.52,Missed,Martin,C. Martin,,,,,,,,,,,,,,,,,,,
223,PT06M25.00S,2022-02-27T01:50:44.4Z,2,REGULAR,rebound,defensive,[],1628380,,,1610612759,44,50,2022-02-27T01:50:48Z,2220000,,,0,,Z. Collins REBOUND (Off:2 Def:3),[1628380],1610612759.0,SAS,,,,,,,,,Collins,Z. Collins,222.0,,,,,5.0,3.0,2.0,,,,,,,,,,,
224,PT06M13.00S,2022-02-27T01:51:01.5Z,2,REGULAR,foul,personal,[],1628389,,,1610612759,44,50,2022-02-27T01:51:13Z,2230000,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1628380]",1610612748.0,MIA,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,1626301.0,,1.0,0.0,Collins,1628380.0,,,,,
