actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
22,PT09M17.00S,2022-03-26T00:15:08.5Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,7,5,2022-03-26T00:15:08Z,220000,,,0,,J. Butler technical Free Throw 1 of 1 (3 PTS),[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
24,PT09M04.00S,2022-03-26T00:15:31.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,11.12023653088042,50.73529411764706,1610612748,9,5,2022-03-26T00:15:39Z,230000,-4.0,52.0,1,left,B. Adebayo turnaround Hook (4 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,5.21,Made,4.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,,,
26,PT08M56.00S,2022-03-26T00:15:39.1Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612752,9,5,2022-03-26T00:16:02Z,250000,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1629130]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,1.0,,,,,,,Robinson,1629130.0,,,,,
27,PT08M56.00S,2022-03-26T00:15:39.1Z,1,REGULAR,steal,,[],1629130,,,1610612748,9,5,2022-03-26T00:15:42Z,260000,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT08M52.00S,2022-03-26T00:15:48.3Z,1,REGULAR,foul,personal,['2freethrow'],1630167,,,1610612748,9,5,2022-03-26T00:16:07Z,280000,,,0,,O. Toppin shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1630167, 1628389]",1610612752.0,NYK,shooting,,,Toppin,O. Toppin,,,,,,,,,,,1627963.0,,,,,,1.0,0.0,,,Adebayo,1628389.0,,,
31,PT08M52.00S,2022-03-26T00:16:13.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628389,,,1610612748,9,5,2022-03-26T00:16:13Z,300000,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M52.00S,2022-03-26T00:16:13.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,9,5,2022-03-26T00:16:13Z,310000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,
33,PT08M52.00S,2022-03-26T00:16:32.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628389,,,1610612748,10,5,2022-03-26T00:16:32Z,320000,,,0,,B. Adebayo Free Throw 2 of 2 (5 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
34,PT08M35.00S,2022-03-26T00:16:50.9Z,1,REGULAR,3pt,Jump Shot,[],202692,70.12155059132719,78.92156862745098,1610612752,10,8,2022-03-26T00:16:55Z,330000,145.0,228.0,1,right,A. Burks 27' 3PT  (3 PTS) (R. Barrett 3 AST),"[202692, 1629628]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,27.03,Made,3.0,R. Barrett,1629628.0,3.0,,,,,,,,,,,,,,,
36,PT08M25.00S,2022-03-26T00:17:00.7Z,1,REGULAR,3pt,Jump Shot,[],200768,17.427726675427067,3.6764705882352944,1610612748,10,8,2022-03-26T00:17:04Z,350000,232.0,111.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M23.00S,2022-03-26T00:17:02.7Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,10,8,2022-03-26T00:17:04Z,360000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,
38,PT08M19.00S,2022-03-26T00:17:06.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,73.53810775295663,85.5392156862745,1610612752,10,11,2022-03-26T00:17:49Z,370000,178.0,196.0,1,right,R. Barrett 26' 3PT running (3 PTS) (E. Fournier 1 AST),"[1629628, 203095]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,26.47,Made,3.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,,
40,PT07M50.00S,2022-03-26T00:17:35.5Z,1,REGULAR,3pt,Jump Shot,[],200768,26.62614980289093,84.55882352941177,1610612748,10,11,2022-03-26T00:17:41Z,390000,-173.0,198.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M45.00S,2022-03-26T00:17:40.5Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,10,11,2022-03-26T00:17:41Z,400000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,
42,PT07M44.00S,2022-03-26T00:17:41.7Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612752,10,11,2022-03-26T00:18:05Z,410000,,,0,,A. Burks bad pass TURNOVER (2 TO),"[202692, 200768]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,2.0,,,,,,,Lowry,200768.0,,,,,
43,PT07M44.00S,2022-03-26T00:17:41.7Z,1,REGULAR,steal,,[],200768,,,1610612748,10,11,2022-03-26T00:17:44Z,420000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M38.00S,2022-03-26T00:17:50.1Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612748,10,11,2022-03-26T00:18:01Z,430000,,,0,,R. Barrett shooting personal FOUL (1 PF) (Butler 2 FT),"[1629628, 202710]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,,,,,,,203592.0,,,,,,1.0,0.0,,,Butler,202710.0,,,
46,PT07M38.00S,2022-03-26T00:18:17.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202710,,,1610612748,11,11,2022-03-26T00:18:17Z,450000,,,0,,J. Butler Free Throw 1 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
47,PT07M38.00S,2022-03-26T00:18:17.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202710,,,1610612748,11,11,2022-03-26T00:18:50Z,460000,,,0,,MISS J. Butler Free Throw 2 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M34.00S,2022-03-26T00:18:21.9Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,11,11,2022-03-26T00:18:50Z,470000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,
49,PT07M21.00S,2022-03-26T00:18:53.0Z,1,REGULAR,foul,personal,[],1629130,,,1610612752,11,11,2022-03-26T00:19:15Z,480000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 203095]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,1179.0,,,,,,1.0,0.0,,,Fournier,203095.0,,,
51,PT07M16.00S,2022-03-26T00:19:18.1Z,1,REGULAR,3pt,Jump Shot,[],202692,73.80091984231275,15.931372549019606,1610612752,11,11,2022-03-26T00:20:03Z,500000,-170.0,194.0,1,right,MISS A. Burks 25' step back 3PT,[202692],1610612752.0,NYK,step back,,,Burks,A. Burks,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M08.00S,2022-03-26T00:19:25.8Z,1,REGULAR,rebound,offensive,[],202692,,,1610612752,11,11,2022-03-26T00:19:25Z,510000,,,0,,A. Burks REBOUND (Off:1 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,
53,PT07M07.00S,2022-03-26T00:19:26.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,74.06373193166885,84.06862745098039,1610612752,11,11,2022-03-26T00:19:32Z,520000,170.0,191.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M03.00S,2022-03-26T00:19:30.8Z,1,REGULAR,rebound,offensive,[],1630167,,,1610612752,11,11,2022-03-26T00:19:32Z,530000,,,0,,O. Toppin REBOUND (Off:1 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,
55,PT07M03.00S,2022-03-26T00:19:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630167,94.40999984741211,50.0,1610612752,11,13,2022-03-26T00:19:31Z,540000,0.0,0.0,1,right,O. Toppin tip Layup (2 PTS),[1630167],1610612752.0,NYK,tip,,,Toppin,O. Toppin,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
56,PT06M46.00S,2022-03-26T00:19:48.3Z,1,REGULAR,3pt,Jump Shot,[],200768,30.17411300919842,26.715686274509803,1610612748,14,13,2022-03-26T00:19:53Z,550000,116.0,231.0,1,left,K. Lowry 25' 3PT  (3 PTS) (J. Butler 2 AST),"[200768, 202710]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,25.88,Made,3.0,J. Butler,202710.0,2.0,,,,,,,,,,,,,,,
58,PT06M33.00S,2022-03-26T00:20:00.6Z,1,REGULAR,3pt,Jump Shot,[],202692,68.28186596583443,29.166666666666668,1610612752,14,13,2022-03-26T00:21:35Z,570000,-104.0,246.0,1,right,MISS A. Burks 26' pullup 3PT,[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M29.00S,2022-03-26T00:20:04.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,14,13,2022-03-26T00:20:08Z,580000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,
60,PT06M12.00S,2022-03-26T00:20:27.7Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,14,13,2022-03-26T00:22:29Z,590000,,,0,,B. Adebayo offensive FOUL (1 PF),"[1628389, 1630579]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,203592.0,,,,,,1.0,0.0,,,Sims,1630579.0,,,
62,PT06M12.00S,2022-03-26T00:20:27.7Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,14,13,2022-03-26T00:20:55Z,610000,,,0,,B. Adebayo offensive foul TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,203592.0,1.0,,,,,,,,,,,,,
63,PT06M12.00S,2022-03-26T00:20:43.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,14,13,2022-03-26T00:20:43Z,620000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M02.00S,2022-03-26T00:23:34.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630579,93.51182654402102,52.20588235294118,1610612752,14,15,2022-03-26T00:23:40Z,630000,11.0,8.0,1,right,J. Sims alley-oop DUNK (4 PTS) (E. Fournier 2 AST),"[1630579, 203095]",1610612752.0,NYK,alley-oop,,,Sims,J. Sims,,,,,1.39,Made,4.0,E. Fournier,203095.0,2.0,,,,,,,,,,,,,,,
67,PT05M50.00S,2022-03-26T00:23:51.5Z,1,REGULAR,foul,personal,[],1630167,,,1610612748,14,15,2022-03-26T00:24:03Z,660000,,,0,,O. Toppin personal FOUL (2 PF),"[1630167, 200782]",1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,1627963.0,,,,,,2.0,0.0,,,Tucker,200782.0,,,
69,PT05M50.00S,2022-03-26T00:24:04.0Z,1,REGULAR,substitution,out,[],1630167,,,1610612748,14,15,2022-03-26T00:24:08Z,680000,,,0,,SUB out: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M50.00S,2022-03-26T00:24:04.0Z,1,REGULAR,substitution,in,[],201959,,,1610612748,14,15,2022-03-26T00:24:08Z,690000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M43.00S,2022-03-26T00:24:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,5.338370565045992,46.32352941176471,1610612748,16,15,2022-03-26T00:24:31Z,700000,18.0,-2.0,1,left,J. Butler cutting Layup (6 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,1.85,Made,6.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,,
73,PT05M17.00S,2022-03-26T00:24:50.5Z,1,REGULAR,3pt,Jump Shot,[],201959,94.1688567674113,3.431372549019608,1610612752,16,15,2022-03-26T00:24:57Z,720000,-233.0,2.0,1,right,MISS T. Gibson 3PT,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M12.00S,2022-03-26T00:24:55.5Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,16,15,2022-03-26T00:24:57Z,730000,,,0,,J. Sims REBOUND (Off:1 Def:0),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,
75,PT05M09.00S,2022-03-26T00:25:01.0Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612752,16,15,2022-03-26T00:25:13Z,740000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Fournier 2 FT),"[200768, 203095]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,1627963.0,,,,,,1.0,0.0,,,Fournier,203095.0,,,
77,PT05M09.00S,2022-03-26T00:25:24.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203095,,,1610612752,16,16,2022-03-26T00:25:51Z,760000,,,0,,E. Fournier Free Throw 1 of 2 (4 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
78,PT05M09.00S,2022-03-26T00:25:24.5Z,1,REGULAR,substitution,out,[],200768,,,1610612752,16,16,2022-03-26T00:25:27Z,770000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M09.00S,2022-03-26T00:25:24.5Z,1,REGULAR,substitution,in,[],1629622,,,1610612752,16,16,2022-03-26T00:25:27Z,780000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M09.00S,2022-03-26T00:25:24.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203095,,,1610612752,16,16,2022-03-26T00:25:51Z,790000,,,0,,MISS E. Fournier Free Throw 2 of 2,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M04.00S,2022-03-26T00:25:29.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,16,16,2022-03-26T00:25:51Z,800000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,
82,PT04M51.00S,2022-03-26T00:26:02.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,26.62614980289093,84.06862745098039,1610612748,19,16,2022-03-26T00:26:08Z,810000,-170.0,198.0,1,left,D. Robinson 26' 3PT  (3 PTS) (J. Butler 3 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.1,Made,3.0,J. Butler,202710.0,3.0,,,,,,,,,,,,,,,
84,PT04M30.00S,2022-03-26T00:26:25.1Z,1,REGULAR,turnover,lost ball,[],1629628,,,1610612752,19,16,2022-03-26T00:26:29Z,830000,,,0,,R. Barrett lost ball TURNOVER (2 TO),"[1629628, 1628389]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,2.0,,,,,,,Adebayo,1628389.0,,,,,
85,PT04M30.00S,2022-03-26T00:26:25.1Z,1,REGULAR,steal,,[],1628389,,,1610612748,19,16,2022-03-26T00:26:26Z,840000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M21.00S,2022-03-26T00:26:34.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,28.991458607095925,74.75490196078431,1610612748,19,16,2022-03-26T00:26:44Z,850000,-124.0,220.0,1,left,MISS M. Strus 25' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M17.00S,2022-03-26T00:26:38.8Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,19,16,2022-03-26T00:26:38Z,860000,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,86.0,3.0,2.0,1.0,,,,,,,,,
88,PT04M13.00S,2022-03-26T00:26:43.4Z,1,REGULAR,foul,personal,[],201959,,,1610612748,19,16,2022-03-26T00:26:56Z,870000,,,0,,T. Gibson personal FOUL (1 PF),"[201959, 202710]",1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,203592.0,,,,,,1.0,0.0,,,Butler,202710.0,,,
90,PT04M13.00S,2022-03-26T00:26:52.4Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,19,16,2022-03-26T00:27:05Z,890000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M13.00S,2022-03-26T00:26:52.4Z,1,REGULAR,substitution,out,[],202692,,,1610612748,19,16,2022-03-26T00:27:05Z,900000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M13.00S,2022-03-26T00:26:52.4Z,1,REGULAR,substitution,out,[],1630579,,,1610612748,19,16,2022-03-26T00:27:05Z,910000,,,0,,SUB out: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M13.00S,2022-03-26T00:26:52.4Z,1,REGULAR,substitution,in,[],203473,,,1610612748,19,16,2022-03-26T00:27:05Z,920000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M13.00S,2022-03-26T00:26:52.4Z,1,REGULAR,substitution,in,[],1629011,,,1610612748,19,16,2022-03-26T00:27:05Z,930000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M13.00S,2022-03-26T00:26:52.4Z,1,REGULAR,substitution,in,[],1630193,,,1610612748,19,16,2022-03-26T00:27:05Z,940000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M00.00S,2022-03-26T00:27:34.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629130,32.933639947437584,30.88235294117647,1610612748,22,16,2022-03-26T00:27:40Z,950000,96.0,257.0,1,left,D. Robinson 27' 3PT pullup (6 PTS) (P. Tucker 1 AST),"[1629130, 200782]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,27.43,Made,6.0,P. Tucker,200782.0,1.0,,,,,,,,,,,,,,,
98,PT03M42.00S,2022-03-26T00:27:52.1Z,1,REGULAR,3pt,Jump Shot,[],203095,66.3107752956636,33.33333333333333,1610612752,22,16,2022-03-26T00:29:17Z,970000,-83.0,264.0,1,right,MISS E. Fournier 27' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,27.7,Missed,,,,,,,,,,,,,,,,,,,
