actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M21.00S,2021-12-22T00:34:21.8Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612754,0,4,2021-12-22T00:34:21Z,190000,,,0,,M. Brogdon REBOUND (Off:1 Def:0),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,
20,PT10M14.00S,2021-12-22T00:34:30.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627734,91.01511169513797,37.99019607843137,1610612754,0,4,2021-12-22T00:34:34Z,200000,-60.0,32.0,1,right,MISS D. Sabonis 6' turnaround Hook,[1627734],1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,6.8,Missed,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2021-12-22T00:34:34.1Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,0,4,2021-12-22T00:34:34Z,210000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT09M58.00S,2021-12-22T00:34:45.9Z,1,REGULAR,3pt,Jump Shot,[],1629216,4.944152431011826,97.30392156862744,1610612748,3,4,2021-12-22T00:34:51Z,220000,-237.0,-6.0,1,left,G. Vincent 3PT  (3 PTS) (K. Lowry 1 AST),"[1629216, 200768]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,23.66,Made,3.0,,,,,K. Lowry,200768.0,1.0,,,,,,,,,,
24,PT09M45.00S,2021-12-22T00:34:58.1Z,1,REGULAR,3pt,Jump Shot,[],203200,66.17936925098554,50.73529411764706,1610612754,3,4,2021-12-22T00:35:04Z,240000,4.0,265.0,1,right,MISS J. Holiday 26' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,
25,PT09M42.00S,2021-12-22T00:35:01.1Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,3,4,2021-12-22T00:35:04Z,250000,,,0,,D. Dedmon REBOUND (Off:0 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT09M35.00S,2021-12-22T00:35:09.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,32.53942181340342,21.07843137254902,1610612748,6,4,2021-12-22T00:35:15Z,260000,145.0,253.0,1,left,M. Strus 29' 3PT  (3 PTS) (K. Lowry 2 AST),"[1629622, 200768]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,29.18,Made,3.0,,,,,K. Lowry,200768.0,2.0,,,,,,,,,,
28,PT09M28.00S,2021-12-22T00:35:26.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,6,4,2021-12-22T01:27:55Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2021-12-22T00:35:37.2Z,1,REGULAR,foul,personal,[],1629622,,,1610612754,6,4,2021-12-22T00:35:51Z,290000,,,0,,M. Strus personal FOUL (1 PF),"[1629622, 1627763]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Brogdon,1627763.0,,,,
31,PT09M07.00S,2021-12-22T00:36:02.9Z,1,REGULAR,3pt,Jump Shot,[],1627747,92.46057818659659,96.56862745098039,1610612754,6,7,2021-12-22T00:36:10Z,310000,233.0,18.0,1,right,C. LeVert 3PT  (3 PTS) (M. Brogdon 1 AST),"[1627747, 1627763]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,23.35,Made,3.0,,,,,M. Brogdon,1627763.0,1.0,,,,,,,,,,
33,PT08M44.00S,2021-12-22T00:36:29.3Z,1,REGULAR,turnover,traveling,[],203473,,,1610612748,6,7,2021-12-22T00:36:34Z,330000,,,0,,D. Dedmon traveling TURNOVER (1 TO),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,1.0,201640.0,,,,,,,,
34,PT08M33.00S,2021-12-22T00:36:49.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,93.77463863337714,48.03921568627451,1610612754,6,9,2021-12-22T00:36:55Z,340000,-10.0,6.0,1,right,D. Sabonis cutting Layup (4 PTS) (J. Holiday 2 AST),"[1627734, 203200]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,1.15,Made,4.0,,,,,J. Holiday,203200.0,2.0,,,,,,,,,,
36,PT08M21.00S,2021-12-22T00:37:01.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,6.389618922470433,95.58823529411765,1610612748,6,9,2021-12-22T00:37:08Z,360000,-228.0,8.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,
37,PT08M15.00S,2021-12-22T00:37:07.0Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,6,9,2021-12-22T00:37:08Z,370000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT08M15.00S,2021-12-22T00:37:12.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,6,9,2021-12-22T00:37:12Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M07.00S,2021-12-22T00:37:32.6Z,1,REGULAR,2pt,Jump Shot,[],203200,77.4802890932983,43.872549019607845,1610612754,6,11,2021-12-22T00:37:38Z,390000,-31.0,159.0,1,right,J. Holiday 16' pullup Jump Shot (2 PTS) (M. Brogdon 2 AST),"[203200, 1627763]",1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,16.21,Made,2.0,,,,,M. Brogdon,1627763.0,2.0,,,,,,,,,,
41,PT07M56.00S,2021-12-22T00:37:42.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,12.434296977660972,4.6568627450980395,1610612748,9,11,2021-12-22T00:37:48Z,410000,227.0,64.0,1,left,D. Robinson 3PT  (3 PTS) (M. Strus 1 AST),"[1629130, 1629622]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,23.57,Made,3.0,,,,,M. Strus,1629622.0,1.0,,,,,,,,,,
42,PT07M42.00S,2021-12-22T00:38:03.0Z,1,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612754,9,11,2021-12-22T00:38:10Z,420000,,,0,,M. Strus shooting personal FOUL (2 PF) (Sabonis 2 FT),"[1629622, 1627734]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,,,,,,,,,,,,201640.0,2.0,0.0,Sabonis,1627734.0,,,,
44,PT07M42.00S,2021-12-22T00:38:26.1Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,9,12,2021-12-22T00:38:26Z,440000,,,0,,D. Sabonis Free Throw 1 of 2 (5 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
45,PT07M42.00S,2021-12-22T00:38:26.8Z,1,REGULAR,substitution,out,[],1629622,,,1610612754,9,12,2021-12-22T00:38:31Z,450000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M42.00S,2021-12-22T00:38:26.8Z,1,REGULAR,substitution,in,[],1629644,,,1610612754,9,12,2021-12-22T00:38:31Z,460000,,,0,,SUB in: K. Okpala,[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M42.00S,2021-12-22T00:38:46.9Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,9,13,2021-12-22T00:38:46Z,470000,,,0,,D. Sabonis Free Throw 2 of 2 (6 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
48,PT07M31.00S,2021-12-22T00:39:03.2Z,1,REGULAR,violation,kicked ball,[],1626167,,,1610612748,9,13,2021-12-22T00:39:10Z,480000,,,0,,M. Turner kicked ball VIOLATION,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,202007.0,,,,,,,,
49,PT07M25.00S,2021-12-22T00:39:19.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.53942181340342,41.17647058823529,1610612748,12,13,2021-12-22T00:39:27Z,490000,44.0,253.0,1,left,D. Robinson 25' 3PT  (6 PTS) (D. Dedmon 1 AST),"[1629130, 203473]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.72,Made,6.0,,,,,D. Dedmon,203473.0,1.0,,,,,,,,,,
51,PT07M11.00S,2021-12-22T00:39:33.2Z,1,REGULAR,3pt,Jump Shot,[],1627734,67.09921156373193,37.5,1610612754,12,13,2021-12-22T00:39:39Z,510000,-62.0,257.0,1,right,MISS D. Sabonis 26' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,
52,PT07M08.00S,2021-12-22T00:39:36.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,12,13,2021-12-22T00:39:39Z,520000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,
53,PT07M04.00S,2021-12-22T00:39:40.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,31.488173455978973,72.30392156862744,1610612748,12,13,2021-12-22T00:40:21Z,530000,-112.0,243.0,1,left,MISS K. Lowry 26' running pullup 3PT,[200768],1610612748.0,MIA,running pullup,,,Lowry,K. Lowry,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,
54,PT07M00.00S,2021-12-22T00:39:44.9Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,12,13,2021-12-22T00:39:50Z,540000,,,0,,D. Dedmon REBOUND (Off:1 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,,,,
55,PT06M56.00S,2021-12-22T00:39:49.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629216,7.046649145860711,53.18627450980392,1610612748,12,13,2021-12-22T00:39:56Z,550000,-16.0,14.0,1,left,MISS G. Vincent reverse Layup - blocked,"[1629216, 1626167]",1610612748.0,MIA,reverse,,,Vincent,G. Vincent,,,,,2.1,Missed,,,,,,,,,,,,,,,Turner,1626167.0,,
56,PT06M56.00S,2021-12-22T00:39:49.4Z,1,REGULAR,block,,[],1626167,,,1610612748,12,13,2021-12-22T00:39:52Z,560000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M52.00S,2021-12-22T00:39:53.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,12,13,2021-12-22T00:39:56Z,570000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT06M48.00S,2021-12-22T00:39:57.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627747,85.10183968462549,49.01960784313725,1610612754,12,13,2021-12-22T00:40:03Z,580000,-5.0,88.0,1,right,MISS C. LeVert 8' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,8.76,Missed,,,,,,,,,,,,,,,,,,
59,PT06M45.00S,2021-12-22T00:40:00.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,12,13,2021-12-22T00:40:03Z,590000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT06M41.00S,2021-12-22T00:40:04.3Z,1,REGULAR,3pt,Jump Shot,[],203473,33.722076215505915,46.32352941176471,1610612748,15,13,2021-12-22T00:40:12Z,600000,18.0,264.0,1,left,D. Dedmon 26' 3PT  (3 PTS) (K. Lowry 3 AST),"[203473, 200768]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,26.51,Made,3.0,,,,,K. Lowry,200768.0,3.0,,,,,,,,,,
62,PT06M25.00S,2021-12-22T00:40:19.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,95.22010512483574,96.32352941176471,1610612754,15,16,2021-12-22T00:40:23Z,620000,232.0,-8.0,1,right,M. Turner 3PT  (5 PTS) (D. Sabonis 1 AST),"[1626167, 1627734]",1610612754.0,IND,,,,Turner,M. Turner,,,,,23.17,Made,5.0,,,,,D. Sabonis,1627734.0,1.0,,,,,,,,,,
64,PT06M18.00S,2021-12-22T00:40:27.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629644,7.440867279894875,46.32352941176471,1610612748,17,16,2021-12-22T00:40:34Z,640000,18.0,17.0,1,left,K. Okpala driving Layup (2 PTS) (K. Lowry 4 AST),"[1629644, 200768]",1610612748.0,MIA,driving,,,Okpala,K. Okpala,,,,,2.53,Made,2.0,,,,,K. Lowry,200768.0,4.0,,,,,,,,,,
66,PT06M11.00S,2021-12-22T00:40:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,93.64323258869908,52.94117647058824,1610612754,17,16,2021-12-22T00:41:16Z,660000,15.0,7.0,1,right,MISS M. Brogdon driving Layup,[1627763],1610612754.0,IND,driving,,,Brogdon,M. Brogdon,,,,,1.64,Missed,,,,,,,,,,,,,,,,,,
67,PT06M08.00S,2021-12-22T00:40:40.5Z,1,REGULAR,rebound,offensive,[],203200,,,1610612754,17,16,2021-12-22T00:41:16Z,670000,,,0,,J. Holiday REBOUND (Off:1 Def:0),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,66.0,1.0,0.0,1.0,,,,,,,,,,,,,
68,PT06M02.00S,2021-12-22T00:40:49.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203200,90.75229960578186,97.05882352941177,1610612754,17,16,2021-12-22T00:43:52Z,680000,235.0,34.0,1,right,MISS J. Holiday 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,23.78,Missed,,,,,,,,,,,,,,,,,,
69,PT06M01.00S,2021-12-22T00:40:50.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,17,16,2021-12-22T00:43:52Z,690000,,,0,,K. Lowry REBOUND (Off:0 Def:3),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,,
70,PT06M00.00S,2021-12-22T00:41:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",200768,6.521024967148489,47.05882352941176,1610612748,19,16,2021-12-22T00:44:05Z,692500,15.0,9.0,1,left,K. Lowry driving Layup (2 PTS),[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,1.71,Made,2.0,,,,,,,,,,,,,,,,,
74,PT06M00.00S,2021-12-22T00:42:36.3Z,1,REGULAR,violation,defensive goaltending,[],1626167,,,1610612748,19,16,2021-12-22T00:49:24Z,700000,,,0,,M. Turner defensive goaltending VIOLATION,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,201640.0,,,,,,,,
75,PT06M00.00S,2021-12-22T00:42:43.5Z,1,REGULAR,foul,personal,['1freethrow'],203200,,,1610612748,19,16,2021-12-22T00:47:57Z,701875,,,0,,J. Holiday shooting personal FOUL (1 PF) (Lowry 1 FT),"[203200, 200768]",1610612754.0,IND,shooting,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Lowry,200768.0,,,,
86,PT06M00.00S,2021-12-22T00:42:44.2Z,1,REGULAR,freethrow,1 of 1,[],200768,,,1610612748,19,16,2021-12-22T00:50:34Z,703750,,,0,,MISS K. Lowry Free Throw 1 of 1,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,Missed,,,,,,,,,,,,,,,,,,
87,PT05M58.00S,2021-12-22T00:42:46.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,19,16,2021-12-22T00:50:34Z,705625,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,86.0,3.0,3.0,0.0,,,,,,,,,,,,,
73,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,19,16,2021-12-22T00:49:59Z,760000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,out,[],1629216,,,1610612754,19,16,2021-12-22T00:47:57Z,780000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,out,[],203473,,,1610612754,19,16,2021-12-22T00:47:57Z,790000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,out,[],203200,,,1610612754,19,16,2021-12-22T00:47:57Z,800000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,out,[],1627734,,,1610612754,19,16,2021-12-22T00:47:57Z,810000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,in,[],1630209,,,1610612754,19,16,2021-12-22T00:47:57Z,820000,,,0,,SUB in: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,in,[],1629639,,,1610612754,19,16,2021-12-22T00:47:57Z,830000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,in,[],1629052,,,1610612754,19,16,2021-12-22T00:47:57Z,840000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M58.00S,2021-12-22T00:44:22.5Z,1,REGULAR,substitution,in,[],1630537,,,1610612754,19,16,2021-12-22T00:47:57Z,850000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M35.00S,2021-12-22T00:45:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,94.30026281208936,46.568627450980394,1610612754,19,16,2021-12-22T00:45:19Z,880000,-17.0,1.0,1,right,MISS M. Turner driving Layup,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,1.72,Missed,,,,,,,,,,,,,,,,,,
89,PT05M32.00S,2021-12-22T00:45:18.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,19,16,2021-12-22T00:45:19Z,890000,,,0,,K. Lowry REBOUND (Off:0 Def:4),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,88.0,4.0,4.0,0.0,,,,,,,,,,,,,
90,PT05M14.00S,2021-12-22T00:45:36.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629130,11.645860709592641,51.71568627450981,1610612748,19,16,2021-12-22T00:45:41Z,900000,-9.0,57.0,1,left,MISS D. Robinson driving floating Shot,[1629130],1610612748.0,MIA,driving floating,,,Robinson,D. Robinson,,,,,5.76,Missed,,,,,,,,,,,,,,,,,,
91,PT05M11.00S,2021-12-22T00:45:39.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,19,16,2021-12-22T00:45:41Z,910000,,,0,,M. Turner REBOUND (Off:0 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,90.0,4.0,4.0,0.0,,,,,,,,,,,,,
92,PT05M01.00S,2021-12-22T00:45:53.5Z,1,REGULAR,foul,personal,['2freethrow'],1629644,,,1610612754,19,16,2021-12-22T00:46:01Z,920000,,,0,,K. Okpala shooting personal FOUL (1 PF) (Brogdon 2 FT),"[1629644, 1627763]",1610612748.0,MIA,shooting,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Brogdon,1627763.0,,,,
94,PT05M01.00S,2021-12-22T00:46:13.1Z,1,REGULAR,freethrow,1 of 2,[],1627763,,,1610612754,19,16,2021-12-22T00:46:13Z,940000,,,0,,MISS M. Brogdon Free Throw 1 of 2,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,Missed,,,,,,,,,,,,,,,,,,
