actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
15,PT10M55.00S,2024-01-24T01:11:33.0Z,1,REGULAR,3pt,Jump Shot,[],202685,32.276609724047304,40.19607843137255,1610612740,0,2,2024-01-24T01:11:38Z,150000,False,49.0,251.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2024-01-24T01:11:37.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,2,2024-01-24T01:11:38Z,160000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M47.00S,2024-01-24T01:11:41.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628374,92.32917214191852,39.950980392156865,1610612762,0,4,2024-01-24T01:13:05Z,170000,False,-50.0,20.0,1,right,L. Markkanen running Layup (4 PTS),[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.39,Made,,,,,,,4.0,,,,,,,,,,,
18,PT10M40.00S,2024-01-24T01:11:53.1Z,1,REGULAR,turnover,traveling,[],202685,,,1610612740,0,4,2024-01-24T01:12:00Z,180000,False,,,0,,J. Valanciunas traveling TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,,,,,,202007.0,1.0,,,,,,,,,
19,PT10M20.00S,2024-01-24T01:12:27.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628381,87.86136662286465,49.754901960784316,1610612762,0,4,2024-01-24T01:13:49Z,190000,False,-1.0,62.0,1,right,MISS J. Collins 6' turnaround Hook,[1628381],1610612762.0,UTA,turnaround,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,6.16,Missed,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2024-01-24T01:12:29.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,4,2024-01-24T01:12:32Z,200000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M11.00S,2024-01-24T01:12:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,6.258212877792378,3.431372549019608,1610612740,3,4,2024-01-24T01:12:42Z,210000,False,233.0,6.0,1,left,H. Jones 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630529, 1629627]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,23.29,Made,,,,,,,3.0,,,Z. Williamson,1629627.0,1.0,,,,,,
23,PT09M57.00S,2024-01-24T01:12:49.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,81.2910643889619,56.86274509803921,1610612762,3,4,2024-01-24T01:12:56Z,230000,False,34.0,123.0,1,right,MISS L. Markkanen 12' turnaround fadeaway Shot,[1628374],1610612762.0,UTA,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,12.81,Missed,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2024-01-24T01:12:52.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,3,4,2024-01-24T01:12:56Z,240000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M50.00S,2024-01-24T01:12:56.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,32.14520367936925,48.77450980392157,1610612740,6,4,2024-01-24T01:14:41Z,250000,False,6.0,250.0,1,left,C. McCollum 24' 3PT running pullup (3 PTS),[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,24.98,Made,,,,,,,3.0,,,,,,,,,,,
26,PT09M40.00S,2024-01-24T01:13:09.2Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612762,6,4,2024-01-24T01:13:22Z,260000,False,,,0,,B. Ingram shooting personal FOUL (1 PF) (Sexton 2 FT),"[1627742, 1629012]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,,,,202007.0,,,,,1.0,0.0,Sexton,1629012.0,,
28,PT09M40.00S,2024-01-24T01:13:31.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629012,,,1610612762,6,5,2024-01-24T01:13:31Z,280000,False,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
29,PT09M40.00S,2024-01-24T01:13:46.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629012,,,1610612762,6,6,2024-01-24T01:13:46Z,290000,False,,,0,,C. Sexton Free Throw 2 of 2 (2 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
30,PT09M20.00S,2024-01-24T01:14:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,11.514454664914586,52.69607843137255,1610612740,8,6,2024-01-24T01:14:14Z,300000,False,-13.0,56.0,1,left,C. McCollum driving floating Jump Shot (5 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,5.73,Made,,,,,,,5.0,,,,,,,,,,,
32,PT09M10.00S,2024-01-24T01:14:17.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,66.04796320630749,51.71568627450981,1610612762,8,6,2024-01-24T01:14:21Z,320000,False,9.0,267.0,1,right,MISS J. Collins 26' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,26.67,Missed,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2024-01-24T01:14:19.0Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,8,6,2024-01-24T01:14:21Z,330000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M01.00S,2024-01-24T01:14:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202685,6.258212877792378,45.09803921568628,1610612740,10,6,2024-01-24T01:14:35Z,340000,False,25.0,6.0,1,left,J. Valanciunas running Layup (2 PTS) (Z. Williamson 2 AST),"[202685, 1629627]",1610612740.0,NOP,running,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.53,Made,,,,,,,2.0,,,Z. Williamson,1629627.0,2.0,,,,,,
36,PT08M50.00S,2024-01-24T01:14:37.6Z,1,REGULAR,3pt,Jump Shot,[],1631323,73.40670170827858,11.76470588235294,1610612762,10,9,2024-01-24T01:14:44Z,360000,False,-191.0,197.0,1,right,S. Fontecchio 27' 3PT  (3 PTS) (K. Dunn 1 AST),"[1631323, 1627739]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,27.49,Made,,,,,,,3.0,,,K. Dunn,1627739.0,1.0,,,,,,
38,PT08M35.00S,2024-01-24T01:14:52.2Z,1,REGULAR,3pt,Jump Shot,[],1627742,8.492115637319317,4.166666666666666,1610612740,10,9,2024-01-24T01:14:57Z,380000,False,229.0,27.0,1,left,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,23.08,Missed,,,,,,,,,,,,,,,,,,
39,PT08M34.00S,2024-01-24T01:14:53.2Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,10,9,2024-01-24T01:14:57Z,390000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Right Corner 3,24+ Right,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT08M34.00S,2024-01-24T01:15:02.5Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612740,10,9,2024-01-24T01:15:09Z,400000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1627739, 202685]",1610612762.0,UTA,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,Valanciunas,202685.0,,
42,PT08M34.00S,2024-01-24T01:15:33.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202685,,,1610612740,11,9,2024-01-24T01:15:56Z,420000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (3 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
43,PT08M34.00S,2024-01-24T01:15:33.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202685,,,1610612740,11,9,2024-01-24T01:15:56Z,430000,False,,,0,,MISS J. Valanciunas Free Throw 2 of 2,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
44,PT08M31.00S,2024-01-24T01:15:36.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,11,9,2024-01-24T01:15:56Z,440000,False,,,0,,J. Collins REBOUND (Off:0 Def:3),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,
45,PT08M22.00S,2024-01-24T01:16:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,92.59198423127464,45.588235294117645,1610612762,11,9,2024-01-24T01:16:09Z,450000,False,-22.0,17.0,1,right,MISS C. Sexton driving Layup,[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.79,Missed,,,,,,,,,,,,,,,,,,
46,PT08M20.00S,2024-01-24T01:16:05.6Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,11,9,2024-01-24T01:16:09Z,460000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M03.00S,2024-01-24T01:16:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,6.652431011826544,45.588235294117645,1610612740,13,9,2024-01-24T01:18:45Z,470000,False,22.0,10.0,1,left,Z. Williamson Layup (2 PTS) (H. Jones 1 AST),"[1629627, 1630529]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.43,Made,,,,,,,2.0,,,H. Jones,1630529.0,1.0,,,,,,
49,PT07M50.00S,2024-01-24T01:16:35.2Z,1,REGULAR,3pt,Jump Shot,[],1631323,70.25295663600527,77.69607843137256,1610612762,13,9,2024-01-24T01:16:40Z,490000,False,138.0,227.0,1,right,MISS S. Fontecchio 26' 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,26.6,Missed,,,,,,,,,,,,,,,,,,
50,PT07M46.00S,2024-01-24T01:16:39.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,13,9,2024-01-24T01:16:40Z,500000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,49.0,3.0,2.0,1.0,,,,,,,,,,,,,,
51,PT07M38.00S,2024-01-24T01:16:48.4Z,1,REGULAR,3pt,Jump Shot,[],202685,28.991458607095925,75.49019607843137,1610612740,13,9,2024-01-24T01:16:52Z,510000,False,-127.0,220.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,25.43,Missed,,,,,,,,,,,,,,,,,,
52,PT07M35.00S,2024-01-24T01:16:50.5Z,1,REGULAR,rebound,offensive,[],203468,,,1610612740,13,9,2024-01-24T01:16:50Z,520000,False,,,0,,C. McCollum REBOUND (Off:1 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,51.0,3.0,2.0,1.0,,,,,,,,,,,,,,
53,PT07M30.00S,2024-01-24T01:16:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,5.732588699080158,55.392156862745104,1610612740,15,9,2024-01-24T01:17:12Z,530000,False,-27.0,1.0,1,left,Z. Williamson driving Layup (4 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.7,Made,,,,,,,4.0,,,,,,,,,,,
54,PT07M30.00S,2024-01-24T01:17:07.1Z,1,REGULAR,foul,personal,['1freethrow'],1627739,,,1610612740,15,9,2024-01-24T01:17:33Z,540000,False,,,0,,K. Dunn shooting personal FOUL (2 PF) (Williamson 1 FT),"[1627739, 1629627]",1610612762.0,UTA,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,,,,,202007.0,,,,,2.0,0.0,Williamson,1629627.0,,
57,PT07M30.00S,2024-01-24T01:17:34.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629627,,,1610612740,15,9,2024-01-24T01:17:37Z,560000,False,,,0,,MISS Z. Williamson Free Throw 1 of 1,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
58,PT07M26.00S,2024-01-24T01:17:38.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,15,9,2024-01-24T01:17:37Z,570000,False,,,0,,J. Collins REBOUND (Off:0 Def:4),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,57.0,4.0,4.0,0.0,,,,,,,,,,,,,,
59,PT07M08.00S,2024-01-24T01:17:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629012,78.53153745072274,89.95098039215686,1610612762,15,12,2024-01-24T01:18:01Z,580000,False,200.0,149.0,1,right,C. Sexton 24' 3PT pullup (5 PTS) (J. Collins 1 AST),"[1629012, 1628381]",1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,24.94,Made,,,,,,,5.0,,,J. Collins,1628381.0,1.0,,,,,,
60,PT06M48.00S,2024-01-24T01:18:12.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,14.668199737187912,24.754901960784316,1610612740,17,12,2024-01-24T01:18:17Z,590000,False,126.0,85.0,1,left,B. Ingram 15' pullup Jump Shot (2 PTS) (Z. Williamson 3 AST),"[1627742, 1629627]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,15.24,Made,,,,,,,2.0,,,Z. Williamson,1629627.0,3.0,,,,,,
63,PT06M36.00S,2024-01-24T01:18:24.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627739,90.88370565045992,46.32352941176471,1610612762,17,12,2024-01-24T01:22:07Z,610000,False,-18.0,33.0,1,right,MISS K. Dunn turnaround Hook,[1627739],1610612762.0,UTA,turnaround,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,3.8,Missed,,,,,,,,,,,,,,,,,,
64,PT06M34.00S,2024-01-24T01:18:26.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,17,12,2024-01-24T01:18:29Z,620000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,63.0,4.0,3.0,1.0,,,,,,,,,,,,,,
65,PT06M27.00S,2024-01-24T01:18:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,7.5722733245729295,55.63725490196079,1610612740,17,12,2024-01-24T01:22:31Z,630000,False,-28.0,19.0,1,left,MISS B. Ingram driving Layup - blocked,"[1627742, 1628381]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,Collins,1628381.0,,,,,,,,,,,,
66,PT06M27.00S,2024-01-24T01:18:34.2Z,1,REGULAR,block,,[],1628381,,,1610612740,17,12,2024-01-24T01:18:36Z,640000,False,,,0,,J. Collins BLOCK (2 BLK),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT06M24.00S,2024-01-24T01:18:37.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,17,12,2024-01-24T01:18:38Z,650000,False,,,0,,J. Collins REBOUND (Off:0 Def:5),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,65.0,5.0,5.0,0.0,,,,,,,,,,,,,,
68,PT06M22.00S,2024-01-24T01:18:40.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629012,94.30026281208936,53.18627450980392,1610612762,17,14,2024-01-24T01:18:53Z,660000,False,16.0,1.0,1,right,C. Sexton running Layup (7 PTS) (K. Dunn 2 AST),"[1629012, 1627739]",1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,7.0,,,K. Dunn,1627739.0,2.0,,,,,,
70,PT06M22.00S,2024-01-24T01:18:56.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,17,14,2024-01-24T01:18:56Z,680000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,17,14,2024-01-24T01:21:39Z,690000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,out,[],202685,,,1610612740,17,14,2024-01-24T01:21:39Z,700000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,out,[],1628381,,,1610612740,17,14,2024-01-24T01:21:39Z,710000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,out,[],1627739,,,1610612740,17,14,2024-01-24T01:21:39Z,720000,False,,,0,,SUB out: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,17,14,2024-01-24T01:21:39Z,730000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,17,14,2024-01-24T01:21:39Z,740000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,in,[],1631117,,,1610612740,17,14,2024-01-24T01:21:39Z,750000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M22.00S,2024-01-24T01:21:10.9Z,1,REGULAR,substitution,in,[],203903,,,1610612740,17,14,2024-01-24T01:21:39Z,760000,False,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M07.00S,2024-01-24T01:22:04.1Z,1,REGULAR,foul,personal,['2freethrow'],1631117,,,1610612740,17,14,2024-01-24T01:22:15Z,770000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Jones 2 FT),"[1631117, 1630529]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,Jones,1630529.0,,
81,PT06M07.00S,2024-01-24T01:22:25.1Z,1,REGULAR,freethrow,1 of 2,[],1630529,,,1610612740,18,14,2024-01-24T01:22:25Z,790000,False,,,0,,H. Jones Free Throw 1 of 2 (4 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
82,PT06M07.00S,2024-01-24T01:22:39.4Z,1,REGULAR,freethrow,2 of 2,[],1630529,,,1610612740,19,14,2024-01-24T01:22:39Z,800000,False,,,0,,H. Jones Free Throw 2 of 2 (5 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
83,PT05M55.00S,2024-01-24T01:22:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,93.64323258869908,52.94117647058824,1610612762,19,16,2024-01-24T01:23:08Z,810000,False,15.0,7.0,1,right,C. Sexton driving Layup (9 PTS),[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,,,9.0,,,,,,,,,,,
