actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT10M31.00S,2024-03-16T00:12:22.6Z,1,REGULAR,turnover,out-of-bounds,[],203468,,,1610612740,0,2,2024-03-16T00:12:27Z,160000,False,,,0,,C. McCollum bad pass out-of-bounds TURNOVER (1 TO),[203468],1610612740.0,NOP,bad pass,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,,,202056.0,,,,,1.0,,,,,,,
17,PT10M13.00S,2024-03-16T00:12:49.8Z,1,REGULAR,foul,personal,[],1630529,,,1610612746,0,2,2024-03-16T00:12:58Z,170000,False,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1630538]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,1148.0,1.0,0.0,Hyland,1630538.0,,,,,,,,
19,PT10M13.00S,2024-03-16T00:13:11.6Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612746,0,2,2024-03-16T00:13:17Z,190000,False,,,0,,LAC 5-second-violation Team TURNOVER,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,1148.0,,,,,,,,,,,,
20,PT10M01.00S,2024-03-16T00:13:29.7Z,1,REGULAR,turnover,bad pass,[],1630529,,,1610612740,0,2,2024-03-16T00:13:33Z,200000,False,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1629611]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,Mann,1629611.0,,,,,
21,PT10M01.00S,2024-03-16T00:13:29.7Z,1,REGULAR,steal,,[],1629611,,,1610612746,0,2,2024-03-16T00:13:32Z,210000,False,,,0,,T. Mann STEAL (1 STL),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
22,PT09M55.00S,2024-03-16T00:13:35.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629611,91.01511169513797,44.85294117647059,1610612746,0,2,2024-03-16T00:14:03Z,220000,False,-26.0,32.0,1,right,MISS T. Mann running Layup - blocked,"[1629611, 1629627]",1610612746.0,LAC,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,Williamson,1629627.0,,,
23,PT09M55.00S,2024-03-16T00:13:35.8Z,1,REGULAR,block,,[],1629627,,,1610612746,0,2,2024-03-16T00:13:38Z,230000,False,,,0,,Z. Williamson BLOCK (1 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2024-03-16T00:13:37.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,2,2024-03-16T00:13:59Z,240000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M46.00S,2024-03-16T00:13:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,7.5722733245729295,50.49019607843137,1610612740,2,2,2024-03-16T00:13:54Z,250000,False,-2.0,19.0,1,left,Z. Williamson cutting Layup (2 PTS) (B. Ingram 1 AST),"[1629627, 1627742]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.89,Made,,,,,2.0,,,,,,,,,,,B. Ingram,1627742.0,1.0
27,PT09M32.00S,2024-03-16T00:13:59.2Z,1,REGULAR,3pt,Jump Shot,[],202695,70.25295663600527,72.54901960784314,1610612746,2,5,2024-03-16T00:14:04Z,270000,False,113.0,227.0,1,right,K. Leonard 25' 3PT step back (3 PTS),[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,25.35,Made,,,,,3.0,,,,,,,,,,,,,
28,PT09M16.00S,2024-03-16T00:14:15.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,5.601182654402102,54.41176470588235,1610612740,2,5,2024-03-16T00:14:18Z,280000,False,-22.0,0.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,,,,,,,
29,PT09M13.00S,2024-03-16T00:14:18.0Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,5,2024-03-16T00:14:18Z,290000,False,,,0,,K. Leonard REBOUND (Off:0 Def:2),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M10.00S,2024-03-16T00:14:20.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202695,93.64323258869908,45.588235294117645,1610612746,2,5,2024-03-16T00:15:19Z,300000,False,-22.0,7.0,1,right,MISS K. Leonard running Layup,[202695],1610612746.0,LAC,running,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
31,PT09M07.00S,2024-03-16T00:14:23.9Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,2,5,2024-03-16T00:14:26Z,310000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT09M06.00S,2024-03-16T00:14:25.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,33.98488830486202,45.83333333333333,1610612740,2,5,2024-03-16T00:14:38Z,320000,False,21.0,267.0,1,left,MISS C. McCollum 26' running pullup 3PT,[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,26.78,Missed,,,,,,,,,,,,,,,,,,
33,PT09M02.00S,2024-03-16T00:14:29.1Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,2,5,2024-03-16T00:14:31Z,330000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M53.00S,2024-03-16T00:14:37.3Z,1,REGULAR,3pt,Jump Shot,[],202331,70.77858081471747,75.24509803921569,1610612746,2,5,2024-03-16T00:14:42Z,340000,False,126.0,222.0,1,right,MISS P. George 25' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,,
35,PT08M49.00S,2024-03-16T00:14:41.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,5,2024-03-16T00:14:42Z,350000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M45.00S,2024-03-16T00:14:45.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,17.559132720105126,93.62745098039215,1610612740,5,5,2024-03-16T00:14:51Z,360000,False,-218.0,113.0,1,left,C. McCollum 24' 3PT running (3 PTS) (B. Ingram 2 AST),"[203468, 1627742]",1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,24.55,Made,,,,,3.0,,,,,,,,,,,B. Ingram,1627742.0,2.0
38,PT08M27.00S,2024-03-16T00:15:05.0Z,1,REGULAR,turnover,out-of-bounds,[],1630538,,,1610612746,5,5,2024-03-16T00:15:10Z,380000,False,,,0,,B. Hyland bad pass out-of-bounds TURNOVER (1 TO),[1630538],1610612746.0,LAC,bad pass,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,,,,,,,,2005.0,,,,,1.0,,,,,,,
39,PT08M13.00S,2024-03-16T00:15:32.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627742,24.78646517739816,87.25490196078431,1610612740,5,5,2024-03-16T00:15:36Z,390000,False,-186.0,180.0,1,left,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,25.94,Missed,,,,,,,,,,,,,,,,,,
40,PT08M09.00S,2024-03-16T00:15:36.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,5,2024-03-16T00:15:36Z,400000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT07M57.00S,2024-03-16T00:15:48.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,87.72996057818659,45.588235294117645,1610612746,5,5,2024-03-16T00:15:52Z,410000,False,-22.0,63.0,1,right,MISS I. Zubac 6' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,,,,,,,,,,
42,PT07M54.00S,2024-03-16T00:15:51.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,5,5,2024-03-16T00:15:52Z,420000,False,,,0,,C. McCollum REBOUND (Off:0 Def:3),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,
43,PT07M51.00S,2024-03-16T00:15:54.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203468,5.601182654402102,53.92156862745098,1610612740,7,5,2024-03-16T00:16:08Z,430000,False,-20.0,0.0,1,left,C. McCollum running Layup (5 PTS),[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.96,Made,,,,,5.0,,,,,,,,,,,,,
44,PT07M35.00S,2024-03-16T00:16:10.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629611,93.64323258869908,49.50980392156863,1610612746,7,7,2024-03-16T00:16:14Z,440000,False,-2.0,7.0,1,right,T. Mann cutting DUNK (2 PTS) (I. Zubac 1 AST),"[1629611, 1627826]",1610612746.0,LAC,cutting,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,,,,,,,,,,,I. Zubac,1627826.0,1.0
46,PT07M25.00S,2024-03-16T00:16:20.7Z,1,REGULAR,turnover,bad pass,[],1629627,,,1610612740,7,7,2024-03-16T00:16:26Z,460000,False,,,0,,Z. Williamson bad pass TURNOVER (1 TO),"[1629627, 1630538]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Hyland,1630538.0,,,,,
47,PT07M25.00S,2024-03-16T00:16:20.7Z,1,REGULAR,steal,,[],1630538,,,1610612746,7,7,2024-03-16T00:16:22Z,470000,False,,,0,,B. Hyland STEAL (1 STL),[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
48,PT07M19.00S,2024-03-16T00:16:25.8Z,1,REGULAR,turnover,lost ball,[],1629611,,,1610612746,7,7,2024-03-16T00:16:30Z,480000,False,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1629611, 1629627]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Williamson,1629627.0,,,,,
49,PT07M19.00S,2024-03-16T00:16:25.8Z,1,REGULAR,steal,,[],1629627,,,1610612740,7,7,2024-03-16T00:16:32Z,490000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M15.00S,2024-03-16T00:16:30.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203468,28.597240473061763,19.607843137254903,1610612740,7,7,2024-03-16T00:17:31Z,500000,False,152.0,216.0,1,left,MISS C. McCollum 26' running pullup 3PT,[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
51,PT07M12.00S,2024-03-16T00:16:33.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,7,7,2024-03-16T00:16:39Z,510000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT06M59.00S,2024-03-16T00:16:46.0Z,1,REGULAR,3pt,Jump Shot,[],1630538,72.48685939553219,20.833333333333336,1610612746,7,7,2024-03-16T00:16:52Z,520000,False,-146.0,206.0,1,right,MISS B. Hyland 25' step back 3PT,[1630538],1610612746.0,LAC,step back,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,,,,,,,,,,,,,,,,,
53,PT06M55.00S,2024-03-16T00:16:50.0Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,7,7,2024-03-16T00:16:52Z,530000,False,,,0,,T. Mann REBOUND (Off:1 Def:0),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,52.0,1.0,0.0,1.0,,,,,,,,,,,,,,
54,PT06M52.00S,2024-03-16T00:16:53.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630538,66.5735873850197,47.549019607843135,1610612746,7,7,2024-03-16T00:16:58Z,540000,False,-12.0,262.0,1,right,MISS B. Hyland 26' 3PT,[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
55,PT06M49.00S,2024-03-16T00:16:56.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,7,7,2024-03-16T00:16:58Z,550000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT06M33.00S,2024-03-16T00:17:12.9Z,1,REGULAR,3pt,Jump Shot,[],1630529,5.601182654402102,3.9215686274509802,1610612740,7,7,2024-03-16T00:17:16Z,560000,False,230.0,0.0,1,left,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
57,PT06M29.00S,2024-03-16T00:17:16.9Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,7,7,2024-03-16T00:17:16Z,570000,False,,,0,,T. Mann REBOUND (Off:1 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,,,
58,PT06M17.00S,2024-03-16T00:17:28.4Z,1,REGULAR,2pt,Jump Shot,[],202331,93.51182654402102,17.647058823529413,1610612746,7,7,2024-03-16T00:19:39Z,580000,False,-162.0,8.0,1,right,MISS P. George 16' step back Shot,[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,16-24 Left,16.2,Missed,,,,,,,,,,,,,,,,,,
59,PT06M14.00S,2024-03-16T00:17:31.4Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,7,7,2024-03-16T00:17:33Z,590000,False,,,0,,C. McCollum REBOUND (Off:0 Def:4),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left,,,58.0,4.0,4.0,0.0,,,,,,,,,,,,,,
60,PT05M57.00S,2024-03-16T00:17:47.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,11.777266754270697,47.30392156862745,1610612740,7,7,2024-03-16T00:19:58Z,600000,False,13.0,58.0,1,left,MISS J. Valanciunas driving Hook,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,5.97,Missed,,,,,,,,,,,,,,,,,,
61,PT05M56.00S,2024-03-16T00:17:48.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,7,7,2024-03-16T00:19:58Z,610000,False,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,
62,PT05M40.00S,2024-03-16T00:18:04.8Z,1,REGULAR,2pt,Jump Shot,[],202695,88.78120893561103,79.65686274509804,1610612746,7,9,2024-03-16T00:20:23Z,620000,False,148.0,53.0,1,right,K. Leonard 15' Jump Shot (5 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,15.75,Made,,,,,5.0,,,,,,,,,,,,,
63,PT05M34.00S,2024-03-16T00:18:16.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,7,9,2024-03-16T00:18:16Z,630000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,7,9,2024-03-16T00:21:18Z,640000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,out,[],202685,,,1610612740,7,9,2024-03-16T00:21:18Z,650000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,out,[],1629611,,,1610612740,7,9,2024-03-16T00:21:18Z,660000,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,out,[],1630538,,,1610612740,7,9,2024-03-16T00:21:18Z,670000,False,,,0,,SUB out: B. Hyland,[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,7,9,2024-03-16T00:21:18Z,680000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,7,9,2024-03-16T00:21:18Z,690000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,in,[],1626181,,,1610612740,7,9,2024-03-16T00:21:18Z,710000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M34.00S,2024-03-16T00:20:46.0Z,1,REGULAR,substitution,in,[],1629599,,,1610612740,7,9,2024-03-16T00:22:33Z,715000,False,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M19.00S,2024-03-16T00:21:53.2Z,1,REGULAR,foul,personal,['2freethrow'],202331,,,1610612740,7,9,2024-03-16T00:22:03Z,740000,False,,,0,,P. George shooting personal FOUL (1 PF) (Ingram 2 FT),"[202331, 1627742]",1610612746.0,LAC,shooting,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,202056.0,1.0,0.0,Ingram,1627742.0,,,,,,,,
76,PT05M19.00S,2024-03-16T00:22:18.6Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,7,9,2024-03-16T00:22:18Z,760000,False,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT05M19.00S,2024-03-16T00:22:18.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,7,9,2024-03-16T00:22:18Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2024-03-16T00:22:35.4Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,8,9,2024-03-16T00:22:35Z,780000,False,,,0,,B. Ingram Free Throw 2 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
80,PT05M06.00S,2024-03-16T00:22:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,84.70762155059133,39.950980392156865,1610612746,8,9,2024-03-16T00:22:56Z,790000,False,-50.0,91.0,1,right,MISS K. Leonard 10' fadeaway Shot,[202695],1610612746.0,LAC,fadeaway,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,10.41,Missed,,,,,,,,,,,,,,,,,,
81,PT05M01.00S,2024-03-16T00:22:55.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,8,9,2024-03-16T00:22:56Z,800000,False,,,0,,C. McCollum REBOUND (Off:0 Def:5),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,80.0,5.0,5.0,0.0,,,,,,,,,,,,,,
