actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
158,PT02M06.00S,2024-02-15T01:33:22.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629013,,,1610612764,25,21,2024-02-15T01:33:22Z,1570000,False,,,0,,L. Shamet Free Throw 1 of 2 (1 PTS),[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
159,PT02M06.00S,2024-02-15T01:33:28.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629013,,,1610612764,25,22,2024-02-15T01:33:28Z,1580000,False,,,0,,L. Shamet Free Throw 2 of 2 (2 PTS),[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
160,PT01M54.00S,2024-02-15T01:33:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630631,90.22667542706965,2.696078431372549,1610612740,25,22,2024-02-15T01:33:48Z,1590000,False,-237.0,39.0,1,right,MISS J. Alvarado 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Left Corner 3,24+ Left,23.98,Missed,,,,,,,,,,,,,,,,,,
161,PT01M50.00S,2024-02-15T01:33:47.8Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,25,22,2024-02-15T01:33:48Z,1600000,False,,,0,,J. Poole REBOUND (Off:0 Def:2),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,,,160.0,2.0,2.0,0.0,,,,,,,,,,,,,,
162,PT01M44.00S,2024-02-15T01:33:52.9Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,25,22,2024-02-15T01:33:56Z,1610000,False,,,0,,J. Poole bad pass TURNOVER (2 TO),"[1629673, 1626204]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,2.0,,,Nance Jr.,1626204.0,,,
163,PT01M44.00S,2024-02-15T01:33:52.9Z,1,REGULAR,steal,,[],1626204,,,1610612740,25,22,2024-02-15T01:33:55Z,1620000,False,,,0,,L. Nance Jr. STEAL (1 STL),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
164,PT01M22.00S,2024-02-15T01:34:15.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626204,67.88764783180025,36.27450980392157,1610612740,25,22,2024-02-15T01:34:21Z,1630000,False,-69.0,249.0,1,right,MISS L. Nance Jr. 25' 3PT,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Center,25.87,Missed,,,,,,,,,,,,,,,,,,
165,PT01M21.00S,2024-02-15T01:34:16.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,25,22,2024-02-15T01:34:21Z,1640000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Center,,,164.0,,,,,,,,,,,,,,,,,
167,PT01M04.00S,2024-02-15T01:34:40.4Z,1,REGULAR,3pt,Jump Shot,[],1629013,27.414586070959263,77.69607843137256,1610612764,25,22,2024-02-15T01:34:45Z,1660000,False,-138.0,205.0,1,left,MISS L. Shamet 24' 3PT,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Left Center,24.76,Missed,,,,,,,,,,,,,,,,,,
168,PT00M59.50S,2024-02-15T01:34:44.9Z,1,REGULAR,rebound,offensive,[],1629673,,,1610612764,25,22,2024-02-15T01:37:40Z,1670000,False,,,0,,J. Poole REBOUND (Off:1 Def:2),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,167.0,3.0,2.0,1.0,,,,,,,,,,,,,,
169,PT00M58.60S,2024-02-15T01:34:46.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,7.5722733245729295,95.83333333333334,1610612764,25,22,2024-02-15T01:34:51Z,1680000,False,-229.0,19.0,1,left,MISS J. Poole 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,23.0,Missed,,,,,,,,,,,,,,,,,,
170,PT00M54.60S,2024-02-15T01:34:50.7Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,25,22,2024-02-15T01:34:50Z,1690000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,169.0,2.0,1.0,1.0,,,,,,,,,,,,,,
171,PT00M48.90S,2024-02-15T01:34:56.5Z,1,REGULAR,3pt,Jump Shot,[],1630230,96.92838370565046,95.34313725490196,1610612740,28,22,2024-02-15T01:35:01Z,1700000,False,227.0,-24.0,1,right,N. Marshall 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630230, 1629627]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,22.79,Made,,,,,3.0,,,,,,,,,,,Z. Williamson,1629627.0,1.0
173,PT00M38.80S,2024-02-15T01:35:08.9Z,1,REGULAR,2pt,Jump Shot,[],1629013,12.565703022339028,11.519607843137255,1610612764,28,24,2024-02-15T01:35:16Z,1720000,False,192.0,66.0,1,left,L. Shamet 20' pullup Jump Shot (4 PTS) (C. Kispert 2 AST),"[1629013, 1630557]",1610612764.0,WAS,pullup,,,Shamet,L. Shamet,,,,,Mid-Range,16-24 Right,20.33,Made,,,,,4.0,,,,,,,,,,,C. Kispert,1630557.0,2.0
175,PT00M33.80S,2024-02-15T01:35:20.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630647,,,1610612740,28,24,2024-02-15T01:35:31Z,1740000,False,,,0,,E. Omoruyi shooting personal FOUL (1 PF) (Williamson 2 FT),"[1630647, 1629627]",1610612764.0,WAS,shooting,,,Omoruyi,E. Omoruyi,,,,,Restricted Area,0-8 Center,,,,,,,,2530.0,1.0,0.0,Williamson,1629627.0,,,,,,,,
177,PT00M33.80S,2024-02-15T01:35:41.4Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,28,24,2024-02-15T01:35:41Z,1760000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
178,PT00M33.80S,2024-02-15T01:35:41.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,28,24,2024-02-15T01:35:41Z,1770000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,
179,PT00M33.80S,2024-02-15T01:36:01.6Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,29,24,2024-02-15T01:36:01Z,1780000,False,,,0,,Z. Williamson Free Throw 2 of 2 (4 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
180,PT00M26.60S,2024-02-15T01:36:10.1Z,1,REGULAR,turnover,lost ball,[],1629673,,,1610612764,29,24,2024-02-15T01:36:14Z,1790000,False,,,0,,J. Poole lost ball TURNOVER (3 TO),"[1629673, 1630631]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,3.0,,,Alvarado,1630631.0,,,
181,PT00M26.60S,2024-02-15T01:36:10.1Z,1,REGULAR,steal,,[],1630631,,,1610612740,29,24,2024-02-15T01:36:12Z,1800000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
182,PT00M23.00S,2024-02-15T01:36:15.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,94.03745072273325,53.18627450980392,1610612740,31,24,2024-02-15T01:36:35Z,1810000,False,16.0,4.0,1,right,Z. Williamson running Layup (6 PTS) (L. Nance Jr. 3 AST),"[1629627, 1626204]",1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,6.0,,,,,,,,,,,L. Nance Jr.,1626204.0,3.0
184,PT00M02.10S,2024-02-15T01:36:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,11.383048620236531,49.50980392156863,1610612764,31,26,2024-02-15T01:36:43Z,1830000,False,2.0,55.0,1,left,L. Shamet driving floating Jump Shot (6 PTS) (C. Kispert 3 AST),"[1629013, 1630557]",1610612764.0,WAS,driving floating,,,Shamet,L. Shamet,,,,,In The Paint (Non-RA),0-8 Center,5.46,Made,,,,,6.0,,,,,,,,,,,C. Kispert,1630557.0,3.0
186,PT00M00.00S,2024-02-15T01:36:48.2Z,1,REGULAR,3pt,Jump Shot,[],1630230,35.03613666228647,44.85294117647059,1610612740,31,26,2024-02-15T01:39:07Z,1850000,False,-26.0,558.0,1,right,MISS N. Marshall 55' turnaround 3PT,[1630230],1610612740.0,NOP,turnaround,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,55.88,Missed,,,,,,,,,,,,,,,,,,
187,PT00M00.00S,2024-02-15T01:36:48.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,31,26,2024-02-15T01:36:56Z,1860000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Center,,,186.0,,,,,,,,,,,,,,,,,
188,PT00M00.00S,2024-02-15T01:36:58.8Z,1,REGULAR,period,end,[],0,,,1610612740,31,26,2024-02-15T01:36:58Z,1870000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2024-02-15T01:39:09.6Z,2,REGULAR,substitution,out,['startperiod'],1626204,,,1610612740,31,26,2024-02-15T01:39:38Z,1880000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2024-02-15T01:39:09.6Z,2,REGULAR,substitution,out,['startperiod'],1629673,,,1610612740,31,26,2024-02-15T01:39:38Z,1890000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2024-02-15T01:39:09.6Z,2,REGULAR,substitution,in,['startperiod'],1630529,,,1610612740,31,26,2024-02-15T01:39:38Z,1900000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2024-02-15T01:39:09.6Z,2,REGULAR,substitution,in,['startperiod'],1626153,,,1610612740,31,26,2024-02-15T01:39:38Z,1910000,False,,,0,,SUB in: D. Wright,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2024-02-15T01:39:38.3Z,2,REGULAR,period,start,[],0,,,1610612740,31,26,2024-02-15T01:39:39Z,1920000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT11M50.00S,2024-02-15T01:39:50.3Z,2,REGULAR,foul,personal,['2freethrow'],1630647,,,1610612740,31,26,2024-02-15T01:40:15Z,1930000,False,,,0,,E. Omoruyi shooting personal FOUL (2 PF) (Williamson 2 FT),"[1630647, 1629627]",1610612764.0,WAS,shooting,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201245.0,2.0,0.0,Williamson,1629627.0,,,,,,,,
196,PT11M50.00S,2024-02-15T01:40:17.5Z,2,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,32,26,2024-02-15T01:40:17Z,1950000,False,,,0,,Z. Williamson Free Throw 1 of 2 (7 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
197,PT11M50.00S,2024-02-15T01:40:33.7Z,2,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,33,26,2024-02-15T01:40:33Z,1960000,False,,,0,,Z. Williamson Free Throw 2 of 2 (8 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
198,PT11M38.00S,2024-02-15T01:40:46.9Z,2,REGULAR,turnover,bad pass,[],1629013,,,1610612764,33,26,2024-02-15T01:40:51Z,1970000,False,,,0,,L. Shamet bad pass TURNOVER (1 TO),"[1629013, 1630230]",1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,,,Marshall,1630230.0,,,
199,PT11M38.00S,2024-02-15T01:40:46.9Z,2,REGULAR,steal,,[],1630230,,,1610612740,33,26,2024-02-15T01:40:49Z,1980000,False,,,0,,N. Marshall STEAL (2 STL),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
200,PT11M32.00S,2024-02-15T01:40:51.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630230,94.30026281208936,53.18627450980392,1610612740,35,26,2024-02-15T01:40:57Z,1990000,False,16.0,1.0,1,right,N. Marshall running Layup (5 PTS),[1630230],1610612740.0,NOP,running,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,5.0,,,,,,,,,,,,,
202,PT11M15.00S,2024-02-15T01:41:29.0Z,2,REGULAR,3pt,Jump Shot,[],1629013,5.338370565045992,2.2058823529411766,1610612764,35,26,2024-02-15T01:41:33Z,2010000,False,239.0,-2.0,1,left,MISS L. Shamet 3PT,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Right Corner 3,24+ Right,23.9,Missed,,,,,,,,,,,,,,,,,,
203,PT11M13.00S,2024-02-15T01:41:31.0Z,2,REGULAR,rebound,defensive,[],1630230,,,1610612740,35,26,2024-02-15T01:41:33Z,2020000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,,,202.0,1.0,1.0,0.0,,,,,,,,,,,,,,
204,PT11M10.00S,2024-02-15T01:41:37.1Z,2,REGULAR,foul,personal,['2freethrow'],1630557,,,1610612740,35,26,2024-02-15T01:41:56Z,2030000,False,,,0,,C. Kispert shooting personal FOUL (2 PF) (Williamson 2 FT),"[1630557, 1629627]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,,,1630886.0,2.0,0.0,Williamson,1629627.0,,,,,,,,
206,PT11M10.00S,2024-02-15T01:42:07.5Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629627,,,1610612740,36,26,2024-02-15T01:42:07Z,2050000,False,,,0,,Z. Williamson Free Throw 1 of 2 (9 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
207,PT11M10.00S,2024-02-15T01:42:22.2Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629627,,,1610612740,37,26,2024-02-15T01:42:22Z,2060000,False,,,0,,Z. Williamson Free Throw 2 of 2 (10 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
208,PT10M58.00S,2024-02-15T01:42:35.4Z,2,REGULAR,3pt,Jump Shot,[],1630557,32.933639947437584,76.22549019607843,1610612764,37,26,2024-02-15T01:42:40Z,2070000,False,-131.0,257.0,1,left,MISS C. Kispert 28' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,28.86,Missed,,,,,,,,,,,,,,,,,,
209,PT10M54.00S,2024-02-15T01:42:39.4Z,2,REGULAR,rebound,defensive,[],1630529,,,1610612740,37,26,2024-02-15T01:42:40Z,2080000,False,,,0,,H. Jones REBOUND (Off:0 Def:4),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,208.0,4.0,4.0,0.0,,,,,,,,,,,,,,
210,PT10M47.00S,2024-02-15T01:42:46.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,94.95729303547962,46.81372549019608,1610612740,39,26,2024-02-15T01:42:52Z,2090000,False,-16.0,-5.0,1,right,Z. Williamson cutting Layup (12 PTS) (T. Murphy III 1 AST),"[1629627, 1630530]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,12.0,,,,,,,,,,,T. Murphy III,1630530.0,1.0
212,PT10M45.00S,2024-02-15T01:43:02.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,39,26,2024-02-15T01:43:02Z,2110000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT10M45.00S,2024-02-15T01:45:11.6Z,2,REGULAR,substitution,out,[],1626158,,,1610612764,39,26,2024-02-15T01:45:36Z,2120000,False,,,0,,SUB out: R. Holmes,[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT10M45.00S,2024-02-15T01:45:11.6Z,2,REGULAR,substitution,out,[],1630647,,,1610612764,39,26,2024-02-15T01:45:36Z,2130000,False,,,0,,SUB out: E. Omoruyi,[1630647],1610612764.0,WAS,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT10M45.00S,2024-02-15T01:45:11.6Z,2,REGULAR,substitution,in,[],1628963,,,1610612764,39,26,2024-02-15T01:45:36Z,2140000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT10M45.00S,2024-02-15T01:45:11.6Z,2,REGULAR,substitution,in,[],1626145,,,1610612764,39,26,2024-02-15T01:45:36Z,2150000,False,,,0,,SUB in: T. Jones,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT10M28.00S,2024-02-15T01:45:59.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,16.113666228646515,47.05882352941176,1610612764,39,26,2024-02-15T01:46:39Z,2160000,False,15.0,99.0,1,left,MISS L. Shamet 10' Jump Shot,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,In The Paint (Non-RA),8-16 Center,10.01,Missed,,,,,,,,,,,,,,,,,,
218,PT10M22.00S,2024-02-15T01:46:05.6Z,2,REGULAR,rebound,defensive,[],1630530,,,1610612740,39,26,2024-02-15T01:46:06Z,2170000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,217.0,2.0,2.0,0.0,,,,,,,,,,,,,,
219,PT10M06.00S,2024-02-15T01:46:20.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629627,88.78120893561103,49.754901960784316,1610612740,41,26,2024-02-15T01:47:32Z,2180000,False,-1.0,53.0,1,right,Z. Williamson driving Hook (14 PTS) (T. Murphy III 2 AST),"[1629627, 1630530]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.3,Made,,,,,14.0,,,,,,,,,,,T. Murphy III,1630530.0,2.0
221,PT09M56.00S,2024-02-15T01:46:30.8Z,2,REGULAR,3pt,Jump Shot,[],1626153,15.456636005256241,2.941176470588235,1610612764,41,26,2024-02-15T01:46:35Z,2200000,False,235.0,93.0,1,left,MISS D. Wright 25' 3PT,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Right,25.29,Missed,,,,,,,,,,,,,,,,,,
222,PT09M53.00S,2024-02-15T01:46:33.8Z,2,REGULAR,rebound,defensive,[],1630631,,,1610612740,41,26,2024-02-15T01:46:35Z,2210000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right,,,221.0,1.0,1.0,0.0,,,,,,,,,,,,,,
223,PT09M46.00S,2024-02-15T01:46:40.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,94.43166885676742,53.18627450980392,1610612740,43,26,2024-02-15T01:46:49Z,2220000,False,16.0,0.0,1,right,N. Marshall driving Layup (7 PTS) (J. Alvarado 1 AST),"[1630230, 1630631]",1610612740.0,NOP,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,7.0,,,,,,,,,,,J. Alvarado,1630631.0,1.0
225,PT09M31.00S,2024-02-15T01:46:56.1Z,2,REGULAR,turnover,bad pass,[],1626153,,,1610612764,43,26,2024-02-15T01:47:00Z,2240000,False,,,0,,D. Wright bad pass TURNOVER (1 TO),"[1626153, 1630530]",1610612764.0,WAS,,,,Wright,D. Wright,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,,,Murphy III,1630530.0,,,
226,PT09M31.00S,2024-02-15T01:46:56.1Z,2,REGULAR,steal,,[],1630530,,,1610612740,43,26,2024-02-15T01:46:59Z,2250000,False,,,0,,T. Murphy III STEAL (2 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
227,PT09M10.00S,2024-02-15T01:47:18.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630230,87.72996057818659,49.754901960784316,1610612740,45,26,2024-02-15T01:48:29Z,2260000,False,-1.0,63.0,1,right,N. Marshall 6' driving floating Jump Shot (9 PTS),[1630230],1610612740.0,NOP,driving floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,6.28,Made,,,,,9.0,,,,,,,,,,,,,
228,PT09M01.00S,2024-02-15T01:47:31.1Z,2,REGULAR,foul,personal,[],1630631,,,1610612764,45,26,2024-02-15T01:47:39Z,2270000,False,,,0,,J. Alvarado personal FOUL (1 PF),"[1630631, 1626145]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,,,,,,2530.0,1.0,0.0,Jones,1626145.0,,,,,,,,
230,PT09M01.00S,2024-02-15T01:47:38.6Z,2,REGULAR,substitution,out,[],1626153,,,1610612764,45,26,2024-02-15T01:47:42Z,2290000,False,,,0,,SUB out: D. Wright,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT09M01.00S,2024-02-15T01:47:38.6Z,2,REGULAR,substitution,in,[],1630166,,,1610612764,45,26,2024-02-15T01:47:42Z,2300000,False,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M53.00S,2024-02-15T01:47:55.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,6.389618922470433,47.794117647058826,1610612764,45,28,2024-02-15T01:47:59Z,2310000,False,11.0,8.0,1,left,M. Bagley III alley-oop Layup (6 PTS) (T. Jones 2 AST),"[1628963, 1626145]",1610612764.0,WAS,alley-oop,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,6.0,,,,,,,,,,,T. Jones,1626145.0,2.0
234,PT08M38.00S,2024-02-15T01:48:09.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,94.82588699080158,49.754901960784316,1610612740,47,28,2024-02-15T01:48:14Z,2330000,False,-1.0,-4.0,1,right,Z. Williamson driving DUNK (16 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.41,Made,,,,,16.0,,,,,,,,,,,,,
235,PT08M27.00S,2024-02-15T01:48:24.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.835085413929041,49.50980392156863,1610612764,47,30,2024-02-15T01:48:28Z,2340000,False,2.0,21.0,1,left,D. Avdija driving Layup (7 PTS),[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.12,Made,,,,,7.0,,,,,,,,,,,,,
236,PT08M27.00S,2024-02-15T01:48:26.8Z,2,REGULAR,foul,personal,['1freethrow'],1630530,,,1610612764,47,30,2024-02-15T01:48:34Z,2350000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Avdija 1 FT),"[1630530, 1630166]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,1630886.0,1.0,0.0,Avdija,1630166.0,,,,,,,,
238,PT08M27.00S,2024-02-15T01:48:49.9Z,2,REGULAR,freethrow,1 of 1,[],1630166,,,1610612764,47,31,2024-02-15T01:48:49Z,2370000,False,,,0,,D. Avdija Free Throw 1 of 1 (8 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
239,PT08M17.00S,2024-02-15T01:49:03.2Z,2,REGULAR,3pt,Jump Shot,[],1630530,69.72733245729303,22.794117647058822,1610612740,50,31,2024-02-15T01:49:32Z,2380000,False,-136.0,232.0,1,right,T. Murphy III 26' 3PT  (3 PTS) (Z. Williamson 2 AST),"[1630530, 1629627]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,26.9,Made,,,,,3.0,,,,,,,,,,,Z. Williamson,1629627.0,2.0
241,PT08M09.00S,2024-02-15T01:49:17.7Z,2,REGULAR,foul,personal,[],1630530,,,1610612764,50,31,2024-02-15T01:49:24Z,2400000,False,,,0,,T. Murphy III personal FOUL (2 PF),"[1630530, 1629013]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,,2530.0,2.0,0.0,Shamet,1629013.0,,,,,,,,
243,PT08M09.00S,2024-02-15T01:49:23.1Z,2,REGULAR,substitution,out,[],1630529,,,1610612764,50,31,2024-02-15T01:49:42Z,2420000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT08M09.00S,2024-02-15T01:49:23.1Z,2,REGULAR,substitution,out,[],1629013,,,1610612764,50,31,2024-02-15T01:49:42Z,2430000,False,,,0,,SUB out: L. Shamet,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
