actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
36,PT09M42.00S,2024-02-15T01:14:37.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,3,2024-02-15T01:14:39Z,360000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT09M34.00S,2024-02-15T01:14:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.67214191852825,49.26470588235294,1610612740,2,3,2024-02-15T01:14:51Z,370000,False,-4.0,26.0,1,right,MISS B. Ingram driving Layup,[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,2.61,Missed,,,,,,,,,,,,,,,,,,
38,PT09M33.00S,2024-02-15T01:14:45.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,2,3,2024-02-15T01:14:51Z,380000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,37.0,,,,,,,,,,,,,,,,,
40,PT09M19.00S,2024-02-15T01:15:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,5.863994743758213,47.05882352941176,1610612764,2,3,2024-02-15T01:15:14Z,400000,False,15.0,3.0,1,left,MISS J. Poole driving reverse Layup,[1629673],1610612764.0,WAS,driving reverse,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
41,PT09M16.00S,2024-02-15T01:15:11.7Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,2,3,2024-02-15T01:15:14Z,410000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT09M12.00S,2024-02-15T01:15:15.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,79.71419185282524,47.05882352941176,1610612740,2,3,2024-02-15T01:16:31Z,420000,False,-15.0,138.0,1,right,MISS B. Ingram 13' step back Shot,[1627742],1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,13.9,Missed,,,,,,,,,,,,,,,,,,
43,PT09M07.00S,2024-02-15T01:15:20.6Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,2,3,2024-02-15T01:15:23Z,430000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Center,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44,PT09M07.00S,2024-02-15T01:15:20.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,94.40999984741211,50.0,1610612740,4,3,2024-02-15T01:15:20Z,440000,False,0.0,0.0,1,right,Z. Williamson putback Layup (2 PTS),[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
45,PT08M58.00S,2024-02-15T01:15:29.2Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,4,3,2024-02-15T01:15:33Z,450000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 203468]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,,,McCollum,203468.0,,,
46,PT08M58.00S,2024-02-15T01:15:29.2Z,1,REGULAR,steal,,[],203468,,,1610612740,4,3,2024-02-15T01:15:31Z,460000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
47,PT08M46.00S,2024-02-15T01:15:40.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,72.61826544021025,16.666666666666664,1610612740,4,3,2024-02-15T01:15:46Z,470000,False,-167.0,205.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
48,PT08M43.00S,2024-02-15T01:15:43.9Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,4,3,2024-02-15T01:15:46Z,480000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT08M29.00S,2024-02-15T01:15:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,6.652431011826544,52.20588235294118,1610612764,4,3,2024-02-15T01:17:35Z,490000,False,-11.0,10.0,1,left,MISS J. Poole driving finger roll Layup,[1629673],1610612764.0,WAS,driving finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
50,PT08M24.00S,2024-02-15T01:16:03.6Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,4,3,2024-02-15T01:16:04Z,500000,False,,,0,,M. Bagley III REBOUND (Off:2 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,49.0,2.0,0.0,2.0,,,,,,,,,,,,,,
51,PT08M24.00S,2024-02-15T01:16:03.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628963,5.590000152587891,50.0,1610612764,4,5,2024-02-15T01:16:03Z,510000,False,0.0,0.0,1,left,M. Bagley III tip Layup (2 PTS),[1628963],1610612764.0,WAS,tip,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
52,PT08M17.00S,2024-02-15T01:16:09.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.77463863337714,50.73529411764706,1610612740,6,5,2024-02-15T01:16:14Z,520000,False,4.0,6.0,1,right,J. Valanciunas cutting DUNK (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.7,Made,,,,,2.0,,,,,,,,,,,H. Jones,1630529.0,1.0
54,PT07M57.00S,2024-02-15T01:16:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,7.5722733245729295,47.05882352941176,1610612764,6,5,2024-02-15T01:18:43Z,540000,False,15.0,19.0,1,left,MISS M. Bagley III driving reverse Layup - blocked,"[1628963, 202685]",1610612764.0,WAS,driving reverse,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,Valanciunas,202685.0,,,,,
55,PT07M57.00S,2024-02-15T01:16:30.8Z,1,REGULAR,block,,[],202685,,,1610612764,6,5,2024-02-15T01:16:33Z,550000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M54.00S,2024-02-15T01:16:33.8Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,6,5,2024-02-15T01:16:34Z,560000,False,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
