actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT10M43.00S,2023-11-23T01:11:56.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630700,92.46057818659659,50.245098039215684,1610612740,5,3,2023-11-23T01:12:02Z,190000,False,1.0,18.0,1,right,MISS D. Daniels putback Layup,[1630700],1610612740.0,NOP,putback,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,1.84,Missed,,,,,,,,,,,,,
20,PT10M42.00S,2023-11-23T01:11:57.1Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,5,3,2023-11-23T01:12:02Z,200000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,
21,PT10M33.00S,2023-11-23T01:12:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,8.541392904073588,50.24126838235294,1610612758,5,5,2023-11-23T01:12:13Z,210000,False,-1.0,28.0,1,left,D. Sabonis finger roll Layup (2 PTS),[1627734],1610612758.0,SAC,finger roll,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,2.78,Made,2.0,,,,,,,,,,,,
22,PT10M15.00S,2023-11-23T01:12:24.4Z,1,REGULAR,3pt,Jump Shot,[],1630529,79.97700394218134,91.91176470588235,1610612740,5,5,2023-11-23T01:12:34Z,220000,False,210.0,136.0,1,right,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,24.97,Missed,,,,,,,,,,,,,
23,PT10M11.00S,2023-11-23T01:12:28.4Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,5,5,2023-11-23T01:12:34Z,230000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,22.0,1.0,0.0,1.0,,
24,PT10M08.00S,2023-11-23T01:12:31.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627742,94.69448094612353,96.07843137254902,1610612740,5,5,2023-11-23T01:12:36Z,240000,False,230.0,-3.0,1,right,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,,,23.04,Missed,,,,,,,,,,,,,
25,PT10M08.00S,2023-11-23T01:12:31.1Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612758,5,5,2023-11-23T01:12:36Z,250000,False,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,
26,PT09M53.00S,2023-11-23T01:12:46.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,30.042706964520367,82.35294117647058,1610612758,5,5,2023-11-23T01:12:50Z,260000,False,-162.0,230.0,1,left,MISS K. Huerter 28' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,,,28.11,Missed,,,,,,,,,,,,,
27,PT09M49.00S,2023-11-23T01:12:50.5Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,5,2023-11-23T01:12:50Z,270000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,
28,PT09M47.00S,2023-11-23T01:12:53.4Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,5,5,2023-11-23T01:13:03Z,280000,False,,,0,,B. Ingram bad pass out-of-bounds TURNOVER (1 TO),[1627742],1610612740.0,NOP,bad pass,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,101283.0,,,,,,,,,,,1.0,,,,,,,,
29,PT09M34.00S,2023-11-23T01:13:15.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,33.459264126149804,49.754901960784316,1610612758,5,5,2023-11-23T01:13:20Z,290000,False,1.0,262.0,1,left,MISS D. Fox 26' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,26.2,Missed,,,,,,,,,,,,,
30,PT09M31.00S,2023-11-23T01:13:18.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,5,2023-11-23T01:13:20Z,300000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,29.0,2.0,1.0,1.0,,
31,PT09M23.00S,2023-11-23T01:13:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,93.9060446780552,46.81372549019608,1610612740,7,5,2023-11-23T01:13:31Z,310000,False,-16.0,5.0,1,right,B. Ingram driving Layup (5 PTS),[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,1.66,Made,5.0,,,,,,,,,,,,
32,PT09M09.00S,2023-11-23T01:13:40.9Z,1,REGULAR,3pt,Jump Shot,[],1630537,11.777266754270697,2.696078431372549,1610612758,7,8,2023-11-23T01:13:46Z,320000,False,237.0,58.0,1,left,C. Duarte 24' 3PT  (3 PTS) (D. Fox 1 AST),"[1630537, 1628368]",1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Right Corner 3,24+ Right,,,,,,24.36,Made,3.0,D. Fox,1628368.0,1.0,,,,,,,,,
34,PT08M50.00S,2023-11-23T01:13:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,87.46714848883047,50.73529411764706,1610612740,7,8,2023-11-23T01:14:03Z,340000,False,4.0,65.0,1,right,MISS J. Valanciunas 6' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.54,Missed,,,,,,,,,,,,,
35,PT08M48.00S,2023-11-23T01:14:01.5Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,7,8,2023-11-23T01:14:03Z,350000,False,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,
36,PT08M43.00S,2023-11-23T01:14:06.8Z,1,REGULAR,2pt,Jump Shot,[],1627734,21.28777923784494,46.89797794117647,1610612758,7,10,2023-11-23T01:14:20Z,360000,False,16.0,148.0,1,left,D. Sabonis 14' pullup Jump Shot (4 PTS),[1627734],1610612758.0,SAC,pullup,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Center,,,,,,14.84,Made,4.0,,,,,,,,,,,,
37,PT08M28.00S,2023-11-23T01:14:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,93.11760840998686,56.86274509803921,1610612740,7,10,2023-11-23T01:14:29Z,370000,False,34.0,12.0,1,right,MISS D. Daniels driving floating Shot,[1630700],1610612740.0,NOP,driving floating,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,3.64,Missed,,,,,,,,,,,,,
38,PT08M26.00S,2023-11-23T01:14:23.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,7,10,2023-11-23T01:14:29Z,380000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,
39,PT08M21.00S,2023-11-23T01:14:32.4Z,1,REGULAR,foul,personal,[],1627742,,,1610612758,7,10,2023-11-23T01:14:44Z,390000,False,,,0,,B. Ingram personal FOUL (1 PF),"[1627742, 1630537]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,101283.0,1.0,0.0,Duarte,1630537.0,,,,,,,,,,,,,,,
41,PT08M08.00S,2023-11-23T01:15:05.6Z,1,REGULAR,turnover,out-of-bounds,[],1630537,,,1610612758,7,10,2023-11-23T01:15:11Z,410000,False,,,0,,C. Duarte bad pass out-of-bounds TURNOVER (1 TO),[1630537],1610612758.0,SAC,bad pass,,,Duarte,C. Duarte,,,,,Mid-Range,16-24 Left,101283.0,,,,,,,,,,,1.0,,,,,,,,
42,PT07M58.00S,2023-11-23T01:15:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,94.56307490144546,46.568627450980394,1610612740,9,10,2023-11-23T01:15:35Z,420000,False,-17.0,-1.0,1,right,Z. Williamson driving Layup (2 PTS) (J. Valanciunas 1 AST),"[1629627, 202685]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,1.73,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,
44,PT07M47.00S,2023-11-23T01:15:42.0Z,1,REGULAR,3pt,Jump Shot,[],203084,24.129434954007884,12.990196078431374,1610612758,9,10,2023-11-23T01:15:46Z,440000,False,185.0,174.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,25.42,Missed,,,,,,,,,,,,,
45,PT07M45.00S,2023-11-23T01:15:44.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,10,2023-11-23T01:15:46Z,450000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,44.0,3.0,2.0,1.0,,
46,PT07M37.00S,2023-11-23T01:15:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,93.9060446780552,36.27450980392157,1610612740,9,10,2023-11-23T01:16:01Z,460000,False,-69.0,5.0,1,right,MISS Z. Williamson 6' turnaround Shot,[1629627],1610612740.0,NOP,turnaround,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.88,Missed,,,,,,,,,,,,,
47,PT07M34.00S,2023-11-23T01:15:56.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,9,10,2023-11-23T01:16:01Z,470000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,
48,PT07M29.00S,2023-11-23T01:16:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630537,5.075558475689881,4.6568627450980395,1610612758,9,13,2023-11-23T01:16:18Z,480000,False,227.0,-5.0,1,left,C. Duarte 3PT  (6 PTS) (D. Sabonis 2 AST),"[1630537, 1627734]",1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Right Corner 3,24+ Right,,,,,,22.68,Made,6.0,D. Sabonis,1627734.0,2.0,,,,,,,,,
50,PT07M06.00S,2023-11-23T01:16:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.24901445466492,46.81372549019608,1610612740,11,13,2023-11-23T01:16:28Z,500000,False,-16.0,11.0,1,right,J. Valanciunas reverse Layup (4 PTS),[202685],1610612740.0,NOP,reverse,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,1.93,Made,4.0,,,,,,,,,,,,
51,PT07M03.00S,2023-11-23T01:16:34.4Z,1,REGULAR,foul,personal,[],1627742,,,1610612758,11,13,2023-11-23T01:16:57Z,510000,False,,,0,,B. Ingram personal FOUL (2 PF),"[1627742, 1630537]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,1626300.0,2.0,0.0,Duarte,1630537.0,,,,,,,,,,,,,,,
53,PT07M03.00S,2023-11-23T01:16:49.0Z,1,REGULAR,substitution,out,[],1627742,,,1610612758,11,13,2023-11-23T01:16:53Z,530000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M03.00S,2023-11-23T01:16:49.0Z,1,REGULAR,substitution,in,[],1641722,,,1610612758,11,13,2023-11-23T01:16:53Z,540000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M58.00S,2023-11-23T01:17:12.7Z,1,REGULAR,3pt,Jump Shot,[],203084,28.86005256241787,23.52941176470588,1610612758,11,16,2023-11-23T01:17:17Z,550000,False,132.0,219.0,1,left,H. Barnes 25' 3PT  (3 PTS) (D. Sabonis 3 AST),"[203084, 1627734]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,25.57,Made,3.0,D. Sabonis,1627734.0,3.0,,,,,,,,,
57,PT06M40.00S,2023-11-23T01:17:29.2Z,1,REGULAR,3pt,Jump Shot,[],1630529,95.0886990801577,96.07843137254902,1610612740,11,16,2023-11-23T01:17:33Z,570000,False,230.0,-6.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,,,,23.05,Missed,,,,,,,,,,,,,
58,PT06M38.00S,2023-11-23T01:17:31.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,11,16,2023-11-23T01:17:33Z,580000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,
59,PT06M34.00S,2023-11-23T01:17:36.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628368,25.706307490144546,16.666666666666664,1610612758,11,19,2023-11-23T01:17:45Z,590000,False,167.0,189.0,1,left,D. Fox 25' 3PT running (3 PTS) (K. Huerter 1 AST),"[1628368, 1628989]",1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,25.21,Made,3.0,K. Huerter,1628989.0,1.0,,,,,,,,,
61,PT06M32.00S,2023-11-23T01:17:43.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,11,19,2023-11-23T01:17:43Z,610000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M18.00S,2023-11-23T01:20:56.0Z,1,REGULAR,foul,personal,['2freethrow'],203084,,,1610612740,11,19,2023-11-23T01:21:02Z,620000,False,,,0,,H. Barnes shooting personal FOUL (1 PF) (Williamson 2 FT),"[203084, 1629627]",1610612758.0,SAC,shooting,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1626300.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
64,PT06M18.00S,2023-11-23T01:21:18.0Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,11,19,2023-11-23T01:21:18Z,640000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
65,PT06M18.00S,2023-11-23T01:21:18.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,11,19,2023-11-23T01:21:18Z,650000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
66,PT06M18.00S,2023-11-23T01:21:34.7Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,12,19,2023-11-23T01:21:34Z,660000,False,,,0,,Z. Williamson Free Throw 2 of 2 (3 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
67,PT06M05.00S,2023-11-23T01:21:48.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,31.750985545335087,40.931372549019606,1610612758,12,19,2023-11-23T01:22:14Z,670000,False,45.0,246.0,1,left,MISS K. Huerter 25' pullup 3PT,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,,,,25.01,Missed,,,,,,,,,,,,,
68,PT06M00.00S,2023-11-23T01:21:53.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,12,19,2023-11-23T01:21:54Z,680000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,67.0,4.0,3.0,1.0,,
69,PT05M51.00S,2023-11-23T01:22:01.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,86.28449408672799,59.80392156862745,1610612740,12,19,2023-11-23T01:22:44Z,690000,False,49.0,76.0,1,right,MISS J. Valanciunas 9' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Right,,,,,,9.08,Missed,,,,,,,,,,,,,
70,PT05M49.00S,2023-11-23T01:22:03.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,12,19,2023-11-23T01:22:04Z,700000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,69.0,3.0,3.0,0.0,,
71,PT05M35.00S,2023-11-23T01:22:17.2Z,1,REGULAR,2pt,Jump Shot,[],1627734,21.76412614980289,22.54901960784314,1610612758,12,21,2023-11-23T01:22:21Z,710000,False,137.0,152.0,1,left,D. Sabonis 20' Jump Shot (6 PTS) (C. Duarte 1 AST),"[1627734, 1630537]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,,,,20.49,Made,6.0,C. Duarte,1630537.0,1.0,,,,,,,,,
73,PT05M14.00S,2023-11-23T01:22:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.51182654402102,46.32352941176471,1610612740,14,21,2023-11-23T01:22:45Z,730000,False,-18.0,8.0,1,right,Z. Williamson cutting Layup (5 PTS) (J. Valanciunas 2 AST),"[1629627, 202685]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,2.03,Made,5.0,J. Valanciunas,202685.0,2.0,,,,,,,,,
75,PT05M14.00S,2023-11-23T01:22:44.1Z,1,REGULAR,foul,personal,['1freethrow'],1627734,,,1610612740,14,21,2023-11-23T01:22:50Z,750000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Williamson 1 FT),"[1627734, 1629627]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,101283.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
77,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,out,[],1630700,,,1610612740,14,21,2023-11-23T01:23:39Z,770000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,out,[],1628368,,,1610612740,14,21,2023-11-23T01:23:39Z,780000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,out,[],1628989,,,1610612740,14,21,2023-11-23T01:23:39Z,790000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,out,[],203084,,,1610612740,14,21,2023-11-23T01:23:39Z,800000,False,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,14,21,2023-11-23T01:23:39Z,810000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,in,[],1628370,,,1610612740,14,21,2023-11-23T01:23:39Z,820000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,in,[],1626168,,,1610612740,14,21,2023-11-23T01:23:39Z,830000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2023-11-23T01:22:51.4Z,1,REGULAR,substitution,in,[],1630558,,,1610612740,14,21,2023-11-23T01:23:39Z,840000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2023-11-23T01:23:17.6Z,1,REGULAR,freethrow,1 of 1,[],1629627,,,1610612740,15,21,2023-11-23T01:23:17Z,850000,False,,,0,,Z. Williamson Free Throw 1 of 1 (6 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
