actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
43,PT07M55.00S,2024-01-27T01:17:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,83.52496714848883,48.03921568627451,1610612740,8,7,2024-01-27T01:17:57Z,430000,False,-10.0,102.0,1,right,MISS B. Ingram 10' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,10.29,Missed,,,,,,,,,,,,,,,,,,
44,PT07M52.00S,2024-01-27T01:17:53.5Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,8,7,2024-01-27T01:17:53Z,440000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,
45,PT07M45.00S,2024-01-27T01:18:01.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629652,6.438896189224705,48.939185049019606,1610612760,8,9,2024-01-27T01:18:09Z,450000,False,5.0,8.0,1,left,L. Dort cutting DUNK (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,0.96,Made,,,,,,,,,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,
47,PT07M28.00S,2024-01-27T01:18:18.5Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,8,9,2024-01-27T01:18:24Z,470000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1631096]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,,,,,Holmgren,1631096.0
48,PT07M28.00S,2024-01-27T01:18:18.5Z,1,REGULAR,steal,,[],1631096,,,1610612760,8,9,2024-01-27T01:26:24Z,480000,False,,,0,,C. Holmgren STEAL (1 STL),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
49,PT07M22.00S,2024-01-27T01:18:23.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630581,14.536793692509855,48.77450980392157,1610612760,8,9,2024-01-27T01:20:10Z,490000,False,6.0,84.0,1,left,MISS J. Giddey 8' running Shot,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,8.43,Missed,,,,,,,,,,,,,,,,,,
50,PT07M19.00S,2024-01-27T01:18:26.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,8,9,2024-01-27T01:20:10Z,500000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,
51,PT07M13.00S,2024-01-27T01:18:32.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,72.09264126149803,75.0,1610612740,8,9,2024-01-27T01:18:40Z,510000,False,125.0,210.0,1,right,MISS T. Murphy III 24' step back 3PT,[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,24.42,Missed,,,,,,,,,,,,,,,,,,
52,PT07M10.00S,2024-01-27T01:18:36.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,8,9,2024-01-27T01:18:36Z,520000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,
53,PT07M09.00S,2024-01-27T01:18:36.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,92.19776609724047,46.81372549019608,1610612740,8,9,2024-01-27T01:20:42Z,530000,False,-16.0,21.0,1,right,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
