actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
15,PT10M34.00S,2024-04-06T00:12:16.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,0,2024-04-06T00:12:17Z,150000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M24.00S,2024-04-06T00:12:25.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630529,6.258212877792378,51.9607843137255,1610612740,5,0,2024-04-06T00:12:54Z,160000,False,-10.0,6.0,1,left,H. Jones driving bank Hook (2 PTS),[1630529],1610612740.0,NOP,driving bank,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.17,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M11.00S,2024-04-06T00:12:38.6Z,1,REGULAR,3pt,Jump Shot,[],1641705,68.67608409986859,68.38235294117648,1610612759,5,0,2024-04-06T00:12:43Z,170000,False,92.0,242.0,1,right,MISS V. Wembanyama 25' pullup 3PT,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
18,PT10M09.00S,2024-04-06T00:12:40.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,0,2024-04-06T00:12:43Z,180000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT09M59.00S,2024-04-06T00:12:50.7Z,1,REGULAR,2pt,Jump Shot,[],1630530,25.969119579500656,41.42156862745098,1610612740,5,0,2024-04-06T00:12:56Z,190000,False,43.0,192.0,1,left,MISS T. Murphy III 19' pullup Shot,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Center,19.63,Missed,,,,,,,,,,,,,,,,,,
20,PT09M55.00S,2024-04-06T00:12:54.7Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612759,5,0,2024-04-06T00:12:56Z,200000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Mid-Range,16-24 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M45.00S,2024-04-06T00:13:04.9Z,1,REGULAR,3pt,Jump Shot,[],1631103,95.87713534822602,4.411764705882353,1610612759,5,3,2024-04-06T00:13:10Z,210000,False,-228.0,-14.0,1,right,M. Branham 3PT  (3 PTS) (T. Jones 1 AST),"[1631103, 1630200]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,Left Corner 3,24+ Left,22.83,Made,,,,,3.0,,,,,T. Jones,1630200.0,1.0,,,,,,
23,PT09M24.00S,2024-04-06T00:13:25.6Z,1,REGULAR,3pt,Jump Shot,[],202685,28.203022339027594,19.852941176470587,1610612740,5,3,2024-04-06T00:13:48Z,230000,False,151.0,213.0,1,left,MISS J. Valanciunas 26' pullup 3PT,[202685],1610612740.0,NOP,pullup,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
24,PT09M22.00S,2024-04-06T00:13:27.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,3,2024-04-06T00:13:33Z,240000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M16.00S,2024-04-06T00:13:34.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1641705,93.24901445466492,54.65686274509803,1610612759,5,3,2024-04-06T00:14:08Z,250000,False,23.0,11.0,1,right,MISS V. Wembanyama driving floating bank Shot,[1641705],1610612759.0,SAS,driving floating bank,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,,,,,,,,,
26,PT09M14.00S,2024-04-06T00:13:36.2Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,5,3,2024-04-06T00:13:38Z,260000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT08M52.00S,2024-04-06T00:13:57.1Z,1,REGULAR,2pt,Hook,[],202685,5.338370565045992,27.205882352941174,1610612740,5,3,2024-04-06T00:14:03Z,270000,False,114.0,-2.0,1,left,MISS J. Valanciunas 11' turnaround Hook,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,11.4,Missed,,,,,,,,,,,,,,,,,,
28,PT08M50.00S,2024-04-06T00:13:59.1Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,5,3,2024-04-06T00:14:03Z,280000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Right,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT08M42.00S,2024-04-06T00:14:10.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630572,89.70105124835742,50.49019607843137,1610612759,5,5,2024-04-06T00:14:34Z,290000,False,2.0,44.0,1,right,S. Mamukelashvili Hook (2 PTS) (J. Champagnie 1 AST),"[1630572, 1630577]",1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),0-8 Center,4.44,Made,,,,,2.0,,,,,J. Champagnie,1630577.0,1.0,,,,,,
31,PT08M42.00S,2024-04-06T00:14:13.6Z,1,REGULAR,foul,personal,['1freethrow'],1630529,,,1610612759,5,5,2024-04-06T00:14:24Z,310000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Mamukelashvili 1 FT),"[1630529, 1630572]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,204059.0,,,,,1.0,0.0,Mamukelashvili,1630572.0,,
33,PT08M42.00S,2024-04-06T00:14:34.2Z,1,REGULAR,freethrow,1 of 1,[],1630572,,,1610612759,5,5,2024-04-06T00:14:34Z,330000,False,,,0,,MISS S. Mamukelashvili Free Throw 1 of 1,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
34,PT08M41.00S,2024-04-06T00:14:35.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,5,2024-04-06T00:14:37Z,340000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,33.0,3.0,3.0,0.0,,,,,,,,,,,,,,
35,PT08M22.00S,2024-04-06T00:14:54.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,34.773324572930356,59.068627450980394,1610612740,5,5,2024-04-06T00:14:59Z,350000,False,-45.0,274.0,1,left,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,27.81,Missed,,,,,,,,,,,,,,,,,,
36,PT08M19.00S,2024-04-06T00:14:57.8Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612759,5,5,2024-04-06T00:14:59Z,360000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:2),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Center,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT08M08.00S,2024-04-06T00:15:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,94.1688567674113,46.568627450980394,1610612759,5,7,2024-04-06T00:15:12Z,370000,False,-17.0,2.0,1,right,S. Mamukelashvili cutting Layup (4 PTS) (V. Wembanyama 1 AST),"[1630572, 1641705]",1610612759.0,SAS,cutting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,4.0,,,,,V. Wembanyama,1641705.0,1.0,,,,,,
39,PT07M52.00S,2024-04-06T00:15:24.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,7.178055190538765,44.85294117647059,1610612740,7,7,2024-04-06T00:15:57Z,390000,False,26.0,15.0,1,left,J. Valanciunas driving bank Hook (2 PTS),[202685],1610612740.0,NOP,driving bank,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.98,Made,,,,,2.0,,,,,,,,,,,,,
40,PT07M26.00S,2024-04-06T00:15:50.2Z,1,REGULAR,3pt,Jump Shot,[],1630200,78.0059132720105,10.049019607843137,1610612759,7,7,2024-04-06T00:16:06Z,400000,False,-200.0,154.0,1,right,MISS T. Jones 25' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
41,PT07M24.00S,2024-04-06T00:15:52.2Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,7,7,2024-04-06T00:16:06Z,410000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,40.0,2.0,1.0,1.0,,,,,,,,,,,,,,
42,PT07M24.00S,2024-04-06T00:15:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612759,7,7,2024-04-06T00:16:12Z,420000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1630530, 1641705]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628487.0,,,,,1.0,0.0,Wembanyama,1641705.0,,
44,PT07M24.00S,2024-04-06T00:16:28.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641705,,,1610612759,7,8,2024-04-06T00:16:28Z,440000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
45,PT07M24.00S,2024-04-06T00:16:50.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641705,,,1610612759,7,9,2024-04-06T00:16:50Z,450000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
46,PT07M10.00S,2024-04-06T00:17:04.3Z,1,REGULAR,3pt,Jump Shot,[],1630700,26.888961892247043,80.14705882352942,1610612740,10,9,2024-04-06T00:17:11Z,460000,False,-151.0,200.0,1,left,D. Daniels 25' 3PT pullup (3 PTS) (J. Valanciunas 1 AST),"[1630700, 202685]",1610612740.0,NOP,pullup,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,25.07,Made,,,,,3.0,,,,,J. Valanciunas,202685.0,1.0,,,,,,
48,PT06M51.00S,2024-04-06T00:17:23.4Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,10,9,2024-04-06T00:17:30Z,480000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 1630529]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,,,,,,,,Jones,1630529.0
49,PT06M51.00S,2024-04-06T00:17:23.4Z,1,REGULAR,steal,,[],1630529,,,1610612740,10,9,2024-04-06T00:21:19Z,490000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
50,PT06M43.00S,2024-04-06T00:17:30.9Z,1,REGULAR,turnover,bad pass,[],1630529,,,1610612740,10,9,2024-04-06T00:17:34Z,500000,False,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1630200]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,Jones,1630200.0
51,PT06M43.00S,2024-04-06T00:17:30.9Z,1,REGULAR,steal,,[],1630200,,,1610612759,10,9,2024-04-06T00:17:33Z,510000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT06M35.00S,2024-04-06T00:17:39.0Z,1,REGULAR,turnover,bad pass,[],1631103,,,1610612759,10,9,2024-04-06T00:17:42Z,520000,False,,,0,,M. Branham bad pass TURNOVER (1 TO),"[1631103, 1630700]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,,,Daniels,1630700.0
53,PT06M35.00S,2024-04-06T00:17:39.0Z,1,REGULAR,steal,,[],1630700,,,1610612740,10,9,2024-04-06T00:17:40Z,530000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
54,PT06M31.00S,2024-04-06T00:17:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,6.521024967148489,47.05882352941176,1610612740,12,9,2024-04-06T00:17:50Z,540000,False,15.0,9.0,1,left,H. Jones running Layup (4 PTS),[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,4.0,,,,,,,,,,,,,
55,PT06M15.00S,2024-04-06T00:17:59.2Z,1,REGULAR,3pt,Jump Shot,[],1631103,72.48685939553219,20.833333333333336,1610612759,12,9,2024-04-06T00:18:10Z,550000,False,-146.0,206.0,1,right,MISS M. Branham 25' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,,,,,,,,,,,,,,,,,
56,PT06M08.00S,2024-04-06T00:18:06.2Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,12,9,2024-04-06T00:27:09Z,560000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT06M07.00S,2024-04-06T00:18:09.6Z,1,REGULAR,foul,personal,[],1631103,,,1610612740,12,9,2024-04-06T00:18:16Z,580000,False,,,0,,M. Branham personal FOUL (1 PF),"[1631103, 202685]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628487.0,,,,,1.0,0.0,Valanciunas,202685.0,,
60,PT06M07.00S,2024-04-06T00:18:25.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,12,9,2024-04-06T00:18:25Z,600000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M07.00S,2024-04-06T00:20:16.7Z,1,REGULAR,substitution,out,[],203468,,,1610612740,12,9,2024-04-06T00:20:58Z,610000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M07.00S,2024-04-06T00:20:16.7Z,1,REGULAR,substitution,out,[],1630200,,,1610612740,12,9,2024-04-06T00:20:58Z,620000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M07.00S,2024-04-06T00:20:16.7Z,1,REGULAR,substitution,out,[],1641705,,,1610612740,12,9,2024-04-06T00:20:58Z,630000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M07.00S,2024-04-06T00:20:16.7Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,12,9,2024-04-06T00:20:58Z,640000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2024-04-06T00:20:16.7Z,1,REGULAR,substitution,in,[],1628380,,,1610612740,12,9,2024-04-06T00:20:58Z,650000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M07.00S,2024-04-06T00:20:16.7Z,1,REGULAR,substitution,in,[],1631104,,,1610612740,12,9,2024-04-06T00:20:58Z,660000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M52.00S,2024-04-06T00:21:25.2Z,1,REGULAR,3pt,Jump Shot,[],1641722,29.517082785808146,27.205882352941174,1610612740,15,9,2024-04-06T00:21:31Z,670000,False,114.0,225.0,1,left,J. Hawkins 25' 3PT  (3 PTS) (H. Jones 1 AST),"[1641722, 1630529]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,25.22,Made,,,,,3.0,,,,,H. Jones,1630529.0,1.0,,,,,,
69,PT05M31.00S,2024-04-06T00:21:46.4Z,1,REGULAR,3pt,Jump Shot,[],1628380,70.51576872536137,71.07843137254902,1610612759,15,12,2024-04-06T00:21:50Z,690000,False,105.0,225.0,1,right,Z. Collins 24' 3PT  (3 PTS) (B. Wesley 1 AST),"[1628380, 1631104]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Right Center,24.82,Made,,,,,3.0,,,,,B. Wesley,1631104.0,1.0,,,,,,
71,PT05M11.00S,2024-04-06T00:22:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,7.30946123521682,50.98039215686274,1610612740,17,12,2024-04-06T00:23:22Z,710000,False,-5.0,16.0,1,left,J. Valanciunas driving reverse Layup (4 PTS),[202685],1610612740.0,NOP,driving reverse,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.69,Made,,,,,4.0,,,,,,,,,,,,,
72,PT04M58.00S,2024-04-06T00:22:19.7Z,1,REGULAR,3pt,Jump Shot,[],1630577,71.96123521681997,21.323529411764707,1610612759,17,12,2024-04-06T00:22:31Z,720000,False,-143.0,211.0,1,right,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.52,Missed,,,,,,,,,,,,,,,,,,
73,PT04M57.00S,2024-04-06T00:22:20.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,17,12,2024-04-06T00:22:31Z,730000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Left Center,,,72.0,,,,,,,,,,,,,,,,,
75,PT04M57.00S,2024-04-06T00:22:25.4Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,17,12,2024-04-06T00:22:38Z,750000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M57.00S,2024-04-06T00:22:25.4Z,1,REGULAR,substitution,out,[],1631103,,,1610612740,17,12,2024-04-06T00:22:38Z,760000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M57.00S,2024-04-06T00:22:25.4Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,17,12,2024-04-06T00:22:38Z,770000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M57.00S,2024-04-06T00:22:25.4Z,1,REGULAR,substitution,in,[],1628984,,,1610612740,17,12,2024-04-06T00:22:38Z,780000,False,,,0,,SUB in: D. Graham,[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M36.00S,2024-04-06T00:23:02.8Z,1,REGULAR,3pt,Jump Shot,[],1641722,26.888961892247043,79.16666666666666,1610612740,17,12,2024-04-06T00:23:10Z,790000,False,-146.0,200.0,1,left,MISS J. Hawkins 24' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,24.77,Missed,,,,,,,,,,,,,,,,,,
80,PT04M33.00S,2024-04-06T00:23:05.8Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612740,17,12,2024-04-06T00:24:18Z,800000,False,,,0,,D. Daniels REBOUND (Off:1 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,
89,PT04M32.00S,2024-04-06T00:23:08.0Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612740,17,12,2024-04-06T00:26:52Z,805000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1628984]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,,,,,,,,Graham,1628984.0
90,PT04M32.00S,2024-04-06T00:23:08.0Z,1,REGULAR,steal,,[],1628984,,,1610612759,17,12,2024-04-06T00:24:10Z,807500,False,,,0,,D. Graham STEAL (1 STL),[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
