actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M28.00S,2023-11-30T01:12:01.9Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,0,2023-11-30T01:14:01Z,180000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,
19,PT10M28.00S,2023-11-30T01:12:02.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,4,0,2023-11-30T01:12:02Z,190000,False,0.0,0.0,1,right,J. Valanciunas putback Layup (2 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2023-11-30T01:12:16.5Z,1,REGULAR,3pt,Jump Shot,[],201587,24.655059132720105,13.725490196078432,1610612755,4,3,2023-11-30T01:12:23Z,200000,False,181.0,179.0,1,left,N. Batum 25' 3PT  (3 PTS) (M. Morris Sr. 1 AST),"[201587, 202694]",1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Right Center,25.51,Made,3.0,,,,,,,,,M. Morris Sr.,202694.0,1.0,,,,,,
22,PT10M03.00S,2023-11-30T01:12:29.5Z,1,REGULAR,turnover,traveling,[],1630529,,,1610612740,4,3,2023-11-30T01:12:35Z,220000,False,,,0,,H. Jones traveling TURNOVER (2 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,2.0,,,1626301.0,,,,,,,,,
23,PT09M56.00S,2023-11-30T01:12:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629001,33.196452036793694,47.30392156862745,1610612755,4,3,2023-11-30T01:12:51Z,230000,False,13.0,260.0,1,left,MISS D. Melton 25' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,25.99,Missed,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2023-11-30T01:12:49.4Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,4,3,2023-11-30T01:12:51Z,240000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:3),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,23.0,3.0,3.0,0.0,,,,,,,,,,,,,
25,PT09M45.00S,2023-11-30T01:13:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,94.03745072273325,53.18627450980392,1610612740,6,3,2023-11-30T01:13:10Z,250000,False,16.0,4.0,1,right,B. Ingram driving Layup (4 PTS) (Z. Williamson 1 AST),"[1627742, 1629627]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.63,Made,4.0,,,,,,,,,Z. Williamson,1629627.0,1.0,,,,,,
27,PT09M45.00S,2023-11-30T01:13:06.1Z,1,REGULAR,foul,personal,['1freethrow'],202694,,,1610612740,6,3,2023-11-30T01:13:15Z,270000,False,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Ingram 1 FT),"[202694, 1627742]",1610612755.0,PHI,shooting,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Ingram,1627742.0,,
29,PT09M45.00S,2023-11-30T01:13:25.6Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612740,7,3,2023-11-30T01:13:25Z,290000,False,,,0,,B. Ingram Free Throw 1 of 1 (5 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
30,PT09M33.00S,2023-11-30T01:13:40.4Z,1,REGULAR,3pt,Jump Shot,[],202694,32.933639947437584,49.754901960784316,1610612755,7,3,2023-11-30T01:13:45Z,300000,False,1.0,257.0,1,left,MISS M. Morris Sr. 25' 3PT,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
31,PT09M30.00S,2023-11-30T01:13:43.4Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,7,3,2023-11-30T01:13:45Z,310000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
32,PT09M21.00S,2023-11-30T01:13:52.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,88.78120893561103,52.450980392156865,1610612740,9,3,2023-11-30T01:13:56Z,320000,False,12.0,53.0,1,right,J. Valanciunas turnaround Hook (4 PTS) (Z. Williamson 2 AST),"[202685, 1629627]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,5.44,Made,4.0,,,,,,,,,Z. Williamson,1629627.0,2.0,,,,,,
34,PT09M07.00S,2023-11-30T01:14:06.2Z,1,REGULAR,3pt,Jump Shot,[],202699,27.151773981603156,77.69607843137256,1610612755,9,3,2023-11-30T01:14:11Z,340000,False,-138.0,203.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,24.55,Missed,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2023-11-30T01:14:09.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,3,2023-11-30T01:14:11Z,350000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,
36,PT08M51.00S,2023-11-30T01:14:22.0Z,1,REGULAR,3pt,Jump Shot,[],203468,71.82982917214193,80.88235294117648,1610612740,12,3,2023-11-30T01:14:26Z,360000,False,154.0,212.0,1,right,C. McCollum 26' 3PT  (3 PTS) (Z. Williamson 3 AST),"[203468, 1629627]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.25,Made,3.0,,,,,,,,,Z. Williamson,1629627.0,3.0,,,,,,
38,PT08M32.00S,2023-11-30T01:14:40.6Z,1,REGULAR,turnover,lost ball,[],201587,,,1610612755,12,3,2023-11-30T01:14:44Z,380000,False,,,0,,N. Batum lost ball TURNOVER (1 TO),"[201587, 1629627]",1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Williamson,1629627.0,,,,,,,,,,
39,PT08M32.00S,2023-11-30T01:14:40.6Z,1,REGULAR,steal,,[],1629627,,,1610612740,12,3,2023-11-30T01:14:42Z,390000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
40,PT08M17.00S,2023-11-30T01:14:58.3Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612740,12,3,2023-11-30T01:15:12Z,400000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[202699, 202685]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201246.0,,,,1.0,0.0,Valanciunas,202685.0,,
42,PT08M17.00S,2023-11-30T01:15:31.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202685,,,1610612740,13,3,2023-11-30T01:15:31Z,420000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (5 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2023-11-30T01:15:48.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202685,,,1610612740,14,3,2023-11-30T01:15:48Z,430000,False,,,0,,J. Valanciunas Free Throw 2 of 2 (6 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
44,PT08M08.00S,2023-11-30T01:16:00.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,27.808804204993432,20.34313725490196,1610612755,14,3,2023-11-30T01:16:06Z,440000,False,148.0,209.0,1,left,MISS T. Maxey 25' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,25.62,Missed,,,,,,,,,,,,,,,,,,
45,PT08M05.00S,2023-11-30T01:16:03.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,14,3,2023-11-30T01:16:06Z,450000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,
46,PT07M57.00S,2023-11-30T01:16:11.4Z,1,REGULAR,3pt,Jump Shot,[],1630529,72.88107752956637,17.892156862745097,1610612740,14,3,2023-11-30T01:16:17Z,460000,False,-161.0,202.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
47,PT07M54.00S,2023-11-30T01:16:14.4Z,1,REGULAR,rebound,defensive,[],201587,,,1610612755,14,3,2023-11-30T01:16:17Z,470000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Left Center,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
48,PT07M42.00S,2023-11-30T01:16:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629001,28.465834428383708,78.92156862745098,1610612755,14,6,2023-11-30T01:16:31Z,480000,False,-145.0,215.0,1,left,D. Melton 25' 3PT  (3 PTS) (M. Morris Sr. 2 AST),"[1629001, 202694]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,25.92,Made,3.0,,,,,,,,,M. Morris Sr.,202694.0,2.0,,,,,,
50,PT07M25.00S,2023-11-30T01:16:44.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629627,88.64980289093299,49.01960784313725,1610612740,16,6,2023-11-30T01:16:49Z,500000,False,-5.0,54.0,1,right,Z. Williamson driving Hook (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.44,Made,2.0,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2023-11-30T01:16:53.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,16,6,2023-11-30T01:16:53Z,510000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2023-11-30T01:19:11.5Z,1,REGULAR,substitution,out,[],202694,,,1610612755,16,6,2023-11-30T01:19:51Z,520000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M20.00S,2023-11-30T01:19:11.5Z,1,REGULAR,substitution,in,[],1628964,,,1610612755,16,6,2023-11-30T01:19:51Z,530000,False,,,0,,SUB in: M. Bamba,[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M04.00S,2023-11-30T01:20:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629001,14.799605781865965,48.28431372549019,1610612755,16,6,2023-11-30T01:20:10Z,540000,False,9.0,87.0,1,left,MISS D. Melton 8' fadeaway Shot,[1629001],1610612755.0,PHI,fadeaway,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,8.7,Missed,,,,,,,,,,,,,,,,,,
56,PT06M59.00S,2023-11-30T01:20:09.9Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612755,16,6,2023-11-30T01:20:10Z,550000,False,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),8-16 Center,,,,55.0,1.0,0.0,1.0,,,,,,,,,,,,,
57,PT06M59.00S,2023-11-30T01:20:08.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628964,5.590000152587891,50.0,1610612755,16,6,2023-11-30T01:21:22Z,560000,False,0.0,0.0,1,left,MISS M. Bamba tip Layup,[1628964],1610612755.0,PHI,tip,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
58,PT06M59.00S,2023-11-30T01:20:08.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,16,6,2023-11-30T01:21:22Z,570000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,57.0,4.0,3.0,1.0,,,,,,,,,,,,,
59,PT06M45.00S,2023-11-30T01:20:24.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.9060446780552,50.245098039215684,1610612740,18,6,2023-11-30T01:20:29Z,580000,False,1.0,5.0,1,right,J. Valanciunas DUNK (8 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.49,Made,8.0,,,,,,,,,C. McCollum,203468.0,1.0,,,,,,
61,PT06M28.00S,2023-11-30T01:20:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,8.886333771353483,50.73529411764706,1610612755,18,6,2023-11-30T01:22:41Z,600000,False,-4.0,31.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 203468]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,,,,,,,,,McCollum,203468.0
62,PT06M28.00S,2023-11-30T01:20:40.6Z,1,REGULAR,block,,[],203468,,,1610612755,18,6,2023-11-30T01:20:43Z,610000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT06M28.00S,2023-11-30T01:20:40.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,18,6,2023-11-30T01:20:47Z,620000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,61.0,,,,,,,,,,,,,,,,
65,PT06M21.00S,2023-11-30T01:21:01.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202699,18.347568988173457,25.49019607843137,1610612755,18,8,2023-11-30T01:21:07Z,640000,False,123.0,120.0,1,left,T. Harris 17' fadeaway Jump Shot (2 PTS),[202699],1610612755.0,PHI,fadeaway,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,17.15,Made,2.0,,,,,,,,,,,,,,,,,
66,PT06M00.00S,2023-11-30T01:21:22.6Z,1,REGULAR,3pt,Jump Shot,[],203468,95.48291721419186,95.58823529411765,1610612740,21,8,2023-11-30T01:21:28Z,650000,False,228.0,-10.0,1,right,C. McCollum 3PT  (6 PTS) (Z. Williamson 4 AST),"[203468, 1629627]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,22.81,Made,6.0,,,,,,,,,Z. Williamson,1629627.0,4.0,,,,,,
68,PT05M40.00S,2023-11-30T01:21:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,12.434296977660972,35.294117647058826,1610612755,21,10,2023-11-30T01:21:51Z,670000,False,74.0,64.0,1,left,T. Maxey 9' driving floating Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Right,9.77,Made,2.0,,,,,,,,,,,,,,,,,
69,PT05M40.00S,2023-11-30T01:21:48.2Z,1,REGULAR,foul,personal,['1freethrow'],1629627,,,1610612755,21,10,2023-11-30T01:22:15Z,680000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Maxey 1 FT),"[1629627, 1630178]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1626301.0,,,,1.0,0.0,Maxey,1630178.0,,
71,PT05M40.00S,2023-11-30T01:22:16.6Z,1,REGULAR,freethrow,1 of 1,[],1630178,,,1610612755,21,11,2023-11-30T01:22:16Z,700000,False,,,0,,T. Maxey Free Throw 1 of 1 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
72,PT05M25.00S,2023-11-30T01:22:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,94.30026281208936,45.83333333333333,1610612740,23,11,2023-11-30T01:22:37Z,710000,False,-21.0,1.0,1,right,Z. Williamson driving Layup (4 PTS) (B. Ingram 1 AST),"[1629627, 1627742]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.08,Made,4.0,,,,,,,,,B. Ingram,1627742.0,1.0,,,,,,
74,PT05M12.00S,2023-11-30T01:22:45.3Z,1,REGULAR,3pt,Jump Shot,[],1629001,35.43035479632063,35.78431372549019,1610612755,23,11,2023-11-30T01:22:49Z,730000,False,71.0,281.0,1,left,MISS D. Melton 28' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,28.94,Missed,,,,,,,,,,,,,,,,,,
75,PT05M10.00S,2023-11-30T01:22:47.3Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,23,11,2023-11-30T01:22:49Z,740000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:4),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,74.0,4.0,4.0,0.0,,,,,,,,,,,,,
76,PT05M06.00S,2023-11-30T01:22:52.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630529,94.43166885676742,49.754901960784316,1610612740,25,11,2023-11-30T01:24:36Z,750000,False,-1.0,0.0,1,right,H. Jones running alley-oop DUNK (2 PTS) (C. McCollum 2 AST),"[1630529, 203468]",1610612740.0,NOP,running alley-oop,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,0.12,Made,2.0,,,,,,,,,C. McCollum,203468.0,2.0,,,,,,
78,PT04M52.00S,2023-11-30T01:23:05.1Z,1,REGULAR,2pt,Jump Shot,[],1628964,24.26084099868594,42.8921568627451,1610612755,25,11,2023-11-30T01:23:12Z,770000,False,36.0,176.0,1,left,MISS M. Bamba 17' Jump Shot,[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Mid-Range,16-24 Center,17.92,Missed,,,,,,,,,,,,,,,,,,
79,PT04M49.00S,2023-11-30T01:23:08.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,25,11,2023-11-30T01:23:12Z,780000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,
80,PT04M40.00S,2023-11-30T01:23:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,94.82588699080158,44.11764705882353,1610612740,27,11,2023-11-30T01:25:43Z,790000,False,-29.0,-4.0,1,right,C. McCollum driving floating bank Jump Shot (8 PTS) (B. Ingram 2 AST),"[203468, 1627742]",1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.97,Made,8.0,,,,,,,,,B. Ingram,1627742.0,2.0,,,,,,
82,PT04M29.00S,2023-11-30T01:23:28.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,7.703679369250986,54.65686274509803,1610612755,27,11,2023-11-30T01:26:10Z,810000,False,-23.0,20.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
83,PT04M28.00S,2023-11-30T01:23:29.4Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612755,27,11,2023-11-30T01:26:41Z,820000,False,,,0,,M. Bamba REBOUND (Off:2 Def:0),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,,82.0,2.0,0.0,2.0,,,,,,,,,,,,,
