actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
279,PT03M44.00S,2024-03-29T00:57:40.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612749,49,34,2024-03-29T00:57:46Z,2780000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,278.0,,,,,,,,,,,,,
281,PT03M29.00S,2024-03-29T00:58:06.5Z,2,REGULAR,3pt,Jump Shot,[],203114,7.440867279894875,2.696078431372549,1610612749,49,34,2024-03-29T00:58:11Z,2800000,False,237.0,17.0,1,left,MISS K. Middleton 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Right Corner 3,24+ Right,23.71,Missed,,,,,,,,,,,,,,,,,,
282,PT03M26.00S,2024-03-29T00:58:09.5Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,49,34,2024-03-29T00:58:11Z,2810000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Right Corner 3,24+ Right,,,,,,,281.0,4.0,2.0,2.0,,,,,,,,,,
283,PT03M15.00S,2024-03-29T00:58:29.4Z,2,REGULAR,foul,offensive,[],202685,,,1610612740,49,34,2024-03-29T00:58:43Z,2820000,False,,,0,,J. Valanciunas off-the-ball offensive FOUL (2 PF),"[202685, 203114]",1610612740.0,NOP,off-the-ball,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,,,,,,,201639.0,2.0,0.0,Middleton,203114.0,,,,,
285,PT03M15.00S,2024-03-29T00:58:29.4Z,2,REGULAR,turnover,offensive foul,[],202685,,,1610612740,49,34,2024-03-29T00:58:29Z,2840000,False,,,0,,J. Valanciunas offensive foul TURNOVER (2 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,,,,,,,201639.0,,,,,,,2.0,,
286,PT03M15.00S,2024-03-29T00:58:42.6Z,2,REGULAR,substitution,out,[],202685,,,1610612749,49,34,2024-03-29T00:58:48Z,2850000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT03M15.00S,2024-03-29T00:58:42.6Z,2,REGULAR,substitution,out,[],1630230,,,1610612749,49,34,2024-03-29T00:58:48Z,2860000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT03M15.00S,2024-03-29T00:58:42.6Z,2,REGULAR,substitution,in,[],203468,,,1610612749,49,34,2024-03-29T00:58:48Z,2870000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT03M15.00S,2024-03-29T00:58:42.6Z,2,REGULAR,substitution,in,[],1626204,,,1610612749,49,34,2024-03-29T00:58:48Z,2880000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT03M00.00S,2024-03-29T00:59:01.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203081,6.258212877792378,55.14705882352941,1610612749,49,34,2024-03-29T00:59:05Z,2890000,False,-26.0,6.0,1,left,MISS D. Lillard driving Layup,[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,2.65,Missed,,,,,,,,,,,,,,,,,,
