actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
114,PT03M19.00S,2023-11-03T00:25:51.2Z,1,REGULAR,substitution,in,[],203925,,,1610612740,28,17,2023-11-03T00:26:00Z,1130000,False,,,0,,SUB in: J. Harris,[203925],1610612765.0,DET,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M19.00S,2023-11-03T00:26:03.1Z,1,REGULAR,substitution,out,[],1631204,,,1610612740,28,17,2023-11-03T00:26:12Z,1140000,False,,,0,,SUB out: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M19.00S,2023-11-03T00:26:03.1Z,1,REGULAR,substitution,in,[],1641709,,,1610612740,28,17,2023-11-03T00:26:12Z,1150000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M03.00S,2023-11-03T00:26:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630184,13.485545335085414,58.57843137254902,1610612740,28,17,2023-11-03T00:26:33Z,1160000,False,-43.0,74.0,1,left,MISS K. Lewis Jr. 8' driving floating bank Shot,[1630184],1610612740.0,NOP,driving floating bank,,,Lewis Jr.,K. Lewis Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.58,Missed,,,,,,,,,,,,,,,,,,
118,PT03M01.00S,2023-11-03T00:26:32.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,28,17,2023-11-03T00:26:33Z,1170000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),8-16 Center,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,
119,PT02M56.00S,2023-11-03T00:26:37.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631093,92.46057818659659,94.85294117647058,1610612765,28,20,2023-11-03T00:27:43Z,1180000,False,224.0,18.0,1,right,J. Ivey 3PT running (3 PTS) (K. Hayes 2 AST),"[1631093, 1630165]",1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,22.51,Made,,,,,,,3.0,K. Hayes,1630165.0,2.0,,,,,,,,
121,PT02M35.00S,2023-11-03T00:27:01.2Z,1,REGULAR,turnover,out-of-bounds,[],1641722,,,1610612740,28,20,2023-11-03T00:27:11Z,1200000,False,,,0,,J. Hawkins lost ball out-of-bounds TURNOVER (1 TO),[1641722],1610612740.0,NOP,lost ball,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628487.0,1.0,,,,,,,,,,,,
123,PT02M35.00S,2023-11-03T00:27:19.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,28,20,2023-11-03T00:27:19Z,1220000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M18.00S,2023-11-03T00:30:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628963,93.51182654402102,49.50980392156863,1610612765,28,20,2023-11-03T00:39:00Z,1230000,False,-2.0,8.0,1,right,MISS M. Bagley III Layup,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,0.89,Missed,,,,,,,,,,,,,,,,,,
125,PT02M14.00S,2023-11-03T00:30:17.5Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,28,20,2023-11-03T00:33:16Z,1240000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,124.0,1.0,0.0,1.0,,,,,,,,,,,,,,
136,PT02M14.00S,2023-11-03T00:30:20.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641709,92.72339027595268,49.26470588235294,1610612765,28,20,2023-11-03T00:32:21Z,1265000,False,-4.0,16.0,1,right,MISS A. Thompson tip Layup,[1641709],1610612765.0,DET,tip,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
137,PT02M14.00S,2023-11-03T00:30:20.6Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612765,28,20,2023-11-03T00:32:21Z,1267500,False,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,136.0,2.0,1.0,1.0,,,,,,,,,,,,,,
126,PT02M13.00S,2023-11-03T00:30:21.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628963,94.40999984741211,50.0,1610612765,28,20,2023-11-03T00:39:12Z,1268750,False,0.0,0.0,1,right,MISS M. Bagley III tip Layup,[1628963],1610612765.0,DET,tip,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
127,PT02M12.00S,2023-11-03T00:30:22.0Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,28,20,2023-11-03T00:39:12Z,1269375,False,,,0,,J. Ivey REBOUND (Off:1 Def:0),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,126.0,1.0,0.0,1.0,,,,,,,,,,,,,,
128,PT02M10.00S,2023-11-03T00:30:22.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641709,89.96386333771353,95.09803921568627,1610612765,28,20,2023-11-03T00:31:32Z,1270000,False,225.0,42.0,1,right,MISS A. Thompson 3PT,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
